Rank,Team,GM,W-L,ST,STPG
341,Quinnipiac (NEC),31,15-16,128,4.1
26,Radford (Big South),32,13-19,274,8.6
278,Rhode Island (Atlantic 10),29,8-21,161,5.6
184,Rice (C-USA),31,5-26,204,6.6
103,Richmond (Atlantic 10),34,19-15,248,7.3
176,Rider (MAAC),34,19-15,226,6.6
17,Robert Morris (NEC),35,24-11,313,8.9
137,Rutgers (AAC),31,15-16,216,7
306,Sacramento St. (Big Sky),29,14-15,151,5.2
223,Sacred Heart (NEC),29,9-20,182,6.3
278,Saint Francis (PA) (NEC),29,5-24,161,5.6
309,Saint Joseph's (Atlantic 10),32,18-14,165,5.2
73,Saint Louis (Atlantic 10),35,28-7,267,7.6
240,Saint Mary's (CA) (WCC),35,28-7,214,6.1
138,Saint Peter's (MAAC),30,9-21,209,7
132,Sam Houston (Southland),34,17-17,239,7
202,Samford (SoCon),32,11-21,206,6.4
146,San Diego St. (Mountain West),34,23-11,235,6.9
244,San Diego (WCC),34,16-18,205,6
289,San Francisco (WCC),31,15-16,169,5.5
242,San Jose St. (WAC),29,9-20,175,6
55,Santa Clara (WCC),38,26-12,301,7.9
14,Savannah St. (MEAC),34,19-15,307,9
71,Seattle U (WAC),30,8-22,231,7.7
156,Seton Hall (AAC),33,15-18,225,6.8
62,SFA (Southland),32,27-5,251,7.8
270,Siena (MAAC),32,8-24,180,5.6
286,SIUE (OVC),27,9-18,148,5.5
149,SMU (C-USA),32,15-17,220,6.9
178,South Alabama (Sun Belt),30,17-13,199,6.6
243,South Carolina St. (MEAC),30,6-24,181,6
314,South Carolina (SEC),32,14-18,164,5.1
319,South Dakota St. (Summit League),35,25-10,175,5
237,South Dakota (Summit League),30,10-20,184,6.1
226,South Fla. (AAC),31,12-19,193,6.2
305,Southeast Mo. St. (OVC),33,17-16,172,5.2
329,Southeastern La. (Southland),31,13-18,147,4.7
268,Southern California (Pac-12),32,14-18,181,5.7
48,Southern Ill. (MVC),31,14-17,250,8.1
5,Southern Miss. (C-USA),37,27-10,356,9.6
94,Southern U. (SWAC),33,23-10,244,7.4
321,Southern Utah (Big Sky),31,11-20,154,5
194,St. Bonaventure (Atlantic 10),29,14-15,188,6.5
188,St. Francis Brooklyn (NEC),30,12-18,196,6.5
174,St. John's (NY) (AAC),33,17-16,220,6.7
250,Stanford (Pac-12),34,19-15,200,5.9
295,Stetson (ASUN),31,15-16,165,5.3
207,Stony Brook (America East),33,25-8,212,6.4
13,Syracuse (AAC),40,30-10,362,9.1
292,TCU (Big 12),32,11-21,172,5.4
59,Temple (Atlantic 10),34,24-10,267,7.9
110,Tennessee St. (OVC),33,18-15,238,7.2
208,Tennessee Tech (OVC),29,12-17,185,6.4
340,Tennessee (SEC),33,20-13,140,4.2
197,Texas A&M (SEC),33,18-15,213,6.5
312,Texas Southern (SWAC),31,17-14,159,5.1
83,Texas St. (WAC),34,12-22,255,7.5
40,Texas Tech (Big 12),31,11-20,255,8.2
201,Texas (Big 12),34,16-18,219,6.4
125,The Citadel (SoCon),30,8-22,212,7.1
130,Toledo (MAC),28,15-13,197,7
312,Towson (CAA),31,18-13,159,5.1
290,Troy (Sun Belt),33,12-21,179,5.4
175,Tulane (C-USA),35,20-15,233,6.7
197,Tulsa (C-USA),33,17-16,213,6.5
45,UAB (C-USA),33,16-17,269,8.2
331,UC Davis (Big West),31,14-17,144,4.6
324,UC Irvine (Big West),37,21-16,181,4.9
226,UC Riverside (Big West),31,6-25,193,6.2
295,UC Santa Barbara (Big West),31,11-20,165,5.3
80,UCF (C-USA),31,20-11,233,7.5
46,UCLA (Pac-12),35,25-10,283,8.1
86,UConn (AAC),30,20-10,224,7.5
189,UIC (Horizon),34,18-16,222,6.5
113,ULM (Sun Belt),27,4-23,194,7.2
112,UMBC (America East),31,8-23,223,7.2
172,UMES (MEAC),28,2-26,187,6.7
44,UNC Asheville (Big South),32,16-16,261,8.2
100,UNC Greensboro (SoCon),31,9-22,227,7.3
237,UNCW (CAA),30,10-20,184,6.1
231,UNI (MVC),36,21-15,223,6.2
109,UNLV (Mountain West),35,25-10,253,7.2
127,USC Upstate (ASUN),33,16-17,233,7.1
75,UT Arlington (WAC),33,19-14,251,7.6
151,UT Martin (OVC),30,9-21,206,6.9
326,Utah St. (WAC),31,21-10,150,4.8
213,Utah Valley (GWC),32,14-18,203,6.3
281,Utah (Pac-12),33,15-18,183,5.5
294,UTEP (C-USA),32,18-14,171,5.3
160,UTRGV (GWC),32,16-16,217,6.8
229,UTSA (WAC),32,10-22,199,6.2
154,Valparaiso (Horizon),34,26-8,232,6.8
325,Vanderbilt (SEC),33,16-17,160,4.8
1,VCU (Atlantic 10),36,27-9,422,11.7
186,Vermont (America East),33,21-12,216,6.5
69,Villanova (AAC),34,20-14,263,7.7
337,Virginia Tech (ACC),32,13-19,138,4.3
249,Virginia (ACC),35,23-12,206,5.9
48,VMI (Big South),31,14-17,250,8.1
42,Wagner (NEC),31,19-12,253,8.2
120,Wake Forest (ACC),31,13-18,220,7.1
335,Washington St. (Pac-12),32,13-19,144,4.5
303,Washington (Pac-12),34,18-16,178,5.2
302,Weber St. (Big Sky),37,30-7,195,5.3
102,West Virginia (Big 12),32,13-19,234,7.3
76,Western Caro. (SoCon),33,14-19,250,7.6
255,Western Ill. (Summit League),31,22-9,181,5.8
231,Western Ky. (Sun Belt),36,20-16,223,6.2
266,Western Mich. (MAC),35,22-13,198,5.7
93,Wichita St. (MVC),39,30-9,289,7.4
310,William & Mary (CAA),30,13-17,154,5.1
326,Winthrop (Big South),31,14-17,150,4.8
265,Wisconsin (Big Ten),35,23-12,200,5.7
90,Wofford (SoCon),32,13-19,238,7.4
92,Wright St. (Horizon),36,23-13,267,7.4
221,Wyoming (Mountain West),34,20-14,214,6.3
298,Xavier (Atlantic 10),31,17-14,164,5.3
211,Yale (Ivy League),31,14-17,197,6.4
158,Youngstown St. (Horizon),34,18-16,231,6.8
