Rank,Team,GM,W-L,FT,FTA,FT%
236,Western Ky. (Sun Belt),36,20-16,509,755,67.4
150,Western Mich. (MAC),35,22-13,587,835,70.3
162,Wichita St. (MVC),39,30-9,553,791,69.9
115,William & Mary (CAA),30,13-17,405,571,70.9
198,Winthrop (Big South),31,14-17,385,560,68.8
321,Wisconsin (Big Ten),35,23-12,369,582,63.4
69,Wofford (SoCon),32,13-19,346,477,72.5
145,Wright St. (Horizon),36,23-13,427,607,70.3
233,Wyoming (Mountain West),34,20-14,436,646,67.5
259,Xavier (Atlantic 10),31,17-14,437,655,66.7
61,Yale (Ivy League),31,14-17,501,688,72.8
180,Youngstown St. (Horizon),34,18-16,475,686,69.2
