Rank,Team,GM,W-L,Opp TO,TO,Ratio
221,Indiana St. (MVC),33,18-15,400,427,-0.8
111,Indiana (Big Ten),36,29-7,509,469,1.1
82,Iona (MAAC),34,20-14,475,421,1.6
181,Iowa St. (Big 12),35,23-12,462,460,0.1
137,Iowa (Big Ten),38,25-13,500,476,0.6
244,IUPUI (Summit League),32,6-26,372,406,-1.1
61,Jackson St. (SWAC),29,11-18,426,370,1.9
26,Jacksonville St. (OVC),28,17-11,445,365,2.9
214,Jacksonville (ASUN),32,14-18,470,488,-0.6
45,James Madison (CAA),36,21-15,490,401,2.5
306,Kansas City (Summit League),32,8-24,401,482,-2.5
42,Kansas St. (Big 12),35,27-8,493,403,2.6
262,Kansas (Big 12),37,31-6,468,517,-1.3
168,Kennesaw St. (ASUN),30,3-27,420,414,0.2
106,Kent St. (MAC),35,21-14,487,447,1.1
255,Kentucky (SEC),33,21-12,390,430,-1.2
30,La Salle (Atlantic 10),34,24-10,486,390,2.8
102,Lafayette (Patriot),34,19-15,466,424,1.2
342,Lamar University (Southland),31,3-28,354,564,-6.8
33,Lehigh (Patriot),31,21-10,424,339,2.7
309,Liberty (Big South),36,15-21,385,478,-2.6
327,Lipscomb (ASUN),30,12-18,404,504,-3.3
116,Little Rock (Sun Belt),32,17-15,522,488,1.1
260,LIU (NEC),34,20-14,441,486,-1.3
130,LMU (CA) (WCC),34,11-23,478,450,0.8
241,Long Beach St. (Big West),33,19-14,451,485,-1
319,Longwood (Big South),33,8-25,446,548,-3.1
6,Louisiana Tech (WAC),34,27-7,590,421,5
121,Louisiana (Sun Belt),33,13-20,498,466,1
3,Louisville (AAC),40,35-5,730,495,5.9
265,Loyola Chicago (Horizon),31,15-16,366,408,-1.4
68,Loyola Maryland (MAAC),35,23-12,477,417,1.7
131,LSU (SEC),31,19-12,470,445,0.8
314,Maine (America East),30,11-19,366,450,-2.8
283,Manhattan (MAAC),32,14-18,465,518,-1.7
258,Marist (MAAC),31,10-21,403,443,-1.3
230,Marquette (AAC),35,26-9,439,471,-0.9
310,Marshall (C-USA),32,13-19,422,506,-2.6
338,Maryland (ACC),38,25-13,404,569,-4.3
233,Massachusetts (Atlantic 10),33,21-12,445,476,-0.9
104,McNeese (Southland),31,14-17,413,375,1.2
125,Memphis (C-USA),36,31-5,557,523,0.9
79,Mercer (ASUN),36,24-12,512,454,1.6
111,Miami (FL) (ACC),36,29-7,425,385,1.1
126,Miami (OH) (MAC),31,9-22,469,441,0.9
252,Michigan St. (Big Ten),36,27-9,447,489,-1.2
40,Michigan (Big Ten),39,31-8,470,368,2.6
60,Middle Tenn. (Sun Belt),34,28-6,530,464,1.9
297,Milwaukee (Horizon),32,8-24,384,453,-2.2
222,Minnesota (Big Ten),34,21-13,438,467,-0.9
284,Mississippi St. (SEC),32,10-22,490,545,-1.7
144,Mississippi Val. (SWAC),28,5-23,442,427,0.5
58,Missouri St. (MVC),33,11-22,402,336,2
229,Missouri (SEC),34,23-11,411,442,-0.9
19,Monmouth (NEC),31,10-21,559,460,3.2
21,Montana St. (Big Sky),30,13-17,447,353,3.1
187,Montana (Big Sky),32,25-7,387,391,-0.1
197,Morehead St. (OVC),33,15-18,566,573,-0.2
205,Morgan St. (MEAC),32,17-15,476,487,-0.3
13,Mount St. Mary's (NEC),32,18-14,520,398,3.8
176,Murray St. (OVC),31,21-10,436,433,0.1
135,N.C. A&T (MEAC),37,20-17,588,564,0.6
76,N.C. Central (MEAC),31,22-9,496,444,1.7
63,Navy (Patriot),31,8-23,409,351,1.9
236,NC State (ACC),35,24-11,400,433,-0.9
150,Nebraska (Big Ten),33,15-18,368,352,0.5
189,Nevada (Mountain West),31,12-19,392,396,-0.1
163,New Hampshire (America East),29,9-20,358,351,0.2
296,New Mexico St. (WAC),35,24-11,432,506,-2.1
103,New Mexico (Mountain West),35,29-6,445,402,1.2
250,New Orleans (Independent),26,8-18,431,461,-1.2
9,Niagara (MAAC),33,19-14,520,379,4.3
152,Nicholls (Southland),30,9-21,427,414,0.4
128,NJIT (GWC),29,16-13,448,424,0.8
141,Norfolk St. (MEAC),33,21-12,500,481,0.6
18,North Carolina (ACC),36,25-11,558,442,3.2
154,North Dakota St. (Summit League),34,24-10,388,375,0.4
105,North Dakota (Big Sky),33,16-17,459,421,1.2
294,North Florida (ASUN),32,13-19,403,469,-2.1
247,North Texas (Sun Belt),32,12-20,409,444,-1.1
78,Northeastern (CAA),33,20-13,481,427,1.6
194,Northern Ariz. (Big Sky),32,11-21,452,458,-0.2
218,Northern Colo. (Big Sky),31,13-18,385,407,-0.7
202,Northern Ill. (MAC),30,5-25,426,434,-0.3
35,Northwestern St. (Southland),32,23-9,535,448,2.7
117,Northwestern (Big Ten),32,13-19,375,342,1
240,Notre Dame (AAC),35,25-10,358,393,-1
43,Oakland (Summit League),33,16-17,483,399,2.5
25,Ohio St. (Big Ten),37,29-8,493,386,2.9
7,Ohio (MAC),34,24-10,591,430,4.7
49,Oklahoma St. (Big 12),33,24-9,490,411,2.4
85,Oklahoma (Big 12),32,20-12,423,376,1.5
195,Old Dominion (CAA),30,5-25,406,412,-0.2
11,Ole Miss (SEC),36,27-9,552,409,4
239,Oral Roberts (Southland),35,20-15,449,483,-1
263,Oregon St. (Pac-12),32,14-18,389,432,-1.3
156,Oregon (Pac-12),37,28-9,569,555,0.4
75,Pacific (Big West),35,22-13,449,390,1.7
228,Penn St. (Big Ten),31,10-21,353,381,-0.9
276,Penn (Ivy League),31,9-22,448,495,-1.5
325,Pepperdine (WCC),30,12-18,346,442,-3.2
48,Pittsburgh (AAC),33,24-9,444,364,2.4
199,Portland St. (Big Sky),28,8-20,328,335,-0.3
323,Portland (WCC),32,11-21,377,479,-3.2
160,Prairie View (SWAC),34,15-19,519,509,0.3
304,Presbyterian (Big South),32,8-24,339,418,-2.5
171,Princeton (Ivy League),28,17-11,349,344,0.2
151,Providence (AAC),34,19-15,447,432,0.4
186,Purdue Fort Wayne (Summit League),33,16-17,447,449,-0.1
257,Purdue (Big Ten),34,16-18,384,427,-1.3
321,Quinnipiac (NEC),31,15-16,336,432,-3.1
57,Radford (Big South),32,13-19,497,432,2
143,Rhode Island (Atlantic 10),29,8-21,366,350,0.6
52,Rice (C-USA),31,5-26,414,346,2.2
34,Richmond (Atlantic 10),34,19-15,507,414,2.7
280,Rider (MAAC),34,19-15,470,525,-1.6
14,Robert Morris (NEC),35,24-11,572,448,3.5
248,Rutgers (AAC),31,15-16,393,428,-1.1
128,Sacramento St. (Big Sky),29,14-15,349,325,0.8
312,Sacred Heart (NEC),29,9-20,364,441,-2.7
289,Saint Francis (PA) (NEC),29,5-24,364,419,-1.9
278,Saint Joseph's (Atlantic 10),32,18-14,330,381,-1.6
12,Saint Louis (Atlantic 10),35,28-7,537,401,3.9
195,Saint Mary's (CA) (WCC),35,28-7,409,416,-0.2
91,Saint Peter's (MAAC),30,9-21,427,387,1.3
65,Sam Houston (Southland),34,17-17,510,449,1.8
216,Samford (SoCon),32,11-21,402,422,-0.6
142,San Diego St. (Mountain West),34,23-11,429,410,0.6
192,San Diego (WCC),34,16-18,453,458,-0.1
206,San Francisco (WCC),31,15-16,363,375,-0.4
226,San Jose St. (WAC),29,9-20,376,402,-0.9
38,Santa Clara (WCC),38,26-12,568,468,2.6
213,Savannah St. (MEAC),34,19-15,567,586,-0.6
334,Seattle U (WAC),30,8-22,430,546,-3.9
317,Seton Hall (AAC),33,15-18,419,514,-2.9
41,SFA (Southland),32,27-5,488,405,2.6
339,Siena (MAAC),32,8-24,351,490,-4.3
193,SIUE (OVC),27,9-18,384,388,-0.1
219,SMU (C-USA),32,15-17,439,462,-0.7
246,South Alabama (Sun Belt),30,17-13,443,475,-1.1
307,South Carolina St. (MEAC),30,6-24,373,449,-2.5
251,South Carolina (SEC),32,14-18,454,491,-1.2
134,South Dakota St. (Summit League),35,25-10,388,365,0.7
275,South Dakota (Summit League),30,10-20,318,363,-1.5
108,South Fla. (AAC),31,12-19,373,338,1.1
300,Southeast Mo. St. (OVC),33,17-16,347,423,-2.3
212,Southeastern La. (Southland),31,13-18,383,398,-0.5
263,Southern California (Pac-12),32,14-18,383,426,-1.3
17,Southern Ill. (MVC),31,14-17,479,377,3.3
47,Southern Miss. (C-USA),37,27-10,636,545,2.5
36,Southern U. (SWAC),33,23-10,447,359,2.7
326,Southern Utah (Big Sky),31,11-20,370,472,-3.3
115,St. Bonaventure (Atlantic 10),29,14-15,424,393,1.1
113,St. Francis Brooklyn (NEC),30,12-18,403,370,1.1
50,St. John's (NY) (AAC),33,17-16,454,376,2.4
90,Stanford (Pac-12),34,19-15,448,402,1.4
331,Stetson (ASUN),31,15-16,376,490,-3.7
80,Stony Brook (America East),33,25-8,443,390,1.6
22,Syracuse (AAC),40,30-10,618,495,3.1
238,TCU (Big 12),32,11-21,401,432,-1
28,Temple (Atlantic 10),34,24-10,463,366,2.9
259,Tennessee St. (OVC),33,18-15,465,508,-1.3
254,Tennessee Tech (OVC),29,12-17,433,468,-1.2
