Rank,Team,GM,W-L,OPP PTS,OPP PPG
251,Western Caro. (SoCon),33,14-19,"2,299",69.7
2,Western Ill. (Summit League),31,22-9,"1,663",53.6
147,Western Ky. (Sun Belt),36,20-16,"2,364",65.7
105,Western Mich. (MAC),35,22-13,"2,237",63.9
45,Wichita St. (MVC),39,30-9,"2,385",61.2
217,William & Mary (CAA),30,13-17,"2,048",68.3
47,Winthrop (Big South),31,14-17,"1,897",61.2
7,Wisconsin (Big Ten),35,23-12,"1,958",55.9
23,Wofford (SoCon),32,13-19,"1,890",59.1
19,Wright St. (Horizon),36,23-13,"2,105",58.5
24,Wyoming (Mountain West),34,20-14,"2,010",59.1
65,Xavier (Atlantic 10),31,17-14,"1,936",62.5
163,Yale (Ivy League),31,14-17,"2,056",66.3
242,Youngstown St. (Horizon),34,18-16,"2,356",69.3
