Rank,Team,GM,W-L,TO,TOPG
81,A&M-Corpus Christi (Southland),29,6-23,351,12.1
61,Air Force (Mountain West),32,18-14,380,11.9
222,Akron (MAC),33,26-7,458,13.9
247,Alabama A&M (SWAC),31,11-20,444,14.3
291,Alabama St. (SWAC),32,10-22,479,15
114,Alabama (SEC),36,23-13,451,12.5
188,Albany (NY) (America East),35,24-11,468,13.4
297,Alcorn (SWAC),34,10-24,512,15.1
84,American (Patriot),30,10-20,364,12.1
202,App State (SoCon),31,15-16,420,13.5
129,Arizona St. (Pac-12),35,22-13,445,12.7
162,Arizona (Pac-12),35,27-8,458,13.1
256,Ark.-Pine Bluff (SWAC),30,16-14,433,14.4
166,Arkansas St. (Sun Belt),31,19-12,408,13.2
49,Arkansas (SEC),32,19-13,372,11.6
231,Army West Point (Patriot),31,16-15,437,14.1
187,Auburn (SEC),32,9-23,427,13.3
333,Austin Peay (OVC),31,8-23,502,16.2
301,Ball St. (MAC),30,15-15,455,15.2
63,Baylor (Big 12),37,23-14,440,11.9
185,Belmont (OVC),33,26-7,440,13.3
99,Bethune-Cookman (MEAC),34,14-20,420,12.4
315,Binghamton (America East),30,3-27,461,15.4
70,Boise St. (Mountain West),32,21-11,385,12
38,Boston College (ACC),33,16-17,376,11.4
112,Boston U. (America East),30,17-13,375,12.5
137,Bowling Green (MAC),32,13-19,410,12.8
60,Bradley (MVC),35,18-17,415,11.9
236,Brown (Ivy League),28,13-15,396,14.1
144,Bryant (NEC),31,19-12,400,12.9
3,Bucknell (Patriot),34,28-6,321,9.4
317,Buffalo (MAC),34,14-20,525,15.4
169,Butler (Atlantic 10),36,27-9,474,13.2
67,BYU (WCC),36,24-12,432,12
2,Cal Poly (Big West),32,18-14,302,9.4
115,Cal St. Fullerton (Big West),32,14-18,401,12.5
120,California (Pac-12),33,21-12,417,12.6
219,Campbell (Big South),33,13-20,456,13.8
177,Canisius (MAAC),34,20-14,450,13.2
253,Central Ark. (Southland),30,13-17,432,14.4
117,Central Conn. St. (NEC),30,13-17,378,12.6
149,Central Mich. (MAC),31,11-20,402,13
95,Charleston So. (Big South),32,19-13,394,12.3
311,Charlotte (Atlantic 10),33,21-12,505,15.3
230,Chattanooga (SoCon),32,13-19,449,14
275,Chicago St. (GWC),33,11-22,484,14.7
127,Cincinnati (AAC),34,22-12,432,12.7
41,Clemson (ACC),31,13-18,355,11.5
233,Cleveland St. (Horizon),32,14-18,452,14.1
235,Coastal Carolina (Big South),29,14-15,410,14.1
186,Col. of Charleston (SoCon),35,24-11,467,13.3
174,Colgate (Patriot),32,11-21,423,13.2
22,Colorado St. (Mountain West),35,26-9,389,11.1
183,Colorado (Pac-12),33,21-12,439,13.3
17,Columbia (Ivy League),28,12-16,306,10.9
285,Coppin St. (MEAC),32,8-24,472,14.8
181,Cornell (Ivy League),31,13-18,412,13.3
94,Creighton (MVC),36,28-8,443,12.3
234,CSU Bakersfield (Independent),30,14-16,424,14.1
207,CSUN (Big West),31,14-17,423,13.6
197,Dartmouth (Ivy League),28,9-19,378,13.5
16,Davidson (SoCon),34,26-8,371,10.9
263,Dayton (Atlantic 10),31,17-14,450,14.5
209,Delaware St. (MEAC),33,15-18,453,13.7
123,Delaware (CAA),33,19-14,418,12.7
25,Denver (WAC),32,22-10,357,11.2
242,DePaul (AAC),32,11-21,457,14.3
19,Detroit Mercy (Horizon),33,20-13,361,10.9
212,Drake (MVC),32,15-17,440,13.8
55,Drexel (CAA),31,13-18,366,11.8
9,Duke (ACC),36,30-6,383,10.6
268,Duquesne (Atlantic 10),30,8-22,437,14.6
125,East Carolina (C-USA),35,23-12,444,12.7
145,Eastern Ill. (OVC),32,11-21,413,12.9
58,Eastern Ky. (OVC),35,25-10,414,11.8
223,Eastern Mich. (MAC),34,16-18,473,13.9
190,Eastern Wash. (Big Sky),31,10-21,416,13.4
50,Elon (SoCon),33,21-12,385,11.7
174,ETSU (ASUN),32,10-22,423,13.2
33,Evansville (MVC),36,21-15,405,11.3
191,Fairfield (MAAC),35,19-16,471,13.5
324,Fairleigh Dickinson (NEC),31,7-24,486,15.7
282,FGCU (ASUN),37,26-11,545,14.7
300,FIU (Sun Belt),32,18-14,484,15.1
307,Fla. Atlantic (Sun Belt),32,14-18,488,15.3
322,Florida A&M (MEAC),31,8-23,484,15.6
272,Florida St. (ACC),34,18-16,497,14.6
29,Florida (SEC),37,29-8,414,11.2
324,Fordham (Atlantic 10),31,7-24,486,15.7
48,Fresno St. (Mountain West),30,11-19,348,11.6
266,Furman (SoCon),31,7-24,451,14.5
170,Ga. Southern (SoCon),33,14-19,435,13.2
197,Gardner-Webb (Big South),34,21-13,459,13.5
204,George Mason (CAA),38,22-16,516,13.6
329,George Washington (Atlantic 10),30,13-17,479,16
130,Georgetown (AAC),32,25-7,407,12.7
47,Georgia St. (CAA),31,15-16,358,11.5
140,Georgia Tech (ACC),31,16-15,399,12.9
267,Georgia (SEC),32,15-17,466,14.6
31,Gonzaga (WCC),35,32-3,393,11.2
342,Grambling (SWAC),28,0-28,491,17.5
189,Green Bay (Horizon),34,18-16,456,13.4
337,Hampton (MEAC),31,14-17,527,17
239,Hartford (America East),31,17-14,442,14.3
182,Harvard (Ivy League),30,20-10,399,13.3
257,Hawaii (Big West),32,17-15,462,14.4
83,High Point (Big South),31,17-14,376,12.1
