Rank,Team,GM,W-L,TO,TOPG
262,Hofstra (CAA),32,7-25,463,14.5
106,Holy Cross (Patriot),30,12-18,372,12.4
339,Houston Baptist (GWC),31,14-17,534,17.2
163,Houston (C-USA),33,20-13,433,13.1
288,Howard (MEAC),31,7-24,461,14.9
73,Idaho St. (Big Sky),30,6-24,361,12
193,Idaho (WAC),30,12-18,404,13.5
160,Illinois St. (MVC),33,18-15,431,13.1
40,Illinois (Big Ten),36,23-13,411,11.4
147,Indiana St. (MVC),33,18-15,427,12.9
155,Indiana (Big Ten),36,29-7,469,13
104,Iona (MAAC),34,20-14,421,12.4
165,Iowa St. (Big 12),35,23-12,460,13.1
113,Iowa (Big Ten),38,25-13,476,12.5
126,IUPUI (Summit League),32,6-26,406,12.7
133,Jackson St. (SWAC),29,11-18,370,12.8
159,Jacksonville St. (OVC),28,17-11,365,13
307,Jacksonville (ASUN),32,14-18,488,15.3
23,James Madison (CAA),36,21-15,401,11.1
298,Kansas City (Summit League),32,8-24,482,15.1
46,Kansas St. (Big 12),35,27-8,403,11.5
227,Kansas (Big 12),37,31-6,517,14
215,Kennesaw St. (ASUN),30,3-27,414,13.8
134,Kent St. (MAC),35,21-14,447,12.8
156,Kentucky (SEC),33,21-12,430,13
43,La Salle (Atlantic 10),34,24-10,390,11.5
111,Lafayette (Patriot),34,19-15,424,12.5
344,Lamar University (Southland),31,3-28,564,18.2
18,Lehigh (Patriot),31,21-10,339,10.9
180,Liberty (Big South),36,15-21,478,13.3
336,Lipscomb (ASUN),30,12-18,504,16.8
307,Little Rock (Sun Belt),32,17-15,488,15.3
244,LIU (NEC),34,20-14,486,14.3
177,LMU (CA) (WCC),34,11-23,450,13.2
278,Long Beach St. (Big West),33,19-14,485,14.7
335,Longwood (Big South),33,8-25,548,16.6
104,Louisiana Tech (WAC),34,27-7,421,12.4
232,Louisiana (Sun Belt),33,13-20,466,14.1
101,Louisville (AAC),40,35-5,495,12.4
166,Loyola Chicago (Horizon),31,15-16,408,13.2
65,Loyola Maryland (MAAC),35,23-12,417,11.9
250,LSU (SEC),31,19-12,445,14.4
295,Maine (America East),30,11-19,450,15
332,Manhattan (MAAC),32,14-18,518,16.2
243,Marist (MAAC),31,10-21,443,14.3
191,Marquette (AAC),35,26-9,471,13.5
327,Marshall (C-USA),32,13-19,506,15.8
294,Maryland (ACC),38,25-13,569,15
255,Massachusetts (Atlantic 10),33,21-12,476,14.4
78,McNeese (Southland),31,14-17,375,12.1
264,Memphis (C-USA),36,31-5,523,14.5
118,Mercer (ASUN),36,24-12,454,12.6
12,Miami (FL) (ACC),36,29-7,385,10.7
238,Miami (OH) (MAC),31,9-22,441,14.2
205,Michigan St. (Big Ten),36,27-9,489,13.6
1,Michigan (Big Ten),39,31-8,368,9.4
208,Middle Tenn. (Sun Belt),34,28-6,464,13.6
237,Milwaukee (Horizon),32,8-24,453,14.2
211,Minnesota (Big Ten),34,21-13,467,13.7
338,Mississippi St. (SEC),32,10-22,545,17
307,Mississippi Val. (SWAC),28,5-23,427,15.3
5,Missouri St. (MVC),33,11-22,336,10.2
152,Missouri (SEC),34,23-11,442,13
286,Monmouth (NEC),31,10-21,460,14.8
54,Montana St. (Big Sky),30,13-17,353,11.8
88,Montana (Big Sky),32,25-7,391,12.2
341,Morehead St. (OVC),33,15-18,573,17.4
303,Morgan St. (MEAC),32,17-15,487,15.2
107,Mount St. Mary's (NEC),32,18-14,398,12.4
226,Murray St. (OVC),31,21-10,433,14
306,N.C. A&T (MEAC),37,20-17,564,15.2
247,N.C. Central (MEAC),31,22-9,444,14.3
34,Navy (Patriot),31,8-23,351,11.3
100,NC State (ACC),35,24-11,433,12.4
10,Nebraska (Big Ten),33,15-18,352,10.7
135,Nevada (Mountain West),31,12-19,396,12.8
81,New Hampshire (America East),29,9-20,351,12.1
260,New Mexico St. (WAC),35,24-11,506,14.5
45,New Mexico (Mountain West),35,29-6,402,11.5
343,New Orleans (Independent),26,8-18,461,17.7
44,Niagara (MAAC),33,19-14,379,11.5
215,Nicholls (Southland),30,9-21,414,13.8
261,NIU (MAC),30,5-25,434,14.5
273,NJIT (GWC),29,16-13,424,14.6
270,Norfolk St. (MEAC),33,21-12,481,14.6
90,North Carolina (ACC),36,25-11,442,12.3
20,North Dakota St. (Summit League),34,24-10,375,11
131,North Dakota (Big Sky),33,16-17,421,12.8
274,North Florida (ASUN),32,13-19,469,14.7
221,North Texas (Sun Belt),32,12-20,444,13.9
147,Northeastern (CAA),33,20-13,427,12.9
246,Northern Ariz. (Big Sky),32,11-21,458,14.3
164,Northern Colo. (Big Sky),31,13-18,407,13.1
228,Northwestern St. (Southland),32,23-9,448,14
11,Northwestern (Big Ten),32,13-19,342,10.7
31,Notre Dame (AAC),35,25-10,393,11.2
77,Oakland (Summit League),33,16-17,399,12.1
7,Ohio St. (Big Ten),37,29-8,386,10.4
121,Ohio (MAC),34,24-10,430,12.6
109,Oklahoma St. (Big 12),33,24-9,411,12.5
53,Oklahoma (Big 12),32,20-12,376,11.8
210,Old Dominion (CAA),30,5-25,412,13.7
36,Ole Miss (SEC),36,27-9,409,11.4
215,Oral Roberts (Southland),35,20-15,483,13.8
197,Oregon St. (Pac-12),32,14-18,432,13.5
295,Oregon (Pac-12),37,28-9,555,15
24,Pacific (Big West),35,22-13,390,11.1
93,Penn St. (Big Ten),31,10-21,381,12.3
330,Penn (Ivy League),31,9-22,495,16
284,Pepperdine (WCC),30,12-18,442,14.7
21,Pittsburgh (AAC),33,24-9,364,11
66,Portland St. (Big Sky),28,8-20,335,12
291,Portland (WCC),32,11-21,479,15
293,Prairie View (SWAC),34,15-19,509,15
161,Presbyterian (Big South),32,8-24,418,13.1
91,Princeton (Ivy League),28,17-11,344,12.3
127,Providence (AAC),34,19-15,432,12.7
206,Purdue Fort Wayne (Summit League),33,16-17,449,13.6
116,Purdue (Big Ten),34,16-18,427,12.6
225,Quinnipiac (NEC),31,15-16,432,13.9
197,Radford (Big South),32,13-19,432,13.5
76,Rhode Island (Atlantic 10),29,8-21,350,12.1
26,Rice (C-USA),31,5-26,346,11.2
86,Richmond (Atlantic 10),34,19-15,414,12.2
317,Rider (MAAC),34,19-15,525,15.4
136,Robert Morris (NEC),35,24-11,448,12.8
218,Rutgers (AAC),31,15-16,428,13.8
30,Sacramento St. (Big Sky),29,14-15,325,11.2
302,Sacred Heart (NEC),29,9-20,441,15.2
259,Saint Francis (PA) (NEC),29,5-24,419,14.4
64,Saint Joseph's (Atlantic 10),32,18-14,381,11.9
42,Saint Louis (Atlantic 10),35,28-7,401,11.5
62,Saint Mary's (CA) (WCC),35,28-7,416,11.9
143,Saint Peter's (MAAC),30,9-21,387,12.9
172,Sam Houston (Southland),34,17-17,449,13.2
171,Samford (SoCon),32,11-21,422,13.2
74,San Diego St. (Mountain West),34,23-11,410,12.1
195,San Diego (WCC),34,16-18,458,13.5
78,San Francisco (WCC),31,15-16,375,12.1
220,San Jose St. (WAC),29,9-20,402,13.9
96,Santa Clara (WCC),38,26-12,468,12.3
340,Savannah St. (MEAC),34,19-15,586,17.2
345,Seattle U (WAC),30,8-22,546,18.2
321,Seton Hall (AAC),33,15-18,514,15.6
122,SFA (Southland),32,27-5,405,12.7
312,Siena (MAAC),32,8-24,490,15.3
252,SIUE (OVC),27,9-18,388,14.4
257,SMU (C-USA),32,15-17,462,14.4
328,South Alabama (Sun Belt),30,17-13,475,15.8
290,South Carolina St. (MEAC),30,6-24,449,15
314,South Carolina (SEC),32,14-18,491,15.3
6,South Dakota St. (Summit League),35,25-10,365,10.4
80,South Dakota (Summit League),30,10-20,363,12.1
15,South Fla. (AAC),31,12-19,338,10.9
138,Southeast Mo. St. (OVC),33,17-16,423,12.8
139,Southeastern La. (Southland),31,13-18,398,12.8
184,Southern California (Pac-12),32,14-18,426,13.3
85,Southern Ill. (MVC),31,14-17,377,12.2
282,Southern Miss. (C-USA),37,27-10,545,14.7
14,Southern U. (SWAC),33,23-10,359,10.9
304,Southern Utah (Big Sky),31,11-20,472,15.2
203,St. Bonaventure (Atlantic 10),29,14-15,393,13.6
97,St. Francis Brooklyn (NEC),30,12-18,370,12.3
38,St. John's (NY) (AAC),33,17-16,376,11.4
57,Stanford (Pac-12),34,19-15,402,11.8
326,Stetson (ASUN),31,15-16,490,15.8
56,Stony Brook (America East),33,25-8,390,11.8
101,Syracuse (AAC),40,30-10,495,12.4
197,TCU (Big 12),32,11-21,432,13.5
13,Temple (Atlantic 10),34,24-10,366,10.8
316,Tennessee St. (OVC),33,18-15,508,15.4
331,Tennessee Tech (OVC),29,12-17,468,16.1
141,Tennessee (SEC),33,20-13,425,12.9
179,Texas A&M (SEC),33,18-15,438,13.3
59,Texas Southern (SWAC),31,17-14,367,11.8
214,Texas St. (WAC),34,12-22,469,13.8
280,Texas Tech (Big 12),31,11-20,456,14.7
279,Texas (Big 12),34,16-18,500,14.7
320,The Citadel (SoCon),30,8-22,465,15.5
67,Toledo (MAC),28,15-13,336,12
286,Towson (CAA),31,18-13,460,14.8
8,Troy (Sun Belt),33,12-21,345,10.5
91,Tulane (C-USA),35,20-15,430,12.3
275,Tulsa (C-USA),33,17-16,484,14.7
319,UAB (C-USA),33,16-17,510,15.5
228,UC Davis (Big West),31,14-17,434,14
110,UC Irvine (Big West),37,21-16,461,12.5
271,UC Riverside (Big West),31,6-25,453,14.6
254,UC Santa Barbara (Big West),31,11-20,447,14.4
213,UCF (C-USA),31,20-11,427,13.8
27,UCLA (Pac-12),35,25-10,391,11.2
89,UConn (AAC),30,20-10,367,12.2
108,UIC (Horizon),34,18-16,423,12.4
334,ULM (Sun Belt),27,4-23,439,16.3
277,UMBC (America East),31,8-23,455,14.7
313,UMES (MEAC),28,2-26,429,15.3
265,UNC Asheville (Big South),32,16-16,465,14.5
124,UNC Greensboro (SoCon),31,9-22,393,12.7
241,UNCW (CAA),30,10-20,428,14.3
67,UNI (MVC),36,21-15,432,12
224,UNLV (Mountain West),35,25-10,487,13.9
196,USC Upstate (ASUN),33,16-17,445,13.5
281,UT Arlington (WAC),33,19-14,486,14.7
299,UT Martin (OVC),30,9-21,452,15.1
166,Utah St. (WAC),31,21-10,408,13.2
87,Utah Valley (GWC),32,14-18,390,12.2
141,Utah (Pac-12),33,15-18,425,12.9
101,UTEP (C-USA),32,18-14,396,12.4
249,UTRGV (GWC),32,16-16,459,14.3
194,UTSA (WAC),32,10-22,431,13.5
244,Valparaiso (Horizon),34,26-8,486,14.3
75,Vanderbilt (SEC),33,16-17,398,12.1
50,VCU (Atlantic 10),36,27-9,420,11.7
131,Vermont (America East),33,21-12,421,12.8
323,Villanova (AAC),34,20-14,533,15.7
70,Virginia Tech (ACC),32,13-19,385,12
27,Virginia (ACC),35,23-12,391,11.2
176,VMI (Big South),31,14-17,410,13.2
304,Wagner (NEC),31,19-12,472,15.2
250,Wake Forest (ACC),31,13-18,445,14.4
70,Washington St. (Pac-12),32,13-19,385,12
172,Washington (Pac-12),34,18-16,449,13.2
98,Weber St. (Big Sky),37,30-7,457,12.4
157,West Virginia (Big 12),32,13-19,417,13
152,Western Caro. (SoCon),33,14-19,429,13
35,Western Ill. (Summit League),31,22-9,352,11.4
289,Western Ky. (Sun Belt),36,20-16,537,14.9
269,Western Mich. (MAC),35,22-13,510,14.6
119,Wichita St. (MVC),39,30-9,492,12.6
158,William & Mary (CAA),30,13-17,391,13
152,Winthrop (Big South),31,14-17,403,13
4,Wisconsin (Big Ten),35,23-12,342,9.8
145,Wofford (SoCon),32,13-19,413,12.9
151,Wright St. (Horizon),36,23-13,467,13
37,Wyoming (Mountain West),34,20-14,387,11.4
149,Xavier (Atlantic 10),31,17-14,402,13
239,Yale (Ivy League),31,14-17,442,14.3
52,Youngstown St. (Horizon),34,18-16,398,11.7
