Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
311,A&M-Corpus Christi (Southland),29,6-23,"1,746",60.2,"1,962",67.7,-7.4
134,Air Force (Mountain West),32,18-14,"2,241",70,"2,170",67.8,2.2
34,Akron (MAC),33,26-7,"2,369",71.8,"2,071",62.8,9
302,Alabama A&M (SWAC),31,11-20,"1,957",63.1,"2,160",69.7,-6.5
316,Alabama St. (SWAC),32,10-22,"1,979",61.8,"2,231",69.7,-7.9
90,Alabama (SEC),36,23-13,"2,268",63,"2,102",58.4,4.6
109,Albany (NY) (America East),35,24-11,"2,251",64.3,"2,123",60.7,3.7
294,Alcorn (SWAC),34,10-24,"2,055",60.4,"2,248",66.1,-5.7
296,American (Patriot),30,10-20,"1,735",57.8,"1,916",63.9,-6
195,App State (SoCon),31,15-16,"2,211",71.3,"2,221",71.6,-0.3
97,Arizona St. (Pac-12),35,22-13,"2,512",71.8,"2,363",67.5,4.3
26,Arizona (Pac-12),35,27-8,"2,570",73.4,"2,226",63.6,9.8
266,Ark.-Pine Bluff (SWAC),30,16-14,"1,880",62.7,"1,998",66.6,-3.9
73,Arkansas St. (Sun Belt),31,19-12,"2,127",68.6,"1,944",62.7,5.9
87,Arkansas (SEC),32,19-13,"2,358",73.7,"2,203",68.8,4.8
96,Army West Point (Patriot),31,16-15,"2,245",72.4,"2,112",68.1,4.3
267,Auburn (SEC),32,9-23,"2,074",64.8,"2,201",68.8,-4
282,Austin Peay (OVC),31,8-23,"2,218",71.5,"2,371",76.5,-4.9
244,Ball St. (MAC),30,15-15,"1,957",65.2,"2,041",68,-2.8
28,Baylor (Big 12),37,23-14,"2,811",76,"2,456",66.4,9.6
11,Belmont (OVC),33,26-7,"2,533",76.8,"2,129",64.5,12.2
213,Bethune-Cookman (MEAC),34,14-20,"2,283",67.1,"2,318",68.2,-1
342,Binghamton (America East),30,3-27,"1,676",55.9,"2,081",69.4,-13.5
53,Boise St. (Mountain West),32,21-11,"2,343",73.2,"2,095",65.5,7.8
208,Boston College (ACC),33,16-17,"2,215",67.1,"2,246",68.1,-0.9
116,Boston U. (America East),30,17-13,"2,035",67.8,"1,935",64.5,3.3
202,Bowling Green (MAC),32,13-19,"2,010",62.8,"2,033",63.5,-0.7
201,Bradley (MVC),35,18-17,"2,371",67.7,"2,396",68.5,-0.7
230,Brown (Ivy League),28,13-15,"1,748",62.4,"1,800",64.3,-1.9
128,Bryant (NEC),31,19-12,"2,294",74,"2,212",71.4,2.6
32,Bucknell (Patriot),34,28-6,"2,277",67,"1,966",57.8,9.1
197,Buffalo (MAC),34,14-20,"2,275",66.9,"2,287",67.3,-0.4
79,Butler (Atlantic 10),36,27-9,"2,495",69.3,"2,299",63.9,5.4
55,BYU (WCC),36,24-12,"2,777",77.1,"2,502",69.5,7.6
149,Cal Poly (Big West),32,18-14,"2,074",64.8,"2,020",63.1,1.7
135,Cal St. Fullerton (Big West),32,14-18,"2,451",76.6,"2,381",74.4,2.2
124,California (Pac-12),33,21-12,"2,218",67.2,"2,123",64.3,2.9
255,Campbell (Big South),33,13-20,"2,284",69.2,"2,395",72.6,-3.4
115,Canisius (MAAC),34,20-14,"2,499",73.5,"2,385",70.1,3.4
236,Central Ark. (Southland),30,13-17,"2,294",76.5,"2,359",78.6,-2.2
270,Central Conn. St. (NEC),30,13-17,"2,186",72.9,"2,312",77.1,-4.2
271,Central Mich. (MAC),31,11-20,"2,092",67.5,"2,226",71.8,-4.3
61,Charleston So. (Big South),32,19-13,"2,361",73.8,"2,144",67,6.8
188,Charlotte (Atlantic 10),33,21-12,"2,229",67.5,"2,231",67.6,-0.1
251,Chattanooga (SoCon),32,13-19,"2,218",69.3,"2,318",72.4,-3.1
262,Chicago St. (GWC),33,11-22,"2,151",65.2,"2,276",69,-3.8
56,Cincinnati (AAC),34,22-12,"2,262",66.5,"2,006",59,7.5
156,Clemson (ACC),31,13-18,"1,907",61.5,"1,864",60.1,1.4
288,Cleveland St. (Horizon),32,14-18,"2,051",64.1,"2,226",69.6,-5.5
111,Coastal Carolina (Big South),29,14-15,"1,943",67,"1,840",63.4,3.6
113,Col. of Charleston (SoCon),35,24-11,"2,297",65.6,"2,176",62.2,3.5
300,Colgate (Patriot),32,11-21,"2,033",63.5,"2,230",69.7,-6.2
31,Colorado St. (Mountain West),35,26-9,"2,553",72.9,"2,229",63.7,9.3
102,Colorado (Pac-12),33,21-12,"2,230",67.6,"2,098",63.6,4
143,Columbia (Ivy League),28,12-16,"1,746",62.4,"1,694",60.5,1.9
314,Coppin St. (MEAC),32,8-24,"2,035",63.6,"2,277",71.2,-7.6
269,Cornell (Ivy League),31,13-18,"2,040",65.8,"2,168",69.9,-4.1
16,Creighton (MVC),36,28-8,"2,680",74.4,"2,274",63.2,11.3
210,CSU Bakersfield (Independent),30,14-16,"2,041",68,"2,070",69,-1
166,CSUN (Big West),31,14-17,"2,333",75.3,"2,309",74.5,0.8
273,Dartmouth (Ivy League),28,9-19,"1,719",61.4,"1,844",65.9,-4.5
17,Davidson (SoCon),34,26-8,"2,490",73.2,"2,110",62.1,11.2
84,Dayton (Atlantic 10),31,17-14,"2,225",71.8,"2,067",66.7,5.1
248,Delaware St. (MEAC),33,15-18,"1,997",60.5,"2,094",63.5,-2.9
187,Delaware (CAA),33,19-14,"2,276",69,"2,275",68.9,0
36,Denver (WAC),32,22-10,"2,076",64.9,"1,790",55.9,8.9
265,DePaul (AAC),32,11-21,"2,284",71.4,"2,409",75.3,-3.9
60,Detroit Mercy (Horizon),33,20-13,"2,568",77.8,"2,340",70.9,6.9
202,Drake (MVC),32,15-17,"2,296",71.8,"2,319",72.5,-0.7
190,Drexel (CAA),31,13-18,"1,953",63,"1,956",63.1,-0.1
