Rank,Team,GM,W-L,PTS,PPG
318,A&M-Corpus Christi (Southland),29,6-23,"1,746",60.2
106,Air Force (Mountain West),32,18-14,"2,241",70
63,Akron (MAC),33,26-7,"2,369",71.8
273,Alabama A&M (SWAC),31,11-20,"1,957",63.1
296,Alabama St. (SWAC),32,10-22,"1,979",61.8
276,Alabama (SEC),36,23-13,"2,268",63
253,Albany (NY) (America East),35,24-11,"2,251",64.3
313,Alcorn (SWAC),34,10-24,"2,055",60.4
335,American (Patriot),30,10-20,"1,735",57.8
78,App State (SoCon),31,15-16,"2,211",71.3
66,Arizona St. (Pac-12),35,22-13,"2,512",71.8
42,Arizona (Pac-12),35,27-8,"2,570",73.4
283,Ark.-Pine Bluff (SWAC),30,16-14,"1,880",62.7
144,Arkansas St. (Sun Belt),31,19-12,"2,127",68.6
40,Arkansas (SEC),32,19-13,"2,358",73.7
58,Army West Point (Patriot),31,16-15,"2,245",72.4
237,Auburn (SEC),32,9-23,"2,074",64.8
72,Austin Peay (OVC),31,8-23,"2,218",71.5
227,Ball St. (MAC),30,15-15,"1,957",65.2
21,Baylor (Big 12),37,23-14,"2,811",76
15,Belmont (OVC),33,26-7,"2,533",76.8
178,Bethune-Cookman (MEAC),34,14-20,"2,283",67.1
339,Binghamton (America East),30,3-27,"1,676",55.9
45,Boise St. (Mountain West),32,21-11,"2,343",73.2
179,Boston College (ACC),33,16-17,"2,215",67.1
160,Boston U. (America East),30,17-13,"2,035",67.8
280,Bowling Green (MAC),32,13-19,"2,010",62.8
161,Bradley (MVC),35,18-17,"2,371",67.7
286,Brown (Ivy League),28,13-15,"1,748",62.4
35,Bryant (NEC),31,19-12,"2,294",74
187,Bucknell (Patriot),34,28-6,"2,277",67
191,Buffalo (MAC),34,14-20,"2,275",66.9
119,Butler (Atlantic 10),36,27-9,"2,495",69.3
12,BYU (WCC),36,24-12,"2,777",77.1
237,Cal Poly (Big West),32,18-14,"2,074",64.8
17,Cal St. Fullerton (Big West),32,14-18,"2,451",76.6
176,California (Pac-12),33,21-12,"2,218",67.2
123,Campbell (Big South),33,13-20,"2,284",69.2
41,Canisius (MAAC),34,20-14,"2,499",73.5
19,Central Ark. (Southland),30,13-17,"2,294",76.5
50,Central Conn. St. (NEC),30,13-17,"2,186",72.9
168,Central Mich. (MAC),31,11-20,"2,092",67.5
39,Charleston So. (Big South),32,19-13,"2,361",73.8
166,Charlotte (Atlantic 10),33,21-12,"2,229",67.5
118,Chattanooga (SoCon),32,13-19,"2,218",69.3
229,Chicago St. (GWC),33,11-22,"2,151",65.2
197,Cincinnati (AAC),34,22-12,"2,262",66.5
299,Clemson (ACC),31,13-18,"1,907",61.5
259,Cleveland St. (Horizon),32,14-18,"2,051",64.1
184,Coastal Carolina (Big South),29,14-15,"1,943",67
218,Col. of Charleston (SoCon),35,24-11,"2,297",65.6
269,Colgate (Patriot),32,11-21,"2,033",63.5
49,Colorado St. (Mountain West),35,26-9,"2,553",72.9
164,Colorado (Pac-12),33,21-12,"2,230",67.6
287,Columbia (Ivy League),28,12-16,"1,746",62.4
266,Coppin St. (MEAC),32,8-24,"2,035",63.6
214,Cornell (Ivy League),31,13-18,"2,040",65.8
30,Creighton (MVC),36,28-8,"2,680",74.4
154,CSU Bakersfield (Independent),30,14-16,"2,041",68
23,CSUN (Big West),31,14-17,"2,333",75.3
300,Dartmouth (Ivy League),28,9-19,"1,719",61.4
44,Davidson (SoCon),34,26-8,"2,490",73.2
64,Dayton (Atlantic 10),31,17-14,"2,225",71.8
311,Delaware St. (MEAC),33,15-18,"1,997",60.5
132,Delaware (CAA),33,19-14,"2,276",69
235,Denver (WAC),32,22-10,"2,076",64.9
76,DePaul (AAC),32,11-21,"2,284",71.4
8,Detroit Mercy (Horizon),33,20-13,"2,568",77.8
