Rank,Team,GM,W-L,AST,APG
296,A&M-Corpus Christi (Southland),29,6-23,316,10.9
17,Air Force (Mountain West),32,18-14,508,15.9
48,Akron (MAC),33,26-7,485,14.7
241,Alabama A&M (SWAC),31,11-20,367,11.8
257,Alabama St. (SWAC),32,10-22,371,11.6
307,Alabama (SEC),36,23-13,380,10.6
285,Albany (NY) (America East),35,24-11,394,11.3
342,Alcorn (SWAC),34,10-24,308,9.1
256,American (Patriot),30,10-20,348,11.6
267,App State (SoCon),31,15-16,356,11.5
80,Arizona St. (Pac-12),35,22-13,497,14.2
115,Arizona (Pac-12),35,27-8,476,13.6
165,Ark.-Pine Bluff (SWAC),30,16-14,382,12.7
309,Arkansas St. (Sun Belt),31,19-12,324,10.5
39,Arkansas (SEC),32,19-13,475,14.8
78,Army West Point (Patriot),31,16-15,442,14.3
191,Auburn (SEC),32,9-23,396,12.4
49,Austin Peay (OVC),31,8-23,455,14.7
237,Ball St. (MAC),30,15-15,357,11.9
18,Baylor (Big 12),37,23-14,587,15.9
21,Belmont (OVC),33,26-7,516,15.6
151,Bethune-Cookman (MEAC),34,14-20,439,12.9
345,Binghamton (America East),30,3-27,247,8.2
133,Boise St. (Mountain West),32,21-11,423,13.2
209,Boston College (ACC),33,16-17,404,12.2
115,Boston U. (America East),30,17-13,408,13.6
229,Bowling Green (MAC),32,13-19,385,12
181,Bradley (MVC),35,18-17,439,12.5
188,Brown (Ivy League),28,13-15,349,12.5
28,Bryant (NEC),31,19-12,470,15.2
124,Bucknell (Patriot),34,28-6,455,13.4
34,Buffalo (MAC),34,14-20,510,15
150,Butler (Atlantic 10),36,27-9,465,12.9
13,BYU (WCC),36,24-12,575,16
108,Cal Poly (Big West),32,18-14,441,13.8
45,Cal St. Fullerton (Big West),32,14-18,472,14.8
81,California (Pac-12),33,21-12,468,14.2
95,Campbell (Big South),33,13-20,461,14
169,Canisius (MAAC),34,20-14,432,12.7
85,Central Ark. (Southland),30,13-17,423,14.1
173,Central Conn. St. (NEC),30,13-17,378,12.6
145,Central Mich. (MAC),31,11-20,404,13
194,Charleston So. (Big South),32,19-13,395,12.3
248,Charlotte (Atlantic 10),33,21-12,387,11.7
240,Chattanooga (SoCon),32,13-19,379,11.8
195,Chicago St. (GWC),33,11-22,407,12.3
212,Cincinnati (AAC),34,22-12,415,12.2
300,Clemson (ACC),31,13-18,334,10.8
217,Cleveland St. (Horizon),32,14-18,389,12.2
306,Coastal Carolina (Big South),29,14-15,308,10.6
287,Col. of Charleston (SoCon),35,24-11,392,11.2
156,Colgate (Patriot),32,11-21,412,12.9
166,Colorado St. (Mountain West),35,26-9,445,12.7
328,Colorado (Pac-12),33,21-12,328,9.9
228,Columbia (Ivy League),28,12-16,337,12
314,Coppin St. (MEAC),32,8-24,328,10.3
246,Cornell (Ivy League),31,13-18,364,11.7
4,Creighton (MVC),36,28-8,609,16.9
170,CSU Bakersfield (Independent),30,14-16,380,12.7
26,CSUN (Big West),31,14-17,474,15.3
305,Dartmouth (Ivy League),28,9-19,298,10.6
98,Davidson (SoCon),34,26-8,473,13.9
97,Dayton (Atlantic 10),31,17-14,433,14
329,Delaware St. (MEAC),33,15-18,326,9.9
336,Delaware (CAA),33,19-14,319,9.7
9,Denver (WAC),32,22-10,516,16.1
111,DePaul (AAC),32,11-21,440,13.8
59,Detroit Mercy (Horizon),33,20-13,481,14.6
121,Drake (MVC),32,15-17,433,13.5
250,Drexel (CAA),31,13-18,363,11.7
71,Duke (ACC),36,30-6,515,14.3
164,Duquesne (Atlantic 10),30,8-22,383,12.8
2,East Carolina (C-USA),35,23-12,603,17.2
138,Eastern Ill. (OVC),32,11-21,420,13.1
36,Eastern Ky. (OVC),35,25-10,522,14.9
303,Eastern Mich. (MAC),34,16-18,364,10.7
129,Eastern Wash. (Big Sky),31,10-21,414,13.4
120,Elon (SoCon),33,21-12,447,13.5
323,ETSU (ASUN),32,10-22,323,10.1
15,Evansville (MVC),36,21-15,574,15.9
166,Fairfield (MAAC),35,19-16,445,12.7
145,Fairleigh Dickinson (NEC),31,7-24,404,13
84,FGCU (ASUN),37,26-11,523,14.1
259,FIU (Sun Belt),32,18-14,369,11.5
323,Fla. Atlantic (Sun Belt),32,14-18,323,10.1
291,Florida A&M (MEAC),31,8-23,340,11
277,Florida St. (ACC),34,18-16,385,11.3
57,Florida (SEC),37,29-8,540,14.6
215,Fordham (Atlantic 10),31,7-24,377,12.2
341,Fresno St. (Mountain West),30,11-19,275,9.2
291,Furman (SoCon),31,7-24,340,11
337,Ga. Southern (SoCon),33,14-19,318,9.6
155,Gardner-Webb (Big South),34,21-13,438,12.9
190,George Mason (CAA),38,22-16,473,12.4
123,George Washington (Atlantic 10),30,13-17,403,13.4
42,Georgetown (AAC),32,25-7,474,14.8
251,Georgia St. (CAA),31,15-16,362,11.7
168,Georgia Tech (ACC),31,16-15,394,12.7
257,Georgia (SEC),32,15-17,371,11.6
31,Gonzaga (WCC),35,32-3,530,15.1
311,Grambling (SWAC),28,0-28,290,10.4
124,Green Bay (Horizon),34,18-16,455,13.4
272,Hampton (MEAC),31,14-17,352,11.4
198,Hartford (America East),31,17-14,382,12.3
141,Harvard (Ivy League),30,20-10,393,13.1
104,Hawaii (Big West),32,17-15,444,13.9
49,High Point (Big South),31,17-14,455,14.7
334,Hofstra (CAA),32,7-25,312,9.8
213,Holy Cross (Patriot),30,12-18,366,12.2
284,Houston Baptist (GWC),31,14-17,349,11.3
29,Houston (C-USA),33,20-13,500,15.2
343,Howard (MEAC),31,7-24,275,8.9
316,Idaho St. (Big Sky),30,6-24,307,10.2
137,Idaho (WAC),30,12-18,394,13.1
38,Illinois St. (MVC),33,18-15,490,14.8
320,Illinois (Big Ten),36,23-13,365,10.1
242,Indiana St. (MVC),33,18-15,390,11.8
71,Indiana (Big Ten),36,29-7,515,14.3
25,Iona (MAAC),34,20-14,523,15.4
12,Iowa St. (Big 12),35,23-12,560,16
32,Iowa (Big Ten),38,25-13,573,15.1
138,IUPUI (Summit League),32,6-26,420,13.1
339,Jackson St. (SWAC),29,11-18,275,9.5
147,Jacksonville St. (OVC),28,17-11,363,13
149,Jacksonville (ASUN),32,14-18,414,12.9
245,James Madison (CAA),36,21-15,423,11.8
331,Kansas City (Summit League),32,8-24,315,9.8
16,Kansas St. (Big 12),35,27-8,557,15.9
23,Kansas (Big 12),37,31-6,575,15.5
310,Kennesaw St. (ASUN),30,3-27,312,10.4
265,Kent St. (MAC),35,21-14,402,11.5
128,Kentucky (SEC),33,21-12,441,13.4
82,La Salle (Atlantic 10),34,24-10,481,14.1
73,Lafayette (Patriot),34,19-15,486,14.3
270,Lamar University (Southland),31,3-28,353,11.4
53,Lehigh (Patriot),31,21-10,453,14.6
202,Liberty (Big South),36,15-21,443,12.3
263,Lipscomb (ASUN),30,12-18,345,11.5
255,Little Rock (Sun Belt),32,17-15,372,11.6
30,LIU (NEC),34,20-14,515,15.1
299,LMU (CA) (WCC),34,11-23,367,10.8
225,Long Beach St. (Big West),33,19-14,398,12.1
100,Longwood (Big South),33,8-25,459,13.9
130,Louisiana Tech (WAC),34,27-7,454,13.4
288,Louisiana (Sun Belt),33,13-20,367,11.1
55,Louisville (AAC),40,35-5,584,14.6
105,Loyola Chicago (Horizon),31,15-16,430,13.9
227,Loyola Maryland (MAAC),35,23-12,422,12.1
78,LSU (SEC),31,19-12,442,14.3
162,Maine (America East),30,11-19,384,12.8
304,Manhattan (MAAC),32,14-18,341,10.7
163,Marist (MAAC),31,10-21,396,12.8
107,Marquette (AAC),35,26-9,483,13.8
92,Marshall (C-USA),32,13-19,448,14
61,Maryland (ACC),38,25-13,551,14.5
54,Massachusetts (Atlantic 10),33,21-12,482,14.6
206,McNeese (Southland),31,14-17,380,12.3
5,Memphis (C-USA),36,31-5,605,16.8
68,Mercer (ASUN),36,24-12,516,14.3
274,Miami (FL) (ACC),36,29-7,408,11.3
211,Miami (OH) (MAC),31,9-22,379,12.2
134,Michigan St. (Big Ten),36,27-9,474,13.2
62,Michigan (Big Ten),39,31-8,565,14.5
82,Middle Tenn. (Sun Belt),34,28-6,481,14.1
