Rank,Team,GM,W-L,AST,APG
294,Milwaukee (Horizon),32,8-24,350,10.9
43,Minnesota (Big Ten),34,21-13,503,14.8
327,Mississippi St. (SEC),32,10-22,321,10
335,Mississippi Val. (SWAC),28,5-23,271,9.7
321,Missouri St. (MVC),33,11-22,334,10.1
98,Missouri (SEC),34,23-11,473,13.9
215,Monmouth (NEC),31,10-21,377,12.2
282,Montana St. (Big Sky),30,13-17,339,11.3
171,Montana (Big Sky),32,25-7,405,12.7
41,Morehead St. (OVC),33,15-18,489,14.8
160,Morgan St. (MEAC),32,17-15,410,12.8
217,Mount St. Mary's (NEC),32,18-14,389,12.2
161,Murray St. (OVC),31,21-10,397,12.8
293,N.C. A&T (MEAC),37,20-17,405,10.9
88,N.C. Central (MEAC),31,22-9,436,14.1
246,Navy (Patriot),31,8-23,364,11.7
55,NC State (ACC),35,24-11,511,14.6
330,Nebraska (Big Ten),33,15-18,325,9.8
278,Nevada (Mountain West),31,12-19,351,11.3
308,New Hampshire (America East),29,9-20,304,10.5
268,New Mexico St. (WAC),35,24-11,401,11.5
66,New Mexico (Mountain West),35,29-6,505,14.4
106,New Orleans (Independent),26,8-18,359,13.8
158,Niagara (MAAC),33,19-14,424,12.8
177,Nicholls (Southland),30,9-21,377,12.6
344,NIU (MAC),30,5-25,254,8.5
154,NJIT (GWC),29,16-13,374,12.9
238,Norfolk St. (MEAC),33,21-12,392,11.9
3,North Carolina (ACC),36,25-11,616,17.1
183,North Dakota St. (Summit League),34,24-10,426,12.5
253,North Dakota (Big Sky),33,16-17,385,11.7
108,North Florida (ASUN),32,13-19,441,13.8
318,North Texas (Sun Belt),32,12-20,325,10.2
113,Northeastern (CAA),33,20-13,453,13.7
119,Northern Ariz. (Big Sky),32,11-21,434,13.6
143,Northern Colo. (Big Sky),31,13-18,405,13.1
27,Northwestern St. (Southland),32,23-9,489,15.3
58,Northwestern (Big Ten),32,13-19,467,14.6
6,Notre Dame (AAC),35,25-10,587,16.8
140,Oakland (Summit League),33,16-17,433,13.1
131,Ohio St. (Big Ten),37,29-8,493,13.3
1,Ohio (MAC),34,24-10,594,17.5
225,Oklahoma St. (Big 12),33,24-9,398,12.1
201,Oklahoma (Big 12),32,20-12,394,12.3
182,Old Dominion (CAA),30,5-25,376,12.5
185,Ole Miss (SEC),36,27-9,450,12.5
172,Oral Roberts (Southland),35,20-15,442,12.6
74,Oregon St. (Pac-12),32,14-18,457,14.3
142,Oregon (Pac-12),37,28-9,484,13.1
60,Pacific (Big West),35,22-13,510,14.6
332,Penn St. (Big Ten),31,10-21,305,9.8
122,Penn (Ivy League),31,9-22,418,13.5
230,Pepperdine (WCC),30,12-18,360,12
7,Pittsburgh (AAC),33,24-9,537,16.3
136,Portland St. (Big Sky),28,8-20,368,13.1
224,Portland (WCC),32,11-21,386,12.1
298,Prairie View (SWAC),34,15-19,370,10.9
234,Presbyterian (Big South),32,8-24,382,11.9
64,Princeton (Ivy League),28,17-11,405,14.5
77,Providence (AAC),34,19-15,485,14.3
184,Purdue Fort Wayne (Summit League),33,16-17,413,12.5
110,Purdue (Big Ten),34,16-18,468,13.8
180,Quinnipiac (NEC),31,15-16,389,12.5
234,Radford (Big South),32,13-19,382,11.9
296,Rhode Island (Atlantic 10),29,8-21,316,10.9
278,Rice (C-USA),31,5-26,351,11.3
159,Richmond (Atlantic 10),34,19-15,436,12.8
322,Rider (MAAC),34,19-15,344,10.1
90,Robert Morris (NEC),35,24-11,491,14
176,Rutgers (AAC),31,15-16,390,12.6
193,Sacramento St. (Big Sky),29,14-15,358,12.3
126,Sacred Heart (NEC),29,9-20,388,13.4
179,Saint Francis (PA) (NEC),29,5-24,364,12.6
89,Saint Joseph's (Atlantic 10),32,18-14,450,14.1
148,Saint Louis (Atlantic 10),35,28-7,453,12.9
67,Saint Mary's (CA) (WCC),35,28-7,502,14.3
274,Saint Peter's (MAAC),30,9-21,340,11.3
102,Sam Houston (Southland),34,17-17,472,13.9
178,Samford (SoCon),32,11-21,402,12.6
185,San Diego St. (Mountain West),34,23-11,425,12.5
261,San Diego (WCC),34,16-18,392,11.5
198,San Francisco (WCC),31,15-16,382,12.3
295,San Jose St. (WAC),29,9-20,317,10.9
47,Santa Clara (WCC),38,26-12,560,14.7
315,Savannah St. (MEAC),34,19-15,348,10.2
92,Seattle U (WAC),30,8-22,420,14
95,Seton Hall (AAC),33,15-18,461,14
24,SFA (Southland),32,27-5,495,15.5
313,Siena (MAAC),32,8-24,331,10.3
175,SIUE (OVC),27,9-18,340,12.6
231,SMU (C-USA),32,15-17,383,12
301,South Alabama (Sun Belt),30,17-13,322,10.7
222,South Carolina St. (MEAC),30,6-24,363,12.1
207,South Carolina (SEC),32,14-18,392,12.3
65,South Dakota St. (Summit League),35,25-10,506,14.5
185,South Dakota (Summit League),30,10-20,375,12.5
278,South Fla. (AAC),31,12-19,351,11.3
19,Southeast Mo. St. (OVC),33,17-16,522,15.8
333,Southeastern La. (Southland),31,13-18,303,9.8
174,Southern California (Pac-12),32,14-18,403,12.6
312,Southern Ill. (MVC),31,14-17,321,10.4
37,Southern Miss. (C-USA),37,27-10,551,14.9
269,Southern U. (SWAC),33,23-10,376,11.4
214,Southern Utah (Big Sky),31,11-20,378,12.2
70,St. Bonaventure (Atlantic 10),29,14-15,415,14.3
153,St. Francis Brooklyn (NEC),30,12-18,387,12.9
205,St. John's (NY) (AAC),33,17-16,405,12.3
219,Stanford (Pac-12),34,19-15,413,12.1
8,Stetson (ASUN),31,15-16,502,16.2
195,Stony Brook (America East),33,25-8,407,12.3
87,Syracuse (AAC),40,30-10,563,14.1
325,TCU (Big 12),32,11-21,322,10.1
52,Temple (Atlantic 10),34,24-10,497,14.6
135,Tennessee St. (OVC),33,18-15,434,13.2
249,Tennessee Tech (OVC),29,12-17,340,11.7
302,Tennessee (SEC),33,20-13,354,10.7
262,Texas A&M (SEC),33,18-15,380,11.5
86,Texas Southern (SWAC),31,17-14,437,14.1
219,Texas St. (WAC),34,12-22,413,12.1
290,Texas Tech (Big 12),31,11-20,344,11.1
263,Texas (Big 12),34,16-18,391,11.5
33,The Citadel (SoCon),30,8-22,452,15.1
144,Toledo (MAC),28,15-13,365,13
317,Towson (CAA),31,18-13,315,10.2
274,Troy (Sun Belt),33,12-21,374,11.3
265,Tulane (C-USA),35,20-15,402,11.5
243,Tulsa (C-USA),33,17-16,389,11.8
11,UAB (C-USA),33,16-17,529,16
44,UC Davis (Big West),31,14-17,458,14.8
20,UC Irvine (Big West),37,21-16,580,15.7
198,UC Riverside (Big West),31,6-25,382,12.3
46,UC Santa Barbara (Big West),31,11-20,457,14.7
101,UCF (C-USA),31,20-11,431,13.9
14,UCLA (Pac-12),35,25-10,559,16
114,UConn (AAC),30,20-10,410,13.7
210,UIC (Horizon),34,18-16,416,12.2
117,ULM (Sun Belt),27,4-23,367,13.6
239,UMBC (America East),31,8-23,368,11.9
340,UMES (MEAC),28,2-26,261,9.3
74,UNC Asheville (Big South),32,16-16,457,14.3
223,UNC Greensboro (SoCon),31,9-22,374,12.1
283,UNCW (CAA),30,10-20,338,11.3
204,UNI (MVC),36,21-15,442,12.3
10,UNLV (Mountain West),35,25-10,562,16.1
22,USC Upstate (ASUN),33,16-17,513,15.5
189,UT Arlington (WAC),33,19-14,411,12.5
195,UT Martin (OVC),30,9-21,370,12.3
49,Utah St. (WAC),31,21-10,455,14.7
69,Utah Valley (GWC),32,14-18,458,14.3
103,Utah (Pac-12),33,15-18,458,13.9
127,UTEP (C-USA),32,18-14,428,13.4
156,UTRGV (GWC),32,16-16,412,12.9
325,UTSA (WAC),32,10-22,322,10.1
112,Valparaiso (Horizon),34,26-8,467,13.7
253,Vanderbilt (SEC),33,16-17,385,11.7
63,VCU (Atlantic 10),36,27-9,521,14.5
271,Vermont (America East),33,21-12,375,11.4
219,Villanova (AAC),34,20-14,413,12.1
318,Virginia Tech (ACC),32,13-19,325,10.2
90,Virginia (ACC),35,23-12,491,14
34,VMI (Big South),31,14-17,465,15
203,Wagner (NEC),31,19-12,381,12.3
272,Wake Forest (ACC),31,13-18,352,11.4
207,Washington St. (Pac-12),32,13-19,392,12.3
236,Washington (Pac-12),34,18-16,405,11.9
92,Weber St. (Big Sky),37,30-7,518,14
191,West Virginia (Big 12),32,13-19,396,12.4
281,Western Caro. (SoCon),33,14-19,373,11.3
232,Western Ill. (Summit League),31,22-9,371,12
289,Western Ky. (Sun Belt),36,20-16,400,11.1
244,Western Mich. (MAC),35,22-13,412,11.8
118,Wichita St. (MVC),39,30-9,530,13.6
76,William & Mary (CAA),30,13-17,428,14.3
338,Winthrop (Big South),31,14-17,297,9.6
132,Wisconsin (Big Ten),35,23-12,465,13.3
259,Wofford (SoCon),32,13-19,369,11.5
233,Wright St. (Horizon),36,23-13,430,11.9
252,Wyoming (Mountain West),34,20-14,397,11.7
286,Xavier (Atlantic 10),31,17-14,348,11.2
152,Yale (Ivy League),31,14-17,400,12.9
40,Youngstown St. (Horizon),34,18-16,504,14.8
