Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
297,A&M-Corpus Christi (Southland),29,6-23,921,31.8,"1,028",35.4,-3.7
275,Air Force (Mountain West),32,18-14,964,30.1,"1,053",32.9,-2.8
27,Akron (MAC),33,26-7,"1,244",37.7,"1,059",32.1,5.6
187,Alabama A&M (SWAC),31,11-20,"1,115",36,"1,124",36.3,-0.3
217,Alabama St. (SWAC),32,10-22,"1,140",35.6,"1,176",36.8,-1.1
200,Alabama (SEC),36,23-13,"1,178",32.7,"1,202",33.4,-0.7
95,Albany (NY) (America East),35,24-11,"1,168",33.4,"1,069",30.5,2.8
300,Alcorn (SWAC),34,10-24,"1,107",32.6,"1,236",36.4,-3.8
139,American (Patriot),30,10-20,973,32.4,937,31.2,1.2
160,App State (SoCon),31,15-16,"1,098",35.4,"1,084",35,0.5
163,Arizona St. (Pac-12),35,22-13,"1,261",36,"1,251",35.7,0.3
19,Arizona (Pac-12),35,27-8,"1,273",36.4,"1,051",30,6.3
295,Ark.-Pine Bluff (SWAC),30,16-14,"1,030",34.3,"1,140",38,-3.7
122,Arkansas St. (Sun Belt),31,19-12,"1,143",36.9,"1,091",35.2,1.7
269,Arkansas (SEC),32,19-13,"1,120",35,"1,201",37.5,-2.5
85,Army West Point (Patriot),31,16-15,"1,133",36.5,"1,040",33.5,3
213,Auburn (SEC),32,9-23,"1,094",34.2,"1,126",35.2,-1
261,Austin Peay (OVC),31,8-23,"1,053",34,"1,120",36.1,-2.2
60,Ball St. (MAC),30,15-15,"1,068",35.6,951,31.7,3.9
105,Baylor (Big 12),37,23-14,"1,387",37.5,"1,297",35.1,2.4
240,Belmont (OVC),33,26-7,"1,049",31.8,"1,100",33.3,-1.5
235,Bethune-Cookman (MEAC),34,14-20,"1,176",34.6,"1,226",36.1,-1.5
270,Binghamton (America East),30,3-27,"1,056",35.2,"1,132",37.7,-2.5
49,Boise St. (Mountain West),32,21-11,"1,081",33.8,944,29.5,4.3
216,Boston College (ACC),33,16-17,"1,036",31.4,"1,072",32.5,-1.1
277,Boston U. (America East),30,17-13,963,32.1,"1,048",34.9,-2.8
190,Bowling Green (MAC),32,13-19,"1,095",34.2,"1,107",34.6,-0.4
252,Bradley (MVC),35,18-17,"1,151",32.9,"1,216",34.7,-1.9
