Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
263,A&M-Corpus Christi (Southland),29,6-23,506,180,35.6
77,Air Force (Mountain West),32,18-14,703,224,31.9
100,Akron (MAC),33,26-7,544,176,32.4
235,Alabama A&M (SWAC),31,11-20,466,163,35
224,Alabama St. (SWAC),32,10-22,619,215,34.7
42,Alabama (SEC),36,23-13,597,184,30.8
141,Albany (NY) (America East),35,24-11,640,212,33.1
49,Alcorn (SWAC),34,10-24,609,189,31
345,American (Patriot),30,10-20,555,228,41.1
128,App State (SoCon),31,15-16,523,172,32.9
180,Arizona St. (Pac-12),35,22-13,673,227,33.7
269,Arizona (Pac-12),35,27-8,589,211,35.8
68,Ark.-Pine Bluff (SWAC),30,16-14,681,216,31.7
120,Arkansas St. (Sun Belt),31,19-12,522,171,32.8
271,Arkansas (SEC),32,19-13,566,203,35.9
246,Army West Point (Patriot),31,16-15,615,216,35.1
217,Auburn (SEC),32,9-23,666,230,34.5
223,Austin Peay (OVC),31,8-23,624,216,34.6
232,Ball St. (MAC),30,15-15,565,197,34.9
57,Baylor (Big 12),37,23-14,644,201,31.2
173,Belmont (OVC),33,26-7,650,218,33.5
218,Bethune-Cookman (MEAC),34,14-20,527,182,34.5
266,Binghamton (America East),30,3-27,694,248,35.7
186,Boise St. (Mountain West),32,21-11,624,211,33.8
322,Boston College (ACC),33,16-17,592,222,37.5
53,Boston U. (America East),30,17-13,530,165,31.1
197,Bowling Green (MAC),32,13-19,533,182,34.1
255,Bradley (MVC),35,18-17,695,246,35.4
320,Brown (Ivy League),28,13-15,518,194,37.5
251,Bryant (NEC),31,19-12,698,246,35.2
40,Bucknell (Patriot),34,28-6,576,177,30.7
167,Buffalo (MAC),34,14-20,595,199,33.4
166,Butler (Atlantic 10),36,27-9,601,201,33.4
146,BYU (WCC),36,24-12,730,242,33.2
272,Cal Poly (Big West),32,18-14,535,192,35.9
245,Cal St. Fullerton (Big West),32,14-18,581,204,35.1
177,California (Pac-12),33,21-12,562,189,33.6
148,Campbell (Big South),33,13-20,609,202,33.2
174,Canisius (MAAC),34,20-14,703,236,33.6
284,Central Ark. (Southland),30,13-17,504,183,36.3
292,Central Conn. St. (NEC),30,13-17,662,242,36.6
325,Central Mich. (MAC),31,11-20,601,226,37.6
194,Charleston So. (Big South),32,19-13,673,229,34
160,Charlotte (Atlantic 10),33,21-12,664,221,33.3
313,Chattanooga (SoCon),32,13-19,782,291,37.2
279,Chicago St. (GWC),33,11-22,577,208,36
34,Cincinnati (AAC),34,22-12,562,171,30.4
228,Clemson (ACC),31,13-18,492,171,34.8
265,Cleveland St. (Horizon),32,14-18,550,196,35.6
203,Coastal Carolina (Big South),29,14-15,626,214,34.2
25,Col. of Charleston (SoCon),35,24-11,581,175,30.1
262,Colgate (Patriot),32,11-21,633,225,35.5
191,Colorado St. (Mountain West),35,26-9,687,233,33.9
83,Colorado (Pac-12),33,21-12,700,224,32
302,Columbia (Ivy League),28,12-16,391,144,36.8
14,Coppin St. (MEAC),32,8-24,671,197,29.4
343,Cornell (Ivy League),31,13-18,594,233,39.2
56,Creighton (MVC),36,28-8,689,215,31.2
184,CSU Bakersfield (Independent),30,14-16,527,178,33.8
306,CSUN (Big West),31,14-17,622,230,37
254,Dartmouth (Ivy League),28,9-19,469,166,35.4
110,Davidson (SoCon),34,26-8,477,155,32.5
252,Dayton (Atlantic 10),31,17-14,544,192,35.3
108,Delaware St. (MEAC),33,15-18,508,165,32.5
209,Delaware (CAA),33,19-14,614,211,34.4
145,Denver (WAC),32,22-10,353,117,33.1
290,DePaul (AAC),32,11-21,479,175,36.5
311,Detroit Mercy (Horizon),33,20-13,605,225,37.2
243,Drake (MVC),32,15-17,630,221,35.1
202,Drexel (CAA),31,13-18,471,161,34.2
9,Duke (ACC),36,30-6,551,160,29
332,Duquesne (Atlantic 10),30,8-22,625,237,37.9
119,East Carolina (C-USA),35,23-12,577,189,32.8
340,Eastern Ill. (OVC),32,11-21,619,241,38.9
62,Eastern Ky. (OVC),35,25-10,590,185,31.4
20,Eastern Mich. (MAC),34,16-18,765,229,29.9
244,Eastern Wash. (Big Sky),31,10-21,544,191,35.1
286,Elon (SoCon),33,21-12,555,202,36.4
296,ETSU (ASUN),32,10-22,759,279,36.8
239,Evansville (MVC),36,21-15,628,220,35
82,Fairfield (MAAC),35,19-16,419,134,32
283,Fairleigh Dickinson (NEC),31,7-24,609,221,36.3
45,FGCU (ASUN),37,26-11,808,250,30.9
98,FIU (Sun Belt),32,18-14,637,206,32.3
22,Fla. Atlantic (Sun Belt),32,14-18,537,161,30
242,Florida A&M (MEAC),31,8-23,516,181,35.1
297,Florida St. (ACC),34,18-16,612,225,36.8
47,Florida (SEC),37,29-8,623,193,31
249,Fordham (Atlantic 10),31,7-24,619,218,35.2
12,Fresno St. (Mountain West),30,11-19,453,132,29.1
334,Furman (SoCon),31,7-24,534,203,38
75,Ga. Southern (SoCon),33,14-19,587,187,31.9
122,Gardner-Webb (Big South),34,21-13,573,188,32.8
161,George Mason (CAA),38,22-16,714,238,33.3
276,George Washington (Atlantic 10),30,13-17,489,176,36
39,Georgetown (AAC),32,25-7,560,172,30.7
295,Georgia St. (CAA),31,15-16,652,239,36.7
95,Georgia Tech (ACC),31,16-15,563,182,32.3
126,Georgia (SEC),32,15-17,639,210,32.9
134,Gonzaga (WCC),35,32-3,739,244,33
331,Grambling (SWAC),28,0-28,563,213,37.8
198,Green Bay (Horizon),34,18-16,641,219,34.2
37,Hampton (MEAC),31,14-17,546,167,30.6
204,Hartford (America East),31,17-14,468,160,34.2
140,Harvard (Ivy League),30,20-10,453,150,33.1
300,Hawaii (Big West),32,17-15,715,263,36.8
104,High Point (Big South),31,17-14,552,179,32.4
38,Hofstra (CAA),32,7-25,574,176,30.7
73,Holy Cross (Patriot),30,12-18,597,190,31.8
50,Houston Baptist (GWC),31,14-17,451,140,31
79,Houston (C-USA),33,20-13,671,214,31.9
158,Howard (MEAC),31,7-24,550,183,33.3
319,Idaho St. (Big Sky),30,6-24,586,219,37.4
260,Idaho (WAC),30,12-18,589,209,35.5
165,Illinois St. (MVC),33,18-15,673,225,33.4
199,Illinois (Big Ten),36,23-13,679,232,34.2
115,Indiana St. (MVC),33,18-15,558,182,32.6
32,Indiana (Big Ten),36,29-7,685,208,30.4
321,Iona (MAAC),34,20-14,726,272,37.5
