Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
51,Iowa St. (Big 12),35,23-12,692,215,31.1
15,Iowa (Big Ten),38,25-13,719,212,29.5
338,IUPUI (Summit League),32,6-26,586,224,38.2
67,Jackson St. (SWAC),29,11-18,533,168,31.5
43,Jacksonville St. (OVC),28,17-11,386,119,30.8
185,Jacksonville (ASUN),32,14-18,598,202,33.8
226,James Madison (CAA),36,21-15,636,221,34.7
344,Kansas City (Summit League),32,8-24,513,206,40.2
72,Kansas St. (Big 12),35,27-8,538,171,31.8
31,Kansas (Big 12),37,31-6,778,236,30.3
337,Kennesaw St. (ASUN),30,3-27,469,179,38.2
60,Kent St. (MAC),35,21-14,643,201,31.3
104,Kentucky (SEC),33,21-12,552,179,32.4
27,La Salle (Atlantic 10),34,24-10,470,142,30.2
280,Lafayette (Patriot),34,19-15,600,217,36.2
268,Lamar University (Southland),31,3-28,564,202,35.8
16,Lehigh (Patriot),31,21-10,644,191,29.7
33,Liberty (Big South),36,15-21,697,212,30.4
169,Lipscomb (ASUN),30,12-18,714,239,33.5
159,Little Rock (Sun Belt),32,17-15,595,198,33.3
310,LIU (NEC),34,20-14,632,235,37.2
328,LMU (CA) (WCC),34,11-23,647,244,37.7
314,Long Beach St. (Big West),33,19-14,693,258,37.2
339,Longwood (Big South),33,8-25,592,228,38.5
10,Louisiana Tech (WAC),34,27-7,543,158,29.1
236,Louisiana (Sun Belt),33,13-20,580,203,35
71,Louisville (AAC),40,35-5,696,221,31.8
178,Loyola Chicago (Horizon),31,15-16,514,173,33.7
23,Loyola Maryland (MAAC),35,23-12,547,164,30
66,LSU (SEC),31,19-12,549,173,31.5
261,Maine (America East),30,11-19,574,204,35.5
231,Manhattan (MAAC),32,14-18,505,176,34.9
297,Marist (MAAC),31,10-21,544,200,36.8
93,Marquette (AAC),35,26-9,690,223,32.3
305,Marshall (C-USA),32,13-19,549,203,37
28,Maryland (ACC),38,25-13,763,231,30.3
103,Massachusetts (Atlantic 10),33,21-12,645,209,32.4
107,McNeese (Southland),31,14-17,530,172,32.5
131,Memphis (C-USA),36,31-5,619,204,33
155,Mercer (ASUN),36,24-12,683,227,33.2
114,Miami (FL) (ACC),36,29-7,694,226,32.6
309,Miami (OH) (MAC),31,9-22,611,227,37.2
21,Michigan St. (Big Ten),36,27-9,664,199,30
109,Michigan (Big Ten),39,31-8,745,242,32.5
30,Middle Tenn. (Sun Belt),34,28-6,541,164,30.3
85,Milwaukee (Horizon),32,8-24,571,183,32
188,Minnesota (Big Ten),34,21-13,629,213,33.9
156,Mississippi St. (SEC),32,10-22,689,229,33.2
256,Mississippi Val. (SWAC),28,5-23,435,154,35.4
127,Missouri St. (MVC),33,11-22,578,190,32.9
157,Missouri (SEC),34,23-11,704,234,33.2
278,Monmouth (NEC),31,10-21,644,232,36
335,Montana St. (Big Sky),30,13-17,560,213,38
172,Montana (Big Sky),32,25-7,525,176,33.5
277,Morehead St. (OVC),33,15-18,575,207,36
36,Morgan St. (MEAC),32,17-15,553,169,30.6
341,Mount St. Mary's (NEC),32,18-14,402,157,39.1
139,Murray St. (OVC),31,21-10,559,185,33.1
83,N.C. A&T (MEAC),37,20-17,750,240,32
7,N.C. Central (MEAC),31,22-9,554,160,28.9
74,Navy (Patriot),31,8-23,609,194,31.9
26,NC State (ACC),35,24-11,693,209,30.2
164,Nebraska (Big Ten),33,15-18,530,177,33.4
317,Nevada (Mountain West),31,12-19,584,218,37.3
1,New Hampshire (America East),29,9-20,487,137,28.1
147,New Mexico St. (WAC),35,24-11,582,193,33.2
219,New Mexico (Mountain West),35,29-6,761,263,34.6
189,New Orleans (Independent),26,8-18,472,160,33.9
289,Niagara (MAAC),33,19-14,649,237,36.5
291,Nicholls (Southland),30,9-21,446,163,36.5
208,NIU (MAC),30,5-25,589,202,34.3
115,NJIT (GWC),29,16-13,558,182,32.6
13,Norfolk St. (MEAC),33,21-12,580,170,29.3
220,North Carolina (ACC),36,25-11,717,248,34.6
69,North Dakota St. (Summit League),34,24-10,561,178,31.7
176,North Dakota (Big Sky),33,16-17,586,197,33.6
233,North Florida (ASUN),32,13-19,444,155,34.9
275,North Texas (Sun Belt),32,12-20,581,209,36
153,Northeastern (CAA),33,20-13,596,198,33.2
294,Northern Ariz. (Big Sky),32,11-21,612,224,36.6
206,Northern Colo. (Big Sky),31,13-18,652,223,34.2
118,Northwestern St. (Southland),32,23-9,516,169,32.8
222,Northwestern (Big Ten),32,13-19,526,182,34.6
113,Notre Dame (AAC),35,25-10,587,191,32.5
287,Oakland (Summit League),33,16-17,719,262,36.4
102,Ohio St. (Big Ten),37,29-8,710,230,32.4
137,Ohio (MAC),34,24-10,520,172,33.1
96,Oklahoma St. (Big 12),33,24-9,631,204,32.3
125,Oklahoma (Big 12),32,20-12,624,205,32.9
342,Old Dominion (CAA),30,5-25,568,222,39.1
59,Ole Miss (SEC),36,27-9,771,241,31.3
247,Oral Roberts (Southland),35,20-15,580,204,35.2
211,Oregon St. (Pac-12),32,14-18,599,206,34.4
163,Oregon (Pac-12),37,28-9,608,203,33.4
241,Pacific (Big West),35,22-13,693,243,35.1
211,Penn St. (Big Ten),31,10-21,599,206,34.4
214,Penn (Ivy League),31,9-22,549,189,34.4
257,Pepperdine (WCC),30,12-18,579,205,35.4
35,Pittsburgh (AAC),33,24-9,565,172,30.4
318,Portland St. (Big Sky),28,8-20,466,174,37.3
288,Portland (WCC),32,11-21,598,218,36.5
24,Prairie View (SWAC),34,15-19,677,203,30
326,Presbyterian (Big South),32,8-24,603,227,37.6
111,Princeton (Ivy League),28,17-11,366,119,32.5
17,Providence (AAC),34,19-15,566,168,29.7
92,Purdue Fort Wayne (Summit League),33,16-17,564,182,32.3
123,Purdue (Big Ten),34,16-18,582,191,32.8
329,Quinnipiac (NEC),31,15-16,548,207,37.8
282,Radford (Big South),32,13-19,477,173,36.3
201,Rhode Island (Atlantic 10),29,8-21,515,176,34.2
303,Rice (C-USA),31,5-26,515,190,36.9
190,Richmond (Atlantic 10),34,19-15,469,159,33.9
6,Rider (MAAC),34,19-15,611,176,28.8
153,Robert Morris (NEC),35,24-11,596,198,33.2
87,Rutgers (AAC),31,15-16,594,191,32.2
240,Sacramento St. (Big Sky),29,14-15,599,210,35.1
308,Sacred Heart (NEC),29,9-20,550,204,37.1
324,Saint Francis (PA) (NEC),29,5-24,517,194,37.5
64,Saint Joseph's (Atlantic 10),32,18-14,614,193,31.4
135,Saint Louis (Atlantic 10),35,28-7,475,157,33.1
315,Saint Mary's (CA) (WCC),35,28-7,523,195,37.3
234,Saint Peter's (MAAC),30,9-21,515,180,35
29,Sam Houston (Southland),34,17-17,518,157,30.3
250,Samford (SoCon),32,11-21,565,199,35.2
94,San Diego St. (Mountain West),34,23-11,628,203,32.3
81,San Diego (WCC),34,16-18,541,173,32
207,San Francisco (WCC),31,15-16,596,204,34.2
133,San Jose St. (WAC),29,9-20,527,174,33
205,Santa Clara (WCC),38,26-12,620,212,34.2
4,Savannah St. (MEAC),34,19-15,452,129,28.5
99,Seattle U (WAC),30,8-22,609,197,32.3
195,Seton Hall (AAC),33,15-18,564,192,34
18,SFA (Southland),32,27-5,426,127,29.8
144,Siena (MAAC),32,8-24,661,219,33.1
112,SIUE (OVC),27,9-18,458,149,32.5
196,SMU (C-USA),32,15-17,709,242,34.1
142,South Alabama (Sun Belt),30,17-13,483,160,33.1
168,South Carolina St. (MEAC),30,6-24,580,194,33.4
182,South Carolina (SEC),32,14-18,530,179,33.8
274,South Dakota St. (Summit League),35,25-10,676,243,35.9
312,South Dakota (Summit League),30,10-20,621,231,37.2
19,South Fla. (AAC),31,12-19,558,167,29.9
97,Southeast Mo. St. (OVC),33,17-16,665,215,32.3
333,Southeastern La. (Southland),31,13-18,461,175,38
215,Southern California (Pac-12),32,14-18,568,196,34.5
315,Southern Ill. (MVC),31,14-17,523,195,37.3
132,Southern Miss. (C-USA),37,27-10,873,288,33
5,Southern U. (SWAC),33,23-10,559,161,28.8
248,Southern Utah (Big Sky),31,11-20,452,159,35.2
304,St. Bonaventure (Atlantic 10),29,14-15,571,211,37
151,St. Francis Brooklyn (NEC),30,12-18,518,172,33.2
143,St. John's (NY) (AAC),33,17-16,652,216,33.1
161,Stanford (Pac-12),34,19-15,489,163,33.3
129,Stetson (ASUN),31,15-16,635,209,32.9
48,Stony Brook (America East),33,25-8,726,225,31
3,Syracuse (AAC),40,30-10,867,246,28.4
175,TCU (Big 12),32,11-21,470,158,33.6
253,Temple (Atlantic 10),34,24-10,555,196,35.3
89,Tennessee St. (OVC),33,18-15,637,205,32.2
138,Tennessee Tech (OVC),29,12-17,529,175,33.1
80,Tennessee (SEC),33,20-13,495,158,31.9
171,Texas A&M (SEC),33,18-15,615,206,33.5
70,Texas Southern (SWAC),31,17-14,504,160,31.7
221,Texas St. (WAC),34,12-22,636,220,34.6
322,Texas Tech (Big 12),31,11-20,560,210,37.5
11,Texas (Big 12),34,16-18,615,179,29.1
327,The Citadel (SoCon),30,8-22,626,236,37.7
213,Toledo (MAC),28,15-13,593,204,34.4
152,Towson (CAA),31,18-13,542,180,33.2
270,Troy (Sun Belt),33,12-21,614,220,35.8
170,Tulane (C-USA),35,20-15,624,209,33.5
183,Tulsa (C-USA),33,17-16,678,229,33.8
264,UAB (C-USA),33,16-17,604,215,35.6
299,UC Davis (Big West),31,14-17,658,242,36.8
78,UC Irvine (Big West),37,21-16,637,203,31.9
292,UC Riverside (Big West),31,6-25,662,242,36.6
301,UC Santa Barbara (Big West),31,11-20,611,225,36.8
63,UCF (C-USA),31,20-11,605,190,31.4
106,UCLA (Pac-12),35,25-10,672,218,32.4
65,UConn (AAC),30,20-10,543,171,31.5
149,UIC (Horizon),34,18-16,621,206,33.2
281,ULM (Sun Belt),27,4-23,528,191,36.2
41,UMBC (America East),31,8-23,589,181,30.7
285,UMES (MEAC),28,2-26,515,187,36.3
120,UNC Asheville (Big South),32,16-16,580,190,32.8
267,UNC Greensboro (SoCon),31,9-22,556,199,35.8
136,UNCW (CAA),30,10-20,508,168,33.1
210,UNI (MVC),36,21-15,672,231,34.4
58,UNLV (Mountain West),35,25-10,650,203,31.2
193,USC Upstate (ASUN),33,16-17,647,220,34
76,UT Arlington (WAC),33,19-14,725,231,31.9
237,UT Martin (OVC),30,9-21,594,208,35
181,Utah St. (WAC),31,21-10,652,220,33.7
124,Utah Valley (GWC),32,14-18,615,202,32.8
150,Utah (Pac-12),33,15-18,642,213,33.2
192,UTEP (C-USA),32,18-14,486,165,34
225,UTRGV (GWC),32,16-16,498,173,34.7
258,UTSA (WAC),32,10-22,624,221,35.4
187,Valparaiso (Horizon),34,26-8,470,159,33.8
52,Vanderbilt (SEC),33,16-17,588,183,31.1
130,VCU (Atlantic 10),36,27-9,601,198,32.9
117,Vermont (America East),33,21-12,605,198,32.7
307,Villanova (AAC),34,20-14,661,245,37.1
227,Virginia Tech (ACC),32,13-19,705,245,34.8
55,Virginia (ACC),35,23-12,600,187,31.2
259,VMI (Big South),31,14-17,590,209,35.4
238,Wagner (NEC),31,19-12,571,200,35
273,Wake Forest (ACC),31,13-18,512,184,35.9
230,Washington St. (Pac-12),32,13-19,640,223,34.8
200,Washington (Pac-12),34,18-16,556,190,34.2
2,Weber St. (Big Sky),37,30-7,500,141,28.2
336,West Virginia (Big 12),32,13-19,559,213,38.1
91,Western Caro. (SoCon),33,14-19,568,183,32.2
179,Western Ill. (Summit League),31,22-9,484,163,33.7
101,Western Ky. (Sun Belt),36,20-16,618,200,32.4
216,Western Mich. (MAC),35,22-13,672,232,34.5
90,Wichita St. (MVC),39,30-9,739,238,32.2
61,William & Mary (CAA),30,13-17,578,181,31.3
46,Winthrop (Big South),31,14-17,575,178,31
8,Wisconsin (Big Ten),35,23-12,470,136,28.9
44,Wofford (SoCon),32,13-19,502,155,30.9
54,Wright St. (Horizon),36,23-13,610,190,31.1
88,Wyoming (Mountain West),34,20-14,516,166,32.2
86,Xavier (Atlantic 10),31,17-14,642,206,32.1
330,Yale (Ivy League),31,14-17,532,201,37.8
229,Youngstown St. (Horizon),34,18-16,600,209,34.8
