Rank,Team,W,L,Pct
330,A&M-Corpus Christi (Southland),6,23,20.7
132,Air Force (Mountain West),18,14,56.3
17,Akron (MAC),26,7,78.8
269,Alabama A&M (SWAC),11,20,35.5
294,Alabama St. (SWAC),10,22,31.3
82,Alabama (SEC),23,13,63.9
57,Albany (NY) (America East),24,11,68.6
305,Alcorn (SWAC),10,24,29.4
282,American (Patriot),10,20,33.3
184,App State (SoCon),15,16,48.4
93,Arizona St. (Pac-12),22,13,62.9
24,Arizona (Pac-12),27,8,77.1
158,Ark.-Pine Bluff (SWAC),16,14,53.3
100,Arkansas St. (Sun Belt),19,12,61.3
111,Arkansas (SEC),19,13,59.4
167,Army West Point (Patriot),16,15,51.6
310,Auburn (SEC),9,23,28.1
315,Austin Peay (OVC),8,23,25.8
173,Ball St. (MAC),15,15,50
97,Baylor (Big 12),23,14,62.2
17,Belmont (OVC),26,7,78.8
243,Bethune-Cookman (MEAC),14,20,41.2
341,Binghamton (America East),3,27,10
79,Boise St. (Mountain West),21,11,65.6
177,Boston College (ACC),16,17,48.5
130,Boston U. (America East),17,13,56.7
245,Bowling Green (MAC),13,19,40.6
172,Bradley (MVC),18,17,51.4
202,Brown (Ivy League),13,15,46.4
100,Bryant (NEC),19,12,61.3
8,Bucknell (Patriot),28,6,82.4
243,Buffalo (MAC),14,20,41.2
31,Butler (Atlantic 10),27,9,75
68,BYU (WCC),24,12,66.7
132,Cal Poly (Big West),18,14,56.3
218,Cal St. Fullerton (Big West),14,18,43.8
85,California (Pac-12),21,12,63.6
260,Campbell (Big South),13,20,39.4
113,Canisius (MAAC),20,14,58.8
227,Central Ark. (Southland),13,17,43.3
227,Central Conn. St. (NEC),13,17,43.3
269,Central Mich. (MAC),11,20,35.5
111,Charleston So. (Big South),19,13,59.4
85,Charlotte (Atlantic 10),21,12,63.6
245,Chattanooga (SoCon),13,19,40.6
282,Chicago St. (GWC),11,22,33.3
80,Cincinnati (AAC),22,12,64.7
235,Clemson (ACC),13,18,41.9
