Rank,Team,GM,W-L,3FG,3FGA,3FG%
23,Air Force (Mountain West),32,18-14,272,712,38.2
205,Akron (MAC),33,26-7,229,689,33.2
291,Alabama A&M (SWAC),31,11-20,155,528,29.4
282,Alabama St. (SWAC),32,10-22,168,557,30.2
192,Alabama (SEC),36,23-13,197,588,33.5
51,Albany (NY) (America East),35,24-11,213,575,37
68,American (Patriot),30,10-20,177,489,36.2
79,App State (SoCon),31,15-16,201,560,35.9
132,Arizona St. (Pac-12),35,22-13,250,722,34.6
50,Arizona (Pac-12),35,27-8,269,725,37.1
281,Ark.-Pine Bluff (SWAC),30,16-14,159,526,30.2
264,Arkansas St. (Sun Belt),31,19-12,197,633,31.1
283,Arkansas (SEC),32,19-13,192,639,30
52,Army West Point (Patriot),31,16-15,250,675,37
266,Auburn (SEC),32,9-23,183,589,31.1
21,Austin Peay (OVC),31,8-23,226,590,38.3
220,Ball St. (MAC),30,15-15,177,542,32.7
100,Baylor (Big 12),37,23-14,257,728,35.3
22,Belmont (OVC),33,26-7,279,729,38.3
274,Bethune-Cookman (MEAC),34,14-20,190,620,30.6
292,Binghamton (America East),30,3-27,156,546,28.6
11,Boise St. (Mountain West),32,21-11,249,637,39.1
98,Boston College (ACC),33,16-17,234,662,35.3
52,Boston U. (America East),30,17-13,240,648,37
243,Bradley (MVC),35,18-17,185,580,31.9
137,Brown (Ivy League),28,13-15,205,594,34.5
92,Bryant (NEC),31,19-12,217,610,35.6
128,Buffalo (MAC),34,14-20,215,620,34.7
123,Butler (Atlantic 10),36,27-9,239,688,34.7
172,BYU (WCC),36,24-12,213,630,33.8
39,Cal Poly (Big West),32,18-14,227,606,37.5
28,Cal St. Fullerton (Big West),32,14-18,266,704,37.8
16,Canisius (MAAC),34,20-14,313,811,38.6
103,Central Ark. (Southland),30,13-17,214,608,35.2
102,Central Conn. St. (NEC),30,13-17,212,602,35.2
206,Central Mich. (MAC),31,11-20,250,754,33.2
77,Charleston So. (Big South),32,19-13,297,826,36
285,Chattanooga (SoCon),32,13-19,167,561,29.8
200,Chicago St. (GWC),33,11-22,231,692,33.4
255,Cincinnati (AAC),34,22-12,230,729,31.6
247,Clemson (ACC),31,13-18,157,496,31.7
146,Cleveland St. (Horizon),32,14-18,206,601,34.3
125,Col. of Charleston (SoCon),35,24-11,209,602,34.7
157,Colgate (Patriot),32,11-21,220,645,34.1
171,Colorado St. (Mountain West),35,26-9,180,532,33.8
142,Colorado (Pac-12),33,21-12,178,517,34.4
122,Columbia (Ivy League),28,12-16,181,521,34.7
249,Coppin St. (MEAC),32,8-24,243,768,31.6
152,Cornell (Ivy League),31,13-18,208,609,34.2
2,Creighton (MVC),36,28-8,307,742,41.4
184,CSU Bakersfield (Independent),30,14-16,199,591,33.7
188,CSUN (Big West),31,14-17,163,485,33.6
186,Dartmouth (Ivy League),28,9-19,159,473,33.6
56,Davidson (SoCon),34,26-8,256,694,36.9
20,Dayton (Atlantic 10),31,17-14,182,474,38.4
289,Delaware St. (MEAC),33,15-18,183,621,29.5
37,Denver (WAC),32,22-10,252,672,37.5
156,Detroit Mercy (Horizon),33,20-13,234,686,34.1
15,Drake (MVC),32,15-17,279,720,38.8
191,Drexel (CAA),31,13-18,181,540,33.5
6,Duke (ACC),36,30-6,270,676,39.9
173,Duquesne (Atlantic 10),30,8-22,244,722,33.8
113,East Carolina (C-USA),35,23-12,274,784,34.9
109,Eastern Ill. (OVC),32,11-21,192,548,35
96,Eastern Ky. (OVC),35,25-10,307,865,35.5
160,Eastern Wash. (Big Sky),31,10-21,264,775,34.1
140,Elon (SoCon),33,21-12,258,749,34.4
222,ETSU (ASUN),32,10-22,208,637,32.7
61,Evansville (MVC),36,21-15,207,566,36.6
250,Fairfield (MAAC),35,19-16,199,629,31.6
112,Fairleigh Dickinson (NEC),31,7-24,190,543,35
149,FGCU (ASUN),37,26-11,247,722,34.2
202,FIU (Sun Belt),32,18-14,224,672,33.3
75,Fla. Atlantic (Sun Belt),32,14-18,195,541,36
276,Florida A&M (MEAC),31,8-23,171,560,30.5
118,Florida St. (ACC),34,18-16,196,563,34.8
29,Florida (SEC),37,29-8,300,794,37.8
265,Fordham (Atlantic 10),31,7-24,168,540,31.1
119,Fresno St. (Mountain West),30,11-19,182,523,34.8
193,Furman (SoCon),31,7-24,189,565,33.5
155,Ga. Southern (SoCon),33,14-19,185,542,34.1
223,Gardner-Webb (Big South),34,21-13,190,583,32.6
136,George Mason (CAA),38,22-16,203,588,34.5
101,Georgetown (AAC),32,25-7,189,536,35.3
80,Georgia St. (CAA),31,15-16,219,611,35.8
246,Georgia Tech (ACC),31,16-15,173,544,31.8
85,Georgia (SEC),32,15-17,188,526,35.7
49,Gonzaga (WCC),35,32-3,226,609,37.1
261,Grambling (SWAC),28,0-28,143,458,31.2
196,Hartford (America East),31,17-14,235,703,33.4
7,Harvard (Ivy League),30,20-10,191,480,39.8
147,Hawaii (Big West),32,17-15,195,569,34.3
153,Holy Cross (Patriot),30,12-18,195,571,34.2
72,Houston (C-USA),33,20-13,199,551,36.1
248,Idaho St. (Big Sky),30,6-24,163,515,31.7
57,Idaho (WAC),30,12-18,192,522,36.8
124,Illinois St. (MVC),33,18-15,242,697,34.7
238,Illinois (Big Ten),36,23-13,280,873,32.1
235,Indiana St. (MVC),33,18-15,186,579,32.1
4,Indiana (Big Ten),36,29-7,257,637,40.3
60,Iona (MAAC),34,20-14,283,771,36.7
41,Iowa St. (Big 12),35,23-12,346,924,37.4
275,Iowa (Big Ten),38,25-13,204,668,30.5
83,IUPUI (Summit League),32,6-26,222,621,35.7
262,Jackson St. (SWAC),29,11-18,181,580,31.2
99,Jacksonville St. (OVC),28,17-11,159,450,35.3
