Rank,Team,GM,W-L,3FG,3FGA,3FG%
228,Jacksonville (ASUN),32,14-18,166,512,32.4
189,James Madison (CAA),36,21-15,211,628,33.6
163,Kansas City (Summit League),32,8-24,199,585,34
69,Kansas St. (Big 12),35,27-8,238,658,36.2
65,Kansas (Big 12),37,31-6,216,594,36.4
280,Kennesaw St. (ASUN),30,3-27,152,502,30.3
76,Kent St. (MAC),35,21-14,241,669,36
135,Kentucky (SEC),33,21-12,184,532,34.6
32,La Salle (Atlantic 10),34,24-10,262,695,37.7
19,Lafayette (Patriot),34,19-15,276,718,38.4
10,Lehigh (Patriot),31,21-10,235,600,39.2
36,Liberty (Big South),36,15-21,251,669,37.5
241,Lipscomb (ASUN),30,12-18,159,497,32
183,Little Rock (Sun Belt),32,17-15,162,481,33.7
26,LIU (NEC),34,20-14,246,647,38
210,LMU (CA) (WCC),34,11-23,198,599,33.1
164,Long Beach St. (Big West),33,19-14,223,656,34
245,Longwood (Big South),33,8-25,167,524,31.9
234,Louisiana Tech (WAC),34,27-7,253,787,32.1
158,Louisiana (Sun Belt),33,13-20,226,663,34.1
203,Louisville (AAC),40,35-5,230,691,33.3
63,Loyola Chicago (Horizon),31,15-16,184,505,36.4
93,LSU (SEC),31,19-12,234,658,35.6
290,Maine (America East),30,11-19,156,530,29.4
179,Manhattan (MAAC),32,14-18,181,537,33.7
133,Marist (MAAC),31,10-21,197,569,34.6
273,Marshall (C-USA),32,13-19,198,646,30.7
165,Maryland (ACC),38,25-13,219,646,33.9
185,Massachusetts (Atlantic 10),33,21-12,235,699,33.6
213,McNeese (Southland),31,14-17,160,485,33
46,Memphis (C-USA),36,31-5,220,592,37.2
94,Mercer (ASUN),36,24-12,265,746,35.5
67,Miami (FL) (ACC),36,29-7,254,701,36.2
207,Miami (OH) (MAC),31,9-22,178,537,33.1
18,Michigan (Big Ten),39,31-8,296,769,38.5
31,Middle Tenn. (Sun Belt),34,28-6,181,480,37.7
256,Milwaukee (Horizon),32,8-24,223,708,31.5
180,Minnesota (Big Ten),34,21-13,184,546,33.7
279,Mississippi Val. (SWAC),28,5-23,169,557,30.3
286,Missouri St. (MVC),33,11-22,179,602,29.7
168,Missouri (SEC),34,23-11,215,635,33.9
267,Monmouth (NEC),31,10-21,169,545,31
176,Montana St. (Big Sky),30,13-17,202,599,33.7
45,Montana (Big Sky),32,25-7,219,589,37.2
236,Morehead St. (OVC),33,15-18,201,626,32.1
174,Mount St. Mary's (NEC),32,18-14,274,811,33.8
129,Murray St. (OVC),31,21-10,243,701,34.7
278,N.C. A&T (MEAC),37,20-17,215,707,30.4
120,N.C. Central (MEAC),31,22-9,168,483,34.8
224,Navy (Patriot),31,8-23,172,528,32.6
13,NC State (ACC),35,24-11,184,471,39.1
271,Nebraska (Big Ten),33,15-18,165,537,30.7
270,Nevada (Mountain West),31,12-19,183,595,30.8
269,New Hampshire (America East),29,9-20,179,581,30.8
105,New Mexico (Mountain West),35,29-6,221,629,35.1
221,Niagara (MAAC),33,19-14,241,738,32.7
277,Nicholls (Southland),30,9-21,159,521,30.5
54,NJIT (GWC),29,16-13,183,495,37
225,Norfolk St. (MEAC),33,21-12,172,529,32.5
35,North Carolina (ACC),36,25-11,272,723,37.6
82,North Dakota St. (Summit League),34,24-10,234,654,35.8
144,North Dakota (Big Sky),33,16-17,207,603,34.3
141,North Florida (ASUN),32,13-19,250,726,34.4
48,Northeastern (CAA),33,20-13,231,622,37.1
219,Northern Ariz. (Big Sky),32,11-21,181,554,32.7
33,Northern Colo. (Big Sky),31,13-18,211,560,37.7
258,Northwestern St. (Southland),32,23-9,189,602,31.4
159,Northwestern (Big Ten),32,13-19,242,710,34.1
55,Notre Dame (AAC),35,25-10,228,617,37
95,Oakland (Summit League),33,16-17,239,673,35.5
91,Ohio St. (Big Ten),37,29-8,227,638,35.6
110,Ohio (MAC),34,24-10,268,765,35
254,Oklahoma St. (Big 12),33,24-9,183,580,31.6
230,Ole Miss (SEC),36,27-9,238,735,32.4
64,Oregon St. (Pac-12),32,14-18,186,511,36.4
204,Oregon (Pac-12),37,28-9,192,577,33.3
24,Pacific (Big West),35,22-13,225,590,38.1
288,Penn St. (Big Ten),31,10-21,156,527,29.6
143,Penn (Ivy League),31,9-22,169,492,34.3
87,Pepperdine (WCC),30,12-18,165,463,35.6
34,Portland St. (Big Sky),28,8-20,151,401,37.7
130,Presbyterian (Big South),32,8-24,192,554,34.7
9,Princeton (Ivy League),28,17-11,188,476,39.5
268,Providence (AAC),34,19-15,186,600,31
81,Purdue Fort Wayne (Summit League),33,16-17,222,620,35.8
257,Radford (Big South),32,13-19,194,617,31.4
232,Rhode Island (Atlantic 10),29,8-21,183,568,32.2
215,Rice (C-USA),31,5-26,229,697,32.9
30,Richmond (Atlantic 10),34,19-15,282,747,37.8
138,Rider (MAAC),34,19-15,207,600,34.5
25,Robert Morris (NEC),35,24-11,300,788,38.1
175,Sacramento St. (Big Sky),29,14-15,160,474,33.8
104,Sacred Heart (NEC),29,9-20,193,549,35.2
116,Saint Francis (PA) (NEC),29,5-24,207,594,34.8
148,Saint Joseph's (Atlantic 10),32,18-14,229,669,34.2
162,Saint Louis (Atlantic 10),35,28-7,210,617,34
37,Saint Mary's (CA) (WCC),35,28-7,273,728,37.5
211,Sam Houston (Southland),34,17-17,224,678,33
71,Samford (SoCon),32,11-21,203,562,36.1
218,San Diego St. (Mountain West),34,23-11,202,618,32.7
115,San Diego (WCC),34,16-18,203,582,34.9
5,San Francisco (WCC),31,15-16,249,621,40.1
284,San Jose St. (WAC),29,9-20,147,490,30
73,Santa Clara (WCC),38,26-12,303,840,36.1
226,Seattle U (WAC),30,8-22,181,557,32.5
59,Seton Hall (AAC),33,15-18,261,711,36.7
181,Siena (MAAC),32,8-24,185,549,33.7
66,SIUE (OVC),27,9-18,159,438,36.3
229,South Alabama (Sun Belt),30,17-13,171,528,32.4
237,South Carolina (SEC),32,14-18,192,598,32.1
14,South Dakota St. (Summit League),35,25-10,270,694,38.9
47,South Dakota (Summit League),30,10-20,208,560,37.1
260,South Fla. (AAC),31,12-19,190,608,31.3
8,Southeast Mo. St. (OVC),33,17-16,256,644,39.8
84,Southeastern La. (Southland),31,13-18,183,512,35.7
151,Southern California (Pac-12),32,14-18,166,486,34.2
27,Southern Miss. (C-USA),37,27-10,245,645,38
62,Southern U. (SWAC),33,23-10,226,619,36.5
233,Southern Utah (Big Sky),31,11-20,162,503,32.2
40,St. Bonaventure (Atlantic 10),29,14-15,212,566,37.5
217,St. Francis Brooklyn (NEC),30,12-18,206,628,32.8
78,Stanford (Pac-12),34,19-15,237,660,35.9
121,Stetson (ASUN),31,15-16,230,662,34.7
97,Stony Brook (America East),33,25-8,193,546,35.3
195,Syracuse (AAC),40,30-10,233,697,33.4
216,Temple (Atlantic 10),34,24-10,243,740,32.8
177,Tennessee St. (OVC),33,18-15,206,611,33.7
242,Tennessee Tech (OVC),29,12-17,177,554,31.9
253,Tennessee (SEC),33,20-13,173,548,31.6
87,Texas A&M (SEC),33,18-15,165,463,35.6
89,Texas Southern (SWAC),31,17-14,277,778,35.6
208,Texas St. (WAC),34,12-22,227,685,33.1
287,Texas (Big 12),34,16-18,172,580,29.7
74,The Citadel (SoCon),30,8-22,176,488,36.1
190,Toledo (MAC),28,15-13,166,495,33.5
239,Towson (CAA),31,18-13,168,524,32.1
263,Troy (Sun Belt),33,12-21,212,680,31.2
114,Tulane (C-USA),35,20-15,224,641,34.9
187,Tulsa (C-USA),33,17-16,201,598,33.6
194,UAB (C-USA),33,16-17,219,655,33.4
3,UC Davis (Big West),31,14-17,257,634,40.5
201,UC Irvine (Big West),37,21-16,249,746,33.4
134,UC Santa Barbara (Big West),31,11-20,247,714,34.6
86,UCF (C-USA),31,20-11,220,616,35.7
161,UConn (AAC),30,20-10,191,561,34
170,UIC (Horizon),34,18-16,222,656,33.8
116,ULM (Sun Belt),27,4-23,161,462,34.8
177,UMBC (America East),31,8-23,206,611,33.7
154,UNC Greensboro (SoCon),31,9-22,227,665,34.1
182,UNCW (CAA),30,10-20,160,475,33.7
58,UNI (MVC),36,21-15,280,762,36.7
214,UNLV (Mountain West),35,25-10,227,689,32.9
126,USC Upstate (ASUN),33,16-17,213,614,34.7
150,UT Arlington (WAC),33,19-14,189,553,34.2
198,UT Martin (OVC),30,9-21,169,506,33.4
90,Utah St. (WAC),31,21-10,178,500,35.6
199,Utah Valley (GWC),32,14-18,181,542,33.4
70,Utah (Pac-12),33,15-18,196,542,36.2
107,UTEP (C-USA),32,18-14,177,504,35.1
43,UTRGV (GWC),32,16-16,210,562,37.4
197,UTSA (WAC),32,10-22,236,706,33.4
44,Valparaiso (Horizon),34,26-8,253,680,37.2
111,Vanderbilt (SEC),33,16-17,257,734,35
106,VCU (Atlantic 10),36,27-9,281,800,35.1
209,Villanova (AAC),34,20-14,204,617,33.1
259,Virginia Tech (ACC),32,13-19,182,580,31.4
17,Virginia (ACC),35,23-12,213,553,38.5
227,VMI (Big South),31,14-17,282,869,32.5
139,Wake Forest (ACC),31,13-18,168,487,34.5
127,Washington St. (Pac-12),32,13-19,232,669,34.7
145,Washington (Pac-12),34,18-16,181,528,34.3
1,Weber St. (Big Sky),37,30-7,266,640,41.6
251,West Virginia (Big 12),32,13-19,171,541,31.6
167,Western Caro. (SoCon),33,14-19,207,611,33.9
12,Western Ill. (Summit League),31,22-9,161,412,39.1
244,Western Ky. (Sun Belt),36,20-16,226,709,31.9
240,Western Mich. (MAC),35,22-13,188,587,32
169,Wichita St. (MVC),39,30-9,259,765,33.9
42,William & Mary (CAA),30,13-17,223,596,37.4
252,Winthrop (Big South),31,14-17,180,570,31.6
212,Wisconsin (Big Ten),35,23-12,259,784,33
272,Wofford (SoCon),32,13-19,182,593,30.7
166,Wright St. (Horizon),36,23-13,204,602,33.9
231,Wyoming (Mountain West),34,20-14,224,695,32.2
108,Yale (Ivy League),31,14-17,184,524,35.1
131,Youngstown St. (Horizon),34,18-16,245,707,34.7
