Rank,Team,GM,W-L,3FG,3PG
159,Fairleigh Dickinson (NEC),31,7-24,190,6.1
114,FGCU (ASUN),37,26-11,247,6.7
86,FIU (Sun Belt),32,18-14,224,7
164,Fla. Atlantic (Sun Belt),32,14-18,195,6.1
241,Florida A&M (MEAC),31,8-23,171,5.5
211,Florida St. (ACC),34,18-16,196,5.8
20,Florida (SEC),37,29-8,300,8.1
249,Fordham (Atlantic 10),31,7-24,168,5.4
171,Fresno St. (Mountain West),30,11-19,182,6.1
163,Furman (SoCon),31,7-24,189,6.1
231,Ga. Southern (SoCon),33,14-19,185,5.6
232,Gardner-Webb (Big South),34,21-13,190,5.6
259,George Mason (CAA),38,22-16,203,5.3
344,George Washington (Atlantic 10),30,13-17,84,2.8
191,Georgetown (AAC),32,25-7,189,5.9
84,Georgia St. (CAA),31,15-16,219,7.1
234,Georgia Tech (ACC),31,16-15,173,5.6
198,Georgia (SEC),32,15-17,188,5.9
133,Gonzaga (WCC),35,32-3,226,6.5
282,Grambling (SWAC),28,0-28,143,5.1
304,Green Bay (Horizon),34,18-16,164,4.8
325,Hampton (MEAC),31,14-17,135,4.4
46,Hartford (America East),31,17-14,235,7.6
140,Harvard (Ivy League),30,20-10,191,6.4
164,Hawaii (Big West),32,17-15,195,6.1
319,High Point (Big South),31,17-14,138,4.5
321,Hofstra (CAA),32,7-25,141,4.4
128,Holy Cross (Patriot),30,12-18,195,6.5
314,Houston Baptist (GWC),31,14-17,141,4.5
175,Houston (C-USA),33,20-13,199,6
343,Howard (MEAC),31,7-24,101,3.3
247,Idaho St. (Big Sky),30,6-24,163,5.4
138,Idaho (WAC),30,12-18,192,6.4
61,Illinois St. (MVC),33,18-15,242,7.3
38,Illinois (Big Ten),36,23-13,280,7.8
229,Indiana St. (MVC),33,18-15,186,5.6
75,Indiana (Big Ten),36,29-7,257,7.1
14,Iona (MAAC),34,20-14,283,8.3
1,Iowa St. (Big 12),35,23-12,346,9.9
257,Iowa (Big Ten),38,25-13,204,5.4
95,IUPUI (Summit League),32,6-26,222,6.9
154,Jackson St. (SWAC),29,11-18,181,6.2
223,Jacksonville St. (OVC),28,17-11,159,5.7
278,Jacksonville (ASUN),32,14-18,166,5.2
201,James Madison (CAA),36,21-15,211,5.9
155,Kansas City (Summit League),32,8-24,199,6.2
105,Kansas St. (Big 12),35,27-8,238,6.8
204,Kansas (Big 12),37,31-6,216,5.8
284,Kennesaw St. (ASUN),30,3-27,152,5.1
97,Kent St. (MAC),35,21-14,241,6.9
235,Kentucky (SEC),33,21-12,184,5.6
42,La Salle (Atlantic 10),34,24-10,262,7.7
19,Lafayette (Patriot),34,19-15,276,8.1
345,Lamar University (Southland),31,3-28,57,1.8
46,Lehigh (Patriot),31,21-10,235,7.6
90,Liberty (Big South),36,15-21,251,7
263,Lipscomb (ASUN),30,12-18,159,5.3
286,Little Rock (Sun Belt),32,17-15,162,5.1
69,LIU (NEC),34,20-14,246,7.2
206,LMU (CA) (WCC),34,11-23,198,5.8
107,Long Beach St. (Big West),33,19-14,223,6.8
287,Longwood (Big South),33,8-25,167,5.1
53,Louisiana Tech (WAC),34,27-7,253,7.4
101,Louisiana (Sun Belt),33,13-20,226,6.8
213,Louisville (AAC),40,35-5,230,5.8
187,Loyola Chicago (Horizon),31,15-16,184,5.9
328,Loyola Maryland (MAAC),35,23-12,147,4.2
50,LSU (SEC),31,19-12,234,7.5
274,Maine (America East),30,11-19,156,5.2
226,Manhattan (MAAC),32,14-18,181,5.7
142,Marist (MAAC),31,10-21,197,6.4
328,Marquette (AAC),35,26-9,147,4.2
156,Marshall (C-USA),32,13-19,198,6.2
212,Maryland (ACC),38,25-13,219,5.8
78,Massachusetts (Atlantic 10),33,21-12,235,7.1
280,McNeese (Southland),31,14-17,160,5.2
161,Memphis (C-USA),36,31-5,220,6.1
60,Mercer (ASUN),36,24-12,265,7.4
85,Miami (FL) (ACC),36,29-7,254,7.1
215,Miami (OH) (MAC),31,9-22,178,5.7
296,Michigan St. (Big Ten),36,27-9,177,4.9
45,Michigan (Big Ten),39,31-8,296,7.6
261,Middle Tenn. (Sun Belt),34,28-6,181,5.3
92,Milwaukee (Horizon),32,8-24,223,7
253,Minnesota (Big Ten),34,21-13,184,5.4
308,Mississippi St. (SEC),32,10-22,151,4.7
173,Mississippi Val. (SWAC),28,5-23,169,6
248,Missouri St. (MVC),33,11-22,179,5.4
145,Missouri (SEC),34,23-11,215,6.3
245,Monmouth (NEC),31,10-21,169,5.5
108,Montana St. (Big Sky),30,13-17,202,6.7
103,Montana (Big Sky),32,25-7,219,6.8
166,Morehead St. (OVC),33,15-18,201,6.1
331,Morgan St. (MEAC),32,17-15,133,4.2
9,Mount St. Mary's (NEC),32,18-14,274,8.6
30,Murray St. (OVC),31,21-10,243,7.8
208,N.C. A&T (MEAC),37,20-17,215,5.8
249,N.C. Central (MEAC),31,22-9,168,5.4
236,Navy (Patriot),31,8-23,172,5.5
268,NC State (ACC),35,24-11,184,5.3
290,Nebraska (Big Ten),33,15-18,165,5
193,Nevada (Mountain West),31,12-19,183,5.9
157,New Hampshire (America East),29,9-20,179,6.2
334,New Mexico St. (WAC),35,24-11,137,3.9
147,New Mexico (Mountain West),35,29-6,221,6.3
341,New Orleans (Independent),26,8-18,91,3.5
65,Niagara (MAAC),33,19-14,241,7.3
263,Nicholls (Southland),30,9-21,159,5.3
148,NJIT (GWC),29,16-13,183,6.3
273,Norfolk St. (MEAC),33,21-12,172,5.2
49,North Carolina (ACC),36,25-11,272,7.6
98,North Dakota St. (Summit League),34,24-10,234,6.9
151,North Dakota (Big Sky),33,16-17,207,6.3
33,North Florida (ASUN),32,13-19,250,7.8
339,North Texas (Sun Belt),32,12-20,113,3.5
86,Northeastern (CAA),33,20-13,231,7
226,Northern Ariz. (Big Sky),32,11-21,181,5.7
104,Northern Colo. (Big Sky),31,13-18,211,6.8
315,Northern Ill. (MAC),30,5-25,136,4.5
191,Northwestern St. (Southland),32,23-9,189,5.9
48,Northwestern (Big Ten),32,13-19,242,7.6
127,Notre Dame (AAC),35,25-10,228,6.5
68,Oakland (Summit League),33,16-17,239,7.2
158,Ohio St. (Big Ten),37,29-8,227,6.1
28,Ohio (MAC),34,24-10,268,7.9
237,Oklahoma St. (Big 12),33,24-9,183,5.5
293,Oklahoma (Big 12),32,20-12,159,5
312,Old Dominion (CAA),30,5-25,138,4.6
122,Ole Miss (SEC),36,27-9,238,6.6
309,Oral Roberts (Southland),35,20-15,165,4.7
207,Oregon St. (Pac-12),32,14-18,186,5.8
277,Oregon (Pac-12),37,28-9,192,5.2
136,Pacific (Big West),35,22-13,225,6.4
289,Penn St. (Big Ten),31,10-21,156,5
245,Penn (Ivy League),31,9-22,169,5.5
242,Pepperdine (WCC),30,12-18,165,5.5
294,Pittsburgh (AAC),33,24-9,163,4.9
255,Portland St. (Big Sky),28,8-20,151,5.4
321,Portland (WCC),32,11-21,141,4.4
336,Prairie View (SWAC),34,15-19,129,3.8
176,Presbyterian (Big South),32,8-24,192,6
111,Princeton (Ivy League),28,17-11,188,6.7
244,Providence (AAC),34,19-15,186,5.5
110,Purdue Fort Wayne (Summit League),33,16-17,222,6.7
326,Purdue (Big Ten),34,16-18,145,4.3
320,Quinnipiac (NEC),31,15-16,137,4.4
172,Radford (Big South),32,13-19,194,6.1
148,Rhode Island (Atlantic 10),29,8-21,183,6.3
58,Rice (C-USA),31,5-26,229,7.4
16,Richmond (Atlantic 10),34,19-15,282,8.3
168,Rider (MAAC),34,19-15,207,6.1
8,Robert Morris (NEC),35,24-11,300,8.6
303,Rutgers (AAC),31,15-16,150,4.8
240,Sacramento St. (Big Sky),29,14-15,160,5.5
115,Sacred Heart (NEC),29,9-20,193,6.7
76,Saint Francis (PA) (NEC),29,5-24,207,7.1
72,Saint Joseph's (Atlantic 10),32,18-14,229,7.2
176,Saint Louis (Atlantic 10),35,28-7,210,6
35,Saint Mary's (CA) (WCC),35,28-7,273,7.8
297,Saint Peter's (MAAC),30,9-21,147,4.9
123,Sam Houston (Southland),34,17-17,224,6.6
144,Samford (SoCon),32,11-21,203,6.3
185,San Diego St. (Mountain West),34,23-11,202,5.9
183,San Diego (WCC),34,16-18,203,6
23,San Francisco (WCC),31,15-16,249,8
283,San Jose St. (WAC),29,9-20,147,5.1
25,Santa Clara (WCC),38,26-12,303,8
335,Savannah St. (MEAC),34,19-15,131,3.9
174,Seattle U (WAC),30,8-22,181,6
27,Seton Hall (AAC),33,15-18,261,7.9
330,SFA (Southland),32,27-5,134,4.2
210,Siena (MAAC),32,8-24,185,5.8
197,SIUE (OVC),27,9-18,159,5.9
339,SMU (C-USA),32,15-17,113,3.5
219,South Alabama (Sun Belt),30,17-13,171,5.7
313,South Carolina St. (MEAC),30,6-24,137,4.6
176,South Carolina (SEC),32,14-18,192,6
41,South Dakota St. (Summit League),35,25-10,270,7.7
96,South Dakota (Summit League),30,10-20,208,6.9
159,South Fla. (AAC),31,12-19,190,6.1
40,Southeast Mo. St. (OVC),33,17-16,256,7.8
193,Southeastern La. (Southland),31,13-18,183,5.9
278,Southern California (Pac-12),32,14-18,166,5.2
317,Southern Ill. (MVC),31,14-17,139,4.5
121,Southern Miss. (C-USA),37,27-10,245,6.6
101,Southern U. (SWAC),33,23-10,226,6.8
271,Southern Utah (Big Sky),31,11-20,162,5.2
64,St. Bonaventure (Atlantic 10),29,14-15,212,7.3
100,St. Francis Brooklyn (NEC),30,12-18,206,6.9
338,St. John's (NY) (AAC),33,17-16,120,3.6
91,Stanford (Pac-12),34,19-15,237,7
56,Stetson (ASUN),31,15-16,230,7.4
202,Stony Brook (America East),33,25-8,193,5.8
205,Syracuse (AAC),40,30-10,233,5.8
337,TCU (Big 12),32,11-21,117,3.7
73,Temple (Atlantic 10),34,24-10,243,7.1
153,Tennessee St. (OVC),33,18-15,206,6.2
162,Tennessee Tech (OVC),29,12-17,177,6.1
270,Tennessee (SEC),33,20-13,173,5.2
290,Texas A&M (SEC),33,18-15,165,5
5,Texas Southern (SWAC),31,17-14,277,8.9
113,Texas St. (WAC),34,12-22,227,6.7
305,Texas Tech (Big 12),31,11-20,149,4.8
288,Texas (Big 12),34,16-18,172,5.1
200,The Citadel (SoCon),30,8-22,176,5.9
189,Toledo (MAC),28,15-13,166,5.9
249,Towson (CAA),31,18-13,168,5.4
137,Troy (Sun Belt),33,12-21,212,6.4
138,Tulane (C-USA),35,20-15,224,6.4
166,Tulsa (C-USA),33,17-16,201,6.1
119,UAB (C-USA),33,16-17,219,6.6
17,UC Davis (Big West),31,14-17,257,8.3
109,UC Irvine (Big West),37,21-16,249,6.7
310,UC Riverside (Big West),31,6-25,146,4.7
26,UC Santa Barbara (Big West),31,11-20,247,8
79,UCF (C-USA),31,20-11,220,7.1
298,UCLA (Pac-12),35,25-10,171,4.9
140,UConn (AAC),30,20-10,191,6.4
126,UIC (Horizon),34,18-16,222,6.5
184,ULM (Sun Belt),27,4-23,161,6
116,UMBC (America East),31,8-23,206,6.6
324,UMES (MEAC),28,2-26,122,4.4
301,UNC Asheville (Big South),32,16-16,155,4.8
62,UNC Greensboro (SoCon),31,9-22,227,7.3
260,UNCW (CAA),30,10-20,160,5.3
38,UNI (MVC),36,21-15,280,7.8
130,UNLV (Mountain West),35,25-10,227,6.5
134,USC Upstate (ASUN),33,16-17,213,6.5
217,UT Arlington (WAC),33,19-14,189,5.7
230,UT Martin (OVC),30,9-21,169,5.6
215,Utah St. (WAC),31,21-10,178,5.7
226,Utah Valley (GWC),32,14-18,181,5.7
186,Utah (Pac-12),33,15-18,196,5.9
239,UTEP (C-USA),32,18-14,177,5.5
125,UTRGV (GWC),32,16-16,210,6.6
59,UTSA (WAC),32,10-22,236,7.4
53,Valparaiso (Horizon),34,26-8,253,7.4
36,Vanderbilt (SEC),33,16-17,257,7.8
34,VCU (Atlantic 10),36,27-9,281,7.8
306,Vermont (America East),33,21-12,158,4.8
176,Villanova (AAC),34,20-14,204,6
220,Virginia Tech (ACC),32,13-19,182,5.7
169,Virginia (ACC),35,23-12,213,6.1
4,VMI (Big South),31,14-17,282,9.1
327,Wagner (NEC),31,19-12,132,4.3
249,Wake Forest (ACC),31,13-18,168,5.4
67,Washington St. (Pac-12),32,13-19,232,7.3
261,Washington (Pac-12),34,18-16,181,5.3
71,Weber St. (Big Sky),37,30-7,266,7.2
258,West Virginia (Big 12),32,13-19,171,5.3
151,Western Caro. (SoCon),33,14-19,207,6.3
276,Western Ill. (Summit League),31,22-9,161,5.2
150,Western Ky. (Sun Belt),36,20-16,226,6.3
256,Western Mich. (MAC),35,22-13,188,5.4
117,Wichita St. (MVC),39,30-9,259,6.6
55,William & Mary (CAA),30,13-17,223,7.4
209,Winthrop (Big South),31,14-17,180,5.8
57,Wisconsin (Big Ten),35,23-12,259,7.4
220,Wofford (SoCon),32,13-19,182,5.7
225,Wright St. (Horizon),36,23-13,204,5.7
123,Wyoming (Mountain West),34,20-14,224,6.6
316,Xavier (Atlantic 10),31,17-14,140,4.5
187,Yale (Ivy League),31,14-17,184,5.9
70,Youngstown St. (Horizon),34,18-16,245,7.2
