Rank,Team,GM,W-L,3FG,3PG
307,A&M-Corpus Christi (Southland),29,6-23,138,4.8
12,Air Force (Mountain West),32,18-14,272,8.5
94,Akron (MAC),33,26-7,229,6.9
290,Alabama A&M (SWAC),31,11-20,155,5
269,Alabama St. (SWAC),32,10-22,168,5.3
243,Alabama (SEC),36,23-13,197,5.5
169,Albany (NY) (America East),35,24-11,213,6.1
299,Alcorn (SWAC),34,10-24,165,4.9
195,American (Patriot),30,10-20,177,5.9
131,App State (SoCon),31,15-16,201,6.5
74,Arizona St. (Pac-12),35,22-13,250,7.1
43,Arizona (Pac-12),35,27-8,269,7.7
263,Ark.-Pine Bluff (SWAC),30,16-14,159,5.3
142,Arkansas St. (Sun Belt),31,19-12,197,6.4
176,Arkansas (SEC),32,19-13,192,6
21,Army West Point (Patriot),31,16-15,250,8.1
218,Auburn (SEC),32,9-23,183,5.7
66,Austin Peay (OVC),31,8-23,226,7.3
195,Ball St. (MAC),30,15-15,177,5.9
93,Baylor (Big 12),37,23-14,257,6.9
13,Belmont (OVC),33,26-7,279,8.5
232,Bethune-Cookman (MEAC),34,14-20,190,5.6
274,Binghamton (America East),30,3-27,156,5.2
37,Boise St. (Mountain West),32,21-11,249,7.8
81,Boston College (ACC),33,16-17,234,7.1
24,Boston U. (America East),30,17-13,240,8
295,Bowling Green (MAC),32,13-19,158,4.9
266,Bradley (MVC),35,18-17,185,5.3
63,Brown (Ivy League),28,13-15,205,7.3
86,Bryant (NEC),31,19-12,217,7
311,Bucknell (Patriot),34,28-6,157,4.6
145,Buffalo (MAC),34,14-20,215,6.3
118,Butler (Atlantic 10),36,27-9,239,6.6
190,BYU (WCC),36,24-12,213,5.9
80,Cal Poly (Big West),32,18-14,227,7.1
15,Cal St. Fullerton (Big West),32,14-18,266,8.3
333,California (Pac-12),33,21-12,134,4.1
332,Campbell (Big South),33,13-20,135,4.1
3,Canisius (MAAC),34,20-14,313,9.2
77,Central Ark. (Southland),30,13-17,214,7.1
83,Central Conn. St. (NEC),30,13-17,212,7.1
21,Central Mich. (MAC),31,11-20,250,8.1
2,Charleston So. (Big South),32,19-13,297,9.3
342,Charlotte (Atlantic 10),33,21-12,114,3.5
272,Chattanooga (SoCon),32,13-19,167,5.2
86,Chicago St. (GWC),33,11-22,231,7
106,Cincinnati (AAC),34,22-12,230,6.8
285,Clemson (ACC),31,13-18,157,5.1
135,Cleveland St. (Horizon),32,14-18,206,6.4
318,Coastal Carolina (Big South),29,14-15,130,4.5
182,Col. of Charleston (SoCon),35,24-11,209,6
99,Colgate (Patriot),32,11-21,220,6.9
281,Colorado St. (Mountain West),35,26-9,180,5.1
254,Colorado (Pac-12),33,21-12,178,5.4
132,Columbia (Ivy League),28,12-16,181,6.5
44,Coppin St. (MEAC),32,8-24,243,7.6
112,Cornell (Ivy League),31,13-18,208,6.7
10,Creighton (MVC),36,28-8,307,8.5
120,CSU Bakersfield (Independent),30,14-16,199,6.6
267,CSUN (Big West),31,14-17,163,5.3
223,Dartmouth (Ivy League),28,9-19,159,5.7
51,Davidson (SoCon),34,26-8,256,7.5
199,Dayton (Atlantic 10),31,17-14,182,5.9
237,Delaware St. (MEAC),33,15-18,183,5.5
323,Delaware (CAA),33,19-14,144,4.4
29,Denver (WAC),32,22-10,252,7.9
301,DePaul (AAC),32,11-21,155,4.8
81,Detroit Mercy (Horizon),33,20-13,234,7.1
7,Drake (MVC),32,15-17,279,8.7
203,Drexel (CAA),31,13-18,181,5.8
52,Duke (ACC),36,30-6,270,7.5
18,Duquesne (Atlantic 10),30,8-22,244,8.1
31,East Carolina (C-USA),35,23-12,274,7.8
176,Eastern Ill. (OVC),32,11-21,192,6
6,Eastern Ky. (OVC),35,25-10,307,8.8
299,Eastern Mich. (MAC),34,16-18,165,4.9
11,Eastern Wash. (Big Sky),31,10-21,264,8.5
32,Elon (SoCon),33,21-12,258,7.8
128,ETSU (ASUN),32,10-22,208,6.5
213,Evansville (MVC),36,21-15,207,5.8
222,Fairfield (MAAC),35,19-16,199,5.7
