Rank,Team,GM,W-L,BLKS,BKPG
144,Kansas St. (Big 12),35,27-8,129,3.7
2,Kansas (Big 12),37,31-6,247,6.7
335,Kennesaw St. (ASUN),30,3-27,50,1.7
259,Kent St. (MAC),35,21-14,93,2.7
3,Kentucky (SEC),33,21-12,217,6.6
161,La Salle (Atlantic 10),34,24-10,119,3.5
204,Lafayette (Patriot),34,19-15,107,3.1
92,Lamar University (Southland),31,3-28,128,4.1
173,Lehigh (Patriot),31,21-10,105,3.4
229,Liberty (Big South),36,15-21,105,2.9
329,Lipscomb (ASUN),30,12-18,52,1.7
130,Little Rock (Sun Belt),32,17-15,121,3.8
168,LIU (NEC),34,20-14,117,3.4
284,LMU (CA) (WCC),34,11-23,83,2.4
167,Long Beach St. (Big West),33,19-14,114,3.5
230,Longwood (Big South),33,8-25,96,2.9
31,Louisiana Tech (WAC),34,27-7,168,4.9
147,Louisiana (Sun Belt),33,13-20,121,3.7
82,Louisville (AAC),40,35-5,168,4.2
257,Loyola Chicago (Horizon),31,15-16,83,2.7
66,Loyola Maryland (MAAC),35,23-12,154,4.4
121,LSU (SEC),31,19-12,119,3.8
95,Maine (America East),30,11-19,123,4.1
86,Manhattan (MAAC),32,14-18,134,4.2
92,Marist (MAAC),31,10-21,128,4.1
160,Marquette (AAC),35,26-9,123,3.5
56,Marshall (C-USA),32,13-19,145,4.5
72,Maryland (ACC),38,25-13,166,4.4
21,Massachusetts (Atlantic 10),33,21-12,172,5.2
34,McNeese (Southland),31,14-17,150,4.8
4,Memphis (C-USA),36,31-5,231,6.4
105,Mercer (ASUN),36,24-12,145,4
65,Miami (FL) (ACC),36,29-7,159,4.4
288,Miami (OH) (MAC),31,9-22,74,2.4
114,Michigan St. (Big Ten),36,27-9,140,3.9
248,Michigan (Big Ten),39,31-8,108,2.8
133,Middle Tenn. (Sun Belt),34,28-6,128,3.8
158,Milwaukee (Horizon),32,8-24,114,3.6
14,Minnesota (Big Ten),34,21-13,187,5.5
115,Mississippi St. (SEC),32,10-22,124,3.9
272,Mississippi Val. (SWAC),28,5-23,71,2.5
339,Missouri St. (MVC),33,11-22,46,1.4
161,Missouri (SEC),34,23-11,119,3.5
338,Monmouth (NEC),31,10-21,46,1.5
332,Montana St. (Big Sky),30,13-17,51,1.7
205,Montana (Big Sky),32,25-7,100,3.1
230,Morehead St. (OVC),33,15-18,96,2.9
17,Morgan St. (MEAC),32,17-15,170,5.3
315,Mount St. Mary's (NEC),32,18-14,67,2.1
180,Murray St. (OVC),31,21-10,103,3.3
60,N.C. A&T (MEAC),37,20-17,165,4.5
232,N.C. Central (MEAC),31,22-9,90,2.9
305,Navy (Patriot),31,8-23,68,2.2
82,NC State (ACC),35,24-11,147,4.2
206,Nebraska (Big Ten),33,15-18,103,3.1
200,Nevada (Mountain West),31,12-19,99,3.2
238,New Hampshire (America East),29,9-20,82,2.8
13,New Mexico St. (WAC),35,24-11,193,5.5
123,New Mexico (Mountain West),35,29-6,134,3.8
234,New Orleans (Independent),26,8-18,75,2.9
256,Niagara (MAAC),33,19-14,89,2.7
303,Nicholls (Southland),30,9-21,66,2.2
332,NIU (MAC),30,5-25,51,1.7
24,NJIT (GWC),29,16-13,147,5.1
49,Norfolk St. (MEAC),33,21-12,151,4.6
191,North Carolina (ACC),36,25-11,117,3.3
80,North Dakota St. (Summit League),34,24-10,144,4.2
137,North Dakota (Big Sky),33,16-17,123,3.7
138,North Florida (ASUN),32,13-19,119,3.7
37,North Texas (Sun Belt),32,12-20,153,4.8
276,Northeastern (CAA),33,20-13,83,2.5
285,Northern Ariz. (Big Sky),32,11-21,77,2.4
294,Northern Colo. (Big Sky),31,13-18,71,2.3
41,Northwestern St. (Southland),32,23-9,151,4.7
202,Northwestern (Big Ten),32,13-19,102,3.2
132,Notre Dame (AAC),35,25-10,132,3.8
343,Oakland (Summit League),33,16-17,38,1.2
69,Ohio St. (Big Ten),37,29-8,162,4.4
159,Ohio (MAC),34,24-10,120,3.5
43,Oklahoma St. (Big 12),33,24-9,155,4.7
244,Oklahoma (Big 12),32,20-12,89,2.8
42,Old Dominion (CAA),30,5-25,141,4.7
22,Ole Miss (SEC),36,27-9,185,5.1
128,Oral Roberts (Southland),35,20-15,133,3.8
46,Oregon St. (Pac-12),32,14-18,147,4.6
110,Oregon (Pac-12),37,28-9,146,3.9
342,Pacific (Big West),35,22-13,46,1.3
197,Penn St. (Big Ten),31,10-21,100,3.2
263,Penn (Ivy League),31,9-22,81,2.6
303,Pepperdine (WCC),30,12-18,66,2.2
107,Pittsburgh (AAC),33,24-9,131,4
290,Portland St. (Big Sky),28,8-20,66,2.4
115,Portland (WCC),32,11-21,124,3.9
185,Prairie View (SWAC),34,15-19,112,3.3
326,Presbyterian (Big South),32,8-24,57,1.8
213,Princeton (Ivy League),28,17-11,85,3
195,Providence (AAC),34,19-15,110,3.2
261,Purdue Fort Wayne (Summit League),33,16-17,87,2.6
59,Purdue (Big Ten),34,16-18,152,4.5
139,Quinnipiac (NEC),31,15-16,115,3.7
148,Radford (Big South),32,13-19,117,3.7
101,Rhode Island (Atlantic 10),29,8-21,117,4
345,Rice (C-USA),31,5-26,32,1
117,Richmond (Atlantic 10),34,19-15,131,3.9
75,Rider (MAAC),34,19-15,148,4.4
262,Robert Morris (NEC),35,24-11,92,2.6
149,Rutgers (AAC),31,15-16,113,3.6
282,Sacramento St. (Big Sky),29,14-15,71,2.4
155,Sacred Heart (NEC),29,9-20,104,3.6
311,Saint Francis (PA) (NEC),29,5-24,62,2.1
10,Saint Joseph's (Atlantic 10),32,18-14,183,5.7
209,Saint Louis (Atlantic 10),35,28-7,109,3.1
242,Saint Mary's (CA) (WCC),35,28-7,98,2.8
161,Saint Peter's (MAAC),30,9-21,105,3.5
296,Sam Houston (Southland),34,17-17,77,2.3
274,Samford (SoCon),32,11-21,81,2.5
51,San Diego St. (Mountain West),34,23-11,155,4.6
117,San Diego (WCC),34,16-18,131,3.9
317,San Francisco (WCC),31,15-16,63,2
183,San Jose St. (WAC),29,9-20,96,3.3
52,Santa Clara (WCC),38,26-12,173,4.6
100,Savannah St. (MEAC),34,19-15,138,4.1
226,Seattle U (WAC),30,8-22,89,3
265,Seton Hall (AAC),33,15-18,86,2.6
130,SFA (Southland),32,27-5,121,3.8
249,Siena (MAAC),32,8-24,88,2.8
310,SIUE (OVC),27,9-18,58,2.1
94,SMU (C-USA),32,15-17,132,4.1
27,South Alabama (Sun Belt),30,17-13,150,5
109,South Carolina St. (MEAC),30,6-24,119,4
165,South Carolina (SEC),32,14-18,111,3.5
299,South Dakota St. (Summit League),35,25-10,78,2.2
242,South Dakota (Summit League),30,10-20,84,2.8
174,South Fla. (AAC),31,12-19,104,3.4
