Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
87,Wagner (NEC),31,19-12,692,"1,690",40.9
295,Wake Forest (ACC),31,13-18,787,"1,731",45.5
176,Washington St. (Pac-12),32,13-19,713,"1,663",42.9
199,Washington (Pac-12),34,18-16,834,"1,927",43.3
54,Weber St. (Big Sky),37,30-7,825,"2,053",40.2
259,West Virginia (Big 12),32,13-19,755,"1,687",44.8
232,Western Caro. (SoCon),33,14-19,771,"1,749",44.1
46,Western Ill. (Summit League),31,22-9,604,"1,511",40
154,Western Ky. (Sun Belt),36,20-16,824,"1,945",42.4
72,Western Mich. (MAC),35,22-13,770,"1,896",40.6
35,Wichita St. (MVC),39,30-9,797,"2,020",39.5
200,William & Mary (CAA),30,13-17,755,"1,742",43.3
55,Winthrop (Big South),31,14-17,642,"1,594",40.3
33,Wisconsin (Big Ten),35,23-12,744,"1,890",39.4
162,Wofford (SoCon),32,13-19,661,"1,555",42.5
113,Wright St. (Horizon),36,23-13,705,"1,698",41.5
178,Wyoming (Mountain West),34,20-14,724,"1,687",42.9
67,Xavier (Atlantic 10),31,17-14,675,"1,666",40.5
253,Yale (Ivy League),31,14-17,707,"1,585",44.6
158,Youngstown St. (Horizon),34,18-16,840,"1,981",42.4
