Rank,Team,GM,W-L,FGM,FGA,FG%
297,A&M-Corpus Christi (Southland),29,6-23,634,"1,560",40.6
22,Air Force (Mountain West),32,18-14,795,"1,690",47
67,Akron (MAC),33,26-7,852,"1,874",45.5
317,Alabama A&M (SWAC),31,11-20,696,"1,746",39.9
291,Alabama St. (SWAC),32,10-22,734,"1,801",40.8
198,Alabama (SEC),36,23-13,808,"1,887",42.8
162,Albany (NY) (America East),35,24-11,761,"1,748",43.5
336,Alcorn (SWAC),34,10-24,726,"1,888",38.5
266,American (Patriot),30,10-20,616,"1,491",41.3
155,App State (SoCon),31,15-16,777,"1,781",43.6
49,Arizona St. (Pac-12),35,22-13,902,"1,964",45.9
63,Arizona (Pac-12),35,27-8,880,"1,933",45.5
315,Ark.-Pine Bluff (SWAC),30,16-14,683,"1,707",40
299,Arkansas St. (Sun Belt),31,19-12,705,"1,737",40.6
165,Arkansas (SEC),32,19-13,852,"1,960",43.5
101,Army West Point (Patriot),31,16-15,767,"1,721",44.6
285,Auburn (SEC),32,9-23,726,"1,777",40.9
55,Austin Peay (OVC),31,8-23,783,"1,714",45.7
214,Ball St. (MAC),30,15-15,656,"1,542",42.5
47,Baylor (Big 12),37,23-14,"1,002","2,179",46
5,Belmont (OVC),33,26-7,906,"1,844",49.1
254,Bethune-Cookman (MEAC),34,14-20,815,"1,957",41.6
339,Binghamton (America East),30,3-27,588,"1,580",37.2
46,Boise St. (Mountain West),32,21-11,824,"1,790",46
123,Boston College (ACC),33,16-17,750,"1,701",44.1
90,Boston U. (America East),30,17-13,739,"1,647",44.9
241,Bowling Green (MAC),32,13-19,753,"1,795",41.9
149,Bradley (MVC),35,18-17,876,"2,006",43.7
279,Brown (Ivy League),28,13-15,610,"1,490",40.9
11,Bryant (NEC),31,19-12,812,"1,693",48
75,Bucknell (Patriot),34,28-6,818,"1,807",45.3
87,Buffalo (MAC),34,14-20,794,"1,767",44.9
85,Butler (Atlantic 10),36,27-9,869,"1,931",45
57,BYU (WCC),36,24-12,999,"2,188",45.7
219,Cal Poly (Big West),32,18-14,719,"1,696",42.4
23,Cal St. Fullerton (Big West),32,14-18,855,"1,819",47
107,California (Pac-12),33,21-12,833,"1,875",44.4
104,Campbell (Big South),33,13-20,855,"1,921",44.5
102,Canisius (MAAC),34,20-14,857,"1,923",44.6
163,Central Ark. (Southland),30,13-17,856,"1,967",43.5
195,Central Conn. St. (NEC),30,13-17,785,"1,832",42.8
284,Central Mich. (MAC),31,11-20,680,"1,664",40.9
228,Charleston So. (Big South),32,19-13,818,"1,937",42.2
130,Charlotte (Atlantic 10),33,21-12,793,"1,804",44
248,Chattanooga (SoCon),32,13-19,762,"1,822",41.8
316,Chicago St. (GWC),33,11-22,779,"1,949",40
303,Cincinnati (AAC),34,22-12,791,"1,963",40.3
218,Clemson (ACC),31,13-18,697,"1,643",42.4
225,Cleveland St. (Horizon),32,14-18,733,"1,734",42.3
133,Coastal Carolina (Big South),29,14-15,714,"1,626",43.9
