Rank,Team,GM,W-L,FGM,FGA,FG%
121,Col. of Charleston (SoCon),35,24-11,803,"1,819",44.1
250,Colgate (Patriot),32,11-21,735,"1,760",41.8
88,Colorado St. (Mountain West),35,26-9,881,"1,961",44.9
174,Colorado (Pac-12),33,21-12,775,"1,788",43.3
236,Columbia (Ivy League),28,12-16,604,"1,435",42.1
341,Coppin St. (MEAC),32,8-24,687,"1,878",36.6
220,Cornell (Ivy League),31,13-18,732,"1,727",42.4
2,Creighton (MVC),36,28-8,942,"1,882",50.1
247,CSU Bakersfield (Independent),30,14-16,710,"1,697",41.8
156,CSUN (Big West),31,14-17,818,"1,876",43.6
293,Dartmouth (Ivy League),28,9-19,598,"1,468",40.7
44,Davidson (SoCon),34,26-8,837,"1,813",46.2
17,Dayton (Atlantic 10),31,17-14,786,"1,656",47.5
278,Delaware St. (MEAC),33,15-18,709,"1,731",41
221,Delaware (CAA),33,19-14,776,"1,833",42.3
10,Denver (WAC),32,22-10,739,"1,540",48
168,DePaul (AAC),32,11-21,847,"1,951",43.4
60,Detroit Mercy (Horizon),33,20-13,908,"1,992",45.6
94,Drake (MVC),32,15-17,775,"1,732",44.7
272,Drexel (CAA),31,13-18,680,"1,651",41.2
19,Duke (ACC),36,30-6,960,"2,033",47.2
283,Duquesne (Atlantic 10),30,8-22,714,"1,747",40.9
77,East Carolina (C-USA),35,23-12,922,"2,039",45.2
148,Eastern Ill. (OVC),32,11-21,691,"1,582",43.7
32,Eastern Ky. (OVC),35,25-10,888,"1,903",46.7
309,Eastern Mich. (MAC),34,16-18,702,"1,751",40.1
261,Eastern Wash. (Big Sky),31,10-21,751,"1,811",41.5
179,Elon (SoCon),33,21-12,814,"1,884",43.2
301,ETSU (ASUN),32,10-22,708,"1,751",40.4
145,Evansville (MVC),36,21-15,900,"2,056",43.8
227,Fairfield (MAAC),35,19-16,779,"1,843",42.3
178,Fairleigh Dickinson (NEC),31,7-24,724,"1,675",43.2
43,FGCU (ASUN),37,26-11,976,"2,112",46.2
205,FIU (Sun Belt),32,18-14,766,"1,794",42.7
230,Fla. Atlantic (Sun Belt),32,14-18,732,"1,735",42.2
323,Florida A&M (MEAC),31,8-23,732,"1,849",39.6
111,Florida St. (ACC),34,18-16,780,"1,758",44.4
14,Florida (SEC),37,29-8,960,"2,010",47.8
305,Fordham (Atlantic 10),31,7-24,718,"1,785",40.2
331,Fresno St. (Mountain West),30,11-19,610,"1,566",39
290,Furman (SoCon),31,7-24,644,"1,580",40.8
245,Ga. Southern (SoCon),33,14-19,721,"1,721",41.9
224,Gardner-Webb (Big South),34,21-13,791,"1,871",42.3
154,George Mason (CAA),38,22-16,922,"2,113",43.6
122,George Washington (Atlantic 10),30,13-17,732,"1,660",44.1
72,Georgetown (AAC),32,25-7,737,"1,627",45.3
139,Georgia St. (CAA),31,15-16,739,"1,685",43.9
244,Georgia Tech (ACC),31,16-15,751,"1,791",41.9
286,Georgia (SEC),32,15-17,636,"1,557",40.8
3,Gonzaga (WCC),35,32-3,961,"1,934",49.7
343,Grambling (SWAC),28,0-28,519,"1,436",36.1
140,Green Bay (Horizon),34,18-16,777,"1,772",43.8
327,Hampton (MEAC),31,14-17,678,"1,731",39.2
282,Hartford (America East),31,17-14,645,"1,578",40.9
16,Harvard (Ivy League),30,20-10,677,"1,426",47.5
78,Hawaii (Big West),32,17-15,836,"1,852",45.1
96,High Point (Big South),31,17-14,823,"1,841",44.7
337,Hofstra (CAA),32,7-25,658,"1,719",38.3
263,Holy Cross (Patriot),30,12-18,644,"1,555",41.4
265,Houston Baptist (GWC),31,14-17,712,"1,720",41.4
37,Houston (C-USA),33,20-13,912,"1,965",46.4
342,Howard (MEAC),31,7-24,572,"1,567",36.5
296,Idaho St. (Big Sky),30,6-24,587,"1,444",40.7
31,Idaho (WAC),30,12-18,715,"1,532",46.7
65,Illinois St. (MVC),33,18-15,871,"1,914",45.5
273,Illinois (Big Ten),36,23-13,858,"2,084",41.2
192,Indiana St. (MVC),33,18-15,733,"1,709",42.9
8,Indiana (Big Ten),36,29-7,951,"1,972",48.2
69,Iona (MAAC),34,20-14,956,"2,106",45.4
61,Iowa St. (Big 12),35,23-12,962,"2,111",45.6
246,Iowa (Big Ten),38,25-13,903,"2,156",41.9
116,IUPUI (Summit League),32,6-26,790,"1,785",44.3
330,Jackson St. (SWAC),29,11-18,647,"1,659",39
106,Jacksonville St. (OVC),28,17-11,637,"1,433",44.5
226,Jacksonville (ASUN),32,14-18,774,"1,831",42.3
233,James Madison (CAA),36,21-15,818,"1,941",42.1
231,Kansas City (Summit League),32,8-24,703,"1,667",42.2
157,Kansas St. (Big 12),35,27-8,872,"2,002",43.6
9,Kansas (Big 12),37,31-6,985,"2,049",48.1
314,Kennesaw St. (ASUN),30,3-27,644,"1,609",40
196,Kent St. (MAC),35,21-14,823,"1,921",42.8
15,Kentucky (SEC),33,21-12,863,"1,815",47.5
79,La Salle (Atlantic 10),34,24-10,871,"1,931",45.1
53,Lafayette (Patriot),34,19-15,842,"1,842",45.7
288,Lamar University (Southland),31,3-28,710,"1,741",40.8
41,Lehigh (Patriot),31,21-10,788,"1,705",46.2
193,Liberty (Big South),36,15-21,838,"1,954",42.9
217,Lipscomb (ASUN),30,12-18,717,"1,690",42.4
232,Little Rock (Sun Belt),32,17-15,732,"1,736",42.2
12,LIU (NEC),34,20-14,915,"1,908",48
306,LMU (CA) (WCC),34,11-23,769,"1,915",40.2
120,Long Beach St. (Big West),33,19-14,811,"1,836",44.2
114,Longwood (Big South),33,8-25,841,"1,898",44.3
277,Louisiana Tech (WAC),34,27-7,857,"2,092",41
200,Louisiana (Sun Belt),33,13-20,827,"1,935",42.7
62,Louisville (AAC),40,35-5,"1,048","2,300",45.6
98,Loyola Chicago (Horizon),31,15-16,708,"1,586",44.6
185,Loyola Maryland (MAAC),35,23-12,826,"1,919",43
194,LSU (SEC),31,19-12,788,"1,839",42.8
167,Maine (America East),30,11-19,733,"1,688",43.4
289,Manhattan (MAAC),32,14-18,614,"1,506",40.8
215,Marist (MAAC),31,10-21,710,"1,670",42.5
56,Marquette (AAC),35,26-9,842,"1,844",45.7
204,Marshall (C-USA),32,13-19,767,"1,796",42.7
36,Maryland (ACC),38,25-13,986,"2,124",46.4
171,Massachusetts (Atlantic 10),33,21-12,838,"1,932",43.4
251,McNeese (Southland),31,14-17,771,"1,847",41.7
21,Memphis (C-USA),36,31-5,976,"2,071",47.1
166,Mercer (ASUN),36,24-12,807,"1,857",43.5
66,Miami (FL) (ACC),36,29-7,895,"1,968",45.5
189,Miami (OH) (MAC),31,9-22,687,"1,598",43
50,Michigan St. (Big Ten),36,27-9,882,"1,921",45.9
7,Michigan (Big Ten),39,31-8,"1,093","2,260",48.4
42,Middle Tenn. (Sun Belt),34,28-6,848,"1,835",46.2
334,Milwaukee (Horizon),32,8-24,675,"1,741",38.8
112,Minnesota (Big Ten),34,21-13,815,"1,838",44.3
311,Mississippi St. (SEC),32,10-22,670,"1,672",40.1
340,Mississippi Val. (SWAC),28,5-23,593,"1,604",37
300,Missouri St. (MVC),33,11-22,698,"1,721",40.6
51,Missouri (SEC),34,23-11,924,"2,015",45.9
322,Monmouth (NEC),31,10-21,715,"1,800",39.7
206,Montana St. (Big Sky),30,13-17,733,"1,717",42.7
35,Montana (Big Sky),32,25-7,760,"1,635",46.5
161,Morehead St. (OVC),33,15-18,842,"1,934",43.5
99,Morgan St. (MEAC),32,17-15,806,"1,807",44.6
191,Mount St. Mary's (NEC),32,18-14,778,"1,813",42.9
76,Murray St. (OVC),31,21-10,776,"1,716",45.2
304,N.C. A&T (MEAC),37,20-17,776,"1,927",40.3
48,N.C. Central (MEAC),31,22-9,706,"1,536",46
329,Navy (Patriot),31,8-23,628,"1,605",39.1
4,NC State (ACC),35,24-11,985,"1,987",49.6
295,Nebraska (Big Ten),33,15-18,708,"1,741",40.7
237,Nevada (Mountain West),31,12-19,703,"1,671",42.1
332,New Hampshire (America East),29,9-20,609,"1,566",38.9
64,New Mexico St. (WAC),35,24-11,832,"1,828",45.5
223,New Mexico (Mountain West),35,29-6,768,"1,815",42.3
128,New Orleans (Independent),26,8-18,666,"1,513",44
229,Niagara (MAAC),33,19-14,837,"1,982",42.2
142,Nicholls (Southland),30,9-21,713,"1,627",43.8
235,NJIT (GWC),29,16-13,702,"1,667",42.1
258,Norfolk St. (MEAC),33,21-12,769,"1,850",41.6
124,North Carolina (ACC),36,25-11,"1,023","2,321",44.1
28,North Dakota St. (Summit League),34,24-10,838,"1,789",46.8
221,North Dakota (Big Sky),33,16-17,776,"1,833",42.3
147,North Florida (ASUN),32,13-19,763,"1,746",43.7
269,North Texas (Sun Belt),32,12-20,740,"1,793",41.3
113,Northeastern (CAA),33,20-13,768,"1,733",44.3
151,Northern Ariz. (Big Sky),32,11-21,788,"1,805",43.7
38,Northern Colo. (Big Sky),31,13-18,796,"1,718",46.3
344,Northern Ill. (MAC),30,5-25,561,"1,565",35.8
52,Northwestern St. (Southland),32,23-9,919,"2,006",45.8
308,Northwestern (Big Ten),32,13-19,661,"1,648",40.1
39,Notre Dame (AAC),35,25-10,892,"1,929",46.2
153,Oakland (Summit League),33,16-17,823,"1,886",43.6
81,Ohio St. (Big Ten),37,29-8,927,"2,056",45.1
34,Ohio (MAC),34,24-10,889,"1,909",46.6
135,Oklahoma St. (Big 12),33,24-9,814,"1,854",43.9
164,Oklahoma (Big 12),32,20-12,803,"1,847",43.5
280,Old Dominion (CAA),30,5-25,707,"1,727",40.9
143,Ole Miss (SEC),36,27-9,977,"2,230",43.8
45,Oral Roberts (Southland),35,20-15,890,"1,931",46.1
97,Oregon St. (Pac-12),32,14-18,829,"1,855",44.7
95,Oregon (Pac-12),37,28-9,944,"2,110",44.7
93,Pacific (Big West),35,22-13,824,"1,839",44.8
324,Penn St. (Big Ten),31,10-21,661,"1,672",39.5
216,Penn (Ivy League),31,9-22,689,"1,621",42.5
170,Pepperdine (WCC),30,12-18,673,"1,551",43.4
20,Pittsburgh (AAC),33,24-9,837,"1,775",47.2
68,Portland St. (Big Sky),28,8-20,701,"1,542",45.5
276,Portland (WCC),32,11-21,701,"1,709",41
318,Prairie View (SWAC),34,15-19,822,"2,065",39.8
82,Presbyterian (Big South),32,8-24,739,"1,640",45.1
40,Princeton (Ivy League),28,17-11,633,"1,369",46.2
274,Providence (AAC),34,19-15,801,"1,947",41.1
137,Purdue Fort Wayne (Summit League),33,16-17,777,"1,771",43.9
212,Purdue (Big Ten),34,16-18,838,"1,968",42.6
199,Quinnipiac (NEC),31,15-16,789,"1,844",42.8
321,Radford (Big South),32,13-19,750,"1,888",39.7
313,Rhode Island (Atlantic 10),29,8-21,616,"1,539",40
320,Rice (C-USA),31,5-26,644,"1,621",39.7
110,Richmond (Atlantic 10),34,19-15,776,"1,748",44.4
181,Rider (MAAC),34,19-15,748,"1,733",43.2
182,Robert Morris (NEC),35,24-11,825,"1,912",43.1
117,Rutgers (AAC),31,15-16,747,"1,689",44.2
264,Sacramento St. (Big Sky),29,14-15,640,"1,546",41.4
127,Sacred Heart (NEC),29,9-20,729,"1,656",44
262,Saint Francis (PA) (NEC),29,5-24,633,"1,527",41.5
141,Saint Joseph's (Atlantic 10),32,18-14,746,"1,702",43.8
100,Saint Louis (Atlantic 10),35,28-7,808,"1,812",44.6
25,Saint Mary's (CA) (WCC),35,28-7,910,"1,939",46.9
268,Saint Peter's (MAAC),30,9-21,674,"1,633",41.3
335,Sam Houston (Southland),34,17-17,740,"1,918",38.6
108,Samford (SoCon),32,11-21,711,"1,601",44.4
144,San Diego St. (Mountain West),34,23-11,839,"1,916",43.8
160,San Diego (WCC),34,16-18,782,"1,796",43.5
73,San Francisco (WCC),31,15-16,756,"1,669",45.3
338,San Jose St. (WAC),29,9-20,629,"1,669",37.7
119,Santa Clara (WCC),38,26-12,970,"2,195",44.2
238,Savannah St. (MEAC),34,19-15,710,"1,690",42
243,Seattle U (WAC),30,8-22,734,"1,750",41.9
150,Seton Hall (AAC),33,15-18,744,"1,704",43.7
29,SFA (Southland),32,27-5,772,"1,649",46.8
302,Siena (MAAC),32,8-24,659,"1,631",40.4
209,SIUE (OVC),27,9-18,609,"1,428",42.6
89,SMU (C-USA),32,15-17,729,"1,624",44.9
275,South Alabama (Sun Belt),30,17-13,679,"1,655",41
327,South Carolina St. (MEAC),30,6-24,678,"1,731",39.2
270,South Carolina (SEC),32,14-18,743,"1,802",41.2
25,South Dakota St. (Summit League),35,25-10,910,"1,939",46.9
91,South Dakota (Summit League),30,10-20,721,"1,607",44.9
333,South Fla. (AAC),31,12-19,647,"1,665",38.9
27,Southeast Mo. St. (OVC),33,17-16,880,"1,876",46.9
281,Southeastern La. (Southland),31,13-18,690,"1,686",40.9
210,Southern California (Pac-12),32,14-18,778,"1,826",42.6
103,Southern Ill. (MVC),31,14-17,733,"1,645",44.6
13,Southern Miss. (C-USA),37,27-10,985,"2,058",47.9
176,Southern U. (SWAC),33,23-10,761,"1,757",43.3
298,Southern Utah (Big Sky),31,11-20,718,"1,768",40.6
92,St. Bonaventure (Atlantic 10),29,14-15,708,"1,579",44.8
208,St. Francis Brooklyn (NEC),30,12-18,763,"1,789",42.6
260,St. John's (NY) (AAC),33,17-16,825,"1,989",41.5
259,Stanford (Pac-12),34,19-15,832,"2,002",41.6
59,Stetson (ASUN),31,15-16,768,"1,683",45.6
109,Stony Brook (America East),33,25-8,790,"1,779",44.4
136,Syracuse (AAC),40,30-10,"1,007","2,294",43.9
307,TCU (Big 12),32,11-21,631,"1,573",40.1
197,Temple (Atlantic 10),34,24-10,851,"1,987",42.8
134,Tennessee St. (OVC),33,18-15,800,"1,822",43.9
213,Tennessee Tech (OVC),29,12-17,650,"1,527",42.6
188,Tennessee (SEC),33,20-13,753,"1,751",43
126,Texas A&M (SEC),33,18-15,767,"1,742",44
129,Texas Southern (SWAC),31,17-14,776,"1,763",44
240,Texas St. (WAC),34,12-22,829,"1,974",42
234,Texas Tech (Big 12),31,11-20,721,"1,712",42.1
267,Texas (Big 12),34,16-18,776,"1,880",41.3
74,The Citadel (SoCon),30,8-22,681,"1,504",45.3
190,Toledo (MAC),28,15-13,661,"1,539",42.9
131,Towson (CAA),31,18-13,754,"1,717",43.9
319,Troy (Sun Belt),33,12-21,758,"1,907",39.7
256,Tulane (C-USA),35,20-15,789,"1,896",41.6
173,Tulsa (C-USA),33,17-16,763,"1,760",43.4
177,UAB (C-USA),33,16-17,857,"1,980",43.3
18,UC Davis (Big West),31,14-17,781,"1,651",47.3
175,UC Irvine (Big West),37,21-16,932,"2,151",43.3
253,UC Riverside (Big West),31,6-25,688,"1,650",41.7
242,UC Santa Barbara (Big West),31,11-20,703,"1,676",41.9
71,UCF (C-USA),31,20-11,768,"1,695",45.3
80,UCLA (Pac-12),35,25-10,961,"2,131",45.1
118,UConn (AAC),30,20-10,727,"1,644",44.2
312,UIC (Horizon),34,18-16,720,"1,797",40.1
202,ULM (Sun Belt),27,4-23,602,"1,409",42.7
294,UMBC (America East),31,8-23,718,"1,763",40.7
345,UMES (MEAC),28,2-26,538,"1,507",35.7
84,UNC Asheville (Big South),32,16-16,824,"1,831",45
249,UNC Greensboro (SoCon),31,9-22,788,"1,886",41.8
252,UNCW (CAA),30,10-20,679,"1,627",41.7
115,UNI (MVC),36,21-15,828,"1,869",44.3
157,UNLV (Mountain West),35,25-10,872,"2,002",43.6
105,USC Upstate (ASUN),33,16-17,843,"1,896",44.5
271,UT Arlington (WAC),33,19-14,750,"1,820",41.2
325,UT Martin (OVC),30,9-21,682,"1,733",39.4
24,Utah St. (WAC),31,21-10,750,"1,598",46.9
70,Utah Valley (GWC),32,14-18,793,"1,749",45.3
131,Utah (Pac-12),33,15-18,754,"1,717",43.9
86,UTEP (C-USA),32,18-14,706,"1,571",44.9
183,UTRGV (GWC),32,16-16,739,"1,713",43.1
310,UTSA (WAC),32,10-22,693,"1,729",40.1
6,Valparaiso (Horizon),34,26-8,823,"1,699",48.4
292,Vanderbilt (SEC),33,16-17,681,"1,671",40.8
83,VCU (Atlantic 10),36,27-9,"1,010","2,243",45
146,Vermont (America East),33,21-12,711,"1,626",43.7
255,Villanova (AAC),34,20-14,732,"1,759",41.6
211,Virginia Tech (ACC),32,13-19,791,"1,857",42.6
54,Virginia (ACC),35,23-12,818,"1,790",45.7
172,VMI (Big South),31,14-17,872,"2,011",43.4
152,Wagner (NEC),31,19-12,756,"1,732",43.6
169,Wake Forest (ACC),31,13-18,717,"1,652",43.4
207,Washington St. (Pac-12),32,13-19,717,"1,681",42.7
159,Washington (Pac-12),34,18-16,841,"1,931",43.6
1,Weber St. (Big Sky),37,30-7,990,"1,957",50.6
287,West Virginia (Big 12),32,13-19,722,"1,769",40.8
187,Western Caro. (SoCon),33,14-19,828,"1,925",43
33,Western Ill. (Summit League),31,22-9,659,"1,414",46.6
201,Western Ky. (Sun Belt),36,20-16,837,"1,959",42.7
180,Western Mich. (MAC),35,22-13,784,"1,815",43.2
125,Wichita St. (MVC),39,30-9,954,"2,166",44
30,William & Mary (CAA),30,13-17,718,"1,536",46.7
257,Winthrop (Big South),31,14-17,647,"1,555",41.6
239,Wisconsin (Big Ten),35,23-12,823,"1,959",42
326,Wofford (SoCon),32,13-19,665,"1,696",39.2
138,Wright St. (Horizon),36,23-13,801,"1,826",43.9
203,Wyoming (Mountain West),34,20-14,707,"1,655",42.7
58,Xavier (Atlantic 10),31,17-14,722,"1,582",45.6
186,Yale (Ivy League),31,14-17,697,"1,620",43
184,Youngstown St. (Horizon),34,18-16,853,"1,979",43.1
