Rank,Team,GM,W-L,TO,TOPG
267,UNC Asheville (Big South),34,20-14,506,14.9
287,UNC Greensboro (SoCon),31,7-24,473,15.3
188,UNCW (CAA),31,13-18,424,13.7
2,UNI (MVC),34,20-14,314,9.2
96,UNLV (Mountain West),33,24-9,414,12.5
333,UT Arlington (Southland),29,13-16,510,17.6
289,UT Martin (OVC),33,12-21,504,15.3
40,Utah St. (WAC),34,30-4,402,11.8
200,Utah Valley (Utah Valley),30,19-11,414,13.8
191,Utah (Mountain West),31,13-18,425,13.7
93,UTEP (C-USA),35,25-10,438,12.5
294,UTRGV (UTRGV),31,6-25,475,15.3
179,UTSA (Southland),34,20-14,461,13.6
195,Valparaiso (Horizon),35,23-12,481,13.7
125,Vanderbilt (SEC),34,23-11,441,13
30,VCU (CAA),40,28-12,452,11.3
165,Vermont (America East),32,23-9,430,13.4
43,Villanova (AAC),33,21-12,392,11.9
80,Virginia Tech (ACC),34,22-12,419,12.3
18,Virginia (ACC),31,16-15,339,10.9
142,VMI (Big South),31,18-13,411,13.3
295,Wagner (NEC),30,13-17,460,15.3
300,Wake Forest (ACC),32,8-24,494,15.4
103,Washington St. (Pac-12),35,22-13,445,12.7
67,Washington (Pac-12),35,24-11,426,12.2
107,Weber St. (Big Sky),32,18-14,408,12.8
51,West Virginia (AAC),33,21-12,397,12
192,Western Caro. (SoCon),33,18-15,453,13.7
160,Western Ill. (Summit League),30,7-23,402,13.4
264,Western Ky. (Sun Belt),32,16-16,475,14.8
187,Western Mich. (MAC),34,21-13,465,13.7
91,Wichita St. (MVC),37,29-8,462,12.5
139,William & Mary (CAA),32,10-22,423,13.2
131,Winthrop (Big South),30,13-17,394,13.1
1,Wisconsin (Big Ten),34,25-9,258,7.6
44,Wofford (SoCon),34,21-13,404,11.9
14,Wright St. (Horizon),33,19-14,356,10.8
222,Wyoming (Mountain West),31,10-21,436,14.1
55,Xavier (Atlantic 10),32,24-8,386,12.1
181,Yale (Ivy League),28,15-13,380,13.6
48,Youngstown St. (Horizon),30,9-21,359,12
