Rank,Team,GM,W-L,OPP PTS,OPP PPG
111,Gonzaga (WCC),35,25-10,"2,307",65.9
193,Grambling (SWAC),33,12-21,"2,262",68.5
188,Green Bay (Horizon),32,14-18,"2,189",68.4
43,Hampton (MEAC),33,24-9,"2,070",62.7
69,Hartford (America East),31,11-20,"1,996",64.4
71,Harvard (Ivy League),30,23-7,"1,933",64.4
152,Hawaii (WAC),32,19-13,"2,151",67.2
278,High Point (Big South),31,12-19,"2,250",72.6
218,Hofstra (CAA),33,21-12,"2,300",69.7
208,Holy Cross (Patriot),29,8-21,"2,002",69
224,Houston (C-USA),30,12-18,"2,092",69.7
228,Howard (MEAC),30,6-24,"2,098",69.9
276,Idaho St. (Big Sky),29,9-20,"2,096",72.3
132,Idaho (WAC),32,18-14,"2,134",66.7
59,Illinois St. (MVC),31,12-19,"1,977",63.8
90,Illinois (Big Ten),34,20-14,"2,222",65.4
73,Indiana St. (MVC),34,20-14,"2,192",64.5
183,Indiana (Big Ten),32,12-20,"2,182",68.2
220,Iona (MAAC),37,25-12,"2,579",69.7
246,Iowa St. (Big 12),32,16-16,"2,257",70.5
181,Iowa (Big Ten),31,11-20,"2,110",68.1
211,IUPUI (Summit League),33,19-14,"2,282",69.2
46,Jackson St. (SWAC),32,17-15,"2,009",62.8
107,Jacksonville St. (OVC),30,5-25,"1,974",65.8
96,Jacksonville (ASUN),32,20-12,"2,094",65.4
186,James Madison (CAA),33,21-12,"2,257",68.4
297,Kansas City (Summit League),30,16-14,"2,217",73.9
115,Kansas St. (Big 12),34,23-11,"2,249",66.1
80,Kansas (Big 12),38,35-3,"2,458",64.7
308,Kennesaw St. (ASUN),31,8-23,"2,320",74.8
138,Kent St. (MAC),37,25-12,"2,473",66.8
54,Kentucky (SEC),38,29-9,"2,412",63.5
329,La Salle (Atlantic 10),33,15-18,"2,595",78.6
273,Lafayette (Patriot),32,13-19,"2,310",72.2
316,Lamar University (Southland),30,13-17,"2,279",76
270,Lehigh (Patriot),31,16-15,"2,232",72
101,Liberty (Big South),32,19-13,"2,100",65.6
295,Lipscomb (ASUN),30,17-13,"2,213",73.8
157,Little Rock (Sun Belt),36,19-17,"2,426",67.4
306,LIU (NEC),33,27-6,"2,466",74.7
275,LMU (CA) (WCC),32,11-21,"2,312",72.3
245,Long Beach St. (Big West),34,22-12,"2,398",70.5
334,Longwood (Longwood),31,12-19,"2,552",82.3
173,Louisiana Tech (WAC),32,12-20,"2,174",67.9
261,Louisiana (Sun Belt),29,14-15,"2,067",71.3
74,Louisville (AAC),35,25-10,"2,259",64.5
128,Loyola Chicago (Horizon),31,16-15,"2,065",66.6
147,Loyola Maryland (MAAC),30,15-15,"2,011",67
126,LSU (SEC),32,11-21,"2,130",66.6
143,Maine (America East),30,15-15,"2,010",67
221,Manhattan (MAAC),31,6-25,"2,161",69.7
274,Marist (MAAC),33,6-27,"2,383",72.2
203,Marquette (AAC),37,22-15,"2,546",68.8
155,Marshall (C-USA),34,22-12,"2,291",67.4
164,Maryland (ACC),33,19-14,"2,231",67.6
175,Massachusetts (Atlantic 10),30,15-15,"2,039",68
263,McNeese (Southland),33,21-12,"2,354",71.3
185,Memphis (C-USA),35,25-10,"2,392",68.3
189,Mercer (ASUN),33,15-18,"2,258",68.4
163,Miami (FL) (ACC),36,21-15,"2,433",67.6
239,Miami (OH) (MAC),33,16-17,"2,319",70.3
125,Michigan St. (Big Ten),34,19-15,"2,263",66.6
39,Michigan (Big Ten),35,21-14,"2,187",62.5
118,Middle Tenn. (Sun Belt),32,16-16,"2,121",66.3
218,Milwaukee (Horizon),33,19-14,"2,300",69.7
142,Minnesota (Big Ten),31,17-14,"2,076",67
236,Mississippi St. (SEC),31,17-14,"2,177",70.2
307,Mississippi Val. (SWAC),32,13-19,"2,393",74.8
50,Missouri St. (MVC),35,26-9,"2,209",63.1
267,Missouri (Big 12),34,23-11,"2,435",71.6
109,Monmouth (NEC),30,9-21,"1,976",65.9
199,Montana St. (Big Sky),31,13-18,"2,130",68.7
20,Montana (Big Sky),32,21-11,"1,950",60.9
28,Morehead St. (OVC),35,25-10,"2,162",61.8
136,Morgan St. (MEAC),31,17-14,"2,071",66.8
122,Mount St. Mary's (NEC),32,11-21,"2,124",66.4
30,Murray St. (OVC),32,23-9,"1,979",61.8
299,N.C. A&T (MEAC),32,15-17,"2,372",74.1
282,Navy (Patriot),31,11-20,"2,254",72.7
242,NC State (ACC),31,15-16,"2,184",70.5
16,Nebraska (Big 12),32,19-13,"1,936",60.5
259,Nevada (WAC),32,13-19,"2,279",71.2
18,New Hampshire (America East),30,12-18,"1,826",60.9
234,New Mexico St. (WAC),33,16-17,"2,316",70.2
112,New Mexico (Mountain West),35,22-13,"2,308",65.9
240,Niagara (MAAC),32,9-23,"2,250",70.3
29,Nicholls (Southland),28,14-14,"1,730",61.8
187,NJIT (NJIT),30,15-15,"2,052",68.4
305,Norfolk St. (MEAC),32,12-20,"2,390",74.7
202,North Carolina (ACC),37,29-8,"2,545",68.8
256,North Dakota St. (Summit League),29,14-15,"2,062",71.1
266,North Florida (ASUN),34,15-19,"2,431",71.5
265,North Texas (Sun Belt),33,22-11,"2,358",71.5
241,Northeastern (CAA),31,11-20,"2,183",70.4
85,Northern Ariz. (Big Sky),32,19-13,"2,078",64.9
105,Northern Colo. (Big Sky),32,21-11,"2,105",65.8
291,Northern Ill. (MAC),30,9-21,"2,199",73.3
325,Northwestern St. (Southland),32,18-14,"2,482",77.6
167,Northwestern (Big Ten),34,20-14,"2,301",67.7
99,Notre Dame (AAC),34,27-7,"2,227",65.5
321,Oakland (Summit League),35,25-10,"2,690",76.9
10,Ohio St. (Big Ten),37,34-3,"2,208",59.7
284,Ohio (MAC),35,19-16,"2,548",72.8
127,Oklahoma St. (Big 12),34,20-14,"2,264",66.6
200,Oklahoma (Big 12),32,14-18,"2,199",68.7
3,Old Dominion (CAA),34,27-7,"1,984",58.4
210,Ole Miss (SEC),34,20-14,"2,350",69.1
280,Oral Roberts (Summit League),35,19-16,"2,544",72.7
283,Oregon St. (Pac-12),31,11-20,"2,256",72.8
213,Oregon (Pac-12),39,21-18,"2,704",69.3
45,Pacific (Big West),31,16-15,"1,945",62.7
40,Penn St. (Big Ten),34,19-15,"2,126",62.5
182,Penn (Ivy League),28,13-15,"1,906",68.1
298,Pepperdine (WCC),33,12-21,"2,442",74
21,Pittsburgh (AAC),34,28-6,"2,073",61
302,Portland St. (Big Sky),30,14-16,"2,230",74.3
192,Portland (WCC),32,20-12,"2,192",68.5
231,Prairie View (SWAC),32,10-22,"2,242",70.1
49,Princeton (Ivy League),32,25-7,"2,017",63
310,Providence (AAC),32,15-17,"2,411",75.3
233,Purdue Fort Wayne (Summit League),30,18-12,"2,103",70.1
31,Purdue (Big Ten),34,26-8,"2,103",61.9
159,Quinnipiac (NEC),32,22-10,"2,157",67.4
258,Radford (Big South),29,5-24,"2,065",71.2
130,Rhode Island (Atlantic 10),34,20-14,"2,267",66.7
151,Rice (C-USA),32,14-18,"2,149",67.2
22,Richmond (Atlantic 10),37,29-8,"2,265",61.2
204,Rider (MAAC),34,23-11,"2,340",68.8
97,Robert Morris (NEC),32,18-14,"2,095",65.5
102,Rutgers (AAC),32,15-17,"2,101",65.7
217,Sacramento St. (Big Sky),28,7-21,"1,948",69.6
216,Sacred Heart (NEC),29,11-18,"2,017",69.6
287,Saint Francis (PA) (NEC),30,9-21,"2,187",72.9
223,Saint Joseph's (Atlantic 10),33,11-22,"2,301",69.7
35,Saint Louis (Atlantic 10),31,12-19,"1,933",62.4
117,Saint Mary's (CA) (WCC),34,25-9,"2,253",66.3
12,Saint Peter's (MAAC),34,20-14,"2,042",60.1
114,Sam Houston (Southland),31,18-13,"2,049",66.1
139,Samford (SoCon),31,12-19,"2,072",66.8
7,San Diego St. (Mountain West),37,34-3,"2,192",59.2
243,San Diego (WCC),30,6-24,"2,114",70.5
247,San Francisco (WCC),34,19-15,"2,401",70.6
285,San Jose St. (WAC),33,17-16,"2,405",72.9
252,Santa Clara (WCC),38,24-14,"2,690",70.8
14,Savannah St. (Savannah St.),30,12-18,"1,808",60.3
104,Seton Hall (AAC),31,13-18,"2,039",65.8
1,SFA (Southland),29,18-11,"1,643",56.7
229,Siena (MAAC),31,13-18,"2,169",70
23,SMU (C-USA),35,20-15,"2,147",61.3
286,South Alabama (Sun Belt),28,12-16,"2,041",72.9
257,South Carolina St. (MEAC),32,10-22,"2,276",71.1
206,South Carolina (SEC),30,14-16,"2,070",69
294,South Dakota St. (Summit League),31,19-12,"2,285",73.7
124,South Fla. (AAC),33,10-23,"2,196",66.5
262,Southeast Mo. St. (OVC),32,10-22,"2,281",71.3
209,Southeastern La. (Southland),29,15-14,"2,003",69.1
42,Southern California (Pac-12),34,19-15,"2,131",62.7
86,Southern Ill. (MVC),32,13-19,"2,079",65
94,Southern Miss. (C-USA),32,22-10,"2,093",65.4
271,Southern U. (SWAC),30,4-26,"2,162",72.1
288,Southern Utah (Summit League),30,11-19,"2,192",73.1
229,St. Bonaventure (Atlantic 10),31,16-15,"2,169",70
120,St. Francis Brooklyn (NEC),30,15-15,"1,990",66.3
143,St. John's (NY) (AAC),33,21-12,"2,211",67
88,Stanford (Pac-12),31,15-16,"2,020",65.2
269,Stetson (ASUN),31,8-23,"2,228",71.9
15,Stony Brook (America East),32,15-17,"1,934",60.4
52,Syracuse (AAC),35,27-8,"2,216",63.3
238,TCU (Mountain West),33,11-22,"2,318",70.2
37,Temple (Atlantic 10),34,26-8,"2,124",62.5
177,Tennessee St. (OVC),30,14-16,"2,040",68
227,Tennessee Tech (OVC),33,20-13,"2,307",69.9
162,Tennessee (SEC),34,19-15,"2,296",67.5
19,Texas A&M (Big 12),33,24-9,"2,009",60.9
93,Texas Southern (SWAC),32,19-13,"2,092",65.4
327,Texas St. (Southland),32,16-16,"2,510",78.4
310,Texas Tech (Big 12),32,13-19,"2,411",75.3
33,Texas (Big 12),36,28-8,"2,238",62.2
226,The Citadel (SoCon),32,10-22,"2,237",69.9
235,Toledo (MAC),32,4-28,"2,247",70.2
316,Towson (CAA),30,4-26,"2,279",76
323,Troy (Sun Belt),29,8-21,"2,243",77.3
108,Tulane (C-USA),30,13-17,"1,975",65.8
166,Tulsa (C-USA),32,19-13,"2,165",67.7
41,UAB (C-USA),31,22-9,"1,940",62.6
289,UC Davis (Big West),30,10-20,"2,194",73.1
313,UC Irvine (Big West),32,13-19,"2,419",75.6
225,UC Riverside (Big West),31,12-19,"2,164",69.8
105,UC Santa Barbara (Big West),32,18-14,"2,105",65.8
48,UCF (C-USA),33,21-12,"2,080",63
119,UCLA (Pac-12),34,23-11,"2,254",66.3
84,UConn (AAC),41,32-9,"2,659",64.9
214,UIC (Horizon),31,7-24,"2,152",69.4
194,ULM (Sun Belt),31,7-24,"2,126",68.6
328,UMBC (America East),30,5-25,"2,354",78.5
326,UMES (MEAC),31,9-22,"2,408",77.7
195,UNC Asheville (Big South),34,20-14,"2,333",68.6
331,UNC Greensboro (SoCon),31,7-24,"2,501",80.7
131,UNCW (CAA),31,13-18,"2,067",66.7
13,UNI (MVC),34,20-14,"2,046",60.2
47,UNLV (Mountain West),33,24-9,"2,077",62.9
201,UT Arlington (Southland),29,13-16,"1,993",68.7
303,UT Martin (OVC),33,12-21,"2,454",74.4
5,Utah St. (WAC),34,30-4,"1,995",58.7
190,Utah Valley (Utah Valley),30,19-11,"2,054",68.5
236,Utah (Mountain West),31,13-18,"2,177",70.2
56,UTEP (C-USA),35,25-10,"2,225",63.6
318,UTRGV (UTRGV),31,6-25,"2,357",76
215,UTSA (Southland),34,20-14,"2,363",69.5
176,Valparaiso (Horizon),35,23-12,"2,379",68
167,Vanderbilt (SEC),34,23-11,"2,301",67.7
137,VCU (CAA),40,28-12,"2,673",66.8
25,Vermont (America East),32,23-9,"1,972",61.6
95,Villanova (AAC),33,21-12,"2,159",65.4
44,Virginia Tech (ACC),34,22-12,"2,133",62.7
36,Virginia (ACC),31,16-15,"1,935",62.4
333,VMI (Big South),31,18-13,"2,545",82.1
244,Wagner (NEC),30,13-17,"2,115",70.5
322,Wake Forest (ACC),32,8-24,"2,469",77.2
158,Washington St. (Pac-12),35,22-13,"2,359",67.4
249,Washington (Pac-12),35,24-11,"2,474",70.7
143,Weber St. (Big Sky),32,18-14,"2,144",67
79,West Virginia (AAC),33,21-12,"2,134",64.7
205,Western Caro. (SoCon),33,18-15,"2,275",68.9
83,Western Ill. (Summit League),30,7-23,"1,945",64.8
250,Western Ky. (Sun Belt),32,16-16,"2,263",70.7
184,Western Mich. (MAC),34,21-13,"2,321",68.3
26,Wichita St. (MVC),37,29-8,"2,281",61.6
173,William & Mary (CAA),32,10-22,"2,174",67.9
140,Winthrop (Big South),30,13-17,"2,006",66.9
4,Wisconsin (Big Ten),34,25-9,"1,992",58.6
178,Wofford (SoCon),34,21-13,"2,313",68
27,Wright St. (Horizon),33,19-14,"2,035",61.7
221,Wyoming (Mountain West),31,10-21,"2,161",69.7
76,Xavier (Atlantic 10),32,24-8,"2,067",64.6
154,Yale (Ivy League),28,15-13,"1,885",67.3
300,Youngstown St. (Horizon),30,9-21,"2,226",74.2
