Rank,Team,GM,W-L,OPP PTS,OPP PPG
251,A&M-Corpus Christi (Southland),31,10-21,"2,194",70.8
87,Air Force (Mountain West),32,16-16,"2,082",65.1
103,Akron (MAC),36,23-13,"2,365",65.7
135,Alabama A&M (SWAC),28,13-15,"1,870",66.8
60,Alabama St. (SWAC),35,17-18,"2,234",63.8
8,Alabama (SEC),37,25-12,"2,198",59.4
62,Albany (NY) (America East),32,16-16,"2,048",64
330,Alcorn (SWAC),28,4-24,"2,258",80.6
58,American (Patriot),31,22-9,"1,973",63.6
290,App State (SoCon),31,16-15,"2,269",73.2
141,Arizona St. (Pac-12),31,12-19,"2,073",66.9
172,Arizona (Pac-12),38,30-8,"2,580",67.9
268,Ark.-Pine Bluff (SWAC),31,7-24,"2,221",71.6
75,Arkansas St. (Sun Belt),32,17-15,"2,066",64.6
133,Arkansas (SEC),31,18-13,"2,069",66.7
264,Army West Point (Patriot),30,11-19,"2,141",71.4
116,Auburn (SEC),31,11-20,"2,051",66.2
146,Austin Peay (OVC),34,20-14,"2,279",67
64,Ball St. (MAC),32,19-13,"2,049",64
62,Baylor (Big 12),31,18-13,"1,984",64
34,Belmont (ASUN),35,30-5,"2,178",62.2
110,Bethune-Cookman (MEAC),34,21-13,"2,240",65.9
191,Binghamton (America East),31,8-23,"2,123",68.5
180,Boise St. (WAC),35,22-13,"2,382",68.1
212,Boston College (ACC),34,21-13,"2,356",69.3
55,Boston U. (America East),35,21-14,"2,222",63.5
150,Bowling Green (MAC),33,14-19,"2,215",67.1
165,Bradley (MVC),32,12-20,"2,164",67.6
293,Brown (Ivy League),28,11-17,"2,054",73.4
61,Bucknell (Patriot),34,25-9,"2,174",63.9
77,Buffalo (MAC),34,20-14,"2,197",64.6
67,Butler (Horizon),38,28-10,"2,437",64.1
171,BYU (Mountain West),37,32-5,"2,512",67.9
6,Cal Poly (Big West),30,15-15,"1,766",58.9
309,Cal St. Fullerton (Big West),31,11-20,"2,326",75
272,California (Pac-12),33,18-15,"2,382",72.2
160,Campbell (ASUN),31,12-19,"2,091",67.5
161,Canisius (MAAC),30,15-15,"2,024",67.5
332,Centenary (LA) (Summit League),30,1-29,"2,422",80.7
319,Central Ark. (Southland),29,5-24,"2,216",76.4
113,Central Conn. St. (NEC),31,19-12,"2,045",66
82,Central Mich. (MAC),31,10-21,"2,006",64.7
197,Charleston So. (Big South),32,16-16,"2,197",68.7
253,Charlotte (Atlantic 10),30,10-20,"2,130",71
304,Chattanooga (SoCon),32,16-16,"2,380",74.4
335,Chicago St. (Chicago St.),32,6-26,"2,772",86.6
9,Cincinnati (AAC),35,26-9,"2,086",59.6
24,Clemson (ACC),34,22-12,"2,086",61.4
57,Cleveland St. (Horizon),36,27-9,"2,291",63.6
65,Coastal Carolina (Big South),34,28-6,"2,178",64.1
207,Col. of Charleston (SoCon),37,26-11,"2,554",69
314,Colgate (Patriot),30,7-23,"2,270",75.7
169,Colorado St. (Mountain West),32,19-13,"2,166",67.7
292,Colorado (Big 12),38,24-14,"2,787",73.3
253,Columbia (Ivy League),28,15-13,"1,988",71
277,Coppin St. (MEAC),30,16-14,"2,169",72.3
232,Cornell (Ivy League),28,10-18,"1,962",70.1
91,Creighton (MVC),39,23-16,"2,549",65.4
324,CSU Bakersfield (CSU Bakersfield),28,9-19,"2,166",77.4
260,CSUN (Big West),32,14-18,"2,280",71.3
253,Dartmouth (Ivy League),28,5-23,"1,988",71
198,Davidson (SoCon),33,18-15,"2,266",68.7
92,Dayton (Atlantic 10),36,22-14,"2,353",65.4
100,Delaware St. (MEAC),30,9-21,"1,967",65.6
128,Delaware (CAA),31,14-17,"2,065",66.6
17,Denver (Sun Belt),30,13-17,"1,817",60.6
320,DePaul (AAC),31,7-24,"2,378",76.7
279,Detroit Mercy (Horizon),33,17-16,"2,397",72.6
170,Drake (MVC),31,13-18,"2,100",67.7
11,Drexel (CAA),31,21-10,"1,850",59.7
81,Duke (ACC),37,32-5,"2,394",64.7
179,Duquesne (Atlantic 10),32,19-13,"2,177",68
153,East Carolina (C-USA),34,18-16,"2,288",67.3
78,Eastern Ill. (OVC),29,9-20,"1,875",64.7
51,Eastern Ky. (OVC),31,15-16,"1,957",63.1
98,Eastern Mich. (MAC),31,9-22,"2,030",65.5
248,Eastern Wash. (Big Sky),30,10-20,"2,119",70.6
301,Elon (SoCon),31,14-17,"2,301",74.2
72,ETSU (ASUN),36,24-12,"2,320",64.4
149,Evansville (MVC),32,16-16,"2,147",67.1
2,Fairfield (MAAC),33,25-8,"1,924",58.3
281,Fairleigh Dickinson (NEC),29,5-24,"2,108",72.7
312,FIU (Sun Belt),30,11-19,"2,262",75.4
134,Fla. Atlantic (Sun Belt),32,21-11,"2,137",66.8
196,Florida A&M (MEAC),32,12-20,"2,196",68.6
32,Florida St. (ACC),34,23-11,"2,109",62
53,Florida (SEC),37,29-8,"2,345",63.4
296,Fordham (Atlantic 10),28,7-21,"2,069",73.9
156,Fresno St. (WAC),31,14-17,"2,089",67.4
68,Furman (SoCon),33,22-11,"2,124",64.4
315,Ga. Southern (SoCon),32,5-27,"2,423",75.7
123,Gardner-Webb (Big South),32,11-21,"2,129",66.5
37,George Mason (CAA),34,27-7,"2,124",62.5
89,George Washington (Atlantic 10),31,17-14,"2,025",65.3
121,Georgetown (AAC),32,21-11,"2,123",66.3
66,Georgia St. (CAA),31,12-19,"1,988",64.1
148,Georgia Tech (ACC),31,13-18,"2,079",67.1
70,Georgia (SEC),33,21-12,"2,125",64.4
