Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
215,Chattanooga (SoCon),32,16-16,829,"1,887",43.9
322,Chicago St. (Chicago St.),32,6-26,928,"1,963",47.3
58,Cincinnati (AAC),35,26-9,735,"1,790",41.1
29,Clemson (ACC),34,22-12,724,"1,801",40.2
72,Cleveland St. (Horizon),36,27-9,786,"1,900",41.4
18,Coastal Carolina (Big South),34,28-6,796,"2,011",39.6
200,Col. of Charleston (SoCon),37,26-11,969,"2,218",43.7
291,Colgate (Patriot),30,7-23,763,"1,669",45.7
160,Colorado St. (Mountain West),32,19-13,750,"1,747",42.9
258,Colorado (Big 12),38,24-14,990,"2,212",44.8
290,Columbia (Ivy League),28,15-13,704,"1,540",45.7
144,Coppin St. (MEAC),30,16-14,756,"1,772",42.7
283,Cornell (Ivy League),28,10-18,665,"1,459",45.6
184,Creighton (MVC),39,23-16,958,"2,209",43.4
328,CSU Bakersfield (CSU Bakersfield),28,9-19,773,"1,605",48.2
168,CSUN (Big West),32,14-18,717,"1,663",43.1
278,Dartmouth (Ivy League),28,5-23,689,"1,530",45
177,Davidson (SoCon),33,18-15,753,"1,740",43.3
74,Dayton (Atlantic 10),36,22-14,806,"1,946",41.4
334,Delaware St. (MEAC),30,9-21,735,"1,494",49.2
118,Delaware (CAA),31,14-17,711,"1,684",42.2
288,Denver (Sun Belt),30,13-17,577,"1,264",45.6
335,DePaul (AAC),31,7-24,873,"1,743",50.1
145,Detroit Mercy (Horizon),33,17-16,856,"2,006",42.7
273,Drake (MVC),31,13-18,748,"1,664",45
26,Drexel (CAA),31,21-10,652,"1,630",40
39,Duke (ACC),37,32-5,896,"2,212",40.5
138,Duquesne (Atlantic 10),32,19-13,759,"1,781",42.6
155,East Carolina (C-USA),34,18-16,799,"1,863",42.9
106,Eastern Ill. (OVC),29,9-20,635,"1,514",41.9
255,Eastern Ky. (OVC),31,15-16,681,"1,522",44.7
142,Eastern Mich. (MAC),31,9-22,697,"1,635",42.6
211,Eastern Wash. (Big Sky),30,10-20,704,"1,607",43.8
310,Elon (SoCon),31,14-17,827,"1,790",46.2
37,ETSU (ASUN),36,24-12,803,"1,983",40.5
282,Evansville (MVC),32,16-16,730,"1,614",45.2
27,Fairfield (MAAC),33,25-8,703,"1,756",40
196,Fairleigh Dickinson (NEC),29,5-24,736,"1,690",43.6
254,FIU (Sun Belt),30,11-19,766,"1,712",44.7
163,Fla. Atlantic (Sun Belt),32,21-11,743,"1,728",43
76,Florida A&M (MEAC),32,12-20,769,"1,855",41.5
1,Florida St. (ACC),34,23-11,696,"1,918",36.3
110,Florida (SEC),37,29-8,872,"2,075",42
180,Fordham (Atlantic 10),28,7-21,727,"1,678",43.3
180,Fresno St. (WAC),31,14-17,727,"1,678",43.3
124,Furman (SoCon),33,22-11,731,"1,727",42.3
332,Ga. Southern (SoCon),32,5-27,823,"1,693",48.6
225,Gardner-Webb (Big South),32,11-21,729,"1,653",44.1
66,George Mason (CAA),34,27-7,761,"1,847",41.2
157,George Washington (Atlantic 10),31,17-14,693,"1,615",42.9
92,Georgetown (AAC),32,21-11,737,"1,763",41.8
38,Georgia St. (CAA),31,12-19,627,"1,548",40.5
222,Georgia Tech (ACC),31,13-18,701,"1,592",44
19,Georgia (SEC),33,21-12,741,"1,866",39.7
33,Gonzaga (WCC),35,25-10,786,"1,947",40.4
189,Grambling (SWAC),33,12-21,783,"1,802",43.5
260,Green Bay (Horizon),32,14-18,731,"1,632",44.8
4,Hampton (MEAC),33,24-9,719,"1,874",38.4
201,Hartford (America East),31,11-20,668,"1,529",43.7
178,Harvard (Ivy League),30,23-7,716,"1,654",43.3
8,Hawaii (WAC),32,19-13,733,"1,883",38.9
294,High Point (Big South),31,12-19,759,"1,656",45.8
221,Hofstra (CAA),33,21-12,815,"1,851",44
159,Holy Cross (Patriot),29,8-21,713,"1,661",42.9
119,Houston (C-USA),30,12-18,729,"1,726",42.2
280,Howard (MEAC),30,6-24,712,"1,580",45.1
287,Idaho St. (Big Sky),29,9-20,713,"1,563",45.6
97,Idaho (WAC),32,18-14,761,"1,818",41.9
150,Illinois St. (MVC),31,12-19,694,"1,622",42.8
35,Illinois (Big Ten),34,20-14,780,"1,931",40.4
46,Indiana St. (MVC),34,20-14,713,"1,755",40.6
182,Indiana (Big Ten),32,12-20,703,"1,622",43.3
233,Iona (MAAC),37,25-12,926,"2,094",44.2
112,Iowa St. (Big 12),32,16-16,823,"1,955",42.1
214,Iowa (Big Ten),31,11-20,768,"1,749",43.9
321,IUPUI (Summit League),33,19-14,855,"1,810",47.2
166,Jackson St. (SWAC),32,17-15,657,"1,524",43.1
313,Jacksonville St. (OVC),30,5-25,664,"1,423",46.7
107,Jacksonville (ASUN),32,20-12,704,"1,678",42
151,James Madison (CAA),33,21-12,778,"1,818",42.8
315,Kansas City (Summit League),30,16-14,784,"1,668",47
115,Kansas St. (Big 12),34,23-11,751,"1,782",42.1
13,Kansas (Big 12),38,35-3,862,"2,188",39.4
312,Kennesaw St. (ASUN),31,8-23,857,"1,844",46.5
108,Kent St. (MAC),37,25-12,902,"2,149",42
15,Kentucky (SEC),38,29-9,863,"2,188",39.4
267,La Salle (Atlantic 10),33,15-18,929,"2,069",44.9
269,Lafayette (Patriot),32,13-19,794,"1,768",44.9
213,Lamar University (Southland),30,13-17,781,"1,781",43.9
162,Lehigh (Patriot),31,16-15,777,"1,808",43
148,Liberty (Big South),32,19-13,758,"1,774",42.7
231,Lipscomb (ASUN),30,17-13,779,"1,763",44.2
188,Little Rock (Sun Belt),36,19-17,811,"1,867",43.4
194,LIU (NEC),33,27-6,942,"2,165",43.5
193,LMU (CA) (WCC),32,11-21,811,"1,864",43.5
253,Long Beach St. (Big West),34,22-12,892,"1,994",44.7
330,Longwood (Longwood),31,12-19,936,"1,933",48.4
146,Louisiana Tech (WAC),32,12-20,733,"1,716",42.7
202,Louisiana (Sun Belt),29,14-15,696,"1,593",43.7
12,Louisville (AAC),35,25-10,762,"1,935",39.4
257,Loyola Chicago (Horizon),31,16-15,750,"1,676",44.7
271,Loyola Maryland (MAAC),30,15-15,719,"1,600",44.9
78,LSU (SEC),32,11-21,730,"1,759",41.5
103,Maine (America East),30,15-15,701,"1,673",41.9
229,Manhattan (MAAC),31,6-25,762,"1,725",44.2
198,Marist (MAAC),33,6-27,828,"1,900",43.6
212,Marquette (AAC),37,22-15,939,"2,142",43.8
114,Marshall (C-USA),34,22-12,817,"1,939",42.1
34,Maryland (ACC),33,19-14,805,"1,994",40.4
30,Massachusetts (Atlantic 10),30,15-15,677,"1,682",40.2
165,McNeese (Southland),33,21-12,799,"1,854",43.1
81,Memphis (C-USA),35,25-10,828,"1,988",41.6
190,Mercer (ASUN),33,15-18,754,"1,735",43.5
83,Miami (FL) (ACC),36,21-15,833,"1,999",41.7
237,Miami (OH) (MAC),33,16-17,836,"1,886",44.3
122,Michigan St. (Big Ten),34,19-15,787,"1,861",42.3
154,Michigan (Big Ten),35,21-14,795,"1,854",42.9
137,Middle Tenn. (Sun Belt),32,16-16,662,"1,554",42.6
270,Milwaukee (Horizon),33,19-14,827,"1,841",44.9
22,Minnesota (Big Ten),31,17-14,710,"1,780",39.9
85,Mississippi St. (SEC),31,17-14,799,"1,917",41.7
191,Mississippi Val. (SWAC),32,13-19,801,"1,843",43.5
265,Missouri St. (MVC),35,26-9,804,"1,792",44.9
210,Missouri (Big 12),34,23-11,851,"1,943",43.8
89,Monmouth (NEC),30,9-21,685,"1,639",41.8
274,Montana St. (Big Sky),31,13-18,750,"1,667",45
21,Montana (Big Sky),32,21-11,682,"1,710",39.9
96,Morehead St. (OVC),35,25-10,735,"1,756",41.9
156,Morgan St. (MEAC),31,17-14,708,"1,650",42.9
143,Mount St. Mary's (NEC),32,11-21,750,"1,759",42.6
185,Murray St. (OVC),32,23-9,688,"1,586",43.4
61,N.C. A&T (MEAC),32,15-17,850,"2,066",41.1
240,Navy (Patriot),31,11-20,763,"1,719",44.4
129,NC State (ACC),31,15-16,789,"1,862",42.4
7,Nebraska (Big 12),32,19-13,657,"1,691",38.9
136,Nevada (WAC),32,13-19,778,"1,827",42.6
56,New Hampshire (America East),30,12-18,639,"1,560",41
219,New Mexico St. (WAC),33,16-17,825,"1,875",44
121,New Mexico (Mountain West),35,22-13,813,"1,923",42.3
216,Niagara (MAAC),32,9-23,795,"1,809",43.9
244,Nicholls (Southland),28,14-14,576,"1,294",44.5
123,NJIT (NJIT),30,15-15,675,"1,596",42.3
172,Norfolk St. (MEAC),32,12-20,791,"1,831",43.2
42,North Carolina (ACC),37,29-8,948,"2,339",40.5
235,North Dakota St. (Summit League),29,14-15,727,"1,643",44.2
205,North Florida (ASUN),34,15-19,866,"1,981",43.7
228,North Texas (Sun Belt),33,22-11,854,"1,934",44.2
325,Northeastern (CAA),31,11-20,751,"1,584",47.4
54,Northern Ariz. (Big Sky),32,19-13,716,"1,749",40.9
59,Northern Colo. (Big Sky),32,21-11,682,"1,660",41.1
230,Northern Ill. (MAC),30,9-21,756,"1,711",44.2
204,Northwestern St. (Southland),32,18-14,822,"1,881",43.7
314,Northwestern (Big Ten),34,20-14,822,"1,757",46.8
52,Notre Dame (AAC),34,27-7,815,"1,996",40.8
239,Oakland (Summit League),35,25-10,984,"2,217",44.4
132,Ohio St. (Big Ten),37,34-3,838,"1,976",42.4
256,Ohio (MAC),35,19-16,882,"1,971",44.7
64,Oklahoma St. (Big 12),34,20-14,734,"1,782",41.2
281,Oklahoma (Big 12),32,14-18,767,"1,699",45.1
36,Old Dominion (CAA),34,27-7,717,"1,774",40.4
134,Ole Miss (SEC),34,20-14,803,"1,889",42.5
301,Oral Roberts (Summit League),35,19-16,874,"1,899",46
307,Oregon St. (Pac-12),31,11-20,783,"1,698",46.1
249,Oregon (Pac-12),39,21-18,941,"2,109",44.6
209,Pacific (Big West),31,16-15,722,"1,649",43.8
218,Penn St. (Big Ten),34,19-15,768,"1,747",44
303,Penn (Ivy League),28,13-15,674,"1,463",46.1
302,Pepperdine (WCC),33,12-21,849,"1,844",46
20,Pittsburgh (AAC),34,28-6,735,"1,850",39.7
324,Portland St. (Big Sky),30,14-16,840,"1,774",47.4
170,Portland (WCC),32,20-12,755,"1,751",43.1
139,Prairie View (SWAC),32,10-22,774,"1,816",42.6
131,Princeton (Ivy League),32,25-7,721,"1,701",42.4
264,Providence (AAC),32,15-17,897,"2,001",44.8
293,Purdue Fort Wayne (Summit League),30,18-12,704,"1,538",45.8
75,Purdue (Big Ten),34,26-8,770,"1,858",41.4
100,Quinnipiac (NEC),32,22-10,716,"1,710",41.9
248,Radford (Big South),29,5-24,717,"1,608",44.6
127,Rhode Island (Atlantic 10),34,20-14,799,"1,886",42.4
217,Rice (C-USA),32,14-18,706,"1,606",44
40,Richmond (Atlantic 10),37,29-8,832,"2,053",40.5
50,Rider (MAAC),34,23-11,832,"2,045",40.7
101,Robert Morris (NEC),32,18-14,675,"1,612",41.9
47,Rutgers (AAC),32,15-17,667,"1,641",40.6
223,Sacramento St. (Big Sky),28,7-21,688,"1,562",44
266,Sacred Heart (NEC),29,11-18,696,"1,551",44.9
316,Saint Francis (PA) (NEC),30,9-21,765,"1,626",47
199,Saint Joseph's (Atlantic 10),33,11-22,811,"1,859",43.6
183,Saint Louis (Atlantic 10),31,12-19,680,"1,568",43.4
226,Saint Mary's (CA) (WCC),34,25-9,809,"1,834",44.1
2,Saint Peter's (MAAC),34,20-14,683,"1,818",37.6
176,Sam Houston (Southland),31,18-13,720,"1,664",43.3
171,Samford (SoCon),31,12-19,722,"1,672",43.2
17,San Diego St. (Mountain West),37,34-3,802,"2,027",39.6
306,San Diego (WCC),30,6-24,735,"1,594",46.1
94,San Francisco (WCC),34,19-15,844,"2,018",41.8
203,San Jose St. (WAC),33,17-16,839,"1,920",43.7
252,Santa Clara (WCC),38,24-14,899,"2,012",44.7
31,Savannah St. (Savannah St.),30,12-18,611,"1,517",40.3
88,Seton Hall (AAC),31,13-18,722,"1,729",41.8
104,SFA (Southland),29,18-11,595,"1,420",41.9
173,Siena (MAAC),31,13-18,785,"1,816",43.2
113,SMU (C-USA),35,20-15,759,"1,802",42.1
292,South Alabama (Sun Belt),28,12-16,739,"1,616",45.7
241,South Carolina St. (MEAC),32,10-22,769,"1,732",44.4
128,South Carolina (SEC),30,14-16,716,"1,690",42.4
318,South Dakota St. (Summit League),31,19-12,836,"1,773",47.2
140,South Fla. (AAC),33,10-23,766,"1,797",42.6
206,Southeast Mo. St. (OVC),32,10-22,777,"1,777",43.7
263,Southeastern La. (Southland),29,15-14,705,"1,573",44.8
55,Southern California (Pac-12),34,19-15,741,"1,810",40.9
195,Southern Ill. (MVC),32,13-19,708,"1,627",43.5
93,Southern Miss. (C-USA),32,22-10,711,"1,700",41.8
224,Southern U. (SWAC),30,4-26,773,"1,754",44.1
275,Southern Utah (Summit League),30,11-19,719,"1,598",45
158,St. Bonaventure (Atlantic 10),31,16-15,773,"1,801",42.9
259,St. Francis Brooklyn (NEC),30,15-15,688,"1,537",44.8
186,St. John's (NY) (AAC),33,21-12,739,"1,703",43.4
167,Stanford (Pac-12),31,15-16,704,"1,633",43.1
234,Stetson (ASUN),31,8-23,737,"1,666",44.2
9,Stony Brook (America East),32,15-17,664,"1,704",39
14,Syracuse (AAC),35,27-8,788,"2,000",39.4
299,TCU (Mountain West),33,11-22,818,"1,779",46
73,Temple (Atlantic 10),34,26-8,790,"1,908",41.4
220,Tennessee St. (OVC),30,14-16,727,"1,652",44
164,Tennessee Tech (OVC),33,20-13,782,"1,815",43.1
90,Tennessee (SEC),34,19-15,785,"1,878",41.8
68,Texas A&M (Big 12),33,24-9,702,"1,703",41.2
86,Texas Southern (SWAC),32,19-13,727,"1,744",41.7
296,Texas St. (Southland),32,16-16,872,"1,901",45.9
289,Texas Tech (Big 12),32,13-19,859,"1,881",45.7
6,Texas (Big 12),36,28-8,816,"2,109",38.7
311,The Citadel (SoCon),32,10-22,821,"1,772",46.3
277,Toledo (MAC),32,4-28,790,"1,755",45
331,Towson (CAA),30,4-26,825,"1,698",48.6
238,Troy (Sun Belt),29,8-21,774,"1,746",44.3
285,Tulane (C-USA),30,13-17,695,"1,524",45.6
120,Tulsa (C-USA),32,19-13,735,"1,739",42.3
71,UAB (C-USA),31,22-9,699,"1,692",41.3
298,UC Davis (Big West),30,10-20,786,"1,710",46
174,UC Irvine (Big West),32,13-19,818,"1,892",43.2
149,UC Riverside (Big West),31,12-19,718,"1,680",42.7
49,UC Santa Barbara (Big West),32,18-14,696,"1,712",40.7
57,UCF (C-USA),33,21-12,751,"1,832",41
91,UCLA (Pac-12),34,23-11,821,"1,964",41.8
11,UConn (AAC),41,32-9,973,"2,478",39.3
276,UIC (Horizon),31,7-24,774,"1,720",45
320,ULM (Sun Belt),31,7-24,734,"1,554",47.2
317,UMBC (America East),30,5-25,785,"1,668",47.1
319,UMES (MEAC),31,9-22,820,"1,737",47.2
87,UNC Asheville (Big South),34,20-14,803,"1,925",41.7
323,UNC Greensboro (SoCon),31,7-24,850,"1,796",47.3
187,UNCW (CAA),31,13-18,750,"1,728",43.4
243,UNI (MVC),34,20-14,724,"1,628",44.5
41,UNLV (Mountain West),33,24-9,704,"1,737",40.5
48,UT Arlington (Southland),29,13-16,654,"1,609",40.6
326,UT Martin (OVC),33,12-21,895,"1,884",47.5
3,Utah St. (WAC),34,30-4,696,"1,815",38.3
65,Utah Valley (Utah Valley),30,19-11,727,"1,765",41.2
117,Utah (Mountain West),31,13-18,763,"1,808",42.2
28,UTEP (C-USA),35,25-10,784,"1,958",40
327,UTRGV (UTRGV),31,6-25,800,"1,679",47.6
102,UTSA (Southland),34,20-14,813,"1,941",41.9
125,Valparaiso (Horizon),35,23-12,813,"1,920",42.3
60,Vanderbilt (SEC),34,23-11,848,"2,063",41.1
227,VCU (CAA),40,28-12,971,"2,200",44.1
10,Vermont (America East),32,23-9,711,"1,812",39.2
43,Villanova (AAC),33,21-12,739,"1,823",40.5
82,Virginia Tech (ACC),34,22-12,771,"1,851",41.7
207,Virginia (ACC),31,16-15,705,"1,612",43.7
297,VMI (Big South),31,18-13,926,"2,018",45.9
147,Wagner (NEC),30,13-17,648,"1,517",42.7
284,Wake Forest (ACC),32,8-24,902,"1,978",45.6
24,Washington St. (Pac-12),35,22-13,814,"2,040",39.9
95,Washington (Pac-12),35,24-11,844,"2,017",41.8
116,Weber St. (Big Sky),32,18-14,725,"1,719",42.2
62,West Virginia (AAC),33,21-12,752,"1,827",41.2
272,Western Caro. (SoCon),33,18-15,779,"1,733",45
161,Western Ill. (Summit League),30,7-23,654,"1,523",42.9
208,Western Ky. (Sun Belt),32,16-16,831,"1,900",43.7
169,Western Mich. (MAC),34,21-13,836,"1,939",43.1
51,Wichita St. (MVC),37,29-8,798,"1,956",40.8
179,William & Mary (CAA),32,10-22,782,"1,806",43.3
80,Winthrop (Big South),30,13-17,686,"1,650",41.6
152,Wisconsin (Big Ten),34,25-9,705,"1,647",42.8
245,Wofford (SoCon),34,21-13,796,"1,787",44.5
305,Wright St. (Horizon),33,19-14,704,"1,527",46.1
251,Wyoming (Mountain West),31,10-21,764,"1,710",44.7
44,Xavier (Atlantic 10),32,24-8,707,"1,743",40.6
109,Yale (Ivy League),28,15-13,669,"1,592",42
268,Youngstown St. (Horizon),30,9-21,771,"1,717",44.9
