Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
304,A&M-Corpus Christi (Southland),31,10-21,793,"1,721",46.1
45,Air Force (Mountain West),32,16-16,705,"1,737",40.6
79,Akron (MAC),36,23-13,832,"2,004",41.5
70,Alabama A&M (SWAC),28,13-15,658,"1,594",41.3
32,Alabama St. (SWAC),35,17-18,715,"1,773",40.3
5,Alabama (SEC),37,25-12,758,"1,965",38.6
63,Albany (NY) (America East),32,16-16,744,"1,807",41.2
232,Alcorn (SWAC),28,4-24,793,"1,794",44.2
111,American (Patriot),31,22-9,679,"1,614",42.1
308,App State (SoCon),31,16-15,841,"1,822",46.2
153,Arizona St. (Pac-12),31,12-19,708,"1,652",42.9
242,Arizona (Pac-12),38,30-8,940,"2,115",44.4
309,Ark.-Pine Bluff (SWAC),31,7-24,728,"1,576",46.2
105,Arkansas St. (Sun Belt),32,17-15,711,"1,696",41.9
67,Arkansas (SEC),31,18-13,747,"1,813",41.2
246,Army West Point (Patriot),30,11-19,728,"1,634",44.6
135,Auburn (SEC),31,11-20,674,"1,583",42.6
133,Austin Peay (OVC),34,20-14,808,"1,902",42.5
126,Ball St. (MAC),32,19-13,740,"1,747",42.4
99,Baylor (Big 12),31,18-13,695,"1,660",41.9
53,Belmont (ASUN),35,30-5,721,"1,764",40.9
300,Bethune-Cookman (MEAC),34,21-13,786,"1,708",46
279,Binghamton (America East),31,8-23,775,"1,720",45.1
295,Boise St. (WAC),35,22-13,807,"1,760",45.9
247,Boston College (ACC),34,21-13,876,"1,965",44.6
23,Boston U. (America East),35,21-14,783,"1,963",39.9
236,Bowling Green (MAC),33,14-19,772,"1,743",44.3
175,Bradley (MVC),32,12-20,742,"1,716",43.2
250,Brown (Ivy League),28,11-17,755,"1,690",44.7
16,Bucknell (Patriot),34,25-9,747,"1,888",39.6
84,Buffalo (MAC),34,20-14,768,"1,843",41.7
130,Butler (Horizon),38,28-10,845,"1,994",42.4
77,BYU (Mountain West),37,32-5,902,"2,174",41.5
25,Cal Poly (Big West),30,15-15,591,"1,479",40
261,Cal St. Fullerton (Big West),31,11-20,767,"1,712",44.8
197,California (Pac-12),33,18-15,836,"1,919",43.6
141,Campbell (ASUN),31,12-19,668,"1,567",42.6
69,Canisius (MAAC),30,15-15,693,"1,681",41.2
333,Centenary (LA) (Summit League),30,1-29,835,"1,699",49.1
329,Central Ark. (Southland),29,5-24,798,"1,649",48.4
98,Central Conn. St. (NEC),31,19-12,733,"1,751",41.9
286,Central Mich. (MAC),31,10-21,675,"1,480",45.6
262,Charleston So. (Big South),32,16-16,790,"1,763",44.8
192,Charlotte (Atlantic 10),30,10-20,769,"1,769",43.5
