Rank,Team,W,L,Pct
212,Delaware (CAA),14,17,45.2
221,Denver (Sun Belt),13,17,43.3
313,DePaul (AAC),7,24,22.6
174,Detroit Mercy (Horizon),17,16,51.5
228,Drake (MVC),13,18,41.9
54,Drexel (CAA),21,10,67.7
5,Duke (ACC),32,5,86.5
106,Duquesne (Atlantic 10),19,13,59.4
165,East Carolina (C-USA),18,16,52.9
292,Eastern Ill. (OVC),9,20,31
196,Eastern Ky. (OVC),15,16,48.4
300,Eastern Mich. (MAC),9,22,29
278,Eastern Wash. (Big Sky),10,20,33.3
212,Elon (SoCon),14,17,45.2
64,ETSU (ASUN),24,12,66.7
176,Evansville (MVC),16,16,50
27,Fairfield (MAAC),25,8,75.8
325,Fairleigh Dickinson (NEC),5,24,17.2
260,FIU (Sun Belt),11,19,36.7
68,Fla. Atlantic (Sun Belt),21,11,65.6
255,Florida A&M (MEAC),12,20,37.5
55,Florida St. (ACC),23,11,67.6
15,Florida (SEC),29,8,78.4
308,Fordham (Atlantic 10),7,21,25
212,Fresno St. (WAC),14,17,45.2
64,Furman (SoCon),22,11,66.7
330,Ga. Southern (SoCon),5,27,15.6
274,Gardner-Webb (Big South),11,21,34.4
11,George Mason (CAA),27,7,79.4
149,George Washington (Atlantic 10),17,14,54.8
68,Georgetown (AAC),21,11,65.6
245,Georgia St. (CAA),12,19,38.7
228,Georgia Tech (ACC),13,18,41.9
77,Georgia (SEC),21,12,63.6
41,Gonzaga (WCC),25,10,71.4
263,Grambling (SWAC),12,21,36.4
217,Green Bay (Horizon),14,18,43.8
36,Hampton (MEAC),24,9,72.7
267,Hartford (America East),11,20,35.5
23,Harvard (Ivy League),23,7,76.7
106,Hawaii (WAC),19,13,59.4
245,High Point (Big South),12,19,38.7
77,Hofstra (CAA),21,12,63.6
303,Holy Cross (Patriot),8,21,27.6
241,Houston (C-USA),12,18,40
318,Howard (MEAC),6,24,20
292,Idaho St. (Big Sky),9,20,31
139,Idaho (WAC),18,14,56.3
245,Illinois St. (MVC),12,19,38.7
116,Illinois (Big Ten),20,14,58.8
116,Indiana St. (MVC),20,14,58.8
255,Indiana (Big Ten),12,20,37.5
61,Iona (MAAC),25,12,67.6
176,Iowa St. (Big 12),16,16,50
267,Iowa (Big Ten),11,20,35.5
133,IUPUI (Summit League),19,14,57.6
163,Jackson St. (SWAC),17,15,53.1
328,Jacksonville St. (OVC),5,25,16.7
91,Jacksonville (ASUN),20,12,62.5
77,James Madison (CAA),21,12,63.6
161,Kansas City (Summit League),16,14,53.3
55,Kansas St. (Big 12),23,11,67.6
1,Kansas (Big 12),35,3,92.1
305,Kennesaw St. (ASUN),8,23,25.8
61,Kent St. (MAC),25,12,67.6
26,Kentucky (SEC),29,9,76.3
210,La Salle (Atlantic 10),15,18,45.5
235,Lafayette (Patriot),13,19,40.6
221,Lamar University (Southland),13,17,43.3
168,Lehigh (Patriot),16,15,51.6
106,Liberty (Big South),19,13,59.4
138,Lipscomb (ASUN),17,13,56.7
166,Little Rock (Sun Belt),19,17,52.8
10,LIU (NEC),27,6,81.8
274,LMU (CA) (WCC),11,21,34.4
72,Long Beach St. (Big West),22,12,64.7
245,Longwood (Longwood),12,19,38.7
255,Louisiana Tech (WAC),12,20,37.5
199,Louisiana (Sun Belt),14,15,48.3
41,Louisville (AAC),25,10,71.4
168,Loyola Chicago (Horizon),16,15,51.6
176,Loyola Maryland (MAAC),15,15,50
274,LSU (SEC),11,21,34.4
176,Maine (America East),15,15,50
320,Manhattan (MAAC),6,25,19.4
323,Marist (MAAC),6,27,18.2
105,Marquette (AAC),22,15,59.5
72,Marshall (C-USA),22,12,64.7
133,Maryland (ACC),19,14,57.6
176,Massachusetts (Atlantic 10),15,15,50
77,McNeese (Southland),21,12,63.6
41,Memphis (C-USA),25,10,71.4
210,Mercer (ASUN),15,18,45.5
128,Miami (FL) (ACC),21,15,58.3
194,Miami (OH) (MAC),16,17,48.5
144,Michigan St. (Big Ten),19,15,55.9
102,Michigan (Big Ten),21,14,60
176,Middle Tenn. (Sun Belt),16,16,50
133,Milwaukee (Horizon),19,14,57.6
149,Minnesota (Big Ten),17,14,54.8
149,Mississippi St. (SEC),17,14,54.8
235,Mississippi Val. (SWAC),13,19,40.6
30,Missouri St. (MVC),26,9,74.3
55,Missouri (Big 12),23,11,67.6
295,Monmouth (NEC),9,21,30
228,Montana St. (Big Sky),13,18,41.9
68,Montana (Big Sky),21,11,65.6
41,Morehead St. (OVC),25,10,71.4
149,Morgan St. (MEAC),17,14,54.8
274,Mount St. Mary's (NEC),11,21,34.4
39,Murray St. (OVC),23,9,71.9
201,N.C. A&T (MEAC),15,17,46.9
267,Navy (Patriot),11,20,35.5
196,NC State (ACC),15,16,48.4
106,Nebraska (Big 12),19,13,59.4
235,Nevada (WAC),13,19,40.6
241,New Hampshire (America East),12,18,40
194,New Mexico St. (WAC),16,17,48.5
88,New Mexico (Mountain West),22,13,62.9
302,Niagara (MAAC),9,23,28.1
176,Nicholls (Southland),14,14,50
176,NJIT (NJIT),15,15,50
255,Norfolk St. (MEAC),12,20,37.5
15,North Carolina (ACC),29,8,78.4
199,North Dakota St. (Summit League),14,15,48.3
216,North Florida (ASUN),15,19,44.1
64,North Texas (Sun Belt),22,11,66.7
267,Northeastern (CAA),11,20,35.5
106,Northern Ariz. (Big Sky),19,13,59.4
68,Northern Colo. (Big Sky),21,11,65.6
295,Northern Ill. (MAC),9,21,30
139,Northwestern St. (Southland),18,14,56.3
116,Northwestern (Big Ten),20,14,58.8
11,Notre Dame (AAC),27,7,79.4
41,Oakland (Summit League),25,10,71.4
2,Ohio St. (Big Ten),34,3,91.9
156,Ohio (MAC),19,16,54.3
116,Oklahoma St. (Big 12),20,14,58.8
217,Oklahoma (Big 12),14,18,43.8
11,Old Dominion (CAA),27,7,79.4
116,Ole Miss (SEC),20,14,58.8
156,Oral Roberts (Summit League),19,16,54.3
267,Oregon St. (Pac-12),11,20,35.5
158,Oregon (Pac-12),21,18,53.8
168,Pacific (Big West),16,15,51.6
144,Penn St. (Big Ten),19,15,55.9
208,Penn (Ivy League),13,15,46.4
263,Pepperdine (WCC),12,21,36.4
8,Pittsburgh (AAC),28,6,82.4
205,Portland St. (Big Sky),14,16,46.7
91,Portland (WCC),20,12,62.5
287,Prairie View (SWAC),10,22,31.3
19,Princeton (Ivy League),25,7,78.1
201,Providence (AAC),15,17,46.9
102,Purdue Fort Wayne (Summit League),18,12,60
24,Purdue (Big Ten),26,8,76.5
51,Quinnipiac (NEC),22,10,68.8
325,Radford (Big South),5,24,17.2
116,Rhode Island (Atlantic 10),20,14,58.8
217,Rice (C-USA),14,18,43.8
15,Richmond (Atlantic 10),29,8,78.4
55,Rider (MAAC),23,11,67.6
139,Robert Morris (NEC),18,14,56.3
201,Rutgers (AAC),15,17,46.9
308,Sacramento St. (Big Sky),7,21,25
254,Sacred Heart (NEC),11,18,37.9
295,Saint Francis (PA) (NEC),9,21,30
278,Saint Joseph's (Atlantic 10),11,22,33.3
245,Saint Louis (Atlantic 10),12,19,38.7
33,Saint Mary's (CA) (WCC),25,9,73.5
116,Saint Peter's (MAAC),20,14,58.8
129,Sam Houston (Southland),18,13,58.1
245,Samford (SoCon),12,19,38.7
2,San Diego St. (Mountain West),34,3,91.9
318,San Diego (WCC),6,24,20
144,San Francisco (WCC),19,15,55.9
174,San Jose St. (WAC),17,16,51.5
86,Santa Clara (WCC),24,14,63.2
241,Savannah St. (Savannah St.),12,18,40
228,Seton Hall (AAC),13,18,41.9
93,SFA (Southland),18,11,62.1
228,Siena (MAAC),13,18,41.9
137,SMU (C-USA),20,15,57.1
226,South Alabama (Sun Belt),12,16,42.9
287,South Carolina St. (MEAC),10,22,31.3
205,South Carolina (SEC),14,16,46.7
98,South Dakota St. (Summit League),19,12,61.3
294,South Fla. (AAC),10,23,30.3
287,Southeast Mo. St. (OVC),10,22,31.3
167,Southeastern La. (Southland),15,14,51.7
144,Southern California (Pac-12),19,15,55.9
235,Southern Ill. (MVC),13,19,40.6
51,Southern Miss. (C-USA),22,10,68.8
332,Southern U. (SWAC),4,26,13.3
260,Southern Utah (Summit League),11,19,36.7
168,St. Bonaventure (Atlantic 10),16,15,51.6
176,St. Francis Brooklyn (NEC),15,15,50
77,St. John's (NY) (AAC),21,12,63.6
196,Stanford (Pac-12),15,16,48.4
305,Stetson (ASUN),8,23,25.8
201,Stony Brook (America East),15,17,46.9
22,Syracuse (AAC),27,8,77.1
278,TCU (Mountain West),11,22,33.3
24,Temple (Atlantic 10),26,8,76.5
205,Tennessee St. (OVC),14,16,46.7
101,Tennessee Tech (OVC),20,13,60.6
144,Tennessee (SEC),19,15,55.9
36,Texas A&M (Big 12),24,9,72.7
106,Texas Southern (SWAC),19,13,59.4
176,Texas St. (Southland),16,16,50
235,Texas Tech (Big 12),13,19,40.6
21,Texas (Big 12),28,8,77.8
287,The Citadel (SoCon),10,22,31.3
334,Toledo (MAC),4,28,12.5
332,Towson (CAA),4,26,13.3
303,Troy (Sun Belt),8,21,27.6
221,Tulane (C-USA),13,17,43.3
106,Tulsa (C-USA),19,13,59.4
47,UAB (C-USA),22,9,71
278,UC Davis (Big West),10,20,33.3
235,UC Irvine (Big West),13,19,40.6
245,UC Riverside (Big West),12,19,38.7
139,UC Santa Barbara (Big West),18,14,56.3
77,UCF (C-USA),21,12,63.6
55,UCLA (Pac-12),23,11,67.6
20,UConn (AAC),32,9,78
313,UIC (Horizon),7,24,22.6
313,ULM (Sun Belt),7,24,22.6
328,UMBC (America East),5,25,16.7
300,UMES (MEAC),9,22,29
116,UNC Asheville (Big South),20,14,58.8
313,UNC Greensboro (SoCon),7,24,22.6
228,UNCW (CAA),13,18,41.9
116,UNI (MVC),20,14,58.8
36,UNLV (Mountain West),24,9,72.7
215,UT Arlington (Southland),13,16,44.8
263,UT Martin (OVC),12,21,36.4
4,Utah St. (WAC),30,4,88.2
85,Utah Valley (Utah Valley),19,11,63.3
228,Utah (Mountain West),13,18,41.9
41,UTEP (C-USA),25,10,71.4
320,UTRGV (UTRGV),6,25,19.4
116,UTSA (Southland),20,14,58.8
67,Valparaiso (Horizon),23,12,65.7
55,Vanderbilt (SEC),23,11,67.6
50,VCU (CAA),28,12,70
39,Vermont (America East),23,9,71.9
77,Villanova (AAC),21,12,63.6
72,Virginia Tech (ACC),22,12,64.7
168,Virginia (ACC),16,15,51.6
129,VMI (Big South),18,13,58.1
221,Wagner (NEC),13,17,43.3
308,Wake Forest (ACC),8,24,25
88,Washington St. (Pac-12),22,13,62.9
53,Washington (Pac-12),24,11,68.6
139,Weber St. (Big Sky),18,14,56.3
77,West Virginia (AAC),21,12,63.6
153,Western Caro. (SoCon),18,15,54.5
311,Western Ill. (Summit League),7,23,23.3
176,Western Ky. (Sun Belt),16,16,50
94,Western Mich. (MAC),21,13,61.8
15,Wichita St. (MVC),29,8,78.4
287,William & Mary (CAA),10,22,31.3
221,Winthrop (Big South),13,17,43.3
33,Wisconsin (Big Ten),25,9,73.5
94,Wofford (SoCon),21,13,61.8
133,Wright St. (Horizon),19,14,57.6
283,Wyoming (Mountain West),10,21,32.3
28,Xavier (Atlantic 10),24,8,75
159,Yale (Ivy League),15,13,53.6
295,Youngstown St. (Horizon),9,21,30
