Rank,Team,GM,W-L,3FG,3PG
88,Kansas St. (Big 12),34,23-11,237,7
82,Kansas (Big 12),38,35-3,271,7.1
218,Kennesaw St. (ASUN),31,8-23,176,5.7
247,Kent St. (MAC),37,25-12,202,5.5
72,Kentucky (SEC),38,29-9,281,7.4
152,La Salle (Atlantic 10),33,15-18,208,6.3
50,Lafayette (Patriot),32,13-19,247,7.7
41,Lamar University (Southland),30,13-17,234,7.8
229,Lehigh (Patriot),31,16-15,172,5.5
268,Liberty (Big South),32,19-13,166,5.2
114,Lipscomb (ASUN),30,17-13,199,6.6
109,Little Rock (Sun Belt),36,19-17,242,6.7
91,LIU (NEC),33,27-6,229,6.9
306,LMU (CA) (WCC),32,11-21,149,4.7
134,Long Beach St. (Big West),34,22-12,219,6.4
56,Longwood (Longwood),31,12-19,236,7.6
175,Louisiana Tech (WAC),32,12-20,193,6
266,Louisiana (Sun Belt),29,14-15,151,5.2
9,Louisville (AAC),35,25-10,309,8.8
133,Loyola Chicago (Horizon),31,16-15,200,6.5
180,Loyola Maryland (MAAC),30,15-15,180,6
242,LSU (SEC),32,11-21,175,5.5
142,Maine (America East),30,15-15,191,6.4
334,Manhattan (MAAC),31,6-25,113,3.6
157,Marist (MAAC),33,6-27,207,6.3
270,Marquette (AAC),37,22-15,191,5.2
232,Marshall (C-USA),34,22-12,188,5.5
313,Maryland (ACC),33,19-14,151,4.6
234,Massachusetts (Atlantic 10),30,15-15,165,5.5
102,McNeese (Southland),33,21-12,226,6.8
180,Memphis (C-USA),35,25-10,210,6
135,Mercer (ASUN),33,15-18,212,6.4
35,Miami (FL) (ACC),36,21-15,283,7.9
65,Miami (OH) (MAC),33,16-17,249,7.5
129,Michigan St. (Big Ten),34,19-15,220,6.5
22,Michigan (Big Ten),35,21-14,283,8.1
261,Middle Tenn. (Sun Belt),32,16-16,168,5.3
63,Milwaukee (Horizon),33,19-14,250,7.6
292,Minnesota (Big Ten),31,17-14,152,4.9
32,Mississippi St. (SEC),31,17-14,246,7.9
141,Mississippi Val. (SWAC),32,13-19,204,6.4
92,Missouri St. (MVC),35,26-9,242,6.9
77,Missouri (Big 12),34,23-11,245,7.2
191,Monmouth (NEC),30,9-21,178,5.9
62,Montana St. (Big Sky),31,13-18,235,7.6
308,Montana (Big Sky),32,21-11,148,4.6
201,Morehead St. (OVC),35,25-10,204,5.8
330,Morgan St. (MEAC),31,17-14,123,4
304,Mount St. Mary's (NEC),32,11-21,150,4.7
180,Murray St. (OVC),32,23-9,192,6
136,N.C. A&T (MEAC),32,15-17,205,6.4
56,Navy (Patriot),31,11-20,236,7.6
316,NC State (ACC),31,15-16,139,4.5
275,Nebraska (Big 12),32,19-13,164,5.1
123,Nevada (WAC),32,13-19,210,6.6
142,New Hampshire (America East),30,12-18,191,6.4
225,New Mexico St. (WAC),33,16-17,184,5.6
131,New Mexico (Mountain West),35,22-13,226,6.5
249,Niagara (MAAC),32,9-23,174,5.4
105,Nicholls (Southland),28,14-14,190,6.8
202,NIU (MAC),30,9-21,174,5.8
71,NJIT (NJIT),30,15-15,222,7.4
234,Norfolk St. (MEAC),32,12-20,176,5.5
274,North Carolina (ACC),37,29-8,190,5.1
214,North Dakota St. (Summit League),29,14-15,165,5.7
186,North Florida (ASUN),34,15-19,203,6
251,North Texas (Sun Belt),33,22-11,179,5.4
163,Northeastern (CAA),31,11-20,193,6.2
136,Northern Ariz. (Big Sky),32,19-13,205,6.4
31,Northern Colo. (Big Sky),32,21-11,254,7.9
118,Northwestern St. (Southland),32,18-14,211,6.6
2,Northwestern (Big Ten),34,20-14,319,9.4
26,Notre Dame (AAC),34,27-7,273,8
20,Oakland (Summit League),35,25-10,287,8.2
52,Ohio St. (Big Ten),37,34-3,285,7.7
70,Ohio (MAC),35,19-16,260,7.4
324,Oklahoma St. (Big 12),34,20-14,143,4.2
165,Oklahoma (Big 12),32,14-18,198,6.2
294,Old Dominion (CAA),34,27-7,166,4.9
55,Ole Miss (SEC),34,20-14,260,7.6
233,Oral Roberts (Summit League),35,19-16,193,5.5
271,Oregon St. (Pac-12),31,11-20,160,5.2
87,Oregon (Pac-12),39,21-18,273,7
56,Pacific (Big West),31,16-15,236,7.6
145,Penn St. (Big Ten),34,19-15,216,6.4
117,Penn (Ivy League),28,13-15,185,6.6
254,Pepperdine (WCC),33,12-21,177,5.4
190,Pittsburgh (AAC),34,28-6,202,5.9
85,Portland St. (Big Sky),30,14-16,211,7
60,Portland (WCC),32,20-12,243,7.6
150,Prairie View (SWAC),32,10-22,202,6.3
175,Princeton (Ivy League),32,25-7,193,6
115,Providence (AAC),32,15-17,212,6.6
27,Purdue Fort Wayne (Summit League),30,18-12,240,8
93,Purdue (Big Ten),34,26-8,235,6.9
242,Quinnipiac (NEC),32,22-10,175,5.5
309,Radford (Big South),29,5-24,134,4.6
81,Rhode Island (Atlantic 10),34,20-14,243,7.1
261,Rice (C-USA),32,14-18,168,5.3
43,Richmond (Atlantic 10),37,29-8,287,7.8
45,Rider (MAAC),34,23-11,263,7.7
110,Robert Morris (NEC),32,18-14,215,6.7
242,Rutgers (AAC),32,15-17,175,5.5
230,Sacramento St. (Big Sky),28,7-21,155,5.5
214,Sacred Heart (NEC),29,11-18,165,5.7
219,Saint Francis (PA) (NEC),30,9-21,170,5.7
157,Saint Joseph's (Atlantic 10),33,11-22,207,6.3
239,Saint Louis (Atlantic 10),31,12-19,170,5.5
14,Saint Mary's (CA) (WCC),34,25-9,291,8.6
205,Saint Peter's (MAAC),34,20-14,197,5.8
187,Sam Houston (Southland),31,18-13,185,6
8,Samford (SoCon),31,12-19,275,8.9
179,San Diego St. (Mountain West),37,34-3,223,6
250,San Diego (WCC),30,6-24,163,5.4
112,San Francisco (WCC),34,19-15,227,6.7
157,San Jose St. (WAC),33,17-16,207,6.3
79,Santa Clara (WCC),38,24-14,273,7.2
231,Savannah St. (Savannah St.),30,12-18,166,5.5
174,Seton Hall (AAC),31,13-18,187,6
332,SFA (Southland),29,18-11,112,3.9
271,Siena (MAAC),31,13-18,160,5.2
33,SMU (C-USA),35,20-15,277,7.9
220,South Alabama (Sun Belt),28,12-16,158,5.6
227,South Carolina St. (MEAC),32,10-22,178,5.6
97,South Carolina (SEC),30,14-16,207,6.9
7,South Dakota St. (Summit League),31,19-12,276,8.9
295,South Fla. (AAC),33,10-23,159,4.8
280,Southeast Mo. St. (OVC),32,10-22,163,5.1
161,Southeastern La. (Southland),29,15-14,181,6.2
180,Southern California (Pac-12),34,19-15,204,6
320,Southern Ill. (MVC),32,13-19,141,4.4
253,Southern Miss. (C-USA),32,22-10,172,5.4
278,Southern U. (SWAC),30,4-26,153,5.1
335,Southern Utah (Summit League),30,11-19,97,3.2
248,St. Bonaventure (Atlantic 10),31,16-15,169,5.5
90,St. Francis Brooklyn (NEC),30,15-15,209,7
322,St. John's (NY) (AAC),33,21-12,143,4.3
138,Stanford (Pac-12),31,15-16,198,6.4
258,Stetson (ASUN),31,8-23,164,5.3
95,Stony Brook (America East),32,15-17,221,6.9
147,Syracuse (AAC),35,27-8,222,6.3
128,TCU (Mountain West),33,11-22,214,6.5
170,Temple (Atlantic 10),34,26-8,206,6.1
78,Tennessee St. (OVC),30,14-16,216,7.2
310,Tennessee Tech (OVC),33,20-13,152,4.6
273,Tennessee (SEC),34,19-15,175,5.1
237,Texas A&M (Big 12),33,24-9,181,5.5
207,Texas Southern (SWAC),32,19-13,185,5.8
207,Texas St. (Southland),32,16-16,185,5.8
222,Texas Tech (Big 12),32,13-19,179,5.6
224,Texas (Big 12),36,28-8,201,5.6
291,The Citadel (SoCon),32,10-22,157,4.9
257,Toledo (MAC),32,4-28,170,5.3
188,Towson (CAA),30,4-26,179,6
11,Troy (Sun Belt),29,8-21,255,8.8
54,Tulane (C-USA),30,13-17,230,7.7
111,Tulsa (C-USA),32,19-13,214,6.7
51,UAB (C-USA),31,22-9,239,7.7
25,UC Davis (Big West),30,10-20,241,8
67,UC Irvine (Big West),32,13-19,239,7.5
267,UC Riverside (Big West),31,12-19,161,5.2
84,UC Santa Barbara (Big West),32,18-14,227,7.1
192,UCF (C-USA),33,21-12,195,5.9
282,UCLA (Pac-12),34,23-11,173,5.1
213,UConn (AAC),41,32-9,234,5.7
302,UIC (Horizon),31,7-24,146,4.7
279,ULM (Sun Belt),31,7-24,158,5.1
167,UMBC (America East),30,5-25,183,6.1
256,UMES (MEAC),31,9-22,165,5.3
289,UNC Asheville (Big South),34,20-14,168,4.9
180,UNC Greensboro (SoCon),31,7-24,186,6
83,UNCW (CAA),31,13-18,221,7.1
73,UNI (MVC),34,20-14,250,7.4
225,UNLV (Mountain West),33,24-9,184,5.6
74,UT Arlington (Southland),29,13-16,212,7.3
237,UT Martin (OVC),33,12-21,181,5.5
170,Utah St. (WAC),34,30-4,206,6.1
122,Utah Valley (Utah Valley),30,19-11,197,6.6
200,Utah (Mountain West),31,13-18,181,5.8
217,UTEP (C-USA),35,25-10,199,5.7
37,UTRGV (UTRGV),31,6-25,243,7.8
98,UTSA (Southland),34,20-14,234,6.9
155,Valparaiso (Horizon),35,23-12,220,6.3
45,Vanderbilt (SEC),34,23-11,263,7.7
17,VCU (CAA),40,28-12,339,8.5
300,Vermont (America East),32,23-9,151,4.7
144,Villanova (AAC),33,21-12,210,6.4
228,Virginia Tech (ACC),34,22-12,189,5.6
75,Virginia (ACC),31,16-15,226,7.3
1,VMI (Big South),31,18-13,351,11.3
125,Wagner (NEC),30,13-17,196,6.5
211,Wake Forest (ACC),32,8-24,184,5.8
101,Washington St. (Pac-12),35,22-13,240,6.9
12,Washington (Pac-12),35,24-11,305,8.7
27,Weber St. (Big Sky),32,18-14,256,8
160,West Virginia (AAC),33,21-12,206,6.2
210,Western Caro. (SoCon),33,18-15,190,5.8
255,Western Ill. (Summit League),30,7-23,160,5.3
222,Western Ky. (Sun Belt),32,16-16,179,5.6
212,Western Mich. (MAC),34,21-13,195,5.7
86,Wichita St. (MVC),37,29-8,260,7
40,William & Mary (CAA),32,10-22,250,7.8
325,Winthrop (Big South),30,13-17,126,4.2
21,Wisconsin (Big Ten),34,25-9,278,8.2
205,Wofford (SoCon),34,21-13,197,5.8
121,Wright St. (Horizon),33,19-14,217,6.6
286,Wyoming (Mountain West),31,10-21,155,5
252,Xavier (Atlantic 10),32,24-8,173,5.4
189,Yale (Ivy League),28,15-13,167,6
38,Youngstown St. (Horizon),30,9-21,235,7.8
