Rank,Team,GM,W-L,3FG,3PG
305,A&M-Corpus Christi (Southland),31,10-21,145,4.7
115,Air Force (Mountain West),32,16-16,212,6.6
35,Akron (MAC),36,23-13,283,7.9
317,Alabama A&M (SWAC),28,13-15,125,4.5
301,Alabama St. (SWAC),35,17-18,165,4.7
328,Alabama (SEC),37,25-12,152,4.1
69,Albany (NY) (America East),32,16-16,238,7.4
326,Alcorn (SWAC),28,4-24,116,4.1
168,American (Patriot),31,22-9,188,6.1
149,App State (SoCon),31,16-15,196,6.3
44,Arizona St. (Pac-12),31,12-19,240,7.7
42,Arizona (Pac-12),38,30-8,296,7.8
166,Ark.-Pine Bluff (SWAC),31,7-24,191,6.2
264,Arkansas St. (Sun Belt),32,17-15,167,5.2
120,Arkansas (SEC),31,18-13,204,6.6
10,Army West Point (Patriot),30,11-19,264,8.8
296,Auburn (SEC),31,11-20,148,4.8
241,Austin Peay (OVC),34,20-14,186,5.5
306,Ball St. (MAC),32,19-13,149,4.7
258,Baylor (Big 12),31,18-13,164,5.3
3,Belmont (ASUN),35,30-5,327,9.3
327,Bethune-Cookman (MEAC),34,21-13,140,4.1
66,Binghamton (America East),31,8-23,233,7.5
106,Boise St. (WAC),35,22-13,237,6.8
5,Boston College (ACC),34,21-13,306,9
64,Boston U. (America East),35,21-14,265,7.6
319,Bowling Green (MAC),33,14-19,146,4.4
287,Bradley (MVC),32,12-20,159,5
68,Brown (Ivy League),28,11-17,209,7.5
98,Bucknell (Patriot),34,25-9,234,6.9
170,Buffalo (MAC),34,20-14,206,6.1
59,Butler (Horizon),38,28-10,289,7.6
18,BYU (Mountain West),37,32-5,312,8.4
148,Cal Poly (Big West),30,15-15,190,6.3
138,Cal St. Fullerton (Big West),31,11-20,198,6.4
276,California (Pac-12),33,18-15,169,5.1
330,Campbell (ASUN),31,12-19,123,4
53,Canisius (MAAC),30,15-15,231,7.7
321,Centenary (LA) (Summit League),30,1-29,131,4.4
214,Central Ark. (Southland),29,5-24,165,5.7
292,Central Conn. St. (NEC),31,19-12,152,4.9
284,Central Mich. (MAC),31,10-21,156,5
126,Charleston So. (Big South),32,16-16,208,6.5
108,Charlotte (Atlantic 10),30,10-20,202,6.7
16,Chattanooga (SoCon),32,16-16,272,8.5
314,Chicago St. (Chicago St.),32,6-26,145,4.5
155,Cincinnati (AAC),35,26-9,220,6.3
140,Clemson (ACC),34,22-12,217,6.4
119,Cleveland St. (Horizon),36,27-9,237,6.6
298,Coastal Carolina (Big South),34,28-6,161,4.7
19,Col. of Charleston (SoCon),37,26-11,306,8.3
245,Colgate (Patriot),30,7-23,164,5.5
199,Colorado St. (Mountain West),32,19-13,187,5.8
173,Colorado (Big 12),38,24-14,230,6.1
220,Columbia (Ivy League),28,15-13,158,5.6
47,Coppin St. (MEAC),30,16-14,232,7.7
6,Cornell (Ivy League),28,10-18,251,9
80,Creighton (MVC),39,23-16,280,7.2
130,CSU Bakersfield (CSU Bakersfield),28,9-19,181,6.5
234,CSUN (Big West),32,14-18,176,5.5
283,Dartmouth (Ivy League),28,5-23,142,5.1
39,Davidson (SoCon),33,18-15,258,7.8
107,Dayton (Atlantic 10),36,22-14,243,6.8
100,Delaware St. (MEAC),30,9-21,206,6.9
196,Delaware (CAA),31,14-17,182,5.9
47,Denver (Sun Belt),30,13-17,232,7.7
260,DePaul (AAC),31,7-24,163,5.3
281,Detroit Mercy (Horizon),33,17-16,168,5.1
124,Drake (MVC),31,13-18,203,6.5
333,Drexel (CAA),31,21-10,117,3.8
34,Duke (ACC),37,32-5,291,7.9
27,Duquesne (Atlantic 10),32,19-13,256,8
61,East Carolina (C-USA),34,18-16,258,7.6
329,Eastern Ill. (OVC),29,9-20,117,4
30,Eastern Ky. (OVC),31,15-16,247,8
96,Eastern Mich. (MAC),31,9-22,214,6.9
23,Eastern Wash. (Big Sky),30,10-20,242,8.1
4,Elon (SoCon),31,14-17,285,9.2
261,ETSU (ASUN),36,24-12,189,5.3
311,Evansville (MVC),32,16-16,147,4.6
323,Fairfield (MAAC),33,25-8,139,4.2
269,Fairleigh Dickinson (NEC),29,5-24,150,5.2
245,FIU (Sun Belt),30,11-19,164,5.5
264,Fla. Atlantic (Sun Belt),32,21-11,167,5.2
169,Florida A&M (MEAC),32,12-20,194,6.1
162,Florida St. (ACC),34,23-11,212,6.2
154,Florida (SEC),37,29-8,233,6.3
126,Fordham (Atlantic 10),28,7-21,182,6.5
194,Fresno St. (WAC),31,14-17,183,5.9
76,Furman (SoCon),33,22-11,238,7.2
318,Ga. Southern (SoCon),32,5-27,142,4.4
146,Gardner-Webb (Big South),32,11-21,203,6.3
112,George Mason (CAA),34,27-7,227,6.7
196,George Washington (Atlantic 10),31,17-14,182,5.9
89,Georgetown (AAC),32,21-11,223,7
209,Georgia St. (CAA),31,12-19,179,5.8
164,Georgia Tech (ACC),31,13-18,192,6.2
299,Georgia (SEC),33,21-12,156,4.7
202,Gonzaga (WCC),35,25-10,203,5.8
285,Grambling (SWAC),33,12-21,166,5
297,Green Bay (Horizon),32,14-18,152,4.8
132,Hampton (MEAC),33,24-9,213,6.5
15,Hartford (America East),31,11-20,265,8.5
103,Harvard (Ivy League),30,23-7,205,6.8
175,Hawaii (WAC),32,19-13,193,6
239,High Point (Big South),31,12-19,170,5.5
152,Hofstra (CAA),33,21-12,208,6.3
277,Holy Cross (Patriot),29,8-21,148,5.1
198,Houston (C-USA),30,12-18,176,5.9
288,Howard (MEAC),30,6-24,149,5
312,Idaho St. (Big Sky),29,9-20,133,4.6
150,Idaho (WAC),32,18-14,202,6.3
290,Illinois St. (MVC),31,12-19,153,4.9
104,Illinois (Big Ten),34,20-14,232,6.8
93,Indiana St. (MVC),34,20-14,235,6.9
193,Indiana (Big Ten),32,12-20,189,5.9
24,Iona (MAAC),37,25-12,298,8.1
13,Iowa St. (Big 12),32,16-16,275,8.6
302,Iowa (Big Ten),31,11-20,146,4.7
180,IUPUI (Summit League),33,19-14,198,6
195,Jackson St. (SWAC),32,17-15,188,5.9
202,Jacksonville St. (OVC),30,5-25,174,5.8
315,Jacksonville (ASUN),32,20-12,144,4.5
178,James Madison (CAA),33,21-12,199,6
47,Kansas City (Summit League),30,16-14,232,7.7
