Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
189,A&M-Corpus Christi (Southland),31,10-21,555,192,34.6
151,Air Force (Mountain West),32,16-16,788,266,33.8
49,Akron (MAC),36,23-13,606,194,32
46,Alabama A&M (SWAC),28,13-15,441,141,32
174,Alabama St. (SWAC),35,17-18,525,180,34.3
39,Alabama (SEC),37,25-12,629,200,31.8
96,Albany (NY) (America East),32,16-16,729,240,32.9
52,Alcorn (SWAC),28,4-24,555,178,32.1
256,American (Patriot),31,22-9,485,175,36.1
164,App State (SoCon),31,16-15,579,197,34
186,Arizona St. (Pac-12),31,12-19,593,205,34.6
5,Arizona (Pac-12),38,30-8,598,175,29.3
305,Ark.-Pine Bluff (SWAC),31,7-24,526,195,37.1
201,Arkansas St. (Sun Belt),32,17-15,532,185,34.8
31,Arkansas (SEC),31,18-13,508,160,31.5
264,Army West Point (Patriot),30,11-19,590,214,36.3
139,Auburn (SEC),31,11-20,654,220,33.6
40,Austin Peay (OVC),34,20-14,650,207,31.8
85,Ball St. (MAC),32,19-13,586,192,32.8
187,Baylor (Big 12),31,18-13,564,195,34.6
134,Belmont (ASUN),35,30-5,545,183,33.6
182,Bethune-Cookman (MEAC),34,21-13,521,180,34.5
321,Binghamton (America East),31,8-23,583,222,38.1
317,Boise St. (WAC),35,22-13,582,220,37.8
223,Boston College (ACC),34,21-13,691,244,35.3
66,Boston U. (America East),35,21-14,737,239,32.4
221,Bowling Green (MAC),33,14-19,648,228,35.2
129,Bradley (MVC),32,12-20,651,218,33.5
194,Brown (Ivy League),28,11-17,542,188,34.7
35,Bucknell (Patriot),34,25-9,691,219,31.7
272,Buffalo (MAC),34,20-14,561,204,36.4
64,Butler (Horizon),38,28-10,707,229,32.4
79,BYU (Mountain West),37,32-5,666,218,32.7
3,Cal Poly (Big West),30,15-15,508,146,28.7
302,Cal St. Fullerton (Big West),31,11-20,681,252,37
273,California (Pac-12),33,18-15,723,263,36.4
311,Campbell (ASUN),31,12-19,555,209,37.7
160,Canisius (MAAC),30,15-15,530,180,34
