Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
220,Centenary (LA) (Summit League),30,1-29,580,204,35.2
179,Central Ark. (Southland),29,5-24,506,174,34.4
51,Central Conn. St. (NEC),31,19-12,568,182,32
269,Central Mich. (MAC),31,10-21,380,138,36.3
102,Charleston So. (Big South),32,16-16,554,183,33
13,Charlotte (Atlantic 10),30,10-20,635,194,30.6
185,Chattanooga (SoCon),32,16-16,871,301,34.6
310,Chicago St. (Chicago St.),32,6-26,738,277,37.5
57,Cincinnati (AAC),35,26-9,529,171,32.3
107,Clemson (ACC),34,22-12,583,193,33.1
62,Cleveland St. (Horizon),36,27-9,587,190,32.4
176,Coastal Carolina (Big South),34,28-6,705,242,34.3
163,Col. of Charleston (SoCon),37,26-11,627,213,34
154,Colgate (Patriot),30,7-23,562,190,33.8
123,Colorado St. (Mountain West),32,19-13,602,201,33.4
271,Colorado (Big 12),38,24-14,696,253,36.4
279,Columbia (Ivy League),28,15-13,406,148,36.5
122,Coppin St. (MEAC),30,16-14,686,229,33.4
175,Cornell (Ivy League),28,10-18,484,166,34.3
188,Creighton (MVC),39,23-16,691,239,34.6
191,CSU Bakersfield (CSU Bakersfield),28,9-19,448,155,34.6
116,CSUN (Big West),32,14-18,612,204,33.3
300,Dartmouth (Ivy League),28,5-23,587,217,37
126,Davidson (SoCon),33,18-15,482,161,33.4
58,Dayton (Atlantic 10),36,22-14,733,237,32.3
263,Delaware St. (MEAC),30,9-21,400,145,36.3
19,Delaware (CAA),31,14-17,468,144,30.8
335,Denver (Sun Belt),30,13-17,291,119,40.9
214,DePaul (AAC),31,7-24,403,141,35
116,Detroit Mercy (Horizon),33,17-16,726,242,33.3
84,Drake (MVC),31,13-18,525,172,32.8
2,Drexel (CAA),31,21-10,438,125,28.5
65,Duke (ACC),37,32-5,543,176,32.4
133,Duquesne (Atlantic 10),32,19-13,581,195,33.6
113,East Carolina (C-USA),34,18-16,630,209,33.2
237,Eastern Ill. (OVC),29,9-20,563,200,35.5
259,Eastern Ky. (OVC),31,15-16,475,172,36.2
170,Eastern Mich. (MAC),31,9-22,466,159,34.1
192,Eastern Wash. (Big Sky),30,10-20,488,169,34.6
323,Elon (SoCon),31,14-17,540,206,38.1
156,ETSU (ASUN),36,24-12,765,259,33.9
213,Evansville (MVC),32,16-16,575,201,35
44,Fairfield (MAAC),33,25-8,507,162,32
291,Fairleigh Dickinson (NEC),29,5-24,526,193,36.7
198,FIU (Sun Belt),30,11-19,645,224,34.7
233,Fla. Atlantic (Sun Belt),32,21-11,493,175,35.5
168,Florida A&M (MEAC),32,12-20,543,185,34.1
15,Florida St. (ACC),34,23-11,761,233,30.6
23,Florida (SEC),37,29-8,689,214,31.1
202,Fordham (Atlantic 10),28,7-21,598,208,34.8
222,Fresno St. (WAC),31,14-17,547,193,35.3
95,Furman (SoCon),33,22-11,550,181,32.9
285,Ga. Southern (SoCon),32,5-27,586,214,36.5
315,Gardner-Webb (Big South),32,11-21,551,208,37.7
72,George Mason (CAA),34,27-7,616,201,32.6
283,George Washington (Atlantic 10),31,17-14,611,223,36.5
147,Georgetown (AAC),32,21-11,522,176,33.7
101,Georgia St. (CAA),31,12-19,539,178,33
320,Georgia Tech (ACC),31,13-18,517,196,37.9
41,Georgia (SEC),33,21-12,596,190,31.9
284,Gonzaga (WCC),35,25-10,693,253,36.5
166,Grambling (SWAC),33,12-21,464,158,34.1
319,Green Bay (Horizon),32,14-18,515,195,37.9
36,Hampton (MEAC),33,24-9,567,180,31.7
286,Hartford (America East),31,11-20,635,232,36.5
281,Harvard (Ivy League),30,23-7,518,189,36.5
68,Hawaii (WAC),32,19-13,661,215,32.5
128,High Point (Big South),31,12-19,496,166,33.5
312,Hofstra (CAA),33,21-12,573,216,37.7
145,Holy Cross (Patriot),29,8-21,534,180,33.7
32,Houston (C-USA),30,12-18,546,172,31.5
264,Howard (MEAC),30,6-24,590,214,36.3
326,Idaho St. (Big Sky),29,9-20,567,218,38.4
82,Idaho (WAC),32,18-14,638,209,32.8
235,Illinois St. (MVC),31,12-19,566,201,35.5
12,Illinois (Big Ten),34,20-14,672,205,30.5
112,Indiana St. (MVC),34,20-14,585,194,33.2
275,Indiana (Big Ten),32,12-20,555,202,36.4
246,Iona (MAAC),37,25-12,658,235,35.7
142,Iowa St. (Big 12),32,16-16,645,217,33.6
114,Iowa (Big Ten),31,11-20,639,212,33.2
255,IUPUI (Summit League),33,19-14,610,220,36.1
199,Jackson St. (SWAC),32,17-15,524,182,34.7
236,Jacksonville St. (OVC),30,5-25,397,141,35.5
54,Jacksonville (ASUN),32,20-12,535,172,32.1
261,James Madison (CAA),33,21-12,624,226,36.2
296,Kansas City (Summit League),30,16-14,524,193,36.8
218,Kansas St. (Big 12),34,23-11,507,178,35.1
8,Kansas (Big 12),38,35-3,756,225,29.8
303,Kennesaw St. (ASUN),31,8-23,551,204,37
28,Kent St. (MAC),37,25-12,689,216,31.3
59,Kentucky (SEC),38,29-9,649,210,32.4
245,La Salle (Atlantic 10),33,15-18,622,222,35.7
244,Lafayette (Patriot),32,13-19,608,217,35.7
87,Lamar University (Southland),30,13-17,534,175,32.8
254,Lehigh (Patriot),31,16-15,574,207,36.1
37,Liberty (Big South),32,19-13,607,193,31.8
91,Lipscomb (ASUN),30,17-13,624,205,32.9
149,Little Rock (Sun Belt),36,19-17,658,222,33.7
7,LIU (NEC),33,27-6,701,208,29.7
230,LMU (CA) (WCC),32,11-21,559,198,35.4
100,Long Beach St. (Big West),34,22-12,655,216,33
180,Longwood (Longwood),31,12-19,589,203,34.5
91,Louisiana Tech (WAC),32,12-20,624,205,32.9
196,Louisiana (Sun Belt),29,14-15,487,169,34.7
25,Louisville (AAC),35,25-10,639,199,31.1
252,Loyola Chicago (Horizon),31,16-15,528,190,36
155,Loyola Maryland (MAAC),30,15-15,390,132,33.8
86,LSU (SEC),32,11-21,531,174,32.8
298,Maine (America East),30,15-15,594,219,36.9
329,Manhattan (MAAC),31,6-25,639,246,38.5
177,Marist (MAAC),33,6-27,655,225,34.4
248,Marquette (AAC),37,22-15,727,260,35.8
9,Marshall (C-USA),34,22-12,620,185,29.8
59,Maryland (ACC),33,19-14,649,210,32.4
116,Massachusetts (Atlantic 10),30,15-15,642,214,33.3
116,McNeese (Southland),33,21-12,687,229,33.3
98,Memphis (C-USA),35,25-10,622,205,33
37,Mercer (ASUN),33,15-18,607,193,31.8
226,Miami (FL) (ACC),36,21-15,693,245,35.4
297,Miami (OH) (MAC),33,16-17,605,223,36.9
274,Michigan St. (Big Ten),34,19-15,591,215,36.4
42,Michigan (Big Ten),35,21-14,696,222,31.9
209,Middle Tenn. (Sun Belt),32,16-16,530,185,34.9
253,Milwaukee (Horizon),33,19-14,600,216,36
183,Minnesota (Big Ten),31,17-14,767,265,34.6
143,Mississippi St. (SEC),31,17-14,689,232,33.7
45,Mississippi Val. (SWAC),32,13-19,582,186,32
200,Missouri St. (MVC),35,26-9,515,179,34.8
171,Missouri (Big 12),34,23-11,577,197,34.1
240,Monmouth (NEC),30,9-21,681,242,35.5
322,Montana St. (Big Sky),31,13-18,509,194,38.1
67,Montana (Big Sky),32,21-11,505,164,32.5
280,Morehead St. (OVC),35,25-10,672,245,36.5
53,Morgan St. (MEAC),31,17-14,476,153,32.1
69,Mount St. Mary's (NEC),32,11-21,515,168,32.6
216,Murray St. (OVC),32,23-9,451,158,35
130,N.C. A&T (MEAC),32,15-17,827,277,33.5
181,Navy (Patriot),31,11-20,649,224,34.5
50,NC State (ACC),31,15-16,509,163,32
138,Nebraska (Big 12),32,19-13,681,229,33.6
165,Nevada (WAC),32,13-19,561,191,34
104,New Hampshire (America East),30,12-18,475,157,33.1
73,New Mexico St. (WAC),33,16-17,634,207,32.6
110,New Mexico (Mountain West),35,22-13,682,226,33.1
116,Niagara (MAAC),32,9-23,570,190,33.3
88,Nicholls (Southland),28,14-14,424,139,32.8
193,NIU (MAC),30,9-21,548,190,34.7
249,NJIT (NJIT),30,15-15,562,201,35.8
276,Norfolk St. (MEAC),32,12-20,533,194,36.4
109,North Carolina (ACC),37,29-8,806,267,33.1
144,North Dakota St. (Summit League),29,14-15,454,153,33.7
56,North Florida (ASUN),34,15-19,553,178,32.2
150,North Texas (Sun Belt),33,22-11,563,190,33.7
331,Northeastern (CAA),31,11-20,490,193,39.4
74,Northern Ariz. (Big Sky),32,19-13,591,193,32.7
207,Northern Colo. (Big Sky),32,21-11,684,238,34.8
325,Northwestern St. (Southland),32,18-14,603,231,38.3
190,Northwestern (Big Ten),34,20-14,581,201,34.6
225,Notre Dame (AAC),34,27-7,662,234,35.3
266,Oakland (Summit League),35,25-10,642,233,36.3
162,Ohio St. (Big Ten),37,34-3,683,232,34
232,Ohio (MAC),35,19-16,657,233,35.5
167,Oklahoma St. (Big 12),34,20-14,599,204,34.1
262,Oklahoma (Big 12),32,14-18,538,195,36.2
289,Old Dominion (CAA),34,27-7,670,245,36.6
211,Ole Miss (SEC),34,20-14,607,212,34.9
239,Oral Roberts (Summit League),35,19-16,560,199,35.5
308,Oregon St. (Pac-12),31,11-20,701,262,37.4
288,Oregon (Pac-12),39,21-18,785,287,36.6
229,Pacific (Big West),31,16-15,534,189,35.4
282,Penn St. (Big Ten),34,19-15,644,235,36.5
257,Penn (Ivy League),28,13-15,521,188,36.1
306,Pepperdine (WCC),33,12-21,681,253,37.2
70,Pittsburgh (AAC),34,28-6,610,199,32.6
195,Portland St. (Big Sky),30,14-16,562,195,34.7
205,Portland (WCC),32,20-12,664,231,34.8
108,Prairie View (SWAC),32,10-22,610,202,33.1
99,Princeton (Ivy League),32,25-7,449,148,33
77,Providence (AAC),32,15-17,584,191,32.7
137,Purdue Fort Wayne (Summit League),30,18-12,467,157,33.6
71,Purdue (Big Ten),34,26-8,518,169,32.6
140,Quinnipiac (NEC),32,22-10,541,182,33.6
250,Radford (Big South),29,5-24,607,218,35.9
10,Rhode Island (Atlantic 10),34,20-14,657,198,30.1
318,Rice (C-USA),32,14-18,645,244,37.8
16,Richmond (Atlantic 10),37,29-8,614,188,30.6
89,Rider (MAAC),34,23-11,671,220,32.8
157,Robert Morris (NEC),32,18-14,614,208,33.9
184,Rutgers (AAC),32,15-17,657,227,34.6
243,Sacramento St. (Big Sky),28,7-21,556,198,35.6
169,Sacred Heart (NEC),29,11-18,557,190,34.1
330,Saint Francis (PA) (NEC),30,9-21,510,198,38.8
292,Saint Joseph's (Atlantic 10),33,11-22,607,223,36.7
146,Saint Louis (Atlantic 10),31,12-19,350,118,33.7
258,Saint Mary's (CA) (WCC),34,25-9,468,169,36.1
14,Saint Peter's (MAAC),34,20-14,572,175,30.6
18,Sam Houston (Southland),31,18-13,537,165,30.7
299,Samford (SoCon),31,12-19,669,247,36.9
43,San Diego St. (Mountain West),37,34-3,608,194,31.9
116,San Diego (WCC),30,6-24,453,151,33.3
47,San Francisco (WCC),34,19-15,731,234,32
172,San Jose St. (WAC),33,17-16,676,231,34.2
234,Santa Clara (WCC),38,24-14,628,223,35.5
33,Savannah St. (Savannah St.),30,12-18,390,123,31.5
29,Seton Hall (AAC),31,13-18,509,160,31.4
1,SFA (Southland),29,18-11,451,128,28.4
124,Siena (MAAC),31,13-18,599,200,33.4
314,SMU (C-USA),35,20-15,628,237,37.7
316,South Alabama (Sun Belt),28,12-16,490,185,37.8
152,South Carolina St. (MEAC),32,10-22,601,203,33.8
215,South Carolina (SEC),30,14-16,511,179,35
333,South Dakota St. (Summit League),31,19-12,499,201,40.3
177,South Fla. (AAC),33,10-23,524,180,34.4
136,Southeast Mo. St. (OVC),32,10-22,506,170,33.6
231,Southeastern La. (Southland),29,15-14,446,158,35.4
131,Southern California (Pac-12),34,19-15,570,191,33.5
287,Southern Ill. (MVC),32,13-19,468,171,36.5
242,Southern Miss. (C-USA),32,22-10,618,220,35.6
24,Southern U. (SWAC),30,4-26,582,181,31.1
309,Southern Utah (Summit League),30,11-19,521,195,37.4
83,St. Bonaventure (Atlantic 10),31,16-15,583,191,32.8
63,St. Francis Brooklyn (NEC),30,15-15,423,137,32.4
306,St. John's (NY) (AAC),33,21-12,681,253,37.2
278,Stanford (Pac-12),31,15-16,538,196,36.4
295,Stetson (ASUN),31,8-23,644,237,36.8
20,Stony Brook (America East),32,15-17,656,202,30.8
30,Syracuse (AAC),35,27-8,775,244,31.5
97,TCU (Mountain West),33,11-22,607,200,32.9
247,Temple (Atlantic 10),34,26-8,523,187,35.8
132,Tennessee St. (OVC),30,14-16,555,186,33.5
158,Tennessee Tech (OVC),33,20-13,590,200,33.9
115,Tennessee (SEC),34,19-15,692,230,33.2
34,Texas A&M (Big 12),33,24-9,566,179,31.6
76,Texas Southern (SWAC),32,19-13,633,207,32.7
106,Texas St. (Southland),32,16-16,617,204,33.1
219,Texas Tech (Big 12),32,13-19,515,181,35.1
6,Texas (Big 12),36,28-8,550,162,29.5
161,The Citadel (SoCon),32,10-22,633,215,34
238,Toledo (MAC),32,4-28,729,259,35.5
332,Towson (CAA),30,4-26,542,218,40.2
293,Troy (Sun Belt),29,8-21,699,257,36.8
148,Tulane (C-USA),30,13-17,516,174,33.7
125,Tulsa (C-USA),32,19-13,539,180,33.4
21,UAB (C-USA),31,22-9,503,156,31
202,UC Davis (Big West),30,10-20,506,176,34.8
105,UC Irvine (Big West),32,13-19,717,237,33.1
313,UC Riverside (Big West),31,12-19,687,259,37.7
270,UC Santa Barbara (Big West),32,18-14,625,227,36.3
224,UCF (C-USA),33,21-12,538,190,35.3
202,UCLA (Pac-12),34,23-11,506,176,34.8
78,UConn (AAC),41,32-9,798,261,32.7
251,UIC (Horizon),31,7-24,526,189,35.9
327,ULM (Sun Belt),31,7-24,556,214,38.5
328,UMBC (America East),30,5-25,691,266,38.5
227,UMES (MEAC),31,9-22,591,209,35.4
141,UNC Asheville (Big South),34,20-14,648,218,33.6
324,UNC Greensboro (SoCon),31,7-24,646,247,38.2
210,UNCW (CAA),31,13-18,613,214,34.9
290,UNI (MVC),34,20-14,589,216,36.7
93,UNLV (Mountain West),33,24-9,575,189,32.9
80,UT Arlington (Southland),29,13-16,632,207,32.8
94,UT Martin (OVC),33,12-21,529,174,32.9
11,Utah St. (WAC),34,30-4,616,186,30.2
127,Utah Valley (Utah Valley),30,19-11,610,204,33.4
212,Utah (Mountain West),31,13-18,498,174,34.9
17,UTEP (C-USA),35,25-10,718,220,30.6
334,UTRGV (UTRGV),31,6-25,569,232,40.8
111,UTSA (Southland),34,20-14,766,254,33.2
81,Valparaiso (Horizon),35,23-12,635,208,32.8
27,Vanderbilt (SEC),34,23-11,649,203,31.3
135,VCU (CAA),40,28-12,661,222,33.6
61,Vermont (America East),32,23-9,581,188,32.4
48,Villanova (AAC),33,21-12,656,210,32
55,Virginia Tech (ACC),34,22-12,656,211,32.2
267,Virginia (ACC),31,16-15,573,208,36.3
241,VMI (Big South),31,18-13,540,192,35.6
228,Wagner (NEC),30,13-17,410,145,35.4
304,Wake Forest (ACC),32,8-24,602,223,37
26,Washington St. (Pac-12),35,22-13,808,252,31.2
90,Washington (Pac-12),35,24-11,558,183,32.8
277,Weber St. (Big Sky),32,18-14,607,221,36.4
4,West Virginia (AAC),33,21-12,592,172,29.1
22,Western Caro. (SoCon),33,18-15,519,161,31
173,Western Ill. (Summit League),30,7-23,509,174,34.2
268,Western Ky. (Sun Belt),32,16-16,595,216,36.3
206,Western Mich. (MAC),34,21-13,572,199,34.8
153,Wichita St. (MVC),37,29-8,577,195,33.8
217,William & Mary (CAA),32,10-22,664,233,35.1
103,Winthrop (Big South),30,13-17,578,191,33
301,Wisconsin (Big Ten),34,25-9,484,179,37
208,Wofford (SoCon),34,21-13,540,188,34.8
75,Wright St. (Horizon),33,19-14,545,178,32.7
294,Wyoming (Mountain West),31,10-21,625,230,36.8
159,Xavier (Atlantic 10),32,24-8,613,208,33.9
197,Yale (Ivy League),28,15-13,438,152,34.7
259,Youngstown St. (Horizon),30,9-21,475,172,36.2
