Rank,Team,GM,W-L,FT,FTA,FT%
81,Mississippi St. (SEC),31,17-14,441,610,72.3
248,Mississippi Val. (SWAC),32,13-19,478,719,66.5
57,Missouri St. (MVC),35,26-9,518,710,73
42,Missouri (Big 12),34,23-11,537,727,73.9
304,Monmouth (NEC),30,9-21,376,588,63.9
292,Montana St. (Big Sky),31,13-18,412,637,64.7
243,Montana (Big Sky),32,21-11,471,705,66.8
227,Morehead St. (OVC),35,25-10,506,751,67.4
202,Morgan St. (MEAC),31,17-14,522,766,68.1
207,Mount St. Mary's (NEC),32,11-21,412,606,68
143,Murray St. (OVC),32,23-9,528,755,69.9
245,N.C. A&T (MEAC),32,15-17,519,780,66.5
117,Navy (Patriot),31,11-20,489,690,70.9
163,NC State (ACC),31,15-16,454,654,69.4
134,Nebraska (Big 12),32,19-13,414,590,70.2
192,Nevada (WAC),32,13-19,529,771,68.6
327,New Hampshire (America East),30,12-18,340,555,61.3
220,New Mexico St. (WAC),33,16-17,594,879,67.6
101,New Mexico (Mountain West),35,22-13,582,817,71.2
268,Niagara (MAAC),32,9-23,466,706,66
188,Nicholls (Southland),28,14-14,378,550,68.7
324,NJIT (NJIT),30,15-15,357,578,61.8
214,Norfolk St. (MEAC),32,12-20,498,735,67.8
231,North Carolina (ACC),37,29-8,590,878,67.2
166,North Dakota St. (Summit League),29,14-15,467,674,69.3
265,North Florida (ASUN),34,15-19,489,740,66.1
28,North Texas (Sun Belt),33,22-11,675,900,75
27,Northeastern (CAA),31,11-20,433,577,75
253,Northern Ariz. (Big Sky),32,19-13,394,593,66.4
8,Northern Colo. (Big Sky),32,21-11,571,742,77
156,Northern Ill. (MAC),30,9-21,455,653,69.7
306,Northwestern St. (Southland),32,18-14,587,922,63.7
56,Northwestern (Big Ten),34,20-14,416,570,73
75,Notre Dame (AAC),34,27-7,599,827,72.4
88,Oakland (Summit League),35,25-10,601,835,72
138,Ohio St. (Big Ten),37,34-3,535,763,70.1
92,Ohio (MAC),35,19-16,552,769,71.8
72,Oklahoma St. (Big 12),34,20-14,593,818,72.5
44,Oklahoma (Big 12),32,14-18,437,592,73.8
242,Old Dominion (CAA),34,27-7,459,687,66.8
20,Ole Miss (SEC),34,20-14,517,684,75.6
94,Oral Roberts (Summit League),35,19-16,572,798,71.7
203,Oregon St. (Pac-12),31,11-20,513,753,68.1
43,Oregon (Pac-12),39,21-18,520,704,73.9
132,Pacific (Big West),31,16-15,392,558,70.3
77,Penn St. (Big Ten),34,19-15,394,544,72.4
46,Penn (Ivy League),28,13-15,395,536,73.7
91,Pepperdine (WCC),33,12-21,538,749,71.8
234,Pittsburgh (AAC),34,28-6,540,805,67.1
70,Portland St. (Big Sky),30,14-16,468,645,72.6
36,Portland (WCC),32,20-12,429,577,74.4
335,Prairie View (SWAC),32,10-22,343,596,57.6
53,Princeton (Ivy League),32,25-7,446,609,73.2
238,Providence (AAC),32,15-17,506,756,66.9
6,Purdue Fort Wayne (Summit League),30,18-12,458,593,77.2
97,Purdue (Big Ten),34,26-8,481,673,71.5
328,Quinnipiac (NEC),32,22-10,426,697,61.1
317,Radford (Big South),29,5-24,404,645,62.6
141,Rhode Island (Atlantic 10),34,20-14,417,595,70.1
80,Rice (C-USA),32,14-18,530,733,72.3
189,Richmond (Atlantic 10),37,29-8,446,649,68.7
285,Rider (MAAC),34,23-11,435,670,64.9
197,Robert Morris (NEC),32,18-14,434,634,68.5
217,Rutgers (AAC),32,15-17,381,563,67.7
204,Sacramento St. (Big Sky),28,7-21,388,570,68.1
133,Sacred Heart (NEC),29,11-18,413,588,70.2
66,Saint Francis (PA) (NEC),30,9-21,419,576,72.7
123,Saint Joseph's (Atlantic 10),33,11-22,432,611,70.7
274,Saint Louis (Atlantic 10),31,12-19,353,538,65.6
17,Saint Mary's (CA) (WCC),34,25-9,501,660,75.9
297,Saint Peter's (MAAC),34,20-14,446,693,64.4
267,Sam Houston (Southland),31,18-13,438,663,66.1
223,Samford (SoCon),31,12-19,351,520,67.5
156,San Diego St. (Mountain West),37,34-3,455,653,69.7
209,San Diego (WCC),30,6-24,381,561,67.9
186,San Francisco (WCC),34,19-15,501,728,68.8
24,San Jose St. (WAC),33,17-16,568,753,75.4
68,Santa Clara (WCC),38,24-14,718,989,72.6
266,Savannah St. (Savannah St.),30,12-18,372,563,66.1
232,Seton Hall (AAC),31,13-18,387,576,67.2
86,SFA (Southland),29,18-11,408,566,72.1
210,Siena (MAAC),31,13-18,419,617,67.9
38,SMU (C-USA),35,20-15,409,551,74.2
246,South Alabama (Sun Belt),28,12-16,443,666,66.5
224,South Carolina St. (MEAC),32,10-22,413,612,67.5
259,South Carolina (SEC),30,14-16,338,510,66.3
65,South Dakota St. (Summit League),31,19-12,489,672,72.8
107,South Fla. (AAC),33,10-23,463,652,71
323,Southeast Mo. St. (OVC),32,10-22,492,794,62
84,Southeastern La. (Southland),29,15-14,440,610,72.1
281,Southern California (Pac-12),34,19-15,422,648,65.1
168,Southern Ill. (MVC),32,13-19,430,621,69.2
55,Southern Miss. (C-USA),32,22-10,549,752,73
333,Southern U. (SWAC),30,4-26,328,550,59.6
113,Southern Utah (Summit League),30,11-19,508,716,70.9
149,St. Bonaventure (Atlantic 10),31,16-15,499,714,69.9
261,St. Francis Brooklyn (NEC),30,15-15,447,675,66.2
108,St. John's (NY) (AAC),33,21-12,556,783,71
272,Stanford (Pac-12),31,15-16,416,632,65.8
322,Stetson (ASUN),31,8-23,420,677,62
271,Stony Brook (America East),32,15-17,372,565,65.8
249,Syracuse (AAC),35,27-8,474,713,66.5
226,TCU (Mountain West),33,11-22,364,540,67.4
151,Temple (Atlantic 10),34,26-8,458,656,69.8
14,Tennessee St. (OVC),30,14-16,476,625,76.2
257,Tennessee Tech (OVC),33,20-13,530,799,66.3
198,Tennessee (SEC),34,19-15,527,770,68.4
154,Texas A&M (Big 12),33,24-9,557,799,69.7
308,Texas Southern (SWAC),32,19-13,489,774,63.2
233,Texas St. (Southland),32,16-16,589,877,67.2
60,Texas Tech (Big 12),32,13-19,515,706,72.9
277,Texas (Big 12),36,28-8,592,905,65.4
95,The Citadel (SoCon),32,10-22,388,542,71.6
312,Toledo (MAC),32,4-28,413,658,62.8
79,Towson (CAA),30,4-26,444,614,72.3
260,Troy (Sun Belt),29,8-21,355,536,66.2
185,Tulane (C-USA),30,13-17,411,597,68.8
138,Tulsa (C-USA),32,19-13,535,763,70.1
93,UAB (C-USA),31,22-9,368,513,71.7
63,UC Davis (Big West),30,10-20,407,559,72.8
50,UC Irvine (Big West),32,13-19,576,784,73.5
201,UC Riverside (Big West),31,12-19,393,576,68.2
26,UC Santa Barbara (Big West),32,18-14,459,610,75.2
173,UCF (C-USA),33,21-12,542,785,69
208,UCLA (Pac-12),34,23-11,549,808,67.9
11,UConn (AAC),41,32-9,627,822,76.3
244,UIC (Horizon),31,7-24,351,526,66.7
290,ULM (Sun Belt),31,7-24,363,560,64.8
124,UMBC (America East),30,5-25,345,488,70.7
280,UMES (MEAC),31,9-22,427,654,65.3
104,UNC Asheville (Big South),34,20-14,576,810,71.1
177,UNC Greensboro (SoCon),31,7-24,458,664,69
181,UNCW (CAA),31,13-18,326,473,68.9
12,UNI (MVC),34,20-14,461,605,76.2
178,UNLV (Mountain West),33,24-9,495,718,68.9
128,UT Arlington (Southland),29,13-16,419,594,70.5
41,UT Martin (OVC),33,12-21,529,715,74
47,Utah St. (WAC),34,30-4,563,764,73.7
18,Utah Valley (Utah Valley),30,19-11,591,780,75.8
164,Utah (Mountain West),31,13-18,429,618,69.4
235,UTEP (C-USA),35,25-10,515,769,67
215,UTRGV (UTRGV),31,6-25,481,710,67.7
127,UTSA (Southland),34,20-14,546,774,70.5
251,Valparaiso (Horizon),35,23-12,448,674,66.5
37,Vanderbilt (SEC),34,23-11,622,837,74.3
96,VCU (CAA),40,28-12,589,824,71.5
219,Vermont (America East),32,23-9,438,648,67.6
19,Villanova (AAC),33,21-12,582,769,75.7
111,Virginia Tech (ACC),34,22-12,533,751,71
175,Virginia (ACC),31,16-15,356,516,69
114,VMI (Big South),31,18-13,505,712,70.9
7,Wagner (NEC),30,13-17,491,636,77.2
33,Wake Forest (ACC),32,8-24,497,666,74.6
118,Washington St. (Pac-12),35,22-13,506,714,70.9
225,Washington (Pac-12),35,24-11,480,712,67.4
21,Weber St. (Big Sky),32,18-14,455,602,75.6
105,West Virginia (AAC),33,21-12,531,747,71.1
283,Western Caro. (SoCon),33,18-15,399,613,65.1
264,Western Ill. (Summit League),30,7-23,369,558,66.1
300,Western Ky. (Sun Belt),32,16-16,445,693,64.2
146,Western Mich. (MAC),34,21-13,495,708,69.9
35,Wichita St. (MVC),37,29-8,522,700,74.6
152,William & Mary (CAA),32,10-22,399,572,69.8
298,Winthrop (Big South),30,13-17,409,636,64.3
1,Wisconsin (Big Ten),34,25-9,436,533,81.8
167,Wofford (SoCon),34,21-13,539,778,69.3
29,Wright St. (Horizon),33,19-14,486,650,74.8
229,Wyoming (Mountain West),31,10-21,449,667,67.3
30,Xavier (Atlantic 10),32,24-8,565,756,74.7
49,Yale (Ivy League),28,15-13,433,589,73.5
329,Youngstown St. (Horizon),30,9-21,325,533,61
