Rank,Team,GM,W-L,FT,FTA,FT%
296,A&M-Corpus Christi (Southland),31,10-21,430,668,64.4
129,Air Force (Mountain West),32,16-16,418,593,70.5
131,Akron (MAC),36,23-13,457,649,70.4
319,Alabama A&M (SWAC),28,13-15,417,668,62.4
331,Alabama St. (SWAC),35,17-18,525,869,60.4
122,Alabama (SEC),37,25-12,461,652,70.7
295,Albany (NY) (America East),32,16-16,327,507,64.5
307,Alcorn (SWAC),28,4-24,494,781,63.3
90,American (Patriot),31,22-9,431,600,71.8
130,App State (SoCon),31,16-15,489,694,70.5
313,Arizona St. (Pac-12),31,12-19,305,486,62.8
32,Arizona (Pac-12),38,30-8,671,899,74.6
314,Ark.-Pine Bluff (SWAC),31,7-24,405,646,62.7
119,Arkansas St. (Sun Belt),32,17-15,531,750,70.8
159,Arkansas (SEC),31,18-13,475,683,69.5
103,Army West Point (Patriot),30,11-19,360,506,71.1
275,Auburn (SEC),31,11-20,435,663,65.6
205,Austin Peay (OVC),34,20-14,526,773,68
165,Ball St. (MAC),32,19-13,567,818,69.3
160,Baylor (Big 12),31,18-13,486,699,69.5
48,Belmont (ASUN),35,30-5,575,781,73.6
120,Bethune-Cookman (MEAC),34,21-13,509,719,70.8
140,Binghamton (America East),31,8-23,326,465,70.1
83,Boise St. (WAC),35,22-13,605,838,72.2
78,Boston College (ACC),34,21-13,422,583,72.4
59,Boston U. (America East),35,21-14,507,695,72.9
301,Bowling Green (MAC),33,14-19,364,567,64.2
82,Bradley (MVC),32,12-20,421,583,72.2
31,Brown (Ivy League),28,11-17,417,558,74.7
3,Bucknell (Patriot),34,25-9,499,633,78.8
282,Buffalo (MAC),34,20-14,435,668,65.1
69,Butler (Horizon),38,28-10,580,799,72.6
10,BYU (Mountain West),37,32-5,662,865,76.5
255,Cal Poly (Big West),30,15-15,383,577,66.4
89,Cal St. Fullerton (Big West),31,11-20,506,704,71.9
161,California (Pac-12),33,18-15,582,838,69.5
303,Campbell (ASUN),31,12-19,425,663,64.1
150,Canisius (MAAC),30,15-15,334,478,69.9
316,Centenary (LA) (Summit League),30,1-29,448,715,62.7
302,Central Ark. (Southland),29,5-24,439,684,64.2
9,Central Conn. St. (NEC),31,19-12,486,634,76.7
310,Central Mich. (MAC),31,10-21,363,577,62.9
23,Charleston So. (Big South),32,16-16,456,604,75.5
61,Charlotte (Atlantic 10),30,10-20,447,613,72.9
288,Chattanooga (SoCon),32,16-16,480,740,64.9
293,Chicago St. (Chicago St.),32,6-26,465,719,64.7
240,Cincinnati (AAC),35,26-9,496,742,66.8
136,Clemson (ACC),34,22-12,493,703,70.1
54,Cleveland St. (Horizon),36,27-9,601,822,73.1
169,Coastal Carolina (Big South),34,28-6,576,832,69.2
40,Col. of Charleston (SoCon),37,26-11,441,595,74.1
200,Colgate (Patriot),30,7-23,417,611,68.2
171,Colorado St. (Mountain West),32,19-13,496,717,69.2
5,Colorado (Big 12),38,24-14,679,873,77.8
98,Columbia (Ivy League),28,15-13,420,588,71.4
135,Coppin St. (MEAC),30,16-14,423,603,70.1
183,Cornell (Ivy League),28,10-18,339,492,68.9
58,Creighton (MVC),39,23-16,534,732,73
184,CSU Bakersfield (CSU Bakersfield),28,9-19,412,598,68.9
228,CSUN (Big West),32,14-18,552,820,67.3
155,Dartmouth (Ivy League),28,5-23,315,452,69.7
52,Davidson (SoCon),33,18-15,496,677,73.3
216,Dayton (Atlantic 10),36,22-14,468,691,67.7
98,Delaware St. (MEAC),30,9-21,320,448,71.4
172,Delaware (CAA),31,14-17,443,641,69.1
74,Denver (Sun Belt),30,13-17,366,505,72.5
199,DePaul (AAC),31,7-24,409,599,68.3
190,Detroit Mercy (Horizon),33,17-16,593,863,68.7
196,Drake (MVC),31,13-18,420,613,68.5
325,Drexel (CAA),31,21-10,420,682,61.6
25,Duke (ACC),37,32-5,622,826,75.3
321,Duquesne (Atlantic 10),32,19-13,494,794,62.2
170,East Carolina (C-USA),34,18-16,591,854,69.2
76,Eastern Ill. (OVC),29,9-20,352,486,72.4
39,Eastern Ky. (OVC),31,15-16,385,519,74.2
318,Eastern Mich. (MAC),31,9-22,374,599,62.4
258,Eastern Wash. (Big Sky),30,10-20,405,611,66.3
100,Elon (SoCon),31,14-17,486,681,71.4
213,ETSU (ASUN),36,24-12,580,856,67.8
115,Evansville (MVC),32,16-16,529,746,70.9
278,Fairfield (MAAC),33,25-8,457,699,65.4
222,Fairleigh Dickinson (NEC),29,5-24,430,637,67.5
194,FIU (Sun Belt),30,11-19,550,802,68.6
270,Fla. Atlantic (Sun Belt),32,21-11,456,692,65.9
330,Florida A&M (MEAC),32,12-20,435,718,60.6
247,Florida St. (ACC),34,23-11,482,725,66.5
237,Florida (SEC),37,29-8,498,744,66.9
309,Fordham (Atlantic 10),28,7-21,317,503,63
311,Fresno St. (WAC),31,14-17,427,679,62.9
73,Furman (SoCon),33,22-11,503,694,72.5
187,Ga. Southern (SoCon),32,5-27,458,666,68.8
299,Gardner-Webb (Big South),32,11-21,350,545,64.2
178,George Mason (CAA),34,27-7,495,718,68.9
314,George Washington (Atlantic 10),31,17-14,405,646,62.7
51,Georgetown (AAC),32,21-11,417,568,73.4
334,Georgia St. (CAA),31,12-19,326,549,59.4
180,Georgia Tech (ACC),31,13-18,406,589,68.9
153,Georgia (SEC),33,21-12,465,667,69.7
13,Gonzaga (WCC),35,25-10,617,810,76.2
326,Grambling (SWAC),33,12-21,434,707,61.4
182,Green Bay (Horizon),32,14-18,428,621,68.9
289,Hampton (MEAC),33,24-9,492,759,64.8
332,Hartford (America East),31,11-20,248,413,60
2,Harvard (Ivy League),30,23-7,523,647,80.8
195,Hawaii (WAC),32,19-13,503,734,68.5
250,High Point (Big South),31,12-19,470,707,66.5
16,Hofstra (CAA),33,21-12,501,658,76.1
284,Holy Cross (Patriot),29,8-21,375,577,65
239,Houston (C-USA),30,12-18,433,647,66.9
320,Howard (MEAC),30,6-24,418,671,62.3
137,Idaho St. (Big Sky),29,9-20,453,646,70.1
87,Idaho (WAC),32,18-14,454,630,72.1
121,Illinois St. (MVC),31,12-19,380,537,70.8
62,Illinois (Big Ten),34,20-14,393,539,72.9
109,Indiana St. (MVC),34,20-14,480,676,71
67,Indiana (Big Ten),32,12-20,459,632,72.6
273,Iona (MAAC),37,25-12,528,804,65.7
85,Iowa St. (Big 12),32,16-16,380,527,72.1
221,Iowa (Big Ten),31,11-20,406,601,67.6
4,IUPUI (Summit League),33,19-14,458,586,78.2
305,Jackson St. (SWAC),32,17-15,466,731,63.7
286,Jacksonville St. (OVC),30,5-25,342,527,64.9
236,Jacksonville (ASUN),32,20-12,474,708,66.9
106,James Madison (CAA),33,21-12,496,698,71.1
263,Kansas City (Summit League),30,16-14,448,677,66.2
276,Kansas St. (Big 12),34,23-11,542,828,65.5
212,Kansas (Big 12),38,35-3,585,862,67.9
287,Kennesaw St. (ASUN),31,8-23,401,618,64.9
241,Kent St. (MAC),37,25-12,504,754,66.8
110,Kentucky (SEC),38,29-9,560,789,71
116,La Salle (Atlantic 10),33,15-18,482,680,70.9
15,Lafayette (Patriot),32,13-19,482,633,76.1
191,Lamar University (Southland),30,13-17,537,782,68.7
22,Lehigh (Patriot),31,16-15,624,826,75.5
193,Liberty (Big South),32,19-13,441,643,68.6
125,Lipscomb (ASUN),30,17-13,502,711,70.6
176,Little Rock (Sun Belt),36,19-17,565,819,69
294,LIU (NEC),33,27-6,645,999,64.6
162,LMU (CA) (WCC),32,11-21,502,723,69.4
230,Long Beach St. (Big West),34,22-12,546,812,67.2
145,Longwood (Longwood),31,12-19,430,615,69.9
291,Louisiana Tech (WAC),32,12-20,416,642,64.8
254,Louisiana (Sun Belt),29,14-15,474,714,66.4
256,Louisville (AAC),35,25-10,416,627,66.3
45,Loyola Chicago (Horizon),31,16-15,471,639,73.7
126,Loyola Maryland (MAAC),30,15-15,441,625,70.6
252,LSU (SEC),32,11-21,432,650,66.5
148,Maine (America East),30,15-15,446,638,69.9
147,Manhattan (MAAC),31,6-25,395,565,69.9
102,Marist (MAAC),33,6-27,448,629,71.2
158,Marquette (AAC),37,22-15,645,927,69.6
211,Marshall (C-USA),34,22-12,603,888,67.9
218,Maryland (ACC),33,19-14,521,770,67.7
262,Massachusetts (Atlantic 10),30,15-15,427,645,66.2
34,McNeese (Southland),33,21-12,558,748,74.6
206,Memphis (C-USA),35,25-10,532,782,68
174,Mercer (ASUN),33,15-18,532,771,69
71,Miami (FL) (ACC),36,21-15,552,761,72.5
64,Miami (OH) (MAC),33,16-17,455,625,72.8
142,Michigan St. (Big Ten),34,19-15,484,691,70
144,Michigan (Big Ten),35,21-14,351,502,69.9
112,Middle Tenn. (Sun Belt),32,16-16,584,823,71
279,Milwaukee (Horizon),33,19-14,506,774,65.4
269,Minnesota (Big Ten),31,17-14,479,726,66
