Rank,Team,GM,W-L,BLKS,BKPG
150,A&M-Corpus Christi (Southland),31,10-21,109,3.5
266,Air Force (Mountain West),32,16-16,83,2.6
141,Akron (MAC),36,23-13,129,3.6
17,Alabama A&M (SWAC),28,13-15,151,5.4
41,Alabama St. (SWAC),35,17-18,163,4.7
23,Alabama (SEC),37,25-12,190,5.1
235,Albany (NY) (America East),32,16-16,90,2.8
128,Alcorn (SWAC),28,4-24,103,3.7
241,American (Patriot),31,22-9,86,2.8
228,App State (SoCon),31,16-15,89,2.9
119,Arizona St. (Pac-12),31,12-19,115,3.7
267,Arizona (Pac-12),38,30-8,98,2.6
306,Ark.-Pine Bluff (SWAC),31,7-24,67,2.2
198,Arkansas St. (Sun Belt),32,17-15,99,3.1
6,Arkansas (SEC),31,18-13,182,5.9
320,Army West Point (Patriot),30,11-19,53,1.8
185,Auburn (SEC),31,11-20,100,3.2
71,Austin Peay (OVC),34,20-14,142,4.2
315,Ball St. (MAC),32,19-13,64,2
68,Baylor (Big 12),31,18-13,130,4.2
169,Belmont (ASUN),35,30-5,118,3.4
254,Bethune-Cookman (MEAC),34,21-13,90,2.6
177,Binghamton (America East),31,8-23,102,3.3
247,Boise St. (WAC),35,22-13,95,2.7
274,Boston College (ACC),34,21-13,86,2.5
126,Boston U. (America East),35,21-14,129,3.7
190,Bowling Green (MAC),33,14-19,105,3.2
282,Bradley (MVC),32,12-20,79,2.5
247,Brown (Ivy League),28,11-17,76,2.7
195,Bucknell (Patriot),34,25-9,106,3.1
18,Buffalo (MAC),34,20-14,183,5.4
324,Butler (Horizon),38,28-10,61,1.6
81,BYU (Mountain West),37,32-5,150,4.1
311,Cal Poly (Big West),30,15-15,62,2.1
332,Cal St. Fullerton (Big West),31,11-20,44,1.4
272,California (Pac-12),33,18-15,84,2.5
27,Campbell (ASUN),31,12-19,155,5
35,Canisius (MAAC),30,15-15,145,4.8
287,Centenary (LA) (Summit League),30,1-29,73,2.4
262,Central Ark. (Southland),29,5-24,76,2.6
92,Central Conn. St. (NEC),31,19-12,121,3.9
136,Central Mich. (MAC),31,10-21,112,3.6
207,Charleston So. (Big South),32,16-16,98,3.1
187,Charlotte (Atlantic 10),30,10-20,96,3.2
329,Chattanooga (SoCon),32,16-16,47,1.5
273,Chicago St. (Chicago St.),32,6-26,81,2.5
126,Cincinnati (AAC),35,26-9,129,3.7
39,Clemson (ACC),34,22-12,161,4.7
251,Cleveland St. (Horizon),36,27-9,97,2.7
50,Coastal Carolina (Big South),34,28-6,153,4.5
81,Col. of Charleston (SoCon),37,26-11,150,4.1
213,Colgate (Patriot),30,7-23,91,3
270,Colorado St. (Mountain West),32,19-13,82,2.6
221,Colorado (Big 12),38,24-14,111,2.9
214,Columbia (Ivy League),28,15-13,84,3
298,Coppin St. (MEAC),30,16-14,68,2.3
277,Cornell (Ivy League),28,10-18,70,2.5
194,Creighton (MVC),39,23-16,122,3.1
191,CSU Bakersfield (CSU Bakersfield),28,9-19,89,3.2
157,CSUN (Big West),32,14-18,111,3.5
268,Dartmouth (Ivy League),28,5-23,72,2.6
216,Davidson (SoCon),33,18-15,98,3
222,Dayton (Atlantic 10),36,22-14,105,2.9
133,Delaware St. (MEAC),30,9-21,109,3.6
83,Delaware (CAA),31,14-17,125,4
147,Denver (Sun Belt),30,13-17,106,3.5
