Rank,Team,GM,W-L,Opp TO,TO,Ratio
54,McNeese (Southland),33,21-12,466,403,1.9
202,Memphis (C-USA),35,25-10,520,535,-0.4
94,Mercer (ASUN),33,15-18,509,469,1.2
288,Miami (FL) (ACC),36,21-15,430,498,-1.9
323,Miami (OH) (MAC),33,16-17,353,465,-3.4
260,Michigan St. (Big Ten),34,19-15,411,454,-1.3
70,Michigan (Big Ten),35,21-14,409,351,1.7
71,Middle Tenn. (Sun Belt),32,16-16,538,485,1.7
257,Milwaukee (Horizon),33,19-14,419,459,-1.2
287,Minnesota (Big Ten),31,17-14,355,413,-1.9
306,Mississippi St. (SEC),31,17-14,339,413,-2.4
300,Mississippi Val. (SWAC),32,13-19,483,555,-2.3
128,Missouri St. (MVC),35,26-9,386,362,0.7
2,Missouri (Big 12),34,23-11,614,431,5.4
252,Monmouth (NEC),30,9-21,408,439,-1
93,Montana St. (Big Sky),31,13-18,412,373,1.3
117,Montana (Big Sky),32,21-11,429,402,0.8
173,Morehead St. (OVC),35,25-10,523,525,-0.1
221,Morgan St. (MEAC),31,17-14,447,470,-0.7
258,Mount St. Mary's (NEC),32,11-21,435,475,-1.3
107,Murray St. (OVC),32,23-9,479,448,1
245,N.C. A&T (MEAC),32,15-17,446,477,-1
10,Navy (Patriot),31,11-20,592,474,3.8
206,NC State (ACC),31,15-16,360,376,-0.5
197,Nebraska (Big 12),32,19-13,420,431,-0.3
290,Nevada (WAC),32,13-19,398,459,-1.9
149,New Hampshire (America East),30,12-18,370,360,0.3
149,New Mexico St. (WAC),33,16-17,498,487,0.3
194,New Mexico (Mountain West),35,22-13,461,471,-0.3
81,Niagara (MAAC),32,9-23,496,449,1.5
8,Nicholls (Southland),28,14-14,477,358,4.3
116,NJIT (NJIT),30,15-15,434,408,0.9
316,Norfolk St. (MEAC),32,12-20,417,515,-3.1
108,North Carolina (ACC),37,29-8,528,493,0.9
165,North Dakota St. (Summit League),29,14-15,383,381,0.1
296,North Florida (ASUN),34,15-19,498,569,-2.1
281,North Texas (Sun Belt),33,22-11,384,439,-1.7
156,Northern Ariz. (Big Sky),32,19-13,426,417,0.3
189,Northern Colo. (Big Sky),32,21-11,447,454,-0.2
304,Northern Ill. (MAC),30,9-21,359,428,-2.3
57,Northwestern St. (Southland),32,18-14,602,542,1.9
26,Northwestern (Big Ten),34,20-14,428,335,2.7
201,Notre Dame (AAC),34,27-7,351,364,-0.4
270,Oakland (Summit League),35,25-10,424,473,-1.4
5,Ohio St. (Big Ten),37,34-3,552,375,4.8
61,Ohio (MAC),35,19-16,535,471,1.8
163,Oklahoma St. (Big 12),34,20-14,460,456,0.1
195,Oklahoma (Big 12),32,14-18,424,434,-0.3
242,Old Dominion (CAA),34,27-7,392,424,-0.9
160,Ole Miss (SEC),34,20-14,441,435,0.2
169,Oral Roberts (Summit League),35,19-16,453,452,0
104,Oregon St. (Pac-12),31,11-20,504,472,1
20,Oregon (Pac-12),39,21-18,601,477,3.2
227,Pacific (Big West),31,16-15,332,356,-0.8
157,Penn St. (Big Ten),34,19-15,367,358,0.3
172,Penn (Ivy League),28,13-15,386,387,0
262,Pepperdine (WCC),33,12-21,397,440,-1.3
210,Pittsburgh (AAC),34,28-6,378,397,-0.6
118,Portland St. (Big Sky),30,14-16,399,374,0.8
272,Portland (WCC),32,20-12,367,413,-1.4
211,Prairie View (SWAC),32,10-22,458,477,-0.6
180,Princeton (Ivy League),32,25-7,385,389,-0.1
86,Providence (AAC),32,15-17,451,407,1.4
56,Purdue Fort Wayne (Summit League),30,18-12,422,365,1.9
14,Purdue (Big Ten),34,26-8,478,354,3.6
127,Quinnipiac (NEC),32,22-10,422,400,0.7
236,Radford (Big South),29,5-24,450,475,-0.9
66,Rhode Island (Atlantic 10),34,20-14,474,416,1.7
92,Rice (C-USA),32,14-18,434,393,1.3
46,Richmond (Atlantic 10),37,29-8,457,383,2
246,Rider (MAAC),34,23-11,436,469,-1
45,Robert Morris (NEC),32,18-14,487,422,2
55,Rutgers (AAC),32,15-17,450,389,1.9
312,Sacramento St. (Big Sky),28,7-21,332,412,-2.9
209,Sacred Heart (NEC),29,11-18,433,449,-0.6
286,Saint Francis (PA) (NEC),30,9-21,409,463,-1.8
193,Saint Joseph's (Atlantic 10),33,11-22,354,363,-0.3
138,Saint Louis (Atlantic 10),31,12-19,431,414,0.5
31,Saint Mary's (CA) (WCC),34,25-9,462,381,2.4
229,Saint Peter's (MAAC),34,20-14,484,511,-0.8
143,Sam Houston (Southland),31,18-13,461,447,0.5
208,Samford (SoCon),31,12-19,401,418,-0.5
76,San Diego St. (Mountain West),37,34-3,461,402,1.6
265,San Diego (WCC),30,6-24,400,440,-1.3
315,San Francisco (WCC),34,19-15,389,493,-3.1
103,San Jose St. (WAC),33,17-16,399,363,1.1
148,Santa Clara (WCC),38,24-14,546,532,0.4
152,Savannah St. (Savannah St.),30,12-18,457,448,0.3
39,Seton Hall (AAC),31,13-18,447,381,2.1
85,SFA (Southland),29,18-11,444,404,1.4
264,Siena (MAAC),31,13-18,403,444,-1.3
181,SMU (C-USA),35,20-15,485,490,-0.1
140,South Alabama (Sun Belt),28,12-16,410,396,0.5
300,South Carolina St. (MEAC),32,10-22,449,521,-2.3
83,South Carolina (SEC),30,14-16,445,402,1.4
9,South Dakota St. (Summit League),31,19-12,429,308,3.9
333,South Fla. (AAC),33,10-23,346,496,-4.5
307,Southeast Mo. St. (OVC),32,10-22,386,463,-2.4
120,Southeastern La. (Southland),29,15-14,413,389,0.8
146,Southern California (Pac-12),34,19-15,404,390,0.4
291,Southern Ill. (MVC),32,13-19,394,456,-1.9
69,Southern Miss. (C-USA),32,22-10,433,379,1.7
324,Southern U. (SWAC),30,4-26,396,498,-3.4
310,Southern Utah (Summit League),30,11-19,397,479,-2.7
320,St. Bonaventure (Atlantic 10),31,16-15,359,459,-3.2
16,St. Francis Brooklyn (NEC),30,15-15,499,399,3.3
12,St. John's (NY) (AAC),33,21-12,530,408,3.7
129,Stanford (Pac-12),31,15-16,437,416,0.7
280,Stetson (ASUN),31,8-23,450,501,-1.6
102,Stony Brook (America East),32,15-17,430,395,1.1
74,Syracuse (AAC),35,27-8,490,433,1.6
134,TCU (Mountain West),33,11-22,438,418,0.6
33,Temple (Atlantic 10),34,26-8,448,368,2.4
238,Tennessee St. (OVC),30,14-16,424,451,-0.9
132,Tennessee (SEC),34,19-15,476,454,0.6
142,Texas A&M (Big 12),33,24-9,441,426,0.5
197,Texas Southern (SWAC),32,19-13,516,527,-0.3
65,Texas St. (Southland),32,16-16,545,490,1.7
178,Texas Tech (Big 12),32,13-19,439,442,-0.1
106,Texas (Big 12),36,28-8,461,425,1
297,The Citadel (SoCon),32,10-22,339,407,-2.1
325,Toledo (MAC),32,4-28,397,509,-3.5
203,Towson (CAA),30,4-26,348,361,-0.4
171,Troy (Sun Belt),29,8-21,413,414,0
22,Tulane (C-USA),30,13-17,459,367,3.1
292,Tulsa (C-USA),32,19-13,377,441,-2
175,UAB (C-USA),31,22-9,385,387,-0.1
196,UC Davis (Big West),30,10-20,412,422,-0.3
75,UC Irvine (Big West),32,13-19,464,412,1.6
192,UC Riverside (Big West),31,12-19,424,432,-0.3
234,UC Santa Barbara (Big West),32,18-14,429,456,-0.8
233,UCF (C-USA),33,21-12,427,454,-0.8
309,UCLA (Pac-12),34,23-11,410,501,-2.7
162,UConn (AAC),41,32-9,472,466,0.1
329,UIC (Horizon),31,7-24,380,497,-3.8
266,ULM (Sun Belt),31,7-24,399,441,-1.4
207,UMBC (America East),30,5-25,379,395,-0.5
126,UMES (MEAC),31,9-22,472,450,0.7
30,UNC Asheville (Big South),34,20-14,592,506,2.5
247,UNC Greensboro (SoCon),31,7-24,442,473,-1
279,UNCW (CAA),31,13-18,374,424,-1.6
25,UNI (MVC),34,20-14,412,314,2.9
13,UNLV (Mountain West),33,24-9,535,414,3.7
254,UT Arlington (Southland),29,13-16,479,510,-1.1
168,UT Martin (OVC),33,12-21,505,504,0
154,Utah St. (WAC),34,30-4,412,402,0.3
275,Utah Valley (Utah Valley),30,19-11,370,414,-1.5
313,Utah (Mountain West),31,13-18,332,425,-3
37,UTEP (C-USA),35,25-10,515,438,2.2
253,UTRGV (UTRGV),31,6-25,442,475,-1.1
137,UTSA (Southland),34,20-14,480,461,0.6
113,Valparaiso (Horizon),35,23-12,513,481,0.9
249,Vanderbilt (SEC),34,23-11,406,441,-1
17,VCU (CAA),40,28-12,584,452,3.3
276,Vermont (America East),32,23-9,382,430,-1.5
161,Villanova (AAC),33,21-12,397,392,0.2
42,Virginia Tech (ACC),34,22-12,490,419,2.1
91,Virginia (ACC),31,16-15,379,339,1.3
21,VMI (Big South),31,18-13,509,411,3.2
177,Wagner (NEC),30,13-17,458,460,-0.1
317,Wake Forest (ACC),32,8-24,394,494,-3.1
62,Washington St. (Pac-12),35,22-13,507,445,1.8
28,Washington (Pac-12),35,24-11,517,426,2.6
247,Weber St. (Big Sky),32,18-14,376,408,-1
179,West Virginia (AAC),33,21-12,393,397,-0.1
40,Western Caro. (SoCon),33,18-15,522,453,2.1
270,Western Ill. (Summit League),30,7-23,360,402,-1.4
223,Western Ky. (Sun Belt),32,16-16,451,475,-0.8
229,Western Mich. (MAC),34,21-13,438,465,-0.8
200,Wichita St. (MVC),37,29-8,448,462,-0.4
322,William & Mary (CAA),32,10-22,316,423,-3.3
100,Winthrop (Big South),30,13-17,428,394,1.1
42,Wisconsin (Big Ten),34,25-9,329,258,2.1
82,Wofford (SoCon),34,21-13,453,404,1.4
6,Wright St. (Horizon),33,19-14,499,356,4.3
109,Wyoming (Mountain West),31,10-21,465,436,0.9
141,Xavier (Atlantic 10),32,24-8,401,386,0.5
278,Yale (Ivy League),28,15-13,336,380,-1.6
111,Youngstown St. (Horizon),30,9-21,387,359,0.9
