Rank,Team,GM,W-L,Opp TO,TO,Ratio
332,A&M-Corpus Christi (Southland),31,10-21,407,540,-4.3
131,Air Force (Mountain West),32,16-16,407,386,0.7
35,Akron (MAC),36,23-13,514,432,2.3
115,Alabama A&M (SWAC),28,13-15,469,444,0.9
183,Alabama St. (SWAC),35,17-18,545,551,-0.2
63,Alabama (SEC),37,25-12,581,516,1.8
305,Albany (NY) (America East),32,16-16,335,411,-2.4
277,Alcorn (SWAC),28,4-24,430,473,-1.5
232,American (Patriot),31,22-9,321,346,-0.8
216,App State (SoCon),31,16-15,382,403,-0.7
133,Arizona St. (Pac-12),31,12-19,398,379,0.6
188,Arizona (Pac-12),38,30-8,476,484,-0.2
259,Ark.-Pine Bluff (SWAC),31,7-24,479,518,-1.3
164,Arkansas St. (Sun Belt),32,17-15,421,418,0.1
101,Arkansas (SEC),31,18-13,446,411,1.1
186,Army West Point (Patriot),30,11-19,418,424,-0.2
95,Auburn (SEC),31,11-20,477,440,1.2
31,Austin Peay (OVC),34,20-14,566,485,2.4
114,Ball St. (MAC),32,19-13,443,414,0.9
239,Baylor (Big 12),31,18-13,459,487,-0.9
3,Belmont (ASUN),35,30-5,665,481,5.3
36,Bethune-Cookman (MEAC),34,21-13,492,415,2.3
266,Binghamton (America East),31,8-23,342,384,-1.4
4,Boise St. (WAC),35,22-13,608,425,5.2
215,Boston College (ACC),34,21-13,354,376,-0.6
212,Boston U. (America East),35,21-14,397,418,-0.6
50,Bowling Green (MAC),33,14-19,508,444,1.9
124,Bradley (MVC),32,12-20,414,390,0.8
263,Brown (Ivy League),28,11-17,306,343,-1.3
135,Bucknell (Patriot),34,25-9,400,380,0.6
184,Buffalo (MAC),34,20-14,518,524,-0.2
80,Butler (Horizon),38,28-10,474,416,1.5
15,BYU (Mountain West),37,32-5,533,404,3.5
73,Cal Poly (Big West),30,15-15,405,356,1.6
244,Cal St. Fullerton (Big West),31,11-20,409,439,-1
241,California (Pac-12),33,18-15,418,449,-0.9
158,Campbell (ASUN),31,12-19,454,446,0.3
186,Canisius (MAAC),30,15-15,408,414,-0.2
327,Centenary (LA) (Summit League),30,1-29,440,548,-3.6
139,Central Ark. (Southland),29,5-24,483,468,0.5
77,Central Conn. St. (NEC),31,19-12,496,447,1.6
89,Central Mich. (MAC),31,10-21,460,419,1.3
97,Charleston So. (Big South),32,16-16,493,455,1.2
319,Charlotte (Atlantic 10),30,10-20,351,447,-3.2
294,Chattanooga (SoCon),32,16-16,418,484,-2.1
321,Chicago St. (Chicago St.),32,6-26,444,550,-3.3
28,Cincinnati (AAC),35,26-9,492,401,2.6
46,Clemson (ACC),34,22-12,517,449,2
18,Cleveland St. (Horizon),36,27-9,530,412,3.3
144,Coastal Carolina (Big South),34,28-6,458,443,0.4
112,Col. of Charleston (SoCon),37,26-11,482,448,0.9
331,Colgate (Patriot),30,7-23,348,475,-4.2
185,Colorado St. (Mountain West),32,19-13,444,450,-0.2
64,Colorado (Big 12),38,24-14,512,446,1.7
151,Columbia (Ivy League),28,15-13,357,348,0.3
98,Coppin St. (MEAC),30,16-14,445,410,1.2
72,Cornell (Ivy League),28,10-18,384,338,1.6
308,Creighton (MVC),39,23-16,373,470,-2.5
155,CSU Bakersfield (CSU Bakersfield),28,9-19,390,382,0.3
219,CSUN (Big West),32,14-18,481,504,-0.7
145,Dartmouth (Ivy League),28,5-23,395,383,0.4
256,Davidson (SoCon),33,18-15,427,465,-1.2
223,Dayton (Atlantic 10),36,22-14,450,477,-0.8
7,Delaware St. (MEAC),30,9-21,464,335,4.3
303,Delaware (CAA),31,14-17,294,365,-2.3
78,Denver (Sun Belt),30,13-17,418,371,1.6
60,DePaul (AAC),31,7-24,477,420,1.8
269,Detroit Mercy (Horizon),33,17-16,471,517,-1.4
104,Drake (MVC),31,13-18,409,377,1
289,Drexel (CAA),31,21-10,311,370,-1.9
27,Duke (ACC),37,32-5,546,447,2.7
1,Duquesne (Atlantic 10),32,19-13,643,428,6.7
199,East Carolina (C-USA),34,18-16,466,478,-0.4
268,Eastern Ill. (OVC),29,9-20,365,405,-1.4
51,Eastern Ky. (OVC),31,15-16,434,374,1.9
221,Eastern Mich. (MAC),31,9-22,426,449,-0.7
217,Eastern Wash. (Big Sky),30,10-20,391,412,-0.7
99,Elon (SoCon),31,14-17,427,391,1.2
130,ETSU (ASUN),36,24-12,501,477,0.7
58,Evansville (MVC),32,16-16,474,415,1.8
40,Fairfield (MAAC),33,25-8,526,457,2.1
330,Fairleigh Dickinson (NEC),29,5-24,322,439,-4
136,FIU (Sun Belt),30,11-19,458,441,0.6
84,Fla. Atlantic (Sun Belt),32,21-11,405,360,1.4
283,Florida A&M (MEAC),32,12-20,472,528,-1.8
218,Florida St. (ACC),34,23-11,517,541,-0.7
159,Florida (SEC),37,29-8,461,452,0.2
326,Fordham (Atlantic 10),28,7-21,294,393,-3.5
167,Fresno St. (WAC),31,14-17,431,430,0
220,Furman (SoCon),33,22-11,412,436,-0.7
292,Ga. Southern (SoCon),32,5-27,511,575,-2
204,Gardner-Webb (Big South),32,11-21,461,475,-0.4
34,George Mason (CAA),34,27-7,454,376,2.3
49,George Washington (Atlantic 10),31,17-14,457,396,2
299,Georgetown (AAC),32,21-11,364,433,-2.2
273,Georgia St. (CAA),31,12-19,418,463,-1.5
24,Georgia Tech (ACC),31,13-18,514,424,2.9
274,Georgia (SEC),33,21-12,396,444,-1.5
119,Gonzaga (WCC),35,25-10,503,474,0.8
213,Grambling (SWAC),33,12-21,486,506,-0.6
79,Green Bay (Horizon),32,14-18,470,421,1.5
19,Hampton (MEAC),33,24-9,517,412,3.2
11,Hartford (America East),31,11-20,505,388,3.8
190,Harvard (Ivy League),30,23-7,391,398,-0.2
311,Hawaii (WAC),32,19-13,419,509,-2.8
170,High Point (Big South),31,12-19,468,469,0
38,Hofstra (CAA),33,21-12,417,346,2.2
318,Holy Cross (Patriot),29,8-21,296,387,-3.1
302,Houston (C-USA),30,12-18,388,456,-2.3
295,Howard (MEAC),30,6-24,414,476,-2.1
225,Idaho St. (Big Sky),29,9-20,364,386,-0.8
283,Idaho (WAC),32,18-14,414,470,-1.8
285,Illinois St. (MVC),31,12-19,359,414,-1.8
214,Illinois (Big Ten),34,20-14,413,434,-0.6
242,Indiana St. (MVC),34,20-14,445,477,-0.9
174,Indiana (Big Ten),32,12-20,413,415,-0.1
44,Iona (MAAC),37,25-12,544,468,2.1
58,Iowa St. (Big 12),32,16-16,460,401,1.8
175,Iowa (Big Ten),31,11-20,445,447,-0.1
121,IUPUI (Summit League),33,19-14,397,371,0.8
48,Jackson St. (SWAC),32,17-15,544,481,2
122,Jacksonville St. (OVC),30,5-25,455,432,0.8
90,Jacksonville (ASUN),32,20-12,526,484,1.3
228,James Madison (CAA),33,21-12,395,421,-0.8
231,Kansas City (Summit League),30,16-14,395,419,-0.8
123,Kansas St. (Big 12),34,23-11,524,498,0.8
125,Kansas (Big 12),38,35-3,535,507,0.7
298,Kennesaw St. (ASUN),31,8-23,377,443,-2.1
96,Kent St. (MAC),37,25-12,520,476,1.2
87,Kentucky (SEC),38,29-9,458,406,1.4
281,La Salle (Atlantic 10),33,15-18,458,513,-1.7
147,Lafayette (Patriot),32,13-19,442,430,0.4
68,Lamar University (Southland),30,13-17,509,458,1.7
51,Lehigh (Patriot),31,16-15,462,402,1.9
250,Liberty (Big South),32,19-13,453,486,-1
240,Lipscomb (ASUN),30,17-13,436,464,-0.9
53,Little Rock (Sun Belt),36,19-17,497,428,1.9
191,LIU (NEC),33,27-6,497,505,-0.2
250,LMU (CA) (WCC),32,11-21,422,455,-1
235,Long Beach St. (Big West),34,22-12,459,488,-0.9
182,Longwood (Longwood),31,12-19,423,428,-0.2
313,Louisiana Tech (WAC),32,12-20,439,535,-3
237,Louisiana (Sun Belt),29,14-15,421,447,-0.9
23,Louisville (AAC),35,25-10,564,459,3
109,Loyola Chicago (Horizon),31,16-15,425,396,0.9
152,Loyola Maryland (MAAC),30,15-15,405,396,0.3
255,LSU (SEC),32,11-21,426,461,-1.1
226,Maine (America East),30,15-15,364,387,-0.8
261,Manhattan (MAAC),31,6-25,379,419,-1.3
328,Marist (MAAC),33,6-27,360,481,-3.7
67,Marquette (AAC),37,22-15,518,455,1.7
205,Marshall (C-USA),34,22-12,436,452,-0.5
88,Maryland (ACC),33,19-14,495,450,1.4
166,Massachusetts (Atlantic 10),30,15-15,413,412,0
