Rank,Team,GM,W-L,AST,TO,Ratio
49,Iowa St. (Big 12),32,16-16,480,401,1.20
181,Iowa (Big Ten),31,11-20,423,447,0.95
152,IUPUI (Summit League),33,19-14,362,371,0.98
219,Jackson St. (SWAC),32,17-15,426,481,0.89
239,Jacksonville St. (OVC),30,5-25,368,432,0.85
267,Jacksonville (ASUN),32,20-12,390,484,0.81
100,James Madison (CAA),33,21-12,455,421,1.08
291,Kansas City (Summit League),30,16-14,321,419,0.77
173,Kansas St. (Big 12),34,23-11,474,498,0.95
17,Kansas (Big 12),38,35-3,674,507,1.33
281,Kennesaw St. (ASUN),31,8-23,347,443,0.78
102,Kent St. (MAC),37,25-12,513,476,1.08
52,Kentucky (SEC),38,29-9,482,406,1.19
157,La Salle (Atlantic 10),33,15-18,496,513,0.97
86,Lafayette (Patriot),32,13-19,476,430,1.11
166,Lamar University (Southland),30,13-17,437,458,0.95
195,Lehigh (Patriot),31,16-15,372,402,0.93
251,Liberty (Big South),32,19-13,402,486,0.83
141,Lipscomb (ASUN),30,17-13,461,464,0.99
129,Little Rock (Sun Belt),36,19-17,433,428,1.01
138,LIU (NEC),33,27-6,503,505,1.00
164,LMU (CA) (WCC),32,11-21,435,455,0.96
190,Long Beach St. (Big West),34,22-12,455,488,0.93
51,Longwood (Longwood),31,12-19,510,428,1.19
330,Louisiana Tech (WAC),32,12-20,331,535,0.62
325,Louisiana (Sun Belt),29,14-15,295,447,0.66
18,Louisville (AAC),35,25-10,608,459,1.32
156,Loyola Chicago (Horizon),31,16-15,383,396,0.97
210,Loyola Maryland (MAAC),30,15-15,357,396,0.90
278,LSU (SEC),32,11-21,364,461,0.79
124,Maine (America East),30,15-15,396,387,1.02
310,Manhattan (MAAC),31,6-25,300,419,0.72
326,Marist (MAAC),33,6-27,317,481,0.66
30,Marquette (AAC),37,22-15,574,455,1.26
154,Marshall (C-USA),34,22-12,439,452,0.97
37,Maryland (ACC),33,19-14,557,450,1.24
258,Massachusetts (Atlantic 10),30,15-15,337,412,0.82
201,McNeese (Southland),33,21-12,370,403,0.92
