Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
176,Western Caro. (SoCon),33,18-15,"1,189",36,"1,177",35.7,0.4
311,Western Ill. (Summit League),30,7-23,893,29.8,"1,030",34.3,-4.6
181,Western Ky. (Sun Belt),32,16-16,"1,187",37.1,"1,179",36.8,0.3
47,Western Mich. (MAC),34,21-13,"1,280",37.6,"1,142",33.6,4.1
6,Wichita St. (MVC),37,29-8,"1,389",37.5,"1,078",29.1,8.4
231,William & Mary (CAA),32,10-22,"1,021",31.9,"1,068",33.4,-1.5
164,Winthrop (Big South),30,13-17,"1,121",37.4,"1,105",36.8,0.5
62,Wisconsin (Big Ten),34,25-9,"1,088",32,968,28.5,3.5
144,Wofford (SoCon),34,21-13,"1,108",32.6,"1,073",31.6,1
306,Wright St. (Horizon),33,19-14,898,27.2,"1,041",31.5,-4.3
284,Wyoming (Mountain West),31,10-21,"1,002",32.3,"1,102",35.5,-3.2
41,Xavier (Atlantic 10),32,24-8,"1,130",35.3,991,31,4.3
179,Yale (Ivy League),28,15-13,961,34.3,952,34,0.3
317,Youngstown St. (Horizon),30,9-21,"1,032",34.4,"1,194",39.8,-5.4
