Rank,Team,GM,W-L,Fouls,PFPG,DQ
100,A&M-Corpus Christi (Southland),31,10-21,555,17.9,5
88,Air Force (Mountain West),32,16-16,563,17.6,13
207,Akron (MAC),36,23-13,692,19.2,13
258,Alabama A&M (SWAC),28,13-15,562,20.1,6
327,Alabama St. (SWAC),35,17-18,777,22.2,22
125,Alabama (SEC),37,25-12,675,18.2,17
19,Albany (NY) (America East),32,16-16,505,15.8,13
321,Alcorn (SWAC),28,4-24,610,21.8,16
105,American (Patriot),31,22-9,558,18,5
74,App State (SoCon),31,16-15,541,17.5,15
150,Arizona St. (Pac-12),31,12-19,574,18.5,10
157,Arizona (Pac-12),38,30-8,707,18.6,15
299,Ark.-Pine Bluff (SWAC),31,7-24,649,20.9,30
133,Arkansas St. (Sun Belt),32,17-15,586,18.3,8
113,Arkansas (SEC),31,18-13,561,18.1,11
263,Army West Point (Patriot),30,11-19,606,20.2,16
287,Auburn (SEC),31,11-20,641,20.7,16
143,Austin Peay (OVC),34,20-14,625,18.4,16
102,Ball St. (MAC),32,19-13,574,17.9,14
51,Baylor (Big 12),31,18-13,524,16.9,10
293,Belmont (ASUN),35,30-5,729,20.8,7
209,Bethune-Cookman (MEAC),34,21-13,654,19.2,22
28,Binghamton (America East),31,8-23,503,16.2,7
174,Boise St. (WAC),35,22-13,661,18.9,17
4,Boston College (ACC),34,21-13,503,14.8,3
118,Boston U. (America East),35,21-14,635,18.1,11
146,Bowling Green (MAC),33,14-19,608,18.4,11
126,Bradley (MVC),32,12-20,584,18.3,17
38,Brown (Ivy League),28,11-17,464,16.6,4
105,Bucknell (Patriot),34,25-9,612,18,8
184,Buffalo (MAC),34,20-14,645,19,21
175,Butler (Horizon),38,28-10,718,18.9,20
79,BYU (Mountain West),37,32-5,647,17.5,10
155,Cal Poly (Big West),30,15-15,557,18.6,13
281,Cal St. Fullerton (Big West),31,11-20,636,20.5,27
97,California (Pac-12),33,18-15,588,17.8,17
324,Campbell (ASUN),31,12-19,680,21.9,22
220,Canisius (MAAC),30,15-15,580,19.3,8
323,Centenary (LA) (Summit League),30,1-29,658,21.9,22
243,Central Ark. (Southland),29,5-24,571,19.7,7
92,Central Conn. St. (NEC),31,19-12,548,17.7,12
311,Central Mich. (MAC),31,10-21,665,21.5,19
137,Charleston So. (Big South),32,16-16,587,18.3,16
90,Charlotte (Atlantic 10),30,10-20,529,17.6,15
149,Chattanooga (SoCon),32,16-16,592,18.5,12
334,Chicago St. (Chicago St.),32,6-26,764,23.9,26
67,Cincinnati (AAC),35,26-9,605,17.3,11
139,Clemson (ACC),34,22-12,624,18.4,9
254,Cleveland St. (Horizon),36,27-9,718,19.9,15
11,Coastal Carolina (Big South),34,28-6,517,15.2,6
7,Col. of Charleston (SoCon),37,26-11,561,15.2,4
283,Colgate (Patriot),30,7-23,617,20.6,14
182,Colorado St. (Mountain West),32,19-13,607,19,13
136,Colorado (Big 12),38,24-14,697,18.3,14
198,Columbia (Ivy League),28,15-13,536,19.1,10
105,Coppin St. (MEAC),30,16-14,540,18,6
285,Cornell (Ivy League),28,10-18,578,20.6,10
8,Creighton (MVC),39,23-16,592,15.2,3
