Rank,Team,GM,W-L,Fouls,PFPG,DQ
195,CSU Bakersfield (CSU Bakersfield),28,9-19,535,19.1,18
331,CSUN (Big West),32,14-18,738,23.1,14
176,Dartmouth (Ivy League),28,5-23,530,18.9,8
326,Davidson (SoCon),33,18-15,729,22.1,25
226,Dayton (Atlantic 10),36,22-14,699,19.4,14
14,Delaware St. (MEAC),30,9-21,464,15.5,5
249,Delaware (CAA),31,14-17,615,19.8,19
320,Denver (Sun Belt),30,13-17,653,21.8,23
253,DePaul (AAC),31,7-24,617,19.9,15
224,Detroit Mercy (Horizon),33,17-16,640,19.4,16
134,Drake (MVC),31,13-18,568,18.3,11
169,Drexel (CAA),31,21-10,583,18.8,22
94,Duke (ACC),37,32-5,657,17.8,13
212,Duquesne (Atlantic 10),32,19-13,616,19.3,6
237,East Carolina (C-USA),34,18-16,666,19.6,18
179,Eastern Ill. (OVC),29,9-20,550,19,15
113,Eastern Ky. (OVC),31,15-16,561,18.1,10
236,Eastern Mich. (MAC),31,9-22,607,19.6,10
275,Eastern Wash. (Big Sky),30,10-20,612,20.4,20
218,Elon (SoCon),31,14-17,599,19.3,9
145,ETSU (ASUN),36,24-12,663,18.4,13
295,Evansville (MVC),32,16-16,668,20.9,10
77,Fairfield (MAAC),33,25-8,577,17.5,12
197,Fairleigh Dickinson (NEC),29,5-24,555,19.1,17
294,FIU (Sun Belt),30,11-19,625,20.8,24
137,Fla. Atlantic (Sun Belt),32,21-11,587,18.3,14
222,Florida A&M (MEAC),32,12-20,620,19.4,14
199,Florida St. (ACC),34,23-11,651,19.1,13
3,Florida (SEC),37,29-8,545,14.7,0
141,Fordham (Atlantic 10),28,7-21,514,18.4,18
127,Fresno St. (WAC),31,14-17,566,18.3,10
170,Furman (SoCon),33,22-11,621,18.8,10
325,Ga. Southern (SoCon),32,5-27,703,22,34
166,Gardner-Webb (Big South),32,11-21,600,18.8,9
55,George Mason (CAA),34,27-7,581,17.1,9
140,George Washington (Atlantic 10),31,17-14,569,18.4,6
172,Georgetown (AAC),32,21-11,603,18.8,7
304,Georgia St. (CAA),31,12-19,658,21.2,6
284,Georgia Tech (ACC),31,13-18,639,20.6,7
33,Georgia (SEC),33,21-12,541,16.4,10
151,Gonzaga (WCC),35,25-10,649,18.5,11
298,Grambling (SWAC),33,12-21,690,20.9,17
269,Green Bay (Horizon),32,14-18,650,20.3,17
132,Hampton (MEAC),33,24-9,604,18.3,7
148,Hartford (America East),31,11-20,573,18.5,22
15,Harvard (Ivy League),30,23-7,466,15.5,6
229,Hawaii (WAC),32,19-13,623,19.5,20
316,High Point (Big South),31,12-19,669,21.6,14
108,Hofstra (CAA),33,21-12,595,18,10
128,Holy Cross (Patriot),29,8-21,530,18.3,9
261,Houston (C-USA),30,12-18,605,20.2,16
208,Howard (MEAC),30,6-24,577,19.2,24
168,Idaho St. (Big Sky),29,9-20,545,18.8,11
44,Idaho (WAC),32,18-14,537,16.8,7
134,Illinois St. (MVC),31,12-19,568,18.3,4
85,Illinois (Big Ten),34,20-14,598,17.6,10
259,Indiana St. (MVC),34,20-14,684,20.1,14
310,Indiana (Big Ten),32,12-20,685,21.4,20
104,Iona (MAAC),37,25-12,665,18,12
32,Iowa St. (Big 12),32,16-16,524,16.4,14
36,Iowa (Big Ten),31,11-20,512,16.5,9
9,IUPUI (Summit League),33,19-14,501,15.2,9
295,Jackson St. (SWAC),32,17-15,668,20.9,12
255,Jacksonville St. (OVC),30,5-25,599,20,12
309,Jacksonville (ASUN),32,20-12,684,21.4,15
101,James Madison (CAA),33,21-12,591,17.9,14
242,Kansas City (Summit League),30,16-14,590,19.7,25
272,Kansas St. (Big 12),34,23-11,692,20.4,23
82,Kansas (Big 12),38,35-3,666,17.5,4
58,Kennesaw St. (ASUN),31,8-23,532,17.2,6
71,Kent St. (MAC),37,25-12,642,17.4,9
20,Kentucky (SEC),38,29-9,601,15.8,11
162,La Salle (Atlantic 10),33,15-18,616,18.7,14
267,Lafayette (Patriot),32,13-19,648,20.3,14
332,Lamar University (Southland),30,13-17,692,23.1,15
196,Lehigh (Patriot),31,16-15,593,19.1,8
206,Liberty (Big South),32,19-13,615,19.2,13
273,Lipscomb (ASUN),30,17-13,611,20.4,19
282,Little Rock (Sun Belt),36,19-17,740,20.6,14
84,LIU (NEC),33,27-6,580,17.6,14
178,LMU (CA) (WCC),32,11-21,606,18.9,17
27,Long Beach St. (Big West),34,22-12,550,16.2,7
216,Longwood (Longwood),31,12-19,597,19.3,15
274,Louisiana Tech (WAC),32,12-20,652,20.4,20
307,Louisiana (Sun Belt),29,14-15,618,21.3,17
201,Louisville (AAC),35,25-10,671,19.2,12
74,Loyola Chicago (Horizon),31,16-15,541,17.5,12
225,Loyola Maryland (MAAC),30,15-15,582,19.4,13
228,LSU (SEC),32,11-21,622,19.4,18
93,Maine (America East),30,15-15,532,17.7,15
45,Manhattan (MAAC),31,6-25,521,16.8,8
252,Marist (MAAC),33,6-27,656,19.9,15
46,Marquette (AAC),37,22-15,622,16.8,7
244,Marshall (C-USA),34,22-12,671,19.7,17
41,Maryland (ACC),33,19-14,549,16.6,8
300,Massachusetts (Atlantic 10),30,15-15,629,21,18
232,McNeese (Southland),33,21-12,643,19.5,20
270,Memphis (C-USA),35,25-10,712,20.3,20
301,Mercer (ASUN),33,15-18,692,21,18
109,Miami (FL) (ACC),36,21-15,650,18.1,17
52,Miami (OH) (MAC),33,16-17,559,16.9,12
190,Michigan St. (Big Ten),34,19-15,648,19.1,13
43,Michigan (Big Ten),35,21-14,587,16.8,8
333,Middle Tenn. (Sun Belt),32,16-16,756,23.6,28
91,Milwaukee (Horizon),33,19-14,582,17.6,14
30,Minnesota (Big Ten),31,17-14,504,16.3,8
10,Mississippi St. (SEC),31,17-14,471,15.2,13
329,Mississippi Val. (SWAC),32,13-19,729,22.8,15
70,Missouri St. (MVC),35,26-9,607,17.3,6
268,Missouri (Big 12),34,23-11,689,20.3,15
69,Monmouth (NEC),30,9-21,520,17.3,11
110,Montana St. (Big Sky),31,13-18,560,18.1,9
66,Montana (Big Sky),32,21-11,553,17.3,10
161,Morehead St. (OVC),35,25-10,653,18.7,17
260,Morgan St. (MEAC),31,17-14,625,20.2,13
212,Mount St. Mary's (NEC),32,11-21,616,19.3,12
160,Murray St. (OVC),32,23-9,597,18.7,7
40,N.C. A&T (MEAC),32,15-17,531,16.6,8
297,Navy (Patriot),31,11-20,648,20.9,21
60,NC State (ACC),31,15-16,533,17.2,9
59,Nebraska (Big 12),32,19-13,550,17.2,8
276,Nevada (WAC),32,13-19,653,20.4,12
121,New Hampshire (America East),30,12-18,546,18.2,9
152,New Mexico St. (WAC),33,16-17,612,18.5,15
201,New Mexico (Mountain West),35,22-13,671,19.2,17
212,Niagara (MAAC),32,9-23,616,19.3,17
227,Nicholls (Southland),28,14-14,544,19.4,9
302,NJIT (NJIT),30,15-15,633,21.1,18
318,Norfolk St. (MEAC),32,12-20,694,21.7,23
26,North Carolina (ACC),37,29-8,597,16.1,5
234,North Dakota St. (Summit League),29,14-15,566,19.5,13
280,North Florida (ASUN),34,15-19,697,20.5,30
115,North Texas (Sun Belt),33,22-11,598,18.1,11
204,Northeastern (CAA),31,11-20,595,19.2,21
188,Northern Ariz. (Big Sky),32,19-13,609,19,6
185,Northern Colo. (Big Sky),32,21-11,608,19,8
263,Northern Ill. (MAC),30,9-21,606,20.2,20
330,Northwestern St. (Southland),32,18-14,735,23,18
62,Northwestern (Big Ten),34,20-14,585,17.2,11
11,Notre Dame (AAC),34,27-7,517,15.2,10
144,Oakland (Summit League),35,25-10,644,18.4,14
1,Ohio St. (Big Ten),37,34-3,519,14,5
290,Ohio (MAC),35,19-16,726,20.7,19
292,Oklahoma St. (Big 12),34,20-14,707,20.8,21
129,Oklahoma (Big 12),32,14-18,585,18.3,16
4,Old Dominion (CAA),34,27-7,503,14.8,5
167,Ole Miss (SEC),34,20-14,638,18.8,21
270,Oral Roberts (Summit League),35,19-16,712,20.3,27
153,Oregon St. (Pac-12),31,11-20,575,18.5,9
123,Oregon (Pac-12),39,21-18,711,18.2,15
6,Pacific (Big West),31,16-15,460,14.8,6
17,Penn St. (Big Ten),34,19-15,530,15.6,8
111,Penn (Ivy League),28,13-15,506,18.1,9
185,Pepperdine (WCC),33,12-21,627,19,14
103,Pittsburgh (AAC),34,28-6,610,17.9,6
48,Portland St. (Big Sky),30,14-16,506,16.9,7
80,Portland (WCC),32,20-12,560,17.5,8
256,Prairie View (SWAC),32,10-22,640,20,11
63,Princeton (Ivy League),32,25-7,551,17.2,7
53,Providence (AAC),32,15-17,543,17,7
315,Purdue Fort Wayne (Summit League),30,18-12,646,21.5,21
96,Purdue (Big Ten),34,26-8,605,17.8,4
291,Quinnipiac (NEC),32,22-10,665,20.8,12
221,Radford (Big South),29,5-24,561,19.3,12
98,Rhode Island (Atlantic 10),34,20-14,606,17.8,13
172,Rice (C-USA),32,14-18,603,18.8,6
22,Richmond (Atlantic 10),37,29-8,587,15.9,6
85,Rider (MAAC),34,23-11,598,17.6,20
328,Robert Morris (NEC),32,18-14,718,22.4,19
247,Rutgers (AAC),32,15-17,634,19.8,21
122,Sacramento St. (Big Sky),28,7-21,510,18.2,13
246,Sacred Heart (NEC),29,11-18,574,19.8,10
312,Saint Francis (PA) (NEC),30,9-21,645,21.5,14
25,Saint Joseph's (Atlantic 10),33,11-22,531,16.1,9
185,Saint Louis (Atlantic 10),31,12-19,589,19,18
85,Saint Mary's (CA) (WCC),34,25-9,598,17.6,15
230,Saint Peter's (MAAC),34,20-14,662,19.5,7
277,Sam Houston (Southland),31,18-13,634,20.5,22
49,Samford (SoCon),31,12-19,523,16.9,8
2,San Diego St. (Mountain West),37,34-3,542,14.6,8
238,San Diego (WCC),30,6-24,589,19.6,15
233,San Francisco (WCC),34,19-15,663,19.5,10
191,San Jose St. (WAC),33,17-16,629,19.1,25
289,Santa Clara (WCC),38,24-14,787,20.7,24
192,Savannah St. (Savannah St.),30,12-18,572,19.1,11
180,Seton Hall (AAC),31,13-18,588,19,19
89,SFA (Southland),29,18-11,511,17.6,8
42,Siena (MAAC),31,13-18,516,16.6,10
31,SMU (C-USA),35,20-15,572,16.3,9
111,South Alabama (Sun Belt),28,12-16,506,18.1,10
279,South Carolina St. (MEAC),32,10-22,655,20.5,21
164,South Carolina (SEC),30,14-16,562,18.7,13
130,South Dakota St. (Summit League),31,19-12,567,18.3,7
200,South Fla. (AAC),33,10-23,632,19.2,17
303,Southeast Mo. St. (OVC),32,10-22,677,21.2,22
241,Southeastern La. (Southland),29,15-14,570,19.7,11
68,Southern California (Pac-12),34,19-15,589,17.3,15
247,Southern Ill. (MVC),32,13-19,634,19.8,9
203,Southern Miss. (C-USA),32,22-10,614,19.2,13
50,Southern U. (SWAC),30,4-26,507,16.9,12
319,Southern Utah (Summit League),30,11-19,651,21.7,22
117,St. Bonaventure (Atlantic 10),31,16-15,562,18.1,16
308,St. Francis Brooklyn (NEC),30,15-15,641,21.4,21
183,St. John's (NY) (AAC),33,21-12,626,19,14
147,Stanford (Pac-12),31,15-16,572,18.5,7
305,Stetson (ASUN),31,8-23,660,21.3,29
95,Stony Brook (America East),32,15-17,569,17.8,8
16,Syracuse (AAC),35,27-8,544,15.5,9
205,TCU (Mountain West),33,11-22,634,19.2,13
21,Temple (Atlantic 10),34,26-8,538,15.8,9
158,Tennessee St. (OVC),30,14-16,559,18.6,17
262,Tennessee Tech (OVC),33,20-13,666,20.2,12
230,Tennessee (SEC),34,19-15,662,19.5,11
124,Texas A&M (Big 12),33,24-9,602,18.2,10
163,Texas Southern (SWAC),32,19-13,598,18.7,16
322,Texas St. (Southland),32,16-16,699,21.8,20
256,Texas Tech (Big 12),32,13-19,640,20,20
56,Texas (Big 12),36,28-8,616,17.1,5
37,The Citadel (SoCon),32,10-22,529,16.5,13
47,Toledo (MAC),32,4-28,538,16.8,17
65,Towson (CAA),30,4-26,517,17.2,10
83,Troy (Sun Belt),29,8-21,509,17.6,10
61,Tulane (C-USA),30,13-17,516,17.2,10
250,Tulsa (C-USA),32,19-13,636,19.9,24
39,UAB (C-USA),31,22-9,514,16.6,13
238,UC Davis (Big West),30,10-20,589,19.6,13
317,UC Irvine (Big West),32,13-19,691,21.6,24
165,UC Riverside (Big West),31,12-19,581,18.7,17
194,UC Santa Barbara (Big West),32,18-14,611,19.1,10
73,UCF (C-USA),33,21-12,575,17.4,6
76,UCLA (Pac-12),34,23-11,594,17.5,13
18,UConn (AAC),41,32-9,646,15.8,9
99,UIC (Horizon),31,7-24,554,17.9,10
180,ULM (Sun Belt),31,7-24,588,19,23
245,UMBC (America East),30,5-25,593,19.8,14
313,UMES (MEAC),31,9-22,667,21.5,22
235,UNC Asheville (Big South),34,20-14,664,19.5,13
305,UNC Greensboro (SoCon),31,7-24,660,21.3,19
23,UNCW (CAA),31,13-18,492,15.9,7
57,UNI (MVC),34,20-14,583,17.1,13
211,UNLV (Mountain West),33,24-9,635,19.2,8
314,UT Arlington (Southland),29,13-16,624,21.5,20
278,UT Martin (OVC),33,12-21,675,20.5,22
72,Utah St. (WAC),34,30-4,591,17.4,9
177,Utah Valley (Utah Valley),30,19-11,568,18.9,10
217,Utah (Mountain West),31,13-18,598,19.3,18
156,UTEP (C-USA),35,25-10,651,18.6,17
286,UTRGV (UTRGV),31,6-25,640,20.6,13
219,UTSA (Southland),34,20-14,657,19.3,12
215,Valparaiso (Horizon),35,23-12,674,19.3,18
29,Vanderbilt (SEC),34,23-11,552,16.2,13
142,VCU (CAA),40,28-12,735,18.4,9
35,Vermont (America East),32,23-9,527,16.5,8
81,Villanova (AAC),33,21-12,578,17.5,12
54,Virginia Tech (ACC),34,22-12,579,17,14
24,Virginia (ACC),31,16-15,498,16.1,6
240,VMI (Big South),31,18-13,609,19.6,17
335,Wagner (NEC),30,13-17,748,24.9,38
154,Wake Forest (ACC),32,8-24,594,18.6,8
78,Washington St. (Pac-12),35,22-13,612,17.5,17
265,Washington (Pac-12),35,24-11,708,20.2,17
250,Weber St. (Big Sky),32,18-14,636,19.9,18
115,West Virginia (AAC),33,21-12,598,18.1,14
288,Western Caro. (SoCon),33,18-15,683,20.7,30
189,Western Ill. (Summit League),30,7-23,571,19,22
120,Western Ky. (Sun Belt),32,16-16,582,18.2,10
223,Western Mich. (MAC),34,21-13,659,19.4,12
119,Wichita St. (MVC),37,29-8,672,18.2,6
34,William & Mary (CAA),32,10-22,526,16.4,9
192,Winthrop (Big South),30,13-17,572,19.1,5
13,Wisconsin (Big Ten),34,25-9,522,15.4,11
209,Wofford (SoCon),34,21-13,654,19.2,19
170,Wright St. (Horizon),33,19-14,621,18.8,14
130,Wyoming (Mountain West),31,10-21,567,18.3,14
63,Xavier (Atlantic 10),32,24-8,551,17.2,12
159,Yale (Ivy League),28,15-13,522,18.6,11
266,Youngstown St. (Horizon),30,9-21,607,20.2,13
