Rank,Team,GM,W-L,FGM,FGA,FG%
186,A&M-Corpus Christi (Southland),31,10-21,684,"1,583",43.2
24,Air Force (Mountain West),32,16-16,722,"1,532",47.1
201,Akron (MAC),36,23-13,892,"2,073",43
310,Alabama A&M (SWAC),28,13-15,633,"1,588",39.9
317,Alabama St. (SWAC),35,17-18,728,"1,841",39.5
98,Alabama (SEC),37,25-12,930,"2,066",45
245,Albany (NY) (America East),32,16-16,724,"1,707",42.4
335,Alcorn (SWAC),28,4-24,614,"1,664",36.9
111,American (Patriot),31,22-9,716,"1,602",44.7
76,App State (SoCon),31,16-15,790,"1,738",45.5
203,Arizona St. (Pac-12),31,12-19,719,"1,674",43
29,Arizona (Pac-12),38,30-8,969,"2,064",46.9
321,Ark.-Pine Bluff (SWAC),31,7-24,627,"1,610",38.9
185,Arkansas St. (Sun Belt),32,17-15,745,"1,724",43.2
169,Arkansas (SEC),31,18-13,756,"1,734",43.6
275,Army West Point (Patriot),30,11-19,707,"1,702",41.5
311,Auburn (SEC),31,11-20,675,"1,695",39.8
61,Austin Peay (OVC),34,20-14,899,"1,960",45.9
116,Ball St. (MAC),32,19-13,724,"1,623",44.6
38,Baylor (Big 12),31,18-13,752,"1,618",46.5
47,Belmont (ASUN),35,30-5,944,"2,045",46.2
147,Bethune-Cookman (MEAC),34,21-13,796,"1,814",43.9
313,Binghamton (America East),31,8-23,651,"1,642",39.6
156,Boise St. (WAC),35,22-13,876,"2,002",43.8
45,Boston College (ACC),34,21-13,856,"1,852",46.2
301,Boston U. (America East),35,21-14,749,"1,863",40.2
187,Bowling Green (MAC),33,14-19,803,"1,859",43.2
224,Bradley (MVC),32,12-20,748,"1,751",42.7
144,Brown (Ivy League),28,11-17,688,"1,567",43.9
119,Bucknell (Patriot),34,25-9,827,"1,855",44.6
22,Buffalo (MAC),34,20-14,879,"1,864",47.2
183,Butler (Horizon),38,28-10,919,"2,122",43.3
100,BYU (Mountain West),37,32-5,"1,019","2,267",44.9
322,Cal Poly (Big West),30,15-15,603,"1,551",38.9
101,Cal St. Fullerton (Big West),31,11-20,752,"1,674",44.9
51,California (Pac-12),33,18-15,820,"1,779",46.1
90,Campbell (ASUN),31,12-19,742,"1,640",45.2
244,Canisius (MAAC),30,15-15,739,"1,742",42.4
314,Centenary (LA) (Summit League),30,1-29,598,"1,509",39.6
271,Central Ark. (Southland),29,5-24,690,"1,657",41.6
171,Central Conn. St. (NEC),31,19-12,766,"1,758",43.6
324,Central Mich. (MAC),31,10-21,661,"1,720",38.4
109,Charleston So. (Big South),32,16-16,849,"1,898",44.7
284,Charlotte (Atlantic 10),30,10-20,674,"1,629",41.4
269,Chattanooga (SoCon),32,16-16,761,"1,827",41.7
303,Chicago St. (Chicago St.),32,6-26,759,"1,893",40.1
157,Cincinnati (AAC),35,26-9,848,"1,939",43.7
125,Clemson (ACC),34,22-12,810,"1,827",44.3
180,Cleveland St. (Horizon),36,27-9,859,"1,980",43.4
5,Coastal Carolina (Big South),34,28-6,930,"1,915",48.6
11,Col. of Charleston (SoCon),37,26-11,"1,037","2,173",47.7
264,Colgate (Patriot),30,7-23,683,"1,631",41.9
34,Colorado St. (Mountain West),32,19-13,798,"1,707",46.7
19,Colorado (Big 12),38,24-14,"1,058","2,237",47.3
222,Columbia (Ivy League),28,15-13,702,"1,643",42.7
205,Coppin St. (MEAC),30,16-14,760,"1,770",42.9
270,Cornell (Ivy League),28,10-18,658,"1,580",41.6
56,Creighton (MVC),39,23-16,935,"2,034",46
316,CSU Bakersfield (CSU Bakersfield),28,9-19,657,"1,661",39.6
170,CSUN (Big West),32,14-18,752,"1,725",43.6
318,Dartmouth (Ivy League),28,5-23,605,"1,531",39.5
179,Davidson (SoCon),33,18-15,819,"1,886",43.4
290,Dayton (Atlantic 10),36,22-14,851,"2,078",41
219,Delaware St. (MEAC),30,9-21,674,"1,576",42.8
272,Delaware (CAA),31,14-17,663,"1,593",41.6
80,Denver (Sun Belt),30,13-17,601,"1,324",45.4
235,DePaul (AAC),31,7-24,766,"1,800",42.6
42,Detroit Mercy (Horizon),33,17-16,849,"1,832",46.3
223,Drake (MVC),31,13-18,687,"1,608",42.7
246,Drexel (CAA),31,21-10,719,"1,696",42.4
23,Duke (ACC),37,32-5,"1,040","2,206",47.1
65,Duquesne (Atlantic 10),32,19-13,872,"1,905",45.8
236,East Carolina (C-USA),34,18-16,735,"1,728",42.5
257,Eastern Ill. (OVC),29,9-20,640,"1,519",42.1
115,Eastern Ky. (OVC),31,15-16,707,"1,584",44.6
323,Eastern Mich. (MAC),31,9-22,659,"1,696",38.9
291,Eastern Wash. (Big Sky),30,10-20,688,"1,685",40.8
213,Elon (SoCon),31,14-17,765,"1,786",42.8
82,ETSU (ASUN),36,24-12,873,"1,924",45.4
97,Evansville (MVC),32,16-16,723,"1,606",45
184,Fairfield (MAAC),33,25-8,777,"1,795",43.3
312,Fairleigh Dickinson (NEC),29,5-24,643,"1,618",39.7
150,FIU (Sun Belt),30,11-19,718,"1,638",43.8
123,Fla. Atlantic (Sun Belt),32,21-11,784,"1,765",44.4
309,Florida A&M (MEAC),32,12-20,713,"1,787",39.9
176,Florida St. (ACC),34,23-11,827,"1,903",43.5
39,Florida (SEC),37,29-8,968,"2,083",46.5
315,Fordham (Atlantic 10),28,7-21,648,"1,636",39.6
227,Fresno St. (WAC),31,14-17,743,"1,740",42.7
112,Furman (SoCon),33,22-11,765,"1,712",44.7
105,Ga. Southern (SoCon),32,5-27,745,"1,661",44.9
288,Gardner-Webb (Big South),32,11-21,716,"1,742",41.1
26,George Mason (CAA),34,27-7,876,"1,861",47.1
278,George Washington (Atlantic 10),31,17-14,712,"1,716",41.5
14,Georgetown (AAC),32,21-11,809,"1,703",47.5
255,Georgia St. (CAA),31,12-19,707,"1,676",42.2
295,Georgia Tech (ACC),31,13-18,752,"1,855",40.5
93,Georgia (SEC),33,21-12,823,"1,822",45.2
10,Gonzaga (WCC),35,25-10,932,"1,947",47.9
331,Grambling (SWAC),33,12-21,699,"1,838",38
158,Green Bay (Horizon),32,14-18,787,"1,801",43.7
298,Hampton (MEAC),33,24-9,746,"1,843",40.5
326,Hartford (America East),31,11-20,672,"1,756",38.3
16,Harvard (Ivy League),30,23-7,708,"1,492",47.5
95,Hawaii (WAC),32,19-13,760,"1,685",45.1
287,High Point (Big South),31,12-19,705,"1,711",41.2
128,Hofstra (CAA),33,21-12,813,"1,835",44.3
137,Holy Cross (Patriot),29,8-21,713,"1,618",44.1
55,Houston (C-USA),30,12-18,726,"1,579",46
332,Howard (MEAC),30,6-24,593,"1,576",37.6
281,Idaho St. (Big Sky),29,9-20,646,"1,560",41.4
49,Idaho (WAC),32,18-14,758,"1,644",46.1
237,Illinois St. (MVC),31,12-19,680,"1,599",42.5
33,Illinois (Big Ten),34,20-14,894,"1,910",46.8
208,Indiana St. (MVC),34,20-14,769,"1,793",42.9
53,Indiana (Big Ten),32,12-20,789,"1,713",46.1
13,Iona (MAAC),37,25-12,"1,048","2,200",47.6
161,Iowa St. (Big 12),32,16-16,870,"1,993",43.7
142,Iowa (Big Ten),31,11-20,766,"1,743",43.9
20,IUPUI (Summit League),33,19-14,854,"1,806",47.3
261,Jackson St. (SWAC),32,17-15,721,"1,719",41.9
241,Jacksonville St. (OVC),30,5-25,656,"1,546",42.4
253,Jacksonville (ASUN),32,20-12,779,"1,846",42.2
63,James Madison (CAA),33,21-12,830,"1,811",45.8
166,Kansas City (Summit League),30,16-14,710,"1,628",43.6
153,Kansas St. (Big 12),34,23-11,849,"1,939",43.8
1,Kansas (Big 12),38,35-3,"1,114","2,193",50.8
273,Kennesaw St. (ASUN),31,8-23,720,"1,731",41.6
135,Kent St. (MAC),37,25-12,960,"2,177",44.1
59,Kentucky (SEC),38,29-9,"1,002","2,183",45.9
118,La Salle (Atlantic 10),33,15-18,923,"2,070",44.6
207,Lafayette (Patriot),32,13-19,754,"1,757",42.9
193,Lamar University (Southland),30,13-17,846,"1,962",43.1
266,Lehigh (Patriot),31,16-15,743,"1,781",41.7
230,Liberty (Big South),32,19-13,779,"1,827",42.6
86,Lipscomb (ASUN),30,17-13,793,"1,750",45.3
234,Little Rock (Sun Belt),36,19-17,825,"1,938",42.6
46,LIU (NEC),33,27-6,928,"2,009",46.2
191,LMU (CA) (WCC),32,11-21,807,"1,871",43.1
120,Long Beach St. (Big West),34,22-12,862,"1,934",44.6
75,Longwood (Longwood),31,12-19,849,"1,866",45.5
262,Louisiana Tech (WAC),32,12-20,721,"1,721",41.9
164,Louisiana (Sun Belt),29,14-15,715,"1,639",43.6
89,Louisville (AAC),35,25-10,949,"2,097",45.3
220,Loyola Chicago (Horizon),31,16-15,741,"1,733",42.8
267,Loyola Maryland (MAAC),30,15-15,701,"1,682",41.7
307,LSU (SEC),32,11-21,692,"1,731",40
52,Maine (America East),30,15-15,726,"1,576",46.1
