Rank,Team,GM,W-L,FGM,FGA,FG%
300,Manhattan (MAAC),31,6-25,677,"1,678",40.3
329,Marist (MAAC),33,6-27,662,"1,734",38.2
40,Marquette (AAC),37,22-15,973,"2,094",46.5
88,Marshall (C-USA),34,22-12,854,"1,887",45.3
27,Maryland (ACC),33,19-14,932,"1,980",47.1
305,Massachusetts (Atlantic 10),30,15-15,698,"1,742",40.1
163,McNeese (Southland),33,21-12,831,"1,904",43.6
94,Memphis (C-USA),35,25-10,891,"1,974",45.1
265,Mercer (ASUN),33,15-18,738,"1,766",41.8
117,Miami (FL) (ACC),36,21-15,872,"1,955",44.6
188,Miami (OH) (MAC),33,16-17,743,"1,722",43.1
189,Michigan St. (Big Ten),34,19-15,817,"1,894",43.1
106,Michigan (Big Ten),35,21-14,847,"1,889",44.8
229,Middle Tenn. (Sun Belt),32,16-16,733,"1,719",42.6
197,Milwaukee (Horizon),33,19-14,755,"1,753",43.1
83,Minnesota (Big Ten),31,17-14,753,"1,660",45.4
178,Mississippi St. (SEC),31,17-14,739,"1,701",43.4
295,Mississippi Val. (SWAC),32,13-19,752,"1,855",40.5
85,Missouri St. (MVC),35,26-9,842,"1,858",45.3
64,Missouri (Big 12),34,23-11,983,"2,145",45.8
294,Monmouth (NEC),30,9-21,632,"1,551",40.7
283,Montana St. (Big Sky),31,13-18,716,"1,730",41.4
44,Montana (Big Sky),32,21-11,766,"1,657",46.2
79,Morehead St. (OVC),35,25-10,851,"1,874",45.4
259,Morgan St. (MEAC),31,17-14,708,"1,687",42
263,Mount St. Mary's (NEC),32,11-21,689,"1,645",41.9
60,Murray St. (OVC),32,23-9,737,"1,606",45.9
190,N.C. A&T (MEAC),32,15-17,779,"1,806",43.1
320,Navy (Patriot),31,11-20,694,"1,766",39.3
141,NC State (ACC),31,15-16,799,"1,818",43.9
50,Nebraska (Big 12),32,19-13,773,"1,677",46.1
251,Nevada (WAC),32,13-19,753,"1,782",42.3
333,New Hampshire (America East),30,12-18,609,"1,628",37.4
121,New Mexico St. (WAC),33,16-17,793,"1,780",44.6
68,New Mexico (Mountain West),35,22-13,877,"1,917",45.7
334,Niagara (MAAC),32,9-23,663,"1,781",37.2
129,Nicholls (Southland),28,14-14,634,"1,432",44.3
212,NJIT (NJIT),30,15-15,743,"1,734",42.8
160,Norfolk St. (MEAC),32,12-20,782,"1,791",43.7
96,North Carolina (ACC),37,29-8,"1,044","2,318",45
25,North Dakota St. (Summit League),29,14-15,778,"1,651",47.1
173,North Florida (ASUN),34,15-19,758,"1,741",43.5
8,North Texas (Sun Belt),33,22-11,831,"1,735",47.9
114,Northeastern (CAA),31,11-20,719,"1,610",44.7
4,Northern Ariz. (Big Sky),32,19-13,850,"1,747",48.7
217,Northern Colo. (Big Sky),32,21-11,731,"1,709",42.8
258,Northern Ill. (MAC),30,9-21,713,"1,694",42.1
127,Northwestern St. (Southland),32,18-14,832,"1,877",44.3
99,Northwestern (Big Ten),34,20-14,853,"1,897",45
54,Notre Dame (AAC),34,27-7,843,"1,832",46
3,Oakland (Summit League),35,25-10,"1,052","2,137",49.2
2,Ohio St. (Big Ten),37,34-3,"1,017","2,059",49.4
174,Ohio (MAC),35,19-16,896,"2,060",43.5
167,Oklahoma St. (Big 12),34,20-14,791,"1,814",43.6
107,Oklahoma (Big 12),32,14-18,738,"1,648",44.8
143,Old Dominion (CAA),34,27-7,803,"1,828",43.9
132,Ole Miss (SEC),34,20-14,868,"1,964",44.2
17,Oral Roberts (Summit League),35,19-16,925,"1,950",47.4
228,Oregon St. (Pac-12),31,11-20,737,"1,727",42.7
238,Oregon (Pac-12),39,21-18,972,"2,287",42.5
146,Pacific (Big West),31,16-15,705,"1,606",43.9
148,Penn St. (Big Ten),34,19-15,767,"1,748",43.9
78,Penn (Ivy League),28,13-15,644,"1,418",45.4
243,Pepperdine (WCC),33,12-21,787,"1,855",42.4
15,Pittsburgh (AAC),34,28-6,886,"1,866",47.5
145,Portland St. (Big Sky),30,14-16,745,"1,697",43.9
69,Portland (WCC),32,20-12,800,"1,749",45.7
330,Prairie View (SWAC),32,10-22,733,"1,920",38.2
41,Princeton (Ivy League),32,25-7,788,"1,696",46.5
240,Providence (AAC),32,15-17,854,"2,012",42.4
70,Purdue Fort Wayne (Summit League),30,18-12,766,"1,676",45.7
110,Purdue (Big Ten),34,26-8,875,"1,957",44.7
215,Quinnipiac (NEC),32,22-10,847,"1,979",42.8
325,Radford (Big South),29,5-24,598,"1,560",38.3
252,Rhode Island (Atlantic 10),34,20-14,828,"1,960",42.2
221,Rice (C-USA),32,14-18,725,"1,696",42.7
58,Richmond (Atlantic 10),37,29-8,922,"2,007",45.9
35,Rider (MAAC),34,23-11,894,"1,916",46.7
260,Robert Morris (NEC),32,18-14,752,"1,792",42
139,Rutgers (AAC),32,15-17,783,"1,778",44
304,Sacramento St. (Big Sky),28,7-21,593,"1,479",40.1
204,Sacred Heart (NEC),29,11-18,672,"1,565",42.9
196,Saint Francis (PA) (NEC),30,9-21,684,"1,588",43.1
277,Saint Joseph's (Atlantic 10),33,11-22,745,"1,795",41.5
162,Saint Louis (Atlantic 10),31,12-19,715,"1,638",43.7
6,Saint Mary's (CA) (WCC),34,25-9,946,"1,951",48.5
306,Saint Peter's (MAAC),34,20-14,713,"1,782",40
140,Sam Houston (Southland),31,18-13,769,"1,747",44
214,Samford (SoCon),31,12-19,627,"1,464",42.8
43,San Diego St. (Mountain West),37,34-3,991,"2,141",46.3
254,San Diego (WCC),30,6-24,641,"1,519",42.2
151,San Francisco (WCC),34,19-15,828,"1,889",43.8
299,San Jose St. (WAC),33,17-16,808,"1,999",40.4
200,Santa Clara (WCC),38,24-14,909,"2,112",43
289,Savannah St. (Savannah St.),30,12-18,640,"1,562",41
286,Seton Hall (AAC),31,13-18,759,"1,838",41.3
66,SFA (Southland),29,18-11,703,"1,536",45.8
282,Siena (MAAC),31,13-18,762,"1,841",41.4
7,SMU (C-USA),35,20-15,788,"1,634",48.2
250,South Alabama (Sun Belt),28,12-16,684,"1,618",42.3
206,South Carolina St. (MEAC),32,10-22,764,"1,780",42.9
319,South Carolina (SEC),30,14-16,741,"1,878",39.5
37,South Dakota St. (Summit League),31,19-12,884,"1,901",46.5
274,South Fla. (AAC),33,10-23,711,"1,710",41.6
172,Southeast Mo. St. (OVC),32,10-22,731,"1,678",43.6
159,Southeastern La. (Southland),29,15-14,705,"1,614",43.7
124,Southern California (Pac-12),34,19-15,813,"1,832",44.4
226,Southern Ill. (MVC),32,13-19,691,"1,618",42.7
87,Southern Miss. (C-USA),32,22-10,825,"1,821",45.3
328,Southern U. (SWAC),30,4-26,610,"1,597",38.2
32,Southern Utah (Summit League),30,11-19,736,"1,572",46.8
71,St. Bonaventure (Atlantic 10),31,16-15,744,"1,632",45.6
308,St. Francis Brooklyn (NEC),30,15-15,673,"1,685",39.9
73,St. John's (NY) (AAC),33,21-12,807,"1,773",45.5
195,Stanford (Pac-12),31,15-16,722,"1,676",43.1
225,Stetson (ASUN),31,8-23,701,"1,641",42.7
327,Stony Brook (America East),32,15-17,679,"1,777",38.2
21,Syracuse (AAC),35,27-8,936,"1,983",47.2
168,TCU (Mountain West),33,11-22,821,"1,883",43.6
113,Temple (Atlantic 10),34,26-8,868,"1,943",44.7
232,Tennessee St. (OVC),30,14-16,676,"1,587",42.6
9,Tennessee Tech (OVC),33,20-13,890,"1,859",47.9
192,Tennessee (SEC),34,19-15,837,"1,941",43.1
136,Texas A&M (Big 12),33,24-9,758,"1,719",44.1
231,Texas Southern (SWAC),32,19-13,691,"1,622",42.6
104,Texas St. (Southland),32,16-16,866,"1,930",44.9
122,Texas Tech (Big 12),32,13-19,824,"1,853",44.5
77,Texas (Big 12),36,28-8,954,"2,099",45.5
216,The Citadel (SoCon),32,10-22,752,"1,758",42.8
293,Toledo (MAC),32,4-28,635,"1,557",40.8
154,Towson (CAA),30,4-26,715,"1,633",43.8
292,Troy (Sun Belt),29,8-21,733,"1,796",40.8
202,Tulane (C-USA),30,13-17,708,"1,646",43
149,Tulsa (C-USA),32,19-13,753,"1,717",43.9
152,UAB (C-USA),31,22-9,756,"1,725",43.8
57,UC Davis (Big West),30,10-20,744,"1,619",46
256,UC Irvine (Big West),32,13-19,798,"1,892",42.2
242,UC Riverside (Big West),31,12-19,745,"1,756",42.4
84,UC Santa Barbara (Big West),32,18-14,742,"1,636",45.4
81,UCF (C-USA),33,21-12,767,"1,690",45.4
72,UCLA (Pac-12),34,23-11,830,"1,823",45.5
182,UConn (AAC),41,32-9,"1,053","2,429",43.4
239,UIC (Horizon),31,7-24,723,"1,703",42.5
268,ULM (Sun Belt),31,7-24,669,"1,606",41.7
302,UMBC (America East),30,5-25,700,"1,745",40.1
295,UMES (MEAC),31,9-22,752,"1,855",40.5
92,UNC Asheville (Big South),34,20-14,881,"1,950",45.2
211,UNC Greensboro (SoCon),31,7-24,780,"1,820",42.9
181,UNCW (CAA),31,13-18,714,"1,646",43.4
218,UNI (MVC),34,20-14,728,"1,702",42.8
62,UNLV (Mountain West),33,24-9,842,"1,836",45.9
138,UT Arlington (Southland),29,13-16,712,"1,616",44.1
249,UT Martin (OVC),33,12-21,777,"1,836",42.3
28,Utah St. (WAC),34,30-4,840,"1,788",47
131,Utah Valley (Utah Valley),30,19-11,744,"1,682",44.2
233,Utah (Mountain West),31,13-18,734,"1,724",42.6
36,UTEP (C-USA),35,25-10,878,"1,887",46.5
248,UTRGV (UTRGV),31,6-25,695,"1,642",42.3
210,UTSA (Southland),34,20-14,802,"1,871",42.9
18,Valparaiso (Horizon),35,23-12,948,"2,001",47.4
67,Vanderbilt (SEC),34,23-11,848,"1,853",45.8
177,VCU (CAA),40,28-12,968,"2,228",43.4
108,Vermont (America East),32,23-9,779,"1,741",44.7
155,Villanova (AAC),33,21-12,796,"1,819",43.8
91,Virginia Tech (ACC),34,22-12,834,"1,845",45.2
280,Virginia (ACC),31,16-15,668,"1,611",41.5
102,VMI (Big South),31,18-13,935,"2,083",44.9
175,Wagner (NEC),30,13-17,671,"1,544",43.5
247,Wake Forest (ACC),32,8-24,735,"1,736",42.3
74,Washington St. (Pac-12),35,22-13,902,"1,982",45.5
30,Washington (Pac-12),35,24-11,"1,061","2,260",46.9
103,Weber St. (Big Sky),32,18-14,766,"1,707",44.9
209,West Virginia (AAC),33,21-12,783,"1,826",42.9
198,Western Caro. (SoCon),33,18-15,857,"1,990",43.1
285,Western Ill. (Summit League),30,7-23,595,"1,439",41.3
165,Western Ky. (Sun Belt),32,16-16,809,"1,855",43.6
126,Western Mich. (MAC),34,21-13,875,"1,974",44.3
31,Wichita St. (MVC),37,29-8,954,"2,037",46.8
130,William & Mary (CAA),32,10-22,701,"1,584",44.3
276,Winthrop (Big South),30,13-17,719,"1,732",41.5
133,Wisconsin (Big Ten),34,25-9,798,"1,808",44.1
12,Wofford (SoCon),34,21-13,883,"1,853",47.7
199,Wright St. (Horizon),33,19-14,710,"1,649",43.1
194,Wyoming (Mountain West),31,10-21,720,"1,671",43.1
48,Xavier (Atlantic 10),32,24-8,784,"1,700",46.1
134,Yale (Ivy League),28,15-13,654,"1,483",44.1
279,Youngstown St. (Horizon),30,9-21,756,"1,823",41.5
