Rank,Team,GM,W-L,ST,STPG
55,Kent St. (MAC),37,25-12,286,7.7
259,Kentucky (SEC),38,29-9,211,5.6
73,La Salle (Atlantic 10),33,15-18,245,7.4
192,Lafayette (Patriot),32,13-19,197,6.2
31,Lamar University (Southland),30,13-17,246,8.2
60,Lehigh (Patriot),31,16-15,236,7.6
125,Liberty (Big South),32,19-13,214,6.7
33,Lipscomb (ASUN),30,17-13,245,8.2
225,Little Rock (Sun Belt),36,19-17,212,5.9
70,LIU (NEC),33,27-6,246,7.5
120,LMU (CA) (WCC),32,11-21,215,6.7
207,Long Beach St. (Big West),34,22-12,205,6
222,Longwood (Longwood),31,12-19,183,5.9
251,Louisiana Tech (WAC),32,12-20,180,5.6
246,Louisiana (Sun Belt),29,14-15,165,5.7
7,Louisville (AAC),35,25-10,327,9.3
210,Loyola Chicago (Horizon),31,16-15,186,6
148,Loyola Maryland (MAAC),30,15-15,195,6.5
167,LSU (SEC),32,11-21,204,6.4
249,Maine (America East),30,15-15,169,5.6
155,Manhattan (MAAC),31,6-25,200,6.5
297,Marist (MAAC),33,6-27,166,5
91,Marquette (AAC),37,22-15,265,7.2
307,Marshall (C-USA),34,22-12,166,4.9
119,Maryland (ACC),33,19-14,222,6.7
163,Massachusetts (Atlantic 10),30,15-15,192,6.4
151,McNeese (Southland),33,21-12,214,6.5
23,Memphis (C-USA),35,25-10,297,8.5
75,Mercer (ASUN),33,15-18,243,7.4
248,Miami (FL) (ACC),36,21-15,203,5.6
303,Miami (OH) (MAC),33,16-17,162,4.9
156,Michigan St. (Big Ten),34,19-15,219,6.4
310,Michigan (Big Ten),35,21-14,168,4.8
14,Middle Tenn. (Sun Belt),32,16-16,277,8.7
300,Milwaukee (Horizon),33,19-14,164,5
110,Minnesota (Big Ten),31,17-14,211,6.8
282,Mississippi St. (SEC),31,17-14,163,5.3
95,Mississippi Val. (SWAC),32,13-19,227,7.1
306,Missouri St. (MVC),35,26-9,171,4.9
2,Missouri (Big 12),34,23-11,329,9.7
116,Monmouth (NEC),30,9-21,203,6.8
237,Montana St. (Big Sky),31,13-18,179,5.8
108,Montana (Big Sky),32,21-11,219,6.8
20,Morehead St. (OVC),35,25-10,300,8.6
188,Morgan St. (MEAC),31,17-14,192,6.2
232,Mount St. Mary's (NEC),32,11-21,187,5.8
63,Murray St. (OVC),32,23-9,242,7.6
154,N.C. A&T (MEAC),32,15-17,207,6.5
8,Navy (Patriot),31,11-20,284,9.2
191,NC State (ACC),31,15-16,191,6.2
148,Nebraska (Big 12),32,19-13,208,6.5
308,Nevada (WAC),32,13-19,154,4.8
324,New Hampshire (America East),30,12-18,134,4.5
146,New Mexico St. (WAC),33,16-17,215,6.5
209,New Mexico (Mountain West),35,22-13,211,6
38,Niagara (MAAC),32,9-23,256,8
40,Nicholls (Southland),28,14-14,223,8
252,NIU (MAC),30,9-21,168,5.6
214,NJIT (NJIT),30,15-15,179,6
167,Norfolk St. (MEAC),32,12-20,204,6.4
178,North Carolina (ACC),37,29-8,232,6.3
227,North Dakota St. (Summit League),29,14-15,170,5.9
221,North Florida (ASUN),34,15-19,201,5.9
328,North Texas (Sun Belt),33,22-11,139,4.2
110,Northeastern (CAA),31,11-20,211,6.8
172,Northern Ariz. (Big Sky),32,19-13,202,6.3
203,Northern Colo. (Big Sky),32,21-11,193,6
9,Northwestern St. (Southland),32,18-14,293,9.2
127,Northwestern (Big Ten),34,20-14,227,6.7
320,Notre Dame (AAC),34,27-7,156,4.6
190,Oakland (Summit League),35,25-10,216,6.2
94,Ohio St. (Big Ten),37,34-3,263,7.1
41,Ohio (MAC),35,19-16,277,7.9
122,Oklahoma St. (Big 12),34,20-14,228,6.7
255,Oklahoma (Big 12),32,14-18,179,5.6
106,Old Dominion (CAA),34,27-7,234,6.9
280,Ole Miss (SEC),34,20-14,180,5.3
257,Oral Roberts (Summit League),35,19-16,195,5.6
6,Oregon St. (Pac-12),31,11-20,293,9.5
29,Oregon (Pac-12),39,21-18,321,8.2
322,Pacific (Big West),31,16-15,141,4.5
325,Penn St. (Big Ten),34,19-15,151,4.4
193,Penn (Ivy League),28,13-15,172,6.1
230,Pepperdine (WCC),33,12-21,193,5.8
315,Pittsburgh (AAC),34,28-6,160,4.7
200,Portland St. (Big Sky),30,14-16,181,6
278,Portland (WCC),32,20-12,171,5.3
131,Prairie View (SWAC),32,10-22,213,6.7
212,Princeton (Ivy League),32,25-7,191,6
47,Providence (AAC),32,15-17,250,7.8
293,Purdue Fort Wayne (Summit League),30,18-12,151,5
184,Purdue (Big Ten),34,26-8,211,6.2
296,Quinnipiac (NEC),32,22-10,161,5
44,Radford (Big South),29,5-24,229,7.9
142,Rhode Island (Atlantic 10),34,20-14,223,6.6
114,Rice (C-USA),32,14-18,217,6.8
217,Richmond (Atlantic 10),37,29-8,220,5.9
207,Rider (MAAC),34,23-11,205,6
65,Robert Morris (NEC),32,18-14,241,7.5
45,Rutgers (AAC),32,15-17,252,7.9
193,Sacramento St. (Big Sky),28,7-21,172,6.1
56,Sacred Heart (NEC),29,11-18,224,7.7
252,Saint Francis (PA) (NEC),30,9-21,168,5.6
291,Saint Joseph's (Atlantic 10),33,11-22,168,5.1
166,Saint Louis (Atlantic 10),31,12-19,198,6.4
92,Saint Mary's (CA) (WCC),34,25-9,243,7.1
54,Saint Peter's (MAAC),34,20-14,263,7.7
43,Sam Houston (Southland),31,18-13,245,7.9
226,Samford (SoCon),31,12-19,182,5.9
195,San Diego St. (Mountain West),37,34-3,227,6.1
286,San Diego (WCC),30,6-24,155,5.2
277,San Francisco (WCC),34,19-15,182,5.4
272,San Jose St. (WAC),33,17-16,179,5.4
88,Santa Clara (WCC),38,24-14,275,7.2
89,Savannah St. (Savannah St.),30,12-18,217,7.2
77,Seton Hall (AAC),31,13-18,227,7.3
105,SFA (Southland),29,18-11,200,6.9
135,Siena (MAAC),31,13-18,205,6.6
185,SMU (C-USA),35,20-15,217,6.2
99,South Alabama (Sun Belt),28,12-16,196,7
203,South Carolina St. (MEAC),32,10-22,193,6
102,South Carolina (SEC),30,14-16,208,6.9
197,South Dakota St. (Summit League),31,19-12,189,6.1
303,South Fla. (AAC),33,10-23,162,4.9
321,Southeast Mo. St. (OVC),32,10-22,146,4.6
180,Southeastern La. (Southland),29,15-14,181,6.2
228,Southern California (Pac-12),34,19-15,199,5.9
255,Southern Ill. (MVC),32,13-19,179,5.6
258,Southern Miss. (C-USA),32,22-10,178,5.6
267,Southern U. (SWAC),30,4-26,165,5.5
275,Southern Utah (Summit League),30,11-19,161,5.4
295,St. Bonaventure (Atlantic 10),31,16-15,156,5
50,St. Francis Brooklyn (NEC),30,15-15,234,7.8
36,St. John's (NY) (AAC),33,21-12,266,8.1
309,Stanford (Pac-12),31,15-16,149,4.8
62,Stetson (ASUN),31,8-23,235,7.6
274,Stony Brook (America East),32,15-17,172,5.4
12,Syracuse (AAC),35,27-8,304,8.7
175,TCU (Mountain West),33,11-22,208,6.3
112,Temple (Atlantic 10),34,26-8,231,6.8
140,Tennessee St. (OVC),30,14-16,197,6.6
25,Tennessee Tech (OVC),33,20-13,279,8.5
76,Tennessee (SEC),34,19-15,250,7.4
146,Texas A&M (Big 12),33,24-9,215,6.5
35,Texas Southern (SWAC),32,19-13,258,8.1
57,Texas St. (Southland),32,16-16,247,7.7
218,Texas Tech (Big 12),32,13-19,190,5.9
241,Texas (Big 12),36,28-8,207,5.8
314,The Citadel (SoCon),32,10-22,151,4.7
270,Toledo (MAC),32,4-28,174,5.4
233,Towson (CAA),30,4-26,174,5.8
133,Troy (Sun Belt),29,8-21,193,6.7
102,Tulane (C-USA),30,13-17,208,6.9
326,Tulsa (C-USA),32,19-13,142,4.4
281,UAB (C-USA),31,22-9,164,5.3
144,UC Davis (Big West),30,10-20,196,6.5
131,UC Irvine (Big West),32,13-19,213,6.7
222,UC Riverside (Big West),31,12-19,183,5.9
83,UC Santa Barbara (Big West),32,18-14,233,7.3
199,UCF (C-USA),33,21-12,200,6.1
269,UCLA (Pac-12),34,23-11,185,5.4
171,UConn (AAC),41,32-9,259,6.3
319,UIC (Horizon),31,7-24,144,4.6
182,ULM (Sun Belt),31,7-24,193,6.2
219,UMBC (America East),30,5-25,178,5.9
135,UMES (MEAC),31,9-22,205,6.6
10,UNC Asheville (Big South),34,20-14,310,9.1
135,UNC Greensboro (SoCon),31,7-24,205,6.6
268,UNCW (CAA),31,13-18,169,5.5
298,UNI (MVC),34,20-14,171,5
34,UNLV (Mountain West),33,24-9,268,8.1
107,UT Arlington (Southland),29,13-16,199,6.9
123,UT Martin (OVC),33,12-21,221,6.7
311,Utah St. (WAC),34,30-4,162,4.8
293,Utah Valley (Utah Valley),30,19-11,151,5
322,Utah (Mountain West),31,13-18,141,4.5
115,UTEP (C-USA),35,25-10,237,6.8
242,UTRGV (UTRGV),31,6-25,178,5.7
98,UTSA (Southland),34,20-14,240,7.1
52,Valparaiso (Horizon),35,23-12,272,7.8
288,Vanderbilt (SEC),34,23-11,175,5.1
31,VCU (CAA),40,28-12,328,8.2
299,Vermont (America East),32,23-9,160,5
175,Villanova (AAC),33,21-12,208,6.3
138,Virginia Tech (ACC),34,22-12,224,6.6
237,Virginia (ACC),31,16-15,179,5.8
13,VMI (Big South),31,18-13,269,8.7
224,Wagner (NEC),30,13-17,177,5.9
279,Wake Forest (ACC),32,8-24,170,5.3
109,Washington St. (Pac-12),35,22-13,239,6.8
126,Washington (Pac-12),35,24-11,234,6.7
261,Weber St. (Big Sky),32,18-14,177,5.5
318,West Virginia (AAC),33,21-12,154,4.7
11,Western Caro. (SoCon),33,18-15,299,9.1
289,Western Ill. (Summit League),30,7-23,153,5.1
236,Western Ky. (Sun Belt),32,16-16,185,5.8
228,Western Mich. (MAC),34,21-13,199,5.9
243,Wichita St. (MVC),37,29-8,212,5.7
329,William & Mary (CAA),32,10-22,134,4.2
72,Winthrop (Big South),30,13-17,223,7.4
335,Wisconsin (Big Ten),34,25-9,121,3.6
127,Wofford (SoCon),34,21-13,227,6.7
183,Wright St. (Horizon),33,19-14,205,6.2
66,Wyoming (Mountain West),31,10-21,233,7.5
270,Xavier (Atlantic 10),32,24-8,174,5.4
312,Yale (Ivy League),28,15-13,133,4.8
185,Youngstown St. (Horizon),30,9-21,186,6.2
