Rank,Team,GM,W-L,ST,STPG
161,A&M-Corpus Christi (Southland),31,10-21,199,6.4
179,Air Force (Mountain West),32,16-16,200,6.3
130,Akron (MAC),36,23-13,240,6.7
27,Alabama A&M (SWAC),28,13-15,233,8.3
81,Alabama St. (SWAC),35,17-18,255,7.3
5,Alabama (SEC),37,25-12,351,9.5
317,Albany (NY) (America East),32,16-16,150,4.7
51,Alcorn (SWAC),28,4-24,218,7.8
331,American (Patriot),31,22-9,127,4.1
237,App State (SoCon),31,16-15,179,5.8
170,Arizona St. (Pac-12),31,12-19,196,6.3
285,Arizona (Pac-12),38,30-8,197,5.2
64,Ark.-Pine Bluff (SWAC),31,7-24,234,7.5
172,Arkansas St. (Sun Belt),32,17-15,202,6.3
85,Arkansas (SEC),31,18-13,225,7.3
252,Army West Point (Patriot),30,11-19,168,5.6
49,Auburn (SEC),31,11-20,242,7.8
18,Austin Peay (OVC),34,20-14,292,8.6
203,Ball St. (MAC),32,19-13,193,6
99,Baylor (Big 12),31,18-13,217,7
3,Belmont (ASUN),35,30-5,338,9.7
93,Bethune-Cookman (MEAC),34,21-13,242,7.1
292,Binghamton (America East),31,8-23,157,5.1
15,Boise St. (WAC),35,22-13,302,8.6
302,Boston College (ACC),34,21-13,167,4.9
273,Boston U. (America East),35,21-14,189,5.4
19,Bowling Green (MAC),33,14-19,283,8.6
172,Bradley (MVC),32,12-20,202,6.3
283,Brown (Ivy League),28,11-17,147,5.3
315,Bucknell (Patriot),34,25-9,160,4.7
42,Buffalo (MAC),34,20-14,269,7.9
216,Butler (Horizon),38,28-10,226,5.9
37,BYU (Mountain West),37,32-5,298,8.1
200,Cal Poly (Big West),30,15-15,181,6
284,Cal St. Fullerton (Big West),31,11-20,162,5.2
245,California (Pac-12),33,18-15,188,5.7
97,Campbell (ASUN),31,12-19,219,7.1
104,Canisius (MAAC),30,15-15,207,6.9
96,Centenary (LA) (Summit League),30,1-29,212,7.1
59,Central Ark. (Southland),29,5-24,221,7.6
66,Central Conn. St. (NEC),31,19-12,233,7.5
90,Central Mich. (MAC),31,10-21,223,7.2
16,Charleston So. (Big South),32,16-16,276,8.6
158,Charlotte (Atlantic 10),30,10-20,193,6.4
290,Chattanooga (SoCon),32,16-16,163,5.1
157,Chicago St. (Chicago St.),32,6-26,206,6.4
74,Cincinnati (AAC),35,26-9,258,7.4
38,Clemson (ACC),34,22-12,272,8
69,Cleveland St. (Horizon),36,27-9,269,7.5
127,Coastal Carolina (Big South),34,28-6,227,6.7
235,Col. of Charleston (SoCon),37,26-11,214,5.8
240,Colgate (Patriot),30,7-23,173,5.8
87,Colorado St. (Mountain West),32,19-13,232,7.3
113,Colorado (Big 12),38,24-14,258,6.8
159,Columbia (Ivy League),28,15-13,180,6.4
79,Coppin St. (MEAC),30,16-14,219,7.3
134,Cornell (Ivy League),28,10-18,186,6.6
327,Creighton (MVC),39,23-16,167,4.3
81,CSU Bakersfield (CSU Bakersfield),28,9-19,204,7.3
145,CSUN (Big West),32,14-18,209,6.5
159,Dartmouth (Ivy League),28,5-23,180,6.4
303,Davidson (SoCon),33,18-15,162,4.9
312,Dayton (Atlantic 10),36,22-14,171,4.8
26,Delaware St. (MEAC),30,9-21,253,8.4
334,Delaware (CAA),31,14-17,115,3.7
260,Denver (Sun Belt),30,13-17,166,5.5
71,DePaul (AAC),31,7-24,231,7.5
61,Detroit Mercy (Horizon),33,17-16,251,7.6
247,Drake (MVC),31,13-18,175,5.6
331,Drexel (CAA),31,21-10,127,4.1
84,Duke (ACC),37,32-5,269,7.3
1,Duquesne (Atlantic 10),32,19-13,317,9.9
148,East Carolina (C-USA),34,18-16,221,6.5
215,Eastern Ill. (OVC),29,9-20,173,6
202,Eastern Ky. (OVC),31,15-16,187,6
143,Eastern Mich. (MAC),31,9-22,203,6.5
233,Eastern Wash. (Big Sky),30,10-20,174,5.8
265,Elon (SoCon),31,14-17,171,5.5
117,ETSU (ASUN),36,24-12,243,6.8
261,Evansville (MVC),32,16-16,177,5.5
30,Fairfield (MAAC),33,25-8,271,8.2
244,Fairleigh Dickinson (NEC),29,5-24,166,5.7
28,FIU (Sun Belt),30,11-19,248,8.3
212,Fla. Atlantic (Sun Belt),32,21-11,191,6
57,Florida A&M (MEAC),32,12-20,247,7.7
24,Florida St. (ACC),34,23-11,288,8.5
211,Florida (SEC),37,29-8,221,6
330,Fordham (Atlantic 10),28,7-21,117,4.2
22,Fresno St. (WAC),31,14-17,264,8.5
287,Furman (SoCon),33,22-11,170,5.2
16,Ga. Southern (SoCon),32,5-27,276,8.6
99,Gardner-Webb (Big South),32,11-21,224,7
138,George Mason (CAA),34,27-7,224,6.6
161,George Washington (Atlantic 10),31,17-14,199,6.4
203,Georgetown (AAC),32,21-11,193,6
153,Georgia St. (CAA),31,12-19,201,6.5
4,Georgia Tech (ACC),31,13-18,297,9.6
164,Georgia (SEC),33,21-12,211,6.4
86,Gonzaga (WCC),35,25-10,254,7.3
151,Grambling (SWAC),33,12-21,214,6.5
189,Green Bay (Horizon),32,14-18,198,6.2
78,Hampton (MEAC),33,24-9,241,7.3
46,Hartford (America East),31,11-20,244,7.9
219,Harvard (Ivy League),30,23-7,178,5.9
261,Hawaii (WAC),32,19-13,177,5.5
80,High Point (Big South),31,12-19,226,7.3
164,Hofstra (CAA),33,21-12,211,6.4
333,Holy Cross (Patriot),29,8-21,118,4.1
249,Houston (C-USA),30,12-18,169,5.6
198,Howard (MEAC),30,6-24,182,6.1
124,Idaho St. (Big Sky),29,9-20,194,6.7
141,Idaho (WAC),32,18-14,210,6.6
301,Illinois St. (MVC),31,12-19,153,4.9
264,Illinois (Big Ten),34,20-14,188,5.5
181,Indiana St. (MVC),34,20-14,212,6.2
177,Indiana (Big Ten),32,12-20,201,6.3
68,Iona (MAAC),37,25-12,278,7.5
117,Iowa St. (Big 12),32,16-16,216,6.8
121,Iowa (Big Ten),31,11-20,208,6.7
230,IUPUI (Summit League),33,19-14,193,5.8
47,Jackson St. (SWAC),32,17-15,250,7.8
169,Jacksonville St. (OVC),30,5-25,190,6.3
21,Jacksonville (ASUN),32,20-12,274,8.6
276,James Madison (CAA),33,21-12,177,5.4
185,Kansas City (Summit League),30,16-14,186,6.2
196,Kansas St. (Big 12),34,23-11,208,6.1
53,Kansas (Big 12),38,35-3,295,7.8
265,Kennesaw St. (ASUN),31,8-23,171,5.5
