Rank,Team,GM,W-L,ST,STPG
245,Holy Cross (Patriot),29,15-14,167,5.8
72,Houston Baptist (GWC),30,10-20,225,7.5
293,Houston (C-USA),30,15-15,156,5.2
206,Howard (MEAC),31,10-21,189,6.1
109,Idaho St. (Big Sky),30,9-21,211,7
323,Idaho (WAC),33,19-14,155,4.7
301,Illinois St. (MVC),35,21-14,177,5.1
300,Illinois (Big Ten),32,17-15,162,5.1
232,Indiana St. (MVC),33,18-15,194,5.9
168,Indiana (Big Ten),36,27-9,233,6.5
87,Iona (MAAC),33,25-8,241,7.3
244,Iowa St. (Big 12),34,23-11,196,5.8
74,Iowa (Big Ten),35,18-17,262,7.5
130,IUPUI (Summit League),32,14-18,218,6.8
94,Jackson St. (SWAC),31,7-24,224,7.2
81,Jacksonville St. (OVC),33,15-18,243,7.4
84,Jacksonville (ASUN),30,8-22,220,7.3
148,James Madison (CAA),32,12-20,213,6.7
203,Kansas City (Summit League),31,10-21,190,6.1
211,Kansas St. (Big 12),33,22-11,200,6.1
86,Kansas (Big 12),39,32-7,285,7.3
193,Kennesaw St. (ASUN),31,3-28,192,6.2
15,Kent St. (MAC),33,21-12,281,8.5
215,Kentucky (SEC),40,38-2,242,6.1
41,La Salle (Atlantic 10),34,21-13,275,8.1
283,Lafayette (Patriot),31,13-18,164,5.3
42,Lamar University (Southland),35,23-12,283,8.1
61,Lehigh (Patriot),35,27-8,269,7.7
284,Liberty (Big South),32,14-18,169,5.3
91,Lipscomb (ASUN),31,13-18,225,7.3
176,Little Rock (Sun Belt),31,15-16,198,6.4
214,LIU (NEC),34,25-9,206,6.1
78,LMU (CA) (WCC),34,21-13,253,7.4
105,Long Beach St. (Big West),34,25-9,242,7.1
287,Longwood (Independent),31,10-21,163,5.3
136,Louisiana Tech (WAC),34,18-16,230,6.8
233,Louisiana (Sun Belt),32,16-16,188,5.9
7,Louisville (AAC),40,30-10,353,8.8
333,Loyola Chicago (Horizon),30,7-23,136,4.5
59,Loyola Maryland (MAAC),33,24-9,255,7.7
110,LSU (SEC),33,18-15,232,7
201,Maine (America East),29,12-17,178,6.1
48,Manhattan (MAAC),34,21-13,269,7.9
233,Marist (MAAC),32,14-18,188,5.9
12,Marquette (AAC),35,27-8,304,8.7
207,Marshall (C-USA),35,21-14,213,6.1
336,Maryland (ACC),32,17-15,137,4.3
9,Massachusetts (Atlantic 10),37,25-12,326,8.8
140,McNeese (Southland),33,17-16,222,6.7
46,Memphis (C-USA),35,26-9,278,7.9
128,Mercer (ASUN),38,27-11,259,6.8
178,Miami (FL) (ACC),33,20-13,210,6.4
273,Miami (OH) (MAC),30,9-21,165,5.5
100,Michigan St. (Big Ten),37,29-8,265,7.2
307,Michigan (Big Ten),34,24-10,168,4.9
111,Middle Tenn. (Sun Belt),34,27-7,238,7
199,Milwaukee (Horizon),34,20-14,209,6.1
107,Minnesota (Big Ten),38,23-15,269,7.1
221,Mississippi St. (SEC),33,21-12,198,6
8,Mississippi Val. (SWAC),34,21-13,300,8.8
332,Missouri St. (MVC),32,16-16,148,4.6
35,Missouri (Big 12),35,30-5,285,8.1
49,Monmouth (NEC),32,12-20,253,7.9
149,Montana St. (Big Sky),29,12-17,193,6.7
97,Montana (Big Sky),32,25-7,230,7.2
13,Morehead St. (OVC),33,18-15,282,8.5
157,Morgan St. (MEAC),29,9-20,191,6.6
201,Mount St. Mary's (NEC),29,8-21,178,6.1
21,Murray St. (OVC),33,31-2,276,8.4
82,N.C. A&T (MEAC),32,12-20,235,7.3
30,N.C. Central (MEAC),32,17-15,263,8.2
70,Navy (Patriot),29,3-26,218,7.5
139,NC State (ACC),37,24-13,249,6.7
155,Nebraska (Big Ten),30,12-18,198,6.6
255,Nevada (WAC),35,28-7,197,5.6
285,New Hampshire (America East),29,13-16,153,5.3
135,New Mexico St. (WAC),36,26-10,244,6.8
123,New Mexico (Mountain West),35,28-7,240,6.9
26,Niagara (MAAC),33,14-19,274,8.3
278,Nicholls (Southland),30,10-20,161,5.4
303,NIU (MAC),31,5-26,156,5
92,NJIT (GWC),32,15-17,232,7.3
146,Norfolk St. (MEAC),36,26-10,240,6.7
128,North Carolina (ACC),38,32-6,259,6.8
193,North Dakota St. (Summit League),31,17-14,192,6.2
239,North Florida (ASUN),32,16-16,186,5.8
189,North Texas (Sun Belt),32,18-14,200,6.3
47,Northeastern (CAA),31,14-17,246,7.9
159,Northern Ariz. (Big Sky),29,5-24,190,6.6
270,Northern Colo. (Big Sky),28,9-19,155,5.5
11,Northwestern St. (Southland),32,16-16,280,8.8
151,Northwestern (Big Ten),33,19-14,219,6.6
292,Notre Dame (AAC),34,22-12,177,5.2
173,Oakland (Summit League),36,20-16,232,6.4
95,Ohio St. (Big Ten),39,31-8,281,7.2
3,Ohio (MAC),37,29-8,347,9.4
163,Oklahoma St. (Big 12),33,15-18,214,6.5
188,Oklahoma (Big 12),31,15-16,194,6.3
10,Old Dominion (CAA),36,22-14,316,8.8
152,Ole Miss (SEC),34,20-14,225,6.6
161,Oral Roberts (Summit League),34,27-7,222,6.5
6,Oregon St. (Pac-12),36,21-15,328,9.1
221,Oregon (Pac-12),34,24-10,204,6
296,Pacific (Big West),30,11-19,155,5.2
130,Penn St. (Big Ten),32,12-20,218,6.8
87,Penn (Ivy League),33,20-13,241,7.3
330,Pepperdine (WCC),29,10-19,135,4.7
324,Pittsburgh (AAC),39,22-17,183,4.7
280,Portland St. (Big Sky),32,17-15,170,5.3
327,Portland (WCC),31,7-24,145,4.7
55,Prairie View (SWAC),32,14-18,251,7.8
181,Princeton (Ivy League),32,20-12,203,6.3
280,Providence (AAC),32,15-17,170,5.3
187,Purdue Fort Wayne (Summit League),30,11-19,188,6.3
171,Purdue (Big Ten),35,22-13,226,6.5
280,Quinnipiac (NEC),32,18-14,170,5.3
85,Radford (Big South),32,6-26,234,7.3
172,Rhode Island (Atlantic 10),31,7-24,200,6.5
83,Rice (C-USA),35,19-16,257,7.3
210,Richmond (Atlantic 10),32,16-16,194,6.1
227,Rider (MAAC),32,13-19,191,6
24,Robert Morris (NEC),37,26-11,308,8.3
32,Rutgers (AAC),32,14-18,261,8.2
331,Sacramento St. (Big Sky),28,10-18,130,4.6
156,Sacred Heart (NEC),32,14-18,211,6.6
166,Saint Francis (PA) (NEC),29,6-23,188,6.5
320,Saint Joseph's (Atlantic 10),34,20-14,163,4.8
115,Saint Louis (Atlantic 10),34,26-8,236,6.9
121,Saint Mary's (CA) (WCC),33,27-6,227,6.9
63,Saint Peter's (MAAC),31,5-26,236,7.6
242,Sam Houston (Southland),32,13-19,185,5.8
278,Samford (SoCon),30,11-19,161,5.4
266,San Diego St. (Mountain West),34,26-8,189,5.6
145,San Diego (WCC),31,13-18,207,6.7
20,San Francisco (WCC),34,20-14,285,8.4
311,San Jose St. (WAC),31,9-22,151,4.9
302,Santa Clara (WCC),30,8-22,151,5
113,Savannah St. (MEAC),33,21-12,230,7
22,Seton Hall (AAC),34,21-13,284,8.4
101,SFA (Southland),32,20-12,229,7.2
241,Siena (MAAC),31,14-17,180,5.8
119,SMU (C-USA),32,13-19,221,6.9
309,South Alabama (Sun Belt),29,17-12,143,4.9
193,South Carolina St. (MEAC),31,5-26,192,6.2
126,South Carolina (SEC),31,10-21,212,6.8
138,South Dakota St. (Summit League),35,27-8,236,6.7
267,South Fla. (AAC),36,22-14,200,5.6
303,Southeast Mo. St. (OVC),31,15-16,156,5
192,Southeastern La. (Southland),29,12-17,180,6.2
247,Southern California (Pac-12),32,6-26,184,5.8
79,Southern Ill. (MVC),31,8-23,230,7.4
220,Southern Miss. (C-USA),34,25-9,205,6
231,Southern U. (SWAC),31,17-14,183,5.9
274,Southern Utah (Summit League),31,14-17,169,5.5
239,St. Bonaventure (Atlantic 10),32,20-12,186,5.8
127,St. Francis Brooklyn (NEC),30,15-15,205,6.8
45,St. John's (NY) (AAC),32,13-19,255,8
150,Stanford (Pac-12),37,26-11,246,6.6
166,Stetson (ASUN),29,9-20,188,6.5
271,Stony Brook (America East),32,22-10,177,5.5
5,Syracuse (AAC),37,34-3,338,9.1
118,TCU (Mountain West),33,18-15,228,6.9
97,Temple (Atlantic 10),32,24-8,230,7.2
71,Tennessee St. (OVC),33,20-13,248,7.5
124,Tennessee Tech (OVC),33,19-14,226,6.8
254,Tennessee (SEC),34,19-15,192,5.6
251,Texas A&M (Big 12),32,14-18,182,5.7
18,Texas Southern (SWAC),33,15-18,278,8.4
29,Texas St. (Southland),30,13-17,247,8.2
294,Texas Tech (Big 12),31,8-23,161,5.2
132,Texas (Big 12),34,20-14,231,6.8
221,The Citadel (SoCon),30,6-24,180,6
112,Toledo (MAC),36,19-17,251,7
271,Towson (CAA),32,1-31,177,5.5
141,Troy (Sun Belt),28,10-18,188,6.7
108,Tulane (C-USA),31,15-16,219,7.1
317,Tulsa (C-USA),31,17-14,149,4.8
334,UAB (C-USA),31,15-16,136,4.4
311,UC Davis (Big West),31,5-26,151,4.9
310,UC Irvine (Big West),32,12-20,156,4.9
321,UC Riverside (Big West),31,14-17,148,4.8
268,UC Santa Barbara (Big West),31,20-11,172,5.5
185,UCF (C-USA),33,22-11,208,6.3
51,UCLA (Pac-12),33,19-14,260,7.9
235,UConn (AAC),34,20-14,199,5.9
306,UIC (Horizon),30,8-22,150,5
276,ULM (Sun Belt),29,3-26,157,5.4
237,UMBC (America East),30,4-26,175,5.8
230,UMES (MEAC),30,7-23,178,5.9
25,UNC Asheville (Big South),34,24-10,283,8.3
72,UNC Greensboro (SoCon),32,13-19,240,7.5
259,UNCW (CAA),31,10-21,173,5.6
226,UNI (MVC),34,20-14,203,6
14,UNLV (Mountain West),35,26-9,299,8.5
19,USC Upstate (ASUN),34,21-13,286,8.4
51,UT Arlington (Southland),33,24-9,260,7.9
217,UT Martin (OVC),31,4-27,187,6
337,Utah St. (WAC),37,21-16,146,3.9
163,Utah Valley (GWC),33,20-13,214,6.5
298,Utah (Pac-12),31,6-25,159,5.1
322,UTEP (C-USA),32,15-17,151,4.7
299,UTRGV (GWC),32,11-21,163,5.1
30,UTSA (Southland),32,18-14,263,8.2
221,Valparaiso (Horizon),34,22-12,204,6
228,Vanderbilt (SEC),36,25-11,214,5.9
1,VCU (CAA),36,29-7,381,10.6
200,Vermont (America East),36,24-12,221,6.1
264,Villanova (AAC),32,13-19,178,5.6
269,Virginia Tech (ACC),33,16-17,183,5.5
169,Virginia (ACC),32,22-10,207,6.5
28,VMI (Big South),33,17-16,273,8.3
53,Wagner (NEC),31,25-6,244,7.9
289,Wake Forest (ACC),31,13-18,162,5.2
316,Washington St. (Pac-12),37,19-18,178,4.8
147,Washington (Pac-12),35,24-11,233,6.7
264,Weber St. (Big Sky),32,25-7,178,5.6
178,West Virginia (AAC),33,19-14,210,6.4
36,Western Caro. (SoCon),35,17-18,284,8.1
211,Western Ill. (Summit League),33,18-15,200,6.1
262,Western Ky. (Sun Belt),35,16-19,195,5.6
328,Western Mich. (MAC),34,14-20,159,4.7
183,Wichita St. (MVC),33,27-6,209,6.3
315,William & Mary (CAA),32,6-26,154,4.8
134,Winthrop (Big South),32,12-20,217,6.8
305,Wisconsin (Big Ten),36,26-10,181,5
288,Wofford (SoCon),33,19-14,173,5.2
158,Wright St. (Horizon),32,13-19,210,6.6
121,Wyoming (Mountain West),33,21-12,227,6.9
221,Xavier (Atlantic 10),36,23-13,216,6
291,Yale (Ivy League),29,19-10,151,5.2
165,Youngstown St. (Horizon),31,16-15,201,6.5
