Rank,Team,GM,W-L,ST,STPG
248,A&M-Corpus Christi (Southland),30,6-24,171,5.7
143,Air Force (Mountain West),29,13-16,194,6.7
90,Akron (MAC),34,22-12,247,7.3
180,Alabama A&M (SWAC),28,7-21,178,6.4
63,Alabama St. (SWAC),31,12-19,236,7.6
93,Alabama (SEC),33,21-12,239,7.2
253,Albany (NY) (America East),34,19-15,193,5.7
181,Alcorn (SWAC),32,10-22,203,6.3
325,American (Patriot),32,20-12,150,4.7
217,App State (SoCon),31,13-18,187,6
259,Arizona St. (Pac-12),31,10-21,173,5.6
262,Arizona (Pac-12),35,23-12,195,5.6
113,Ark.-Pine Bluff (SWAC),33,11-22,230,7
196,Arkansas St. (Sun Belt),34,14-20,210,6.2
27,Arkansas (SEC),32,18-14,265,8.3
198,Army West Point (Patriot),30,12-18,185,6.2
174,Auburn (SEC),31,15-16,199,6.4
97,Austin Peay (OVC),32,12-20,230,7.2
208,Ball St. (MAC),30,15-15,182,6.1
69,Baylor (Big 12),38,30-8,286,7.5
89,Belmont (ASUN),35,27-8,255,7.3
120,Bethune-Cookman (MEAC),35,18-17,241,6.9
217,Binghamton (America East),31,2-29,187,6
205,Boise St. (Mountain West),30,13-17,183,6.1
308,Boston College (ACC),31,9-22,153,4.9
236,Boston U. (America East),32,16-16,187,5.8
60,Bowling Green (MAC),32,16-16,247,7.7
177,Bradley (MVC),32,7-25,204,6.4
289,Brown (Ivy League),31,8-23,162,5.2
335,Bucknell (Patriot),35,25-10,152,4.3
256,Buffalo (MAC),31,20-11,174,5.6
170,Butler (Horizon),37,22-15,239,6.5
16,BYU (WCC),35,26-9,296,8.5
249,Cal Poly (Big West),33,18-15,188,5.7
256,Cal St. Fullerton (Big West),31,21-10,174,5.6
328,California (Pac-12),34,24-10,159,4.7
204,Campbell (Big South),32,17-15,196,6.1
175,Canisius (MAAC),30,5-25,192,6.4
37,Central Ark. (Southland),29,8-21,235,8.1
37,Central Conn. St. (NEC),29,13-16,235,8.1
144,Central Mich. (MAC),32,11-21,214,6.7
40,Charleston So. (Big South),31,19-12,251,8.1
39,Charlotte (Atlantic 10),30,13-17,243,8.1
184,Chattanooga (SoCon),32,11-21,202,6.3
102,Chicago St. (GWC),30,4-26,214,7.1
43,Cincinnati (AAC),37,26-11,298,8.1
76,Clemson (ACC),31,16-15,231,7.5
17,Cleveland St. (Horizon),33,22-11,279,8.5
160,Coastal Carolina (Big South),31,19-12,203,6.5
80,Col. of Charleston (SoCon),31,19-12,229,7.4
338,Colgate (Patriot),30,8-22,111,3.7
277,Colorado St. (Mountain West),32,20-12,172,5.4
237,Colorado (Pac-12),36,24-12,210,5.8
208,Columbia (Ivy League),30,15-15,182,6.1
243,Coppin St. (MEAC),30,14-16,173,5.8
56,Cornell (Ivy League),28,12-16,218,7.8
313,Creighton (MVC),35,29-6,169,4.8
44,CSU Bakersfield (Independent),31,16-15,248,8
189,CSUN (Big West),28,7-21,175,6.3
275,Dartmouth (Ivy League),30,5-25,163,5.4
261,Davidson (SoCon),33,25-8,184,5.6
286,Dayton (Atlantic 10),33,20-13,174,5.3
54,Delaware St. (MEAC),29,15-14,228,7.9
325,Delaware (CAA),32,18-14,150,4.7
96,Denver (Sun Belt),31,22-9,223,7.2
50,DePaul (AAC),31,12-19,245,7.9
68,Detroit Mercy (Horizon),36,22-14,272,7.6
115,Drake (MVC),34,18-16,236,6.9
319,Drexel (CAA),36,29-7,173,4.8
196,Duke (ACC),34,27-7,210,6.2
58,Duquesne (Atlantic 10),31,16-15,240,7.7
57,East Carolina (C-USA),31,15-16,241,7.8
250,Eastern Ill. (OVC),29,12-17,165,5.7
75,Eastern Ky. (OVC),32,16-16,239,7.5
106,Eastern Mich. (MAC),32,14-18,227,7.1
103,Eastern Wash. (Big Sky),32,15-17,228,7.1
317,Elon (SoCon),31,15-16,149,4.8
2,ETSU (ASUN),31,17-14,316,10.2
66,Evansville (MVC),32,16-16,243,7.6
23,Fairfield (MAAC),37,22-15,309,8.4
245,Fairleigh Dickinson (NEC),29,3-26,167,5.8
32,FGCU (ASUN),32,15-17,261,8.2
77,FIU (Sun Belt),29,8-21,216,7.4
142,Fla. Atlantic (Sun Belt),30,11-19,201,6.7
34,Florida A&M (MEAC),33,10-23,269,8.2
67,Florida St. (ACC),35,25-10,265,7.6
186,Florida (SEC),37,26-11,233,6.3
162,Fordham (Atlantic 10),29,10-19,189,6.5
104,Fresno St. (WAC),33,13-20,235,7.1
297,Furman (SoCon),31,15-16,160,5.2
65,Ga. Southern (SoCon),30,15-15,228,7.6
117,Gardner-Webb (Big South),32,12-20,222,6.9
133,George Mason (CAA),33,24-9,224,6.8
153,George Washington (Atlantic 10),31,10-21,205,6.6
211,Georgetown (AAC),33,24-9,200,6.1
4,Georgia St. (CAA),34,22-12,315,9.3
294,Georgia Tech (ACC),31,11-20,161,5.2
191,Georgia (SEC),32,15-17,199,6.2
137,Gonzaga (WCC),33,26-7,223,6.8
314,Grambling (SWAC),28,4-24,135,4.8
216,Green Bay (Horizon),30,15-15,181,6
124,Hampton (MEAC),33,12-21,226,6.8
153,Hartford (America East),31,9-22,205,6.6
229,Harvard (Ivy League),31,26-5,184,5.9
251,Hawaii (WAC),32,16-16,182,5.7
256,High Point (Big South),31,13-18,174,5.6
62,Hofstra (CAA),32,10-22,245,7.7
