Rank,Team,GM,W-L,FT,FTA,FT%
151,Miami (OH) (MAC),30,9-21,323,463,69.8
139,Michigan St. (Big Ten),37,29-8,531,759,70
67,Michigan (Big Ten),34,24-10,363,503,72.2
310,Middle Tenn. (Sun Belt),34,27-7,532,838,63.5
324,Milwaukee (Horizon),34,20-14,423,691,61.2
153,Minnesota (Big Ten),38,23-15,536,769,69.7
103,Mississippi St. (SEC),33,21-12,436,614,71
298,Mississippi Val. (SWAC),34,21-13,456,708,64.4
71,Missouri St. (MVC),32,16-16,372,516,72.1
8,Missouri (Big 12),35,30-5,559,730,76.6
289,Monmouth (NEC),32,12-20,392,603,65
165,Montana St. (Big Sky),29,12-17,414,598,69.2
89,Montana (Big Sky),32,25-7,482,673,71.6
29,Morehead St. (OVC),33,18-15,453,608,74.5
223,Morgan St. (MEAC),29,9-20,437,646,67.6
297,Mount St. Mary's (NEC),29,8-21,295,458,64.4
62,Murray St. (OVC),33,31-2,551,761,72.4
282,N.C. A&T (MEAC),32,12-20,456,698,65.3
113,N.C. Central (MEAC),32,17-15,527,746,70.6
204,Navy (Patriot),29,3-26,333,487,68.4
123,NC State (ACC),37,24-13,545,774,70.4
7,Nebraska (Big Ten),30,12-18,335,437,76.7
288,Nevada (WAC),35,28-7,541,832,65
329,New Hampshire (America East),29,13-16,322,529,60.9
247,New Mexico St. (WAC),36,26-10,707,"1,058",66.8
114,New Mexico (Mountain West),35,28-7,529,749,70.6
136,Niagara (MAAC),33,14-19,503,718,70.1
237,Nicholls (Southland),30,10-20,403,599,67.3
127,NJIT (GWC),32,15-17,404,575,70.3
279,Norfolk St. (MEAC),36,26-10,544,830,65.5
210,North Carolina (ACC),38,32-6,629,922,68.2
69,North Dakota St. (Summit League),31,17-14,458,635,72.1
328,North Florida (ASUN),32,16-16,393,645,60.9
99,North Texas (Sun Belt),32,18-14,455,639,71.2
129,Northeastern (CAA),31,14-17,420,598,70.2
162,Northern Ariz. (Big Sky),29,5-24,325,469,69.3
144,Northern Colo. (Big Sky),28,9-19,429,614,69.9
239,Northern Ill. (MAC),31,5-26,343,511,67.1
325,Northwestern St. (Southland),32,16-16,488,800,61
172,Northwestern (Big Ten),33,19-14,409,592,69.1
122,Notre Dame (AAC),34,22-12,474,673,70.4
41,Oakland (Summit League),36,20-16,646,877,73.7
107,Ohio St. (Big Ten),39,31-8,600,846,70.9
176,Ohio (MAC),37,29-8,517,749,69
38,Oklahoma St. (Big 12),33,15-18,506,685,73.9
55,Oklahoma (Big 12),31,15-16,413,568,72.7
321,Old Dominion (CAA),36,22-14,473,766,61.7
330,Ole Miss (SEC),34,20-14,486,806,60.3
27,Oral Roberts (Summit League),34,27-7,557,747,74.6
222,Oregon St. (Pac-12),36,21-15,630,931,67.7
106,Oregon (Pac-12),34,24-10,515,726,70.9
188,Pacific (Big West),30,11-19,400,582,68.7
194,Penn St. (Big Ten),32,12-20,386,563,68.6
50,Penn (Ivy League),33,20-13,374,513,72.9
268,Pepperdine (WCC),29,10-19,369,560,65.9
140,Pittsburgh (AAC),39,22-17,483,691,69.9
40,Portland St. (Big Sky),32,17-15,561,761,73.7
84,Portland (WCC),31,7-24,410,571,71.8
338,Prairie View (SWAC),32,14-18,340,629,54.1
218,Princeton (Ivy League),32,20-12,353,520,67.9
120,Providence (AAC),32,15-17,501,711,70.5
209,Purdue Fort Wayne (Summit League),30,11-19,424,621,68.3
275,Purdue (Big Ten),35,22-13,452,689,65.6
303,Quinnipiac (NEC),32,18-14,474,743,63.8
308,Radford (Big South),32,6-26,359,564,63.7
179,Rhode Island (Atlantic 10),31,7-24,447,648,69
205,Rice (C-USA),35,19-16,525,768,68.4
13,Richmond (Atlantic 10),32,16-16,509,667,76.3
83,Rider (MAAC),32,13-19,503,700,71.9
135,Robert Morris (NEC),37,26-11,604,862,70.1
152,Rutgers (AAC),32,14-18,398,571,69.7
141,Sacramento St. (Big Sky),28,10-18,397,568,69.9
28,Sacred Heart (NEC),32,14-18,456,612,74.5
283,Saint Francis (PA) (NEC),29,6-23,324,496,65.3
165,Saint Joseph's (Atlantic 10),34,20-14,468,676,69.2
78,Saint Louis (Atlantic 10),34,26-8,470,653,72
52,Saint Mary's (CA) (WCC),33,27-6,508,697,72.9
295,Saint Peter's (MAAC),31,5-26,309,477,64.8
332,Sam Houston (Southland),32,13-19,412,689,59.8
280,Samford (SoCon),30,11-19,313,478,65.5
132,San Diego St. (Mountain West),34,26-8,493,703,70.1
278,San Diego (WCC),31,13-18,392,598,65.6
183,San Francisco (WCC),34,20-14,512,743,68.9
26,San Jose St. (WAC),31,9-22,437,586,74.6
111,Santa Clara (WCC),30,8-22,412,582,70.8
334,Savannah St. (MEAC),33,21-12,405,688,58.9
228,Seton Hall (AAC),34,21-13,422,626,67.4
313,SFA (Southland),32,20-12,411,650,63.2
215,Siena (MAAC),31,14-17,393,578,68
233,SMU (C-USA),32,13-19,371,551,67.3
137,South Alabama (Sun Belt),29,17-12,435,621,70
287,South Carolina St. (MEAC),31,5-26,417,641,65.1
133,South Carolina (SEC),31,10-21,321,458,70.1
56,South Dakota St. (Summit League),35,27-8,569,783,72.7
116,South Fla. (AAC),36,22-14,421,597,70.5
315,Southeast Mo. St. (OVC),31,15-16,373,592,63
333,Southeastern La. (Southland),29,12-17,352,596,59.1
327,Southern California (Pac-12),32,6-26,272,446,61
302,Southern Ill. (MVC),31,8-23,391,611,64
43,Southern Miss. (C-USA),34,25-9,573,779,73.6
197,Southern U. (SWAC),31,17-14,416,607,68.5
64,Southern Utah (Summit League),31,14-17,446,617,72.3
16,St. Bonaventure (Atlantic 10),32,20-12,540,710,76.1
262,St. Francis Brooklyn (NEC),30,15-15,391,590,66.3
214,St. John's (NY) (AAC),32,13-19,485,713,68
254,Stanford (Pac-12),37,26-11,529,794,66.6
159,Stetson (ASUN),29,9-20,396,570,69.5
163,Stony Brook (America East),32,22-10,390,563,69.3
147,Syracuse (AAC),37,34-3,495,709,69.8
173,TCU (Mountain West),33,18-15,505,731,69.1
81,Temple (Atlantic 10),32,24-8,451,627,71.9
182,Tennessee St. (OVC),33,20-13,499,724,68.9
98,Tennessee Tech (OVC),33,19-14,540,758,71.2
128,Tennessee (SEC),34,19-15,491,699,70.2
272,Texas A&M (Big 12),32,14-18,330,502,65.7
316,Texas Southern (SWAC),33,15-18,470,746,63
99,Texas St. (Southland),30,13-17,455,639,71.2
130,Texas Tech (Big 12),31,8-23,414,590,70.2
46,Texas (Big 12),34,20-14,601,820,73.3
266,The Citadel (SoCon),30,6-24,355,537,66.1
58,Toledo (MAC),36,19-17,543,748,72.6
335,Towson (CAA),32,1-31,379,647,58.6
226,Troy (Sun Belt),28,10-18,304,450,67.6
264,Tulane (C-USA),31,15-16,432,653,66.2
213,Tulsa (C-USA),31,17-14,495,727,68.1
195,UAB (C-USA),31,15-16,388,566,68.6
201,UC Davis (Big West),31,5-26,362,529,68.4
307,UC Irvine (Big West),32,12-20,377,592,63.7
184,UC Riverside (Big West),31,14-17,343,498,68.9
161,UC Santa Barbara (Big West),31,20-11,417,601,69.4
318,UCF (C-USA),33,22-11,452,722,62.6
249,UCLA (Pac-12),33,19-14,398,596,66.8
263,UConn (AAC),34,20-14,435,657,66.2
244,UIC (Horizon),30,8-22,361,539,67
284,ULM (Sun Belt),29,3-26,288,441,65.3
265,UMBC (America East),30,4-26,373,564,66.1
304,UMES (MEAC),30,7-23,343,538,63.8
9,UNC Asheville (Big South),34,24-10,682,893,76.4
196,UNC Greensboro (SoCon),32,13-19,427,623,68.5
216,UNCW (CAA),31,10-21,394,580,67.9
51,UNI (MVC),34,20-14,441,605,72.9
225,UNLV (Mountain West),35,26-9,496,734,67.6
305,USC Upstate (ASUN),34,21-13,443,695,63.7
125,UT Arlington (Southland),33,24-9,624,888,70.3
125,UT Martin (OVC),31,4-27,416,592,70.3
80,Utah St. (WAC),37,21-16,551,766,71.9
150,Utah Valley (GWC),33,20-13,478,685,69.8
256,Utah (Pac-12),31,6-25,345,518,66.6
206,UTEP (C-USA),32,15-17,423,619,68.3
117,UTRGV (GWC),32,11-21,409,580,70.5
32,UTSA (Southland),32,18-14,481,647,74.3
91,Valparaiso (Horizon),34,22-12,522,730,71.5
143,Vanderbilt (SEC),36,25-11,538,770,69.9
198,VCU (CAA),36,29-7,507,740,68.5
35,Vermont (America East),36,24-12,528,714,73.9
22,Villanova (AAC),32,13-19,546,724,75.4
60,Virginia Tech (ACC),33,16-17,434,599,72.5
66,Virginia (ACC),32,22-10,403,558,72.2
79,VMI (Big South),33,17-16,564,784,71.9
31,Wagner (NEC),31,25-6,513,690,74.3
42,Wake Forest (ACC),31,13-18,485,659,73.6
108,Washington St. (Pac-12),37,19-18,573,808,70.9
320,Washington (Pac-12),35,24-11,497,798,62.3
1,Weber St. (Big Sky),32,25-7,538,661,81.4
240,West Virginia (AAC),33,19-14,496,739,67.1
177,Western Caro. (SoCon),35,17-18,470,681,69
193,Western Ill. (Summit League),33,18-15,369,538,68.6
191,Western Ky. (Sun Belt),35,16-19,539,785,68.7
110,Western Mich. (MAC),34,14-20,525,741,70.9
24,Wichita St. (MVC),33,27-6,491,656,74.8
101,William & Mary (CAA),32,6-26,389,547,71.1
274,Winthrop (Big South),32,12-20,370,564,65.6
37,Wisconsin (Big Ten),36,26-10,425,575,73.9
257,Wofford (SoCon),33,19-14,338,508,66.5
124,Wright St. (Horizon),32,13-19,418,594,70.4
36,Wyoming (Mountain West),33,21-12,451,610,73.9
158,Xavier (Atlantic 10),36,23-13,569,819,69.5
105,Yale (Ivy League),29,19-10,459,647,70.9
294,Youngstown St. (Horizon),31,16-15,333,514,64.8
