Rank,Team,GM,W-L,FT,FTA,FT%
331,A&M-Corpus Christi (Southland),30,6-24,360,600,60
229,Air Force (Mountain West),29,13-16,362,537,67.4
165,Akron (MAC),34,22-12,513,741,69.2
296,Alabama A&M (SWAC),28,7-21,359,555,64.7
336,Alabama St. (SWAC),31,12-19,354,606,58.4
102,Alabama (SEC),33,21-12,443,623,71.1
19,Albany (NY) (America East),34,19-15,524,694,75.5
156,Alcorn (SWAC),32,10-22,434,624,69.6
92,American (Patriot),32,20-12,406,568,71.5
290,App State (SoCon),31,13-18,426,656,64.9
221,Arizona St. (Pac-12),31,10-21,402,594,67.7
118,Arizona (Pac-12),35,23-12,568,806,70.5
306,Ark.-Pine Bluff (SWAC),33,11-22,458,719,63.7
251,Arkansas St. (Sun Belt),34,14-20,492,737,66.8
174,Arkansas (SEC),32,18-14,478,692,69.1
57,Army West Point (Patriot),30,12-18,433,596,72.7
293,Auburn (SEC),31,15-16,394,608,64.8
242,Austin Peay (OVC),32,12-20,493,735,67.1
185,Ball St. (MAC),30,15-15,416,604,68.9
23,Baylor (Big 12),38,30-8,572,759,75.4
44,Belmont (ASUN),35,27-8,572,778,73.5
271,Bethune-Cookman (MEAC),35,18-17,462,702,65.8
142,Binghamton (America East),31,2-29,376,538,69.9
171,Boise St. (Mountain West),30,13-17,407,589,69.1
234,Boston College (ACC),31,9-22,350,520,67.3
230,Boston U. (America East),32,16-16,393,583,67.4
212,Bowling Green (MAC),32,16-16,323,474,68.1
211,Bradley (MVC),32,7-25,426,625,68.2
317,Brown (Ivy League),31,8-23,303,482,62.9
4,Bucknell (Patriot),35,25-10,532,687,77.4
269,Buffalo (MAC),31,20-11,438,665,65.9
291,Butler (Horizon),37,22-15,523,806,64.9
138,BYU (WCC),35,26-9,540,771,70
145,Cal Poly (Big West),33,18-15,366,524,69.8
160,Cal St. Fullerton (Big West),31,21-10,485,699,69.4
30,California (Pac-12),34,24-10,477,641,74.4
245,Campbell (Big South),32,17-15,509,761,66.9
54,Canisius (MAAC),30,5-25,366,503,72.8
337,Central Ark. (Southland),29,8-21,336,605,55.5
17,Central Conn. St. (NEC),29,13-16,415,547,75.9
311,Central Mich. (MAC),32,11-21,377,594,63.5
178,Charleston So. (Big South),31,19-12,454,658,69
270,Charlotte (Atlantic 10),30,13-17,432,656,65.9
192,Chattanooga (SoCon),32,11-21,490,714,68.6
285,Chicago St. (GWC),30,4-26,353,541,65.2
299,Cincinnati (AAC),37,26-11,414,643,64.4
243,Clemson (ACC),31,16-15,358,534,67
104,Cleveland St. (Horizon),33,22-11,352,496,71
232,Coastal Carolina (Big South),31,19-12,392,582,67.4
300,Col. of Charleston (SoCon),31,19-12,438,683,64.1
181,Colgate (Patriot),30,8-22,375,544,68.9
6,Colorado St. (Mountain West),32,20-12,526,685,76.8
169,Colorado (Pac-12),36,24-12,560,810,69.1
33,Columbia (Ivy League),30,15-15,378,509,74.3
170,Coppin St. (MEAC),30,14-16,412,596,69.1
202,Cornell (Ivy League),28,12-16,338,494,68.4
59,Creighton (MVC),35,29-6,535,737,72.6
208,CSU Bakersfield (Independent),31,16-15,401,587,68.3
20,CSUN (Big West),28,7-21,456,604,75.5
119,Dartmouth (Ivy League),30,5-25,389,552,70.5
15,Davidson (SoCon),33,25-8,558,732,76.2
2,Dayton (Atlantic 10),33,20-13,484,623,77.7
134,Delaware St. (MEAC),29,15-14,349,498,70.1
88,Delaware (CAA),32,18-14,545,760,71.7
14,Denver (Sun Belt),31,22-9,401,526,76.2
154,DePaul (AAC),31,12-19,360,517,69.6
48,Detroit Mercy (Horizon),36,22-14,626,857,73
277,Drake (MVC),34,18-16,491,749,65.6
34,Drexel (CAA),36,29-7,527,711,74.1
131,Duke (ACC),34,27-7,606,864,70.1
248,Duquesne (Atlantic 10),31,16-15,441,660,66.8
200,East Carolina (C-USA),31,15-16,406,593,68.5
18,Eastern Ill. (OVC),29,12-17,373,493,75.7
45,Eastern Ky. (OVC),32,16-16,404,551,73.3
164,Eastern Mich. (MAC),32,14-18,385,556,69.2
109,Eastern Wash. (Big Sky),32,15-17,467,659,70.9
231,Elon (SoCon),31,15-16,397,589,67.4
312,ETSU (ASUN),31,17-14,434,684,63.5
10,Evansville (MVC),32,16-16,572,749,76.4
286,Fairfield (MAAC),37,22-15,420,645,65.1
267,Fairleigh Dickinson (NEC),29,3-26,343,520,66
238,FGCU (ASUN),32,15-17,409,608,67.3
61,FIU (Sun Belt),29,8-21,426,588,72.4
261,Fla. Atlantic (Sun Belt),30,11-19,333,502,66.3
322,Florida A&M (MEAC),33,10-23,352,572,61.5
112,Florida St. (ACC),35,25-10,473,669,70.7
96,Florida (SEC),37,26-11,499,700,71.3
326,Fordham (Atlantic 10),29,10-19,333,546,61
70,Fresno St. (WAC),33,13-20,486,674,72.1
94,Furman (SoCon),31,15-16,434,608,71.4
258,Ga. Southern (SoCon),30,15-15,341,513,66.5
250,Gardner-Webb (Big South),32,12-20,414,620,66.8
148,George Mason (CAA),33,24-9,511,732,69.8
259,George Washington (Atlantic 10),31,10-21,326,491,66.4
146,Georgetown (AAC),33,24-9,470,673,69.8
276,Georgia St. (CAA),34,22-12,436,665,65.6
281,Georgia Tech (ACC),31,11-20,308,471,65.4
190,Georgia (SEC),32,15-17,364,530,68.7
90,Gonzaga (WCC),33,26-7,575,803,71.6
189,Grambling (SWAC),28,4-24,356,518,68.7
115,Green Bay (Horizon),30,15-15,384,544,70.6
301,Hampton (MEAC),33,12-21,459,717,64
252,Hartford (America East),31,9-22,324,486,66.7
25,Harvard (Ivy League),31,26-5,458,613,74.7
252,Hawaii (WAC),32,16-16,524,786,66.7
199,High Point (Big South),31,13-18,448,654,68.5
86,Hofstra (CAA),32,10-22,536,747,71.8
76,Holy Cross (Patriot),29,15-14,374,519,72.1
207,Houston Baptist (GWC),30,10-20,481,704,68.3
121,Houston (C-USA),30,15-15,398,565,70.4
219,Howard (MEAC),31,10-21,505,744,67.9
203,Idaho St. (Big Sky),30,9-21,396,579,68.4
236,Idaho (WAC),33,19-14,469,697,67.3
21,Illinois St. (MVC),35,21-14,534,708,75.4
93,Illinois (Big Ten),32,17-15,378,529,71.5
74,Indiana St. (MVC),33,18-15,475,659,72.1
11,Indiana (Big Ten),36,27-9,655,858,76.3
95,Iona (MAAC),33,25-8,440,617,71.3
186,Iowa St. (Big 12),34,23-11,503,731,68.8
72,Iowa (Big Ten),35,18-17,550,763,72.1
3,IUPUI (Summit League),32,14-18,495,638,77.6
217,Jackson St. (SWAC),31,7-24,368,542,67.9
220,Jacksonville St. (OVC),33,15-18,503,742,67.8
273,Jacksonville (ASUN),30,8-22,388,591,65.7
255,James Madison (CAA),32,12-20,371,557,66.6
157,Kansas City (Summit League),31,10-21,344,495,69.5
241,Kansas St. (Big 12),33,22-11,536,799,67.1
168,Kansas (Big 12),39,32-7,597,863,69.2
319,Kennesaw St. (ASUN),31,3-28,332,531,62.5
180,Kent St. (MAC),33,21-12,462,670,69
65,Kentucky (SEC),40,38-2,678,938,72.3
68,La Salle (Atlantic 10),34,21-13,417,578,72.1
12,Lafayette (Patriot),31,13-18,432,566,76.3
77,Lamar University (Southland),35,23-12,616,855,72
5,Lehigh (Patriot),35,27-8,590,768,76.8
97,Liberty (Big South),32,14-18,454,637,71.3
309,Lipscomb (ASUN),31,13-18,403,634,63.6
149,Little Rock (Sun Belt),31,15-16,469,672,69.8
49,LIU (NEC),34,25-9,704,965,73
39,LMU (CA) (WCC),34,21-13,531,720,73.8
246,Long Beach St. (Big West),34,25-9,529,791,66.9
224,Longwood (Independent),31,10-21,359,531,67.6
292,Louisiana Tech (WAC),34,18-16,402,620,64.8
314,Louisiana (Sun Belt),32,16-16,483,766,63.1
187,Louisville (AAC),40,30-10,568,826,68.8
155,Loyola Chicago (Horizon),30,7-23,376,540,69.6
82,Loyola Maryland (MAAC),33,24-9,548,762,71.9
175,LSU (SEC),33,18-15,402,582,69.1
47,Maine (America East),29,12-17,320,437,73.2
53,Manhattan (MAAC),34,21-13,546,750,72.8
63,Marist (MAAC),32,14-18,531,734,72.3
73,Marquette (AAC),35,27-8,599,831,72.1
323,Marshall (C-USA),35,21-14,479,780,61.4
260,Maryland (ACC),32,17-15,539,812,66.4
235,Massachusetts (Atlantic 10),37,25-12,527,783,67.3
227,McNeese (Southland),33,17-16,426,631,67.5
87,Memphis (C-USA),35,26-9,563,785,71.7
85,Mercer (ASUN),38,27-11,527,734,71.8
75,Miami (FL) (ACC),33,20-13,454,630,72.1
