Rank,Team,W,L,Pct
68,Massachusetts (Atlantic 10),25,12,67.6
168,McNeese (Southland),17,16,51.5
37,Memphis (C-USA),26,9,74.3
52,Mercer (ASUN),27,11,71.1
108,Miami (FL) (ACC),20,13,60.6
292,Miami (OH) (MAC),9,21,30
22,Michigan St. (Big Ten),29,8,78.4
54,Michigan (Big Ten),24,10,70.6
17,Middle Tenn. (Sun Belt),27,7,79.4
118,Milwaukee (Horizon),20,14,58.8
113,Minnesota (Big Ten),23,15,60.5
85,Mississippi St. (SEC),21,12,63.6
96,Mississippi Val. (SWAC),21,13,61.8
173,Missouri St. (MVC),16,16,50
4,Missouri (Big 12),30,5,85.7
255,Monmouth (NEC),12,20,37.5
237,Montana St. (Big Sky),12,17,41.4
24,Montana (Big Sky),25,7,78.1
147,Morehead St. (OVC),18,15,54.5
289,Morgan St. (MEAC),9,20,31
297,Mount St. Mary's (NEC),8,21,27.6
2,Murray St. (OVC),31,2,93.9
255,N.C. A&T (MEAC),12,20,37.5
154,N.C. Central (MEAC),17,15,53.1
333,Navy (Patriot),3,26,10.3
77,NC State (ACC),24,13,64.9
250,Nebraska (Big Ten),12,18,40
14,Nevada (WAC),28,7,80
215,New Hampshire (America East),13,16,44.8
47,New Mexico St. (WAC),26,10,72.2
14,New Mexico (Mountain West),28,7,80
230,Niagara (MAAC),14,19,42.4
276,Nicholls (Southland),10,20,33.3
200,NJIT (GWC),15,17,46.9
47,Norfolk St. (MEAC),26,10,72.2
5,North Carolina (ACC),32,6,84.2
143,North Dakota St. (Summit League),17,14,54.8
173,North Florida (ASUN),16,16,50
135,North Texas (Sun Belt),18,14,56.3
211,Northeastern (CAA),14,17,45.2
322,Northern Ariz. (Big Sky),5,24,17.2
286,Northern Colo. (Big Sky),9,19,32.1
325,Northern Ill. (MAC),5,26,16.1
173,Northwestern St. (Southland),16,16,50
127,Northwestern (Big Ten),19,14,57.6
78,Notre Dame (AAC),22,12,64.7
142,Oakland (Summit League),20,16,55.6
16,Ohio St. (Big Ten),31,8,79.5
22,Ohio (MAC),29,8,78.4
208,Oklahoma St. (Big 12),15,18,45.5
191,Oklahoma (Big 12),15,16,48.4
105,Old Dominion (CAA),22,14,61.1
118,Ole Miss (SEC),20,14,58.8
17,Oral Roberts (Summit League),27,7,79.4
126,Oregon St. (Pac-12),21,15,58.3
54,Oregon (Pac-12),24,10,70.6
263,Pacific (Big West),11,19,36.7
255,Penn St. (Big Ten),12,20,37.5
108,Penn (Ivy League),20,13,60.6
271,Pepperdine (WCC),10,19,34.5
134,Pittsburgh (AAC),22,17,56.4
154,Portland St. (Big Sky),17,15,53.1
311,Portland (WCC),7,24,22.6
218,Prairie View (SWAC),14,18,43.8
91,Princeton (Ivy League),20,12,62.5
200,Providence (AAC),15,17,46.9
263,Purdue Fort Wayne (Summit League),11,19,36.7
90,Purdue (Big Ten),22,13,62.9
135,Quinnipiac (NEC),18,14,56.3
319,Radford (Big South),6,26,18.8
311,Rhode Island (Atlantic 10),7,24,22.6
153,Rice (C-USA),19,16,54.3
173,Richmond (Atlantic 10),16,16,50
243,Rider (MAAC),13,19,40.6
58,Robert Morris (NEC),26,11,70.3
218,Rutgers (AAC),14,18,43.8
268,Sacramento St. (Big Sky),10,18,35.7
218,Sacred Heart (NEC),14,18,43.8
315,Saint Francis (PA) (NEC),6,23,20.7
118,Saint Joseph's (Atlantic 10),20,14,58.8
30,Saint Louis (Atlantic 10),26,8,76.5
9,Saint Mary's (CA) (WCC),27,6,81.8
325,Saint Peter's (MAAC),5,26,16.1
243,Sam Houston (Southland),13,19,40.6
263,Samford (SoCon),11,19,36.7
30,San Diego St. (Mountain West),26,8,76.5
231,San Diego (WCC),13,18,41.9
118,San Francisco (WCC),20,14,58.8
294,San Jose St. (WAC),9,22,29
300,Santa Clara (WCC),8,22,26.7
85,Savannah St. (MEAC),21,12,63.6
96,Seton Hall (AAC),21,13,61.8
91,SFA (Southland),20,12,62.5
211,Siena (MAAC),14,17,45.2
243,SMU (C-USA),13,19,40.6
125,South Alabama (Sun Belt),17,12,58.6
325,South Carolina St. (MEAC),5,26,16.1
279,South Carolina (SEC),10,21,32.3
26,South Dakota St. (Summit League),27,8,77.1
105,South Fla. (AAC),22,14,61.1
191,Southeast Mo. St. (OVC),15,16,48.4
237,Southeastern La. (Southland),12,17,41.4
319,Southern California (Pac-12),6,26,18.8
304,Southern Ill. (MVC),8,23,25.8
40,Southern Miss. (C-USA),25,9,73.5
143,Southern U. (SWAC),17,14,54.8
211,Southern Utah (Summit League),14,17,45.2
91,St. Bonaventure (Atlantic 10),20,12,62.5
173,St. Francis Brooklyn (NEC),15,15,50
243,St. John's (NY) (AAC),13,19,40.6
58,Stanford (Pac-12),26,11,70.3
289,Stetson (ASUN),9,20,31
63,Stony Brook (America East),22,10,68.8
3,Syracuse (AAC),34,3,91.9
147,TCU (Mountain West),18,15,54.5
34,Temple (Atlantic 10),24,8,75
108,Tennessee St. (OVC),20,13,60.6
127,Tennessee Tech (OVC),19,14,57.6
140,Tennessee (SEC),19,15,55.9
218,Texas A&M (Big 12),14,18,43.8
208,Texas Southern (SWAC),15,18,45.5
226,Texas St. (Southland),13,17,43.3
304,Texas Tech (Big 12),8,23,25.8
118,Texas (Big 12),20,14,58.8
316,The Citadel (SoCon),6,24,20
161,Toledo (MAC),19,17,52.8
338,Towson (CAA),1,31,3.1
268,Troy (Sun Belt),10,18,35.7
191,Tulane (C-USA),15,16,48.4
143,Tulsa (C-USA),17,14,54.8
191,UAB (C-USA),15,16,48.4
325,UC Davis (Big West),5,26,16.1
