Rank,Team,GM,W-L,FGM,FGA,FG%
322,Western Ky. (Sun Belt),35,16-19,769,"1,952",39.4
159,Western Mich. (MAC),34,14-20,801,"1,841",43.5
15,Wichita St. (MVC),33,27-6,912,"1,892",48.2
298,William & Mary (CAA),32,6-26,662,"1,632",40.6
242,Winthrop (Big South),32,12-20,754,"1,793",42.1
214,Wisconsin (Big Ten),36,26-10,797,"1,875",42.5
172,Wofford (SoCon),33,19-14,777,"1,792",43.4
312,Wright St. (Horizon),32,13-19,625,"1,569",39.8
109,Wyoming (Mountain West),33,21-12,710,"1,585",44.8
91,Xavier (Atlantic 10),36,23-13,899,"1,985",45.3
184,Yale (Ivy League),29,19-10,678,"1,571",43.2
185,Youngstown St. (Horizon),31,16-15,746,"1,729",43.1
