Rank,Team,GM,W-L,PTS,PPG
325,A&M-Corpus Christi (Southland),30,6-24,"1,755",58.5
289,Air Force (Mountain West),29,13-16,"1,786",61.6
71,Akron (MAC),34,22-12,"2,456",72.2
269,Alabama A&M (SWAC),28,7-21,"1,764",63
320,Alabama St. (SWAC),31,12-19,"1,840",59.4
244,Alabama (SEC),33,21-12,"2,135",64.7
73,Albany (NY) (America East),34,19-15,"2,453",72.1
279,Alcorn (SWAC),32,10-22,"2,002",62.6
252,American (Patriot),32,20-12,"2,059",64.3
161,App State (SoCon),31,13-18,"2,121",68.4
299,Arizona St. (Pac-12),31,10-21,"1,891",61
140,Arizona (Pac-12),35,23-12,"2,416",69
299,Ark.-Pine Bluff (SWAC),33,11-22,"2,013",61
246,Arkansas St. (Sun Belt),34,14-20,"2,198",64.6
79,Arkansas (SEC),32,18-14,"2,299",71.8
183,Army West Point (Patriot),30,12-18,"2,027",67.6
277,Auburn (SEC),31,15-16,"1,942",62.6
137,Austin Peay (OVC),32,12-20,"2,216",69.3
263,Ball St. (MAC),30,15-15,"1,901",63.4
34,Baylor (Big 12),38,30-8,"2,839",74.7
4,Belmont (ASUN),35,27-8,"2,831",80.9
238,Bethune-Cookman (MEAC),35,18-17,"2,276",65
331,Binghamton (America East),31,2-29,"1,762",56.8
165,Boise St. (Mountain West),30,13-17,"2,050",68.3
323,Boston College (ACC),31,9-22,"1,833",59.1
258,Boston U. (America East),32,16-16,"2,045",63.9
201,Bowling Green (MAC),32,16-16,"2,125",66.4
298,Bradley (MVC),32,7-25,"1,955",61.1
292,Brown (Ivy League),31,8-23,"1,907",61.5
147,Bucknell (Patriot),35,25-10,"2,410",68.9
56,Buffalo (MAC),31,20-11,"2,262",73
262,Butler (Horizon),37,22-15,"2,352",63.6
13,BYU (WCC),35,26-9,"2,727",77.9
242,Cal Poly (Big West),33,18-15,"2,136",64.7
12,Cal St. Fullerton (Big West),31,21-10,"2,417",78
93,California (Pac-12),34,24-10,"2,419",71.1
39,Campbell (Big South),32,17-15,"2,370",74.1
222,Canisius (MAAC),30,5-25,"1,965",65.5
99,Central Ark. (Southland),29,8-21,"2,058",71
122,Central Conn. St. (NEC),29,13-16,"2,029",70
