Rank,Team,GM,W-L,3FG,3PG
214,Utah St. (WAC),37,21-16,208,5.6
209,Utah Valley (GWC),33,20-13,189,5.7
255,Utah (Pac-12),31,6-25,163,5.3
313,UTEP (C-USA),32,15-17,144,4.5
84,UTRGV (GWC),32,11-21,230,7.2
16,UTSA (Southland),32,18-14,272,8.5
109,Valparaiso (Horizon),34,22-12,229,6.7
15,Vanderbilt (SEC),36,25-11,307,8.5
67,VCU (CAA),36,29-7,267,7.4
248,Vermont (America East),36,24-12,191,5.3
170,Villanova (AAC),32,13-19,196,6.1
159,Virginia Tech (ACC),33,16-17,205,6.2
291,Virginia (ACC),32,22-10,155,4.8
13,VMI (Big South),33,17-16,283,8.6
120,Wagner (NEC),31,25-6,204,6.6
243,Wake Forest (ACC),31,13-18,166,5.4
165,Washington St. (Pac-12),37,19-18,228,6.2
162,Washington (Pac-12),35,24-11,217,6.2
7,Weber St. (Big Sky),32,25-7,285,8.9
253,West Virginia (AAC),33,19-14,174,5.3
62,Western Caro. (SoCon),35,17-18,263,7.5
253,Western Ill. (Summit League),33,18-15,174,5.3
216,Western Ky. (Sun Belt),35,16-19,195,5.6
180,Western Mich. (MAC),34,14-20,205,6
95,Wichita St. (MVC),33,27-6,230,7
105,William & Mary (CAA),32,6-26,218,6.8
288,Winthrop (Big South),32,12-20,157,4.9
35,Wisconsin (Big Ten),36,26-10,285,7.9
117,Wofford (SoCon),33,19-14,218,6.6
188,Wright St. (Horizon),32,13-19,189,5.9
183,Wyoming (Mountain West),33,21-12,197,6
289,Xavier (Atlantic 10),36,23-13,176,4.9
176,Yale (Ivy League),29,19-10,176,6.1
10,Youngstown St. (Horizon),31,16-15,270,8.7
