Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
141,Indiana (Big Ten),36,27-9,847,"1,988",42.6
261,Iona (MAAC),33,25-8,885,"1,962",45.1
204,Iowa St. (Big 12),34,23-11,864,"1,977",43.7
289,Iowa (Big Ten),35,18-17,910,"1,993",45.7
323,IUPUI (Summit League),32,14-18,835,"1,765",47.3
241,Jackson St. (SWAC),31,7-24,724,"1,624",44.6
177,Jacksonville St. (OVC),33,15-18,701,"1,624",43.2
311,Jacksonville (ASUN),30,8-22,719,"1,538",46.7
201,James Madison (CAA),32,12-20,765,"1,751",43.7
328,Kansas City (Summit League),31,10-21,784,"1,639",47.8
55,Kansas St. (Big 12),33,22-11,716,"1,750",40.9
3,Kansas (Big 12),39,32-7,826,"2,176",38
337,Kennesaw St. (ASUN),31,3-28,856,"1,713",50
137,Kent St. (MAC),33,21-12,789,"1,856",42.5
1,Kentucky (SEC),40,38-2,889,"2,379",37.4
105,La Salle (Atlantic 10),34,21-13,801,"1,919",41.7
313,Lafayette (Patriot),31,13-18,795,"1,697",46.8
125,Lamar University (Southland),35,23-12,838,"1,989",42.1
80,Lehigh (Patriot),35,27-8,808,"1,952",41.4
291,Liberty (Big South),32,14-18,838,"1,834",45.7
259,Lipscomb (ASUN),31,13-18,843,"1,873",45
120,Little Rock (Sun Belt),31,15-16,668,"1,590",42
255,LIU (NEC),34,25-9,"1,039","2,313",44.9
92,LMU (CA) (WCC),34,21-13,810,"1,953",41.5
122,Long Beach St. (Big West),34,25-9,804,"1,909",42.1
332,Longwood (Independent),31,10-21,962,"1,981",48.6
237,Louisiana Tech (WAC),34,18-16,828,"1,864",44.4
31,Louisiana (Sun Belt),32,16-16,741,"1,842",40.2
6,Louisville (AAC),40,30-10,857,"2,233",38.4
245,Loyola Chicago (Horizon),30,7-23,681,"1,526",44.6
159,Loyola Maryland (MAAC),33,24-9,739,"1,723",42.9
117,LSU (SEC),33,18-15,745,"1,775",42
81,Maine (America East),29,12-17,693,"1,674",41.4
57,Manhattan (MAAC),34,21-13,741,"1,811",40.9
297,Marist (MAAC),32,14-18,883,"1,913",46.2
32,Marquette (AAC),35,27-8,831,"2,065",40.2
256,Marshall (C-USA),35,21-14,859,"1,911",45
156,Maryland (ACC),32,17-15,808,"1,888",42.8
49,Massachusetts (Atlantic 10),37,25-12,920,"2,253",40.8
157,McNeese (Southland),33,17-16,762,"1,777",42.9
10,Memphis (C-USA),35,26-9,751,"1,945",38.6
12,Mercer (ASUN),38,27-11,805,"2,083",38.6
124,Miami (FL) (ACC),33,20-13,778,"1,847",42.1
260,Miami (OH) (MAC),30,9-21,688,"1,526",45.1
2,Michigan St. (Big Ten),37,29-8,751,"1,982",37.9
151,Michigan (Big Ten),34,24-10,756,"1,768",42.8
25,Middle Tenn. (Sun Belt),34,27-7,722,"1,820",39.7
114,Milwaukee (Horizon),34,20-14,761,"1,815",41.9
84,Minnesota (Big Ten),38,23-15,842,"2,033",41.4
185,Mississippi St. (SEC),33,21-12,855,"1,969",43.4
179,Mississippi Val. (SWAC),34,21-13,801,"1,851",43.3
45,Missouri St. (MVC),32,16-16,685,"1,684",40.7
238,Missouri (Big 12),35,30-5,869,"1,956",44.4
329,Monmouth (NEC),32,12-20,833,"1,737",48
288,Montana St. (Big Sky),29,12-17,712,"1,562",45.6
40,Montana (Big Sky),32,25-7,684,"1,688",40.5
232,Morehead St. (OVC),33,18-15,675,"1,521",44.4
146,Morgan St. (MEAC),29,9-20,699,"1,638",42.7
227,Mount St. Mary's (NEC),29,8-21,683,"1,544",44.2
104,Murray St. (OVC),33,31-2,730,"1,749",41.7
91,N.C. A&T (MEAC),32,12-20,795,"1,917",41.5
78,N.C. Central (MEAC),32,17-15,695,"1,680",41.4
321,Navy (Patriot),29,3-26,658,"1,393",47.2
97,NC State (ACC),37,24-13,889,"2,140",41.5
278,Nebraska (Big Ten),30,12-18,696,"1,533",45.4
73,Nevada (WAC),35,28-7,827,"2,004",41.3
108,New Hampshire (America East),29,13-16,633,"1,515",41.8
164,New Mexico St. (WAC),36,26-10,896,"2,085",43
7,New Mexico (Mountain West),35,28-7,731,"1,903",38.4
292,Niagara (MAAC),33,14-19,777,"1,700",45.7
325,Nicholls (Southland),30,10-20,811,"1,703",47.6
216,NIU (MAC),31,5-26,680,"1,547",44
101,NJIT (GWC),32,15-17,727,"1,743",41.7
70,Norfolk St. (MEAC),36,26-10,842,"2,044",41.2
23,North Carolina (ACC),38,32-6,957,"2,431",39.4
182,North Dakota St. (Summit League),31,17-14,726,"1,674",43.4
265,North Florida (ASUN),32,16-16,832,"1,842",45.2
44,North Texas (Sun Belt),32,18-14,739,"1,819",40.6
225,Northeastern (CAA),31,14-17,710,"1,608",44.2
335,Northern Ariz. (Big Sky),29,5-24,776,"1,573",49.3
276,Northern Colo. (Big Sky),28,9-19,698,"1,538",45.4
154,Northwestern St. (Southland),32,16-16,809,"1,891",42.8
266,Northwestern (Big Ten),33,19-14,825,"1,826",45.2
79,Notre Dame (AAC),34,22-12,791,"1,912",41.4
334,Oakland (Summit League),36,20-16,"1,031","2,113",48.8
47,Ohio St. (Big Ten),39,31-8,840,"2,062",40.7
69,Ohio (MAC),37,29-8,775,"1,882",41.2
149,Oklahoma St. (Big 12),33,15-18,800,"1,873",42.7
166,Oklahoma (Big 12),31,15-16,747,"1,738",43
30,Old Dominion (CAA),36,22-14,756,"1,882",40.2
37,Ole Miss (SEC),34,20-14,788,"1,948",40.5
315,Oral Roberts (Summit League),34,27-7,821,"1,752",46.9
285,Oregon St. (Pac-12),36,21-15,932,"2,047",45.5
209,Oregon (Pac-12),34,24-10,860,"1,962",43.8
190,Pacific (Big West),30,11-19,697,"1,603",43.5
181,Penn St. (Big Ten),32,12-20,667,"1,538",43.4
145,Penn (Ivy League),33,20-13,707,"1,657",42.7
153,Pepperdine (WCC),29,10-19,654,"1,529",42.8
220,Pittsburgh (AAC),39,22-17,915,"2,077",44.1
286,Portland St. (Big Sky),32,17-15,872,"1,915",45.5
300,Portland (WCC),31,7-24,801,"1,732",46.2
87,Prairie View (SWAC),32,14-18,722,"1,742",41.4
133,Princeton (Ivy League),32,20-12,731,"1,724",42.4
132,Providence (AAC),32,15-17,808,"1,908",42.3
310,Purdue Fort Wayne (Summit League),30,11-19,769,"1,647",46.7
226,Purdue (Big Ten),35,22-13,826,"1,870",44.2
52,Quinnipiac (NEC),32,18-14,723,"1,770",40.8
248,Radford (Big South),32,6-26,726,"1,622",44.8
324,Rhode Island (Atlantic 10),31,7-24,839,"1,766",47.5
56,Rice (C-USA),35,19-16,804,"1,965",40.9
218,Richmond (Atlantic 10),32,16-16,771,"1,752",44
197,Rider (MAAC),32,13-19,838,"1,923",43.6
163,Robert Morris (NEC),37,26-11,764,"1,778",43
119,Rutgers (AAC),32,14-18,689,"1,640",42
253,Sacramento St. (Big Sky),28,10-18,670,"1,492",44.9
230,Sacred Heart (NEC),32,14-18,816,"1,842",44.3
304,Saint Francis (PA) (NEC),29,6-23,726,"1,567",46.3
27,Saint Joseph's (Atlantic 10),34,20-14,835,"2,090",40
85,Saint Louis (Atlantic 10),34,26-8,691,"1,668",41.4
155,Saint Mary's (CA) (WCC),33,27-6,771,"1,802",42.8
235,Saint Peter's (MAAC),31,5-26,710,"1,599",44.4
53,Sam Houston (Southland),32,13-19,674,"1,650",40.8
173,Samford (SoCon),30,11-19,728,"1,689",43.1
39,San Diego St. (Mountain West),34,26-8,778,"1,921",40.5
267,San Diego (WCC),31,13-18,770,"1,704",45.2
301,San Francisco (WCC),34,20-14,857,"1,852",46.3
257,San Jose St. (WAC),31,9-22,806,"1,793",45
303,Santa Clara (WCC),30,8-22,742,"1,602",46.3
140,Savannah St. (MEAC),33,21-12,677,"1,589",42.6
72,Seton Hall (AAC),34,21-13,757,"1,836",41.2
51,SFA (Southland),32,20-12,609,"1,491",40.8
41,Siena (MAAC),31,14-17,743,"1,833",40.5
142,SMU (C-USA),32,13-19,666,"1,563",42.6
90,South Alabama (Sun Belt),29,17-12,692,"1,669",41.5
320,South Carolina St. (MEAC),31,5-26,879,"1,862",47.2
246,South Carolina (SEC),31,10-21,690,"1,546",44.6
251,South Dakota St. (Summit League),35,27-8,871,"1,942",44.9
11,South Fla. (AAC),36,22-14,721,"1,866",38.6
211,Southeast Mo. St. (OVC),31,15-16,746,"1,701",43.9
65,Southeastern La. (Southland),29,12-17,639,"1,556",41.1
188,Southern California (Pac-12),32,6-26,686,"1,579",43.4
314,Southern Ill. (MVC),31,8-23,706,"1,507",46.8
231,Southern Miss. (C-USA),34,25-9,766,"1,727",44.4
14,Southern U. (SWAC),31,17-14,672,"1,737",38.7
287,Southern Utah (Summit League),31,14-17,715,"1,570",45.5
103,St. Bonaventure (Atlantic 10),32,20-12,719,"1,723",41.7
213,St. Francis Brooklyn (NEC),30,15-15,711,"1,621",43.9
219,St. John's (NY) (AAC),32,13-19,830,"1,885",44
77,Stanford (Pac-12),37,26-11,821,"1,987",41.3
305,Stetson (ASUN),29,9-20,844,"1,821",46.3
113,Stony Brook (America East),32,22-10,677,"1,615",41.9
8,Syracuse (AAC),37,34-3,795,"2,064",38.5
327,TCU (Mountain West),33,18-15,842,"1,762",47.8
189,Temple (Atlantic 10),32,24-8,806,"1,855",43.5
223,Tennessee St. (OVC),33,20-13,765,"1,735",44.1
269,Tennessee Tech (OVC),33,19-14,819,"1,809",45.3
71,Tennessee (SEC),34,19-15,785,"1,905",41.2
58,Texas A&M (Big 12),32,14-18,672,"1,641",41
38,Texas Southern (SWAC),33,15-18,727,"1,797",40.5
244,Texas St. (Southland),30,13-17,776,"1,739",44.6
128,Texas Tech (Big 12),31,8-23,685,"1,620",42.3
98,Texas (Big 12),34,20-14,774,"1,862",41.6
322,The Citadel (SoCon),30,6-24,804,"1,701",47.3
136,Toledo (MAC),36,19-17,862,"2,028",42.5
224,Towson (CAA),32,1-31,773,"1,753",44.1
312,Troy (Sun Belt),28,10-18,763,"1,629",46.8
135,Tulane (C-USA),31,15-16,677,"1,594",42.5
110,Tulsa (C-USA),31,17-14,688,"1,644",41.8
76,UAB (C-USA),31,15-16,693,"1,678",41.3
306,UC Davis (Big West),31,5-26,827,"1,780",46.5
93,UC Irvine (Big West),32,12-20,786,"1,894",41.5
21,UC Riverside (Big West),31,14-17,658,"1,675",39.3
34,UC Santa Barbara (Big West),31,20-11,717,"1,780",40.3
123,UCF (C-USA),33,22-11,764,"1,814",42.1
100,UCLA (Pac-12),33,19-14,723,"1,734",41.7
9,UConn (AAC),34,20-14,785,"2,034",38.6
273,UIC (Horizon),30,8-22,710,"1,565",45.4
290,ULM (Sun Belt),29,3-26,714,"1,563",45.7
316,UMBC (America East),30,4-26,785,"1,673",46.9
214,UMES (MEAC),30,7-23,722,"1,646",43.9
233,UNC Asheville (Big South),34,24-10,865,"1,949",44.4
299,UNC Greensboro (SoCon),32,13-19,824,"1,784",46.2
207,UNCW (CAA),31,10-21,782,"1,787",43.8
215,UNI (MVC),34,20-14,772,"1,759",43.9
61,UNLV (Mountain West),35,26-9,817,"1,991",41
263,USC Upstate (ASUN),34,21-13,807,"1,788",45.1
62,UT Arlington (Southland),33,24-9,767,"1,869",41
338,UT Martin (OVC),31,4-27,849,"1,682",50.5
96,Utah St. (WAC),37,21-16,863,"2,078",41.5
82,Utah Valley (GWC),33,20-13,797,"1,925",41.4
317,Utah (Pac-12),31,6-25,780,"1,661",47
127,UTEP (C-USA),32,15-17,718,"1,702",42.2
243,UTRGV (GWC),32,11-21,795,"1,782",44.6
115,UTSA (Southland),32,18-14,759,"1,810",41.9
129,Valparaiso (Horizon),34,22-12,787,"1,860",42.3
111,Vanderbilt (SEC),36,25-11,861,"2,055",41.9
134,VCU (CAA),36,29-7,762,"1,796",42.4
42,Vermont (America East),36,24-12,783,"1,930",40.6
83,Villanova (AAC),32,13-19,781,"1,886",41.4
102,Virginia Tech (ACC),33,16-17,733,"1,757",41.7
28,Virginia (ACC),32,22-10,636,"1,589",40
331,VMI (Big South),33,17-16,979,"2,027",48.3
48,Wagner (NEC),31,25-6,649,"1,592",40.8
221,Wake Forest (ACC),31,13-18,791,"1,795",44.1
143,Washington St. (Pac-12),37,19-18,839,"1,969",42.6
126,Washington (Pac-12),35,24-11,866,"2,053",42.2
152,Weber St. (Big Sky),32,25-7,780,"1,824",42.8
252,West Virginia (AAC),33,19-14,815,"1,816",44.9
268,Western Caro. (SoCon),35,17-18,852,"1,883",45.2
212,Western Ill. (Summit League),33,18-15,707,"1,612",43.9
178,Western Ky. (Sun Belt),35,16-19,839,"1,940",43.2
139,Western Mich. (MAC),34,14-20,837,"1,965",42.6
19,Wichita St. (MVC),33,27-6,729,"1,856",39.3
270,William & Mary (CAA),32,6-26,799,"1,764",45.3
239,Winthrop (Big South),32,12-20,704,"1,583",44.5
15,Wisconsin (Big Ten),36,26-10,708,"1,819",38.9
196,Wofford (SoCon),33,19-14,752,"1,726",43.6
277,Wright St. (Horizon),32,13-19,659,"1,452",45.4
64,Wyoming (Mountain West),33,21-12,642,"1,564",41
29,Xavier (Atlantic 10),36,23-13,828,"2,063",40.1
107,Yale (Ivy League),29,19-10,676,"1,618",41.8
169,Youngstown St. (Horizon),31,16-15,739,"1,718",43
