Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
191,A&M-Corpus Christi (Southland),30,6-24,696,"1,600",43.5
60,Air Force (Mountain West),29,13-16,606,"1,479",41
118,Akron (MAC),34,22-12,809,"1,926",42
247,Alabama A&M (SWAC),28,7-21,668,"1,494",44.7
194,Alabama St. (SWAC),31,12-19,709,"1,628",43.6
16,Alabama (SEC),33,21-12,666,"1,711",38.9
296,Albany (NY) (America East),34,19-15,878,"1,910",46
170,Alcorn (SWAC),32,10-22,761,"1,769",43
67,American (Patriot),32,20-12,711,"1,729",41.1
195,App State (SoCon),31,13-18,777,"1,784",43.6
174,Arizona St. (Pac-12),31,10-21,701,"1,626",43.1
43,Arizona (Pac-12),35,23-12,799,"1,969",40.6
228,Ark.-Pine Bluff (SWAC),33,11-22,791,"1,787",44.3
274,Arkansas St. (Sun Belt),34,14-20,838,"1,847",45.4
184,Arkansas (SEC),32,18-14,793,"1,827",43.4
236,Army West Point (Patriot),30,12-18,736,"1,657",44.4
54,Auburn (SEC),31,15-16,675,"1,651",40.9
307,Austin Peay (OVC),32,12-20,839,"1,804",46.5
50,Ball St. (MAC),30,15-15,635,"1,555",40.8
106,Baylor (Big 12),38,30-8,883,"2,114",41.8
160,Belmont (ASUN),35,27-8,850,"1,981",42.9
302,Bethune-Cookman (MEAC),35,18-17,811,"1,752",46.3
319,Binghamton (America East),31,2-29,776,"1,645",47.2
283,Boise St. (Mountain West),30,13-17,687,"1,511",45.5
198,Boston College (ACC),31,9-22,775,"1,777",43.6
94,Boston U. (America East),32,16-16,724,"1,744",41.5
234,Bowling Green (MAC),32,16-16,735,"1,656",44.4
272,Bradley (MVC),32,7-25,821,"1,810",45.4
279,Brown (Ivy League),31,8-23,795,"1,751",45.4
26,Bucknell (Patriot),35,25-10,730,"1,840",39.7
22,Buffalo (MAC),31,20-11,728,"1,852",39.3
66,Butler (Horizon),37,22-15,754,"1,835",41.1
88,BYU (WCC),35,26-9,841,"2,029",41.4
205,Cal Poly (Big West),33,18-15,681,"1,557",43.7
203,Cal St. Fullerton (Big West),31,21-10,770,"1,762",43.7
95,California (Pac-12),34,24-10,786,"1,893",41.5
175,Campbell (Big South),32,17-15,796,"1,846",43.1
275,Canisius (MAAC),30,5-25,801,"1,765",45.4
336,Central Ark. (Southland),29,8-21,864,"1,750",49.4
271,Central Conn. St. (NEC),29,13-16,739,"1,630",45.3
168,Central Mich. (MAC),32,11-21,702,"1,632",43
309,Charleston So. (Big South),31,19-12,809,"1,735",46.6
148,Charlotte (Atlantic 10),30,13-17,723,"1,693",42.7
46,Chattanooga (SoCon),32,11-21,771,"1,895",40.7
264,Chicago St. (GWC),30,4-26,781,"1,730",45.1
68,Cincinnati (AAC),37,26-11,849,"2,063",41.2
172,Clemson (ACC),31,16-15,683,"1,585",43.1
86,Cleveland St. (Horizon),33,22-11,648,"1,564",41.4
33,Coastal Carolina (Big South),31,19-12,707,"1,756",40.3
116,Col. of Charleston (SoCon),31,19-12,793,"1,890",42
282,Colgate (Patriot),30,8-22,772,"1,699",45.4
192,Colorado St. (Mountain West),32,20-12,738,"1,696",43.5
36,Colorado (Pac-12),36,24-12,812,"2,009",40.4
99,Columbia (Ivy League),30,15-15,651,"1,564",41.6
281,Coppin St. (MEAC),30,14-16,838,"1,845",45.4
109,Cornell (Ivy League),28,12-16,633,"1,514",41.8
222,Creighton (MVC),35,29-6,903,"2,049",44.1
308,CSU Bakersfield (Independent),31,16-15,711,"1,527",46.6
298,CSUN (Big West),28,7-21,683,"1,479",46.2
131,Dartmouth (Ivy League),30,5-25,649,"1,533",42.3
147,Davidson (SoCon),33,25-8,781,"1,830",42.7
250,Dayton (Atlantic 10),33,20-13,801,"1,786",44.8
171,Delaware St. (MEAC),29,15-14,675,"1,568",43
20,Delaware (CAA),32,18-14,777,"1,978",39.3
200,Denver (Sun Belt),31,22-9,649,"1,486",43.7
330,DePaul (AAC),31,12-19,868,"1,802",48.2
217,Detroit Mercy (Horizon),36,22-14,842,"1,915",44
165,Drake (MVC),34,18-16,771,"1,794",43
17,Drexel (CAA),36,29-7,704,"1,794",39.2
180,Duke (ACC),34,27-7,864,"1,996",43.3
295,Duquesne (Atlantic 10),31,16-15,810,"1,768",45.8
186,East Carolina (C-USA),31,15-16,733,"1,688",43.4
280,Eastern Ill. (OVC),29,12-17,714,"1,572",45.4
294,Eastern Ky. (OVC),32,16-16,741,"1,619",45.8
74,Eastern Mich. (MAC),32,14-18,642,"1,555",41.3
242,Eastern Wash. (Big Sky),32,15-17,721,"1,617",44.6
138,Elon (SoCon),31,15-16,804,"1,889",42.6
202,ETSU (ASUN),31,17-14,703,"1,609",43.7
333,Evansville (MVC),32,16-16,807,"1,660",48.6
63,Fairfield (MAAC),37,22-15,784,"1,910",41
187,Fairleigh Dickinson (NEC),29,3-26,718,"1,653",43.4
176,FGCU (ASUN),32,15-17,794,"1,840",43.2
206,FIU (Sun Belt),29,8-21,654,"1,495",43.7
229,Fla. Atlantic (Sun Belt),30,11-19,706,"1,594",44.3
240,Florida A&M (MEAC),33,10-23,846,"1,902",44.5
5,Florida St. (ACC),35,25-10,749,"1,965",38.1
130,Florida (SEC),37,26-11,875,"2,067",42.3
144,Fordham (Atlantic 10),29,10-19,718,"1,685",42.6
249,Fresno St. (WAC),33,13-20,746,"1,666",44.8
183,Furman (SoCon),31,15-16,711,"1,639",43.4
284,Ga. Southern (SoCon),30,15-15,722,"1,587",45.5
208,Gardner-Webb (Big South),32,12-20,751,"1,716",43.8
18,George Mason (CAA),33,24-9,732,"1,864",39.3
254,George Washington (Atlantic 10),31,10-21,733,"1,632",44.9
13,Georgetown (AAC),33,24-9,683,"1,766",38.7
4,Georgia St. (CAA),34,22-12,702,"1,847",38
35,Georgia Tech (ACC),31,11-20,669,"1,658",40.3
112,Georgia (SEC),32,15-17,681,"1,625",41.9
75,Gonzaga (WCC),33,26-7,771,"1,867",41.3
262,Grambling (SWAC),28,4-24,746,"1,653",45.1
150,Green Bay (Horizon),30,15-15,708,"1,657",42.7
24,Hampton (MEAC),33,12-21,739,"1,869",39.5
258,Hartford (America East),31,9-22,711,"1,581",45
59,Harvard (Ivy League),31,26-5,637,"1,555",41
158,Hawaii (WAC),32,16-16,838,"1,954",42.9
193,High Point (Big South),31,13-18,747,"1,716",43.5
293,Hofstra (CAA),32,10-22,755,"1,651",45.7
121,Holy Cross (Patriot),29,15-14,697,"1,657",42.1
318,Houston Baptist (GWC),30,10-20,813,"1,729",47
210,Houston (C-USA),30,15-15,793,"1,809",43.8
199,Howard (MEAC),31,10-21,703,"1,611",43.6
326,Idaho St. (Big Sky),30,9-21,739,"1,548",47.7
162,Idaho (WAC),33,19-14,807,"1,880",42.9
89,Illinois St. (MVC),35,21-14,817,"1,971",41.5
161,Illinois (Big Ten),32,17-15,712,"1,659",42.9
167,Indiana St. (MVC),33,18-15,758,"1,763",43
