Rank,Team,GM,W-L,3FG,3FGA,3FG%
176,Fla. Atlantic (Sun Belt),30,11-19,208,613,33.9
235,Florida A&M (MEAC),33,10-23,183,569,32.2
115,Florida St. (ACC),35,25-10,216,611,35.4
31,Florida (SEC),37,26-11,357,939,38
253,Fresno St. (WAC),33,13-20,194,617,31.4
187,Furman (SoCon),31,15-16,210,623,33.7
125,Ga. Southern (SoCon),30,15-15,163,464,35.1
261,Gardner-Webb (Big South),32,12-20,191,614,31.1
141,Georgetown (AAC),33,24-9,186,536,34.7
250,Georgia St. (CAA),34,22-12,178,562,31.7
259,Georgia Tech (ACC),31,11-20,158,507,31.2
258,Georgia (SEC),32,15-17,202,648,31.2
33,Gonzaga (WCC),33,26-7,215,567,37.9
95,Green Bay (Horizon),30,15-15,165,461,35.8
278,Hampton (MEAC),33,12-21,183,639,28.6
263,Hartford (America East),31,9-22,228,736,31
100,Harvard (Ivy League),31,26-5,185,518,35.7
234,Hawaii (WAC),32,16-16,162,501,32.3
6,High Point (Big South),31,13-18,263,656,40.1
175,Holy Cross (Patriot),29,15-14,166,489,33.9
242,Houston Baptist (GWC),30,10-20,153,479,31.9
116,Houston (C-USA),30,15-15,164,464,35.3
158,Idaho St. (Big Sky),30,9-21,193,562,34.3
16,Idaho (WAC),33,19-14,215,549,39.2
32,Illinois St. (MVC),35,21-14,297,783,37.9
272,Illinois (Big Ten),32,17-15,186,611,30.4
165,Indiana St. (MVC),33,18-15,201,588,34.2
2,Indiana (Big Ten),36,27-9,229,531,43.1
21,Iona (MAAC),33,25-8,254,656,38.7
53,Iowa St. (Big 12),34,23-11,293,786,37.3
52,Iowa (Big Ten),35,18-17,201,539,37.3
113,IUPUI (Summit League),32,14-18,186,525,35.4
245,Jacksonville (ASUN),30,8-22,151,474,31.9
68,James Madison (CAA),32,12-20,248,676,36.7
41,Kansas City (Summit League),31,10-21,256,679,37.7
194,Kansas St. (Big 12),33,22-11,183,546,33.5
149,Kansas (Big 12),39,32-7,222,643,34.5
167,Kennesaw St. (ASUN),31,3-28,206,604,34.1
147,Kent St. (MAC),33,21-12,200,579,34.5
37,Kentucky (SEC),40,38-2,225,595,37.8
4,La Salle (Atlantic 10),34,21-13,265,653,40.6
24,Lafayette (Patriot),31,13-18,283,735,38.5
131,Lehigh (Patriot),35,27-8,254,726,35
63,Lipscomb (ASUN),31,13-18,235,637,36.9
223,Little Rock (Sun Belt),31,15-16,161,492,32.7
55,LIU (NEC),34,25-9,225,606,37.1
143,LMU (CA) (WCC),34,21-13,221,639,34.6
99,Long Beach St. (Big West),34,25-9,221,618,35.8
134,Longwood (Independent),31,10-21,265,759,34.9
209,Louisiana Tech (WAC),34,18-16,258,777,33.2
221,Louisiana (Sun Belt),32,16-16,172,525,32.8
246,Louisville (AAC),40,30-10,233,733,31.8
224,LSU (SEC),33,18-15,173,530,32.6
229,Maine (America East),29,12-17,169,519,32.6
86,Manhattan (MAAC),34,21-13,244,676,36.1
104,Marist (MAAC),32,14-18,203,569,35.7
186,Marquette (AAC),35,27-8,201,596,33.7
255,Marshall (C-USA),35,21-14,203,649,31.3
178,Maryland (ACC),32,17-15,173,510,33.9
136,Massachusetts (Atlantic 10),37,25-12,288,825,34.9
238,McNeese (Southland),33,17-16,173,539,32.1
83,Memphis (C-USA),35,26-9,185,511,36.2
85,Mercer (ASUN),38,27-11,264,730,36.2
130,Miami (FL) (ACC),33,20-13,250,714,35
109,Miami (OH) (MAC),30,9-21,220,619,35.5
89,Michigan St. (Big Ten),37,29-8,200,555,36
129,Michigan (Big Ten),34,24-10,276,788,35
146,Milwaukee (Horizon),34,20-14,264,764,34.6
107,Minnesota (Big Ten),38,23-15,203,571,35.6
103,Mississippi St. (SEC),33,21-12,233,653,35.7
232,Mississippi Val. (SWAC),34,21-13,252,777,32.4
181,Missouri St. (MVC),32,16-16,186,549,33.9
9,Missouri (Big 12),35,30-5,293,737,39.8
204,Monmouth (NEC),32,12-20,194,583,33.3
127,Montana St. (Big Sky),29,12-17,198,565,35
54,Montana (Big Sky),32,25-7,195,524,37.2
92,Morehead St. (OVC),33,18-15,215,599,35.9
265,Morgan St. (MEAC),29,9-20,145,472,30.7
249,Mount St. Mary's (NEC),29,8-21,159,502,31.7
11,Murray St. (OVC),33,31-2,239,604,39.6
190,N.C. A&T (MEAC),32,12-20,224,667,33.6
105,N.C. Central (MEAC),32,17-15,192,539,35.6
279,Navy (Patriot),29,3-26,157,559,28.1
108,NC State (ACC),37,24-13,198,557,35.5
233,Nebraska (Big Ten),30,12-18,194,599,32.4
66,Nevada (WAC),35,28-7,236,642,36.8
155,New Hampshire (America East),29,13-16,212,617,34.4
39,New Mexico (Mountain West),35,28-7,264,699,37.8
228,Niagara (MAAC),33,14-19,249,763,32.6
247,Nicholls (Southland),30,10-20,198,625,31.7
121,NJIT (GWC),32,15-17,258,732,35.2
257,Norfolk St. (MEAC),36,26-10,198,635,31.2
197,North Carolina (ACC),38,32-6,194,580,33.4
44,North Dakota St. (Summit League),31,17-14,199,531,37.5
94,North Florida (ASUN),32,16-16,201,561,35.8
138,Northeastern (CAA),31,14-17,169,485,34.8
226,Northern Ariz. (Big Sky),29,5-24,157,481,32.6
1,Northern Colo. (Big Sky),28,9-19,199,448,44.4
248,Northern Ill. (MAC),31,5-26,185,584,31.7
264,Northwestern St. (Southland),32,16-16,193,625,30.9
23,Northwestern (Big Ten),33,19-14,297,771,38.5
207,Notre Dame (AAC),34,22-12,221,665,33.2
45,Oakland (Summit League),36,20-16,335,895,37.4
199,Ohio St. (Big Ten),39,31-8,199,596,33.4
153,Ohio (MAC),37,29-8,278,809,34.4
202,Oklahoma St. (Big 12),33,15-18,211,633,33.3
240,Old Dominion (CAA),36,22-14,207,647,32
90,Oral Roberts (Summit League),34,27-7,182,507,35.9
93,Oregon St. (Pac-12),36,21-15,221,616,35.9
47,Oregon (Pac-12),34,24-10,246,658,37.4
239,Pacific (Big West),30,11-19,200,624,32.1
262,Penn St. (Big Ten),32,12-20,201,647,31.1
48,Penn (Ivy League),33,20-13,238,637,37.4
133,Pittsburgh (AAC),39,22-17,247,707,34.9
139,Portland St. (Big Sky),32,17-15,185,531,34.8
241,Portland (WCC),31,7-24,162,507,32
256,Prairie View (SWAC),32,14-18,166,532,31.2
43,Princeton (Ivy League),32,20-12,236,628,37.6
212,Purdue Fort Wayne (Summit League),30,11-19,164,497,33
40,Purdue (Big Ten),35,22-13,284,753,37.7
267,Radford (Big South),32,6-26,202,659,30.7
280,Rhode Island (Atlantic 10),31,7-24,165,593,27.8
169,Rice (C-USA),35,19-16,195,572,34.1
98,Richmond (Atlantic 10),32,16-16,250,699,35.8
42,Rider (MAAC),32,13-19,246,653,37.7
123,Robert Morris (NEC),37,26-11,240,682,35.2
193,Rutgers (AAC),32,14-18,169,504,33.5
177,Sacramento St. (Big Sky),28,10-18,152,448,33.9
62,Sacred Heart (NEC),32,14-18,207,561,36.9
79,Saint Joseph's (Atlantic 10),34,20-14,226,622,36.3
90,Saint Louis (Atlantic 10),34,26-8,238,663,35.9
154,Saint Mary's (CA) (WCC),33,27-6,245,713,34.4
198,Samford (SoCon),30,11-19,247,739,33.4
170,San Diego St. (Mountain West),34,26-8,197,578,34.1
80,San Diego (WCC),31,13-18,199,548,36.3
126,San Francisco (WCC),34,20-14,239,681,35.1
211,San Jose St. (WAC),31,9-22,232,701,33.1
78,Santa Clara (WCC),30,8-22,239,657,36.4
220,Savannah St. (MEAC),33,21-12,192,586,32.8
118,Seton Hall (AAC),34,21-13,236,668,35.3
172,SMU (C-USA),32,13-19,248,728,34.1
227,South Carolina (SEC),31,10-21,204,625,32.6
19,South Dakota St. (Summit League),35,27-8,284,728,39
60,Southeast Mo. St. (OVC),31,15-16,181,490,36.9
97,Southern Miss. (C-USA),34,25-9,215,601,35.8
150,St. Bonaventure (Atlantic 10),32,20-12,174,504,34.5
106,St. Francis Brooklyn (NEC),30,15-15,239,672,35.6
34,Stanford (Pac-12),37,26-11,252,665,37.9
159,Stetson (ASUN),29,9-20,229,667,34.3
214,Stony Brook (America East),32,22-10,199,604,32.9
137,Syracuse (AAC),37,34-3,233,668,34.9
96,TCU (Mountain West),33,18-15,239,668,35.8
10,Temple (Atlantic 10),32,24-8,228,574,39.7
144,Tennessee St. (OVC),33,20-13,203,587,34.6
128,Tennessee Tech (OVC),33,19-14,179,511,35
119,Tennessee (SEC),34,19-15,229,649,35.3
213,Texas A&M (Big 12),32,14-18,162,491,33
216,Texas Southern (SWAC),33,15-18,183,556,32.9
87,Texas St. (Southland),30,13-17,245,679,36.1
219,Texas (Big 12),34,20-14,197,601,32.8
202,The Citadel (SoCon),30,6-24,162,486,33.3
64,Toledo (MAC),36,19-17,217,590,36.8
148,Troy (Sun Belt),28,10-18,250,724,34.5
188,Tulane (C-USA),31,15-16,184,546,33.7
26,Tulsa (C-USA),31,17-14,178,463,38.4
151,UAB (C-USA),31,15-16,179,520,34.4
61,UC Davis (Big West),31,5-26,240,650,36.9
100,UC Irvine (Big West),32,12-20,250,700,35.7
28,UC Santa Barbara (Big West),31,20-11,227,593,38.3
274,UCF (C-USA),33,22-11,178,592,30.1
51,UCLA (Pac-12),33,19-14,169,453,37.3
208,UConn (AAC),34,20-14,185,557,33.2
230,UIC (Horizon),30,8-22,193,593,32.5
74,ULM (Sun Belt),29,3-26,188,516,36.4
276,UMBC (America East),30,4-26,152,512,29.7
281,UMES (MEAC),30,7-23,154,555,27.7
112,UNC Asheville (Big South),34,24-10,223,629,35.5
182,UNC Greensboro (SoCon),32,13-19,222,656,33.8
224,UNCW (CAA),31,10-21,173,530,32.6
22,UNI (MVC),34,20-14,267,691,38.6
75,UNLV (Mountain West),35,26-9,291,799,36.4
189,USC Upstate (ASUN),34,21-13,207,615,33.7
114,UT Arlington (Southland),33,24-9,229,647,35.4
67,Utah St. (WAC),37,21-16,208,566,36.7
251,Utah Valley (GWC),33,20-13,189,599,31.6
268,Utah (Pac-12),31,6-25,163,532,30.6
73,UTRGV (GWC),32,11-21,230,631,36.5
13,UTSA (Southland),32,18-14,272,690,39.4
174,Valparaiso (Horizon),34,22-12,229,673,34
20,Vanderbilt (SEC),36,25-11,307,792,38.8
201,VCU (CAA),36,29-7,267,800,33.4
173,Vermont (America East),36,24-12,191,561,34
252,Villanova (AAC),32,13-19,196,622,31.5
71,Virginia Tech (ACC),33,16-17,205,562,36.5
243,VMI (Big South),33,17-16,283,888,31.9
88,Wagner (NEC),31,25-6,204,566,36
205,Wake Forest (ACC),31,13-18,166,499,33.3
69,Washington St. (Pac-12),37,19-18,228,623,36.6
161,Washington (Pac-12),35,24-11,217,633,34.3
17,Weber St. (Big Sky),32,25-7,285,728,39.1
275,West Virginia (AAC),33,19-14,174,583,29.8
124,Western Caro. (SoCon),35,17-18,263,748,35.2
12,Western Ill. (Summit League),33,18-15,174,441,39.5
271,Western Ky. (Sun Belt),35,16-19,195,638,30.6
183,Western Mich. (MAC),34,14-20,205,606,33.8
56,Wichita St. (MVC),33,27-6,230,620,37.1
237,William & Mary (CAA),32,6-26,218,679,32.1
65,Wisconsin (Big Ten),36,26-10,285,775,36.8
218,Wofford (SoCon),33,19-14,218,665,32.8
152,Wright St. (Horizon),32,13-19,189,550,34.4
222,Wyoming (Mountain West),33,21-12,197,602,32.7
145,Yale (Ivy League),29,19-10,176,509,34.6
29,Youngstown St. (Horizon),31,16-15,270,708,38.1
