Rank,Team,GM,W-L,3FG,3FGA,3FG%
185,Air Force (Mountain West),29,13-16,192,569,33.7
58,Akron (MAC),34,22-12,207,559,37
254,Alabama A&M (SWAC),28,7-21,147,469,31.3
270,Alabama St. (SWAC),31,12-19,190,621,30.6
77,Albany (NY) (America East),34,19-15,245,673,36.4
14,American (Patriot),32,20-12,227,576,39.4
157,App State (SoCon),31,13-18,203,591,34.3
76,Arizona St. (Pac-12),31,10-21,181,497,36.4
38,Arizona (Pac-12),35,23-12,258,683,37.8
59,Arkansas St. (Sun Belt),34,14-20,176,476,37
116,Arkansas (SEC),32,18-14,205,580,35.3
110,Army West Point (Patriot),30,12-18,238,671,35.5
273,Auburn (SEC),31,15-16,156,517,30.2
217,Ball St. (MAC),30,15-15,191,581,32.9
27,Baylor (Big 12),38,30-8,259,676,38.3
36,Belmont (ASUN),35,27-8,309,817,37.8
168,Bethune-Cookman (MEAC),35,18-17,178,522,34.1
163,Boise St. (Mountain West),30,13-17,227,664,34.2
180,Boston College (ACC),31,9-22,225,664,33.9
244,Boston U. (America East),32,16-16,202,634,31.9
84,Brown (Ivy League),31,8-23,234,647,36.2
15,Bucknell (Patriot),35,25-10,206,526,39.2
120,Buffalo (MAC),31,20-11,212,601,35.3
160,BYU (WCC),35,26-9,233,679,34.3
122,Cal Poly (Big West),33,18-15,226,642,35.2
5,Cal St. Fullerton (Big West),31,21-10,266,658,40.4
46,Campbell (Big South),32,17-15,169,452,37.4
215,Canisius (MAAC),30,5-25,191,580,32.9
269,Central Ark. (Southland),29,8-21,150,490,30.6
156,Central Conn. St. (NEC),29,13-16,180,524,34.4
200,Central Mich. (MAC),32,11-21,203,608,33.4
30,Charleston So. (Big South),31,19-12,259,681,38
231,Charlotte (Atlantic 10),30,13-17,192,590,32.5
210,Chattanooga (SoCon),32,11-21,240,723,33.2
277,Chicago St. (GWC),30,4-26,155,526,29.5
171,Cincinnati (AAC),37,26-11,260,763,34.1
236,Clemson (ACC),31,16-15,171,532,32.1
82,Cleveland St. (Horizon),33,22-11,217,599,36.2
184,Col. of Charleston (SoCon),31,19-12,245,725,33.8
25,Colgate (Patriot),30,8-22,198,515,38.4
7,Colorado St. (Mountain West),32,20-12,189,473,40
140,Colorado (Pac-12),36,24-12,199,572,34.8
50,Columbia (Ivy League),30,15-15,211,565,37.3
70,Coppin St. (MEAC),30,14-16,289,792,36.5
166,Cornell (Ivy League),28,12-16,217,636,34.1
3,Creighton (MVC),35,29-6,287,677,42.4
72,CSU Bakersfield (Independent),31,16-15,198,543,36.5
266,CSUN (Big West),28,7-21,170,554,30.7
206,Dartmouth (Ivy League),30,5-25,154,463,33.3
192,Davidson (SoCon),33,25-8,255,760,33.6
162,Dayton (Atlantic 10),33,20-13,257,750,34.3
132,Delaware St. (MEAC),29,15-14,180,515,35
260,Delaware (CAA),32,18-14,169,543,31.1
8,Denver (Sun Belt),31,22-9,255,640,39.8
196,DePaul (AAC),31,12-19,224,669,33.5
81,Drake (MVC),34,18-16,212,585,36.2
35,Drexel (CAA),36,29-7,221,584,37.8
57,Duke (ACC),34,27-7,274,739,37.1
195,Duquesne (Atlantic 10),31,16-15,199,594,33.5
135,East Carolina (C-USA),31,15-16,236,676,34.9
164,Eastern Ill. (OVC),29,12-17,147,430,34.2
179,Eastern Ky. (OVC),32,16-16,231,681,33.9
102,Eastern Wash. (Big Sky),32,15-17,283,793,35.7
110,Elon (SoCon),31,15-16,238,671,35.5
18,Evansville (MVC),32,16-16,177,453,39.1
142,Fairfield (MAAC),37,22-15,229,662,34.6
49,FGCU (ASUN),32,15-17,251,672,37.4
191,FIU (Sun Belt),29,8-21,150,447,33.6
