Rank,Team,GM,W-L,BLKS,BKPG
123,A&M-Corpus Christi (Southland),30,6-24,111,3.7
199,Air Force (Mountain West),29,13-16,90,3.1
79,Akron (MAC),34,22-12,141,4.1
67,Alabama A&M (SWAC),28,7-21,119,4.3
203,Alabama St. (SWAC),31,12-19,95,3.1
78,Alabama (SEC),33,21-12,137,4.2
233,Albany (NY) (America East),34,19-15,95,2.8
176,Alcorn (SWAC),32,10-22,104,3.3
228,American (Patriot),32,20-12,91,2.8
88,App State (SoCon),31,13-18,125,4
94,Arizona St. (Pac-12),31,10-21,123,4
146,Arizona (Pac-12),35,23-12,122,3.5
89,Ark.-Pine Bluff (SWAC),33,11-22,132,4
292,Arkansas St. (Sun Belt),34,14-20,78,2.3
20,Arkansas (SEC),32,18-14,160,5
324,Army West Point (Patriot),30,12-18,54,1.8
32,Auburn (SEC),31,15-16,149,4.8
132,Austin Peay (OVC),32,12-20,115,3.6
253,Ball St. (MAC),30,15-15,79,2.6
42,Baylor (Big 12),38,30-8,178,4.7
300,Belmont (ASUN),35,27-8,78,2.2
243,Bethune-Cookman (MEAC),35,18-17,95,2.7
305,Binghamton (America East),31,2-29,67,2.2
316,Boise St. (Mountain West),30,13-17,56,1.9
225,Boston College (ACC),31,9-22,89,2.9
204,Boston U. (America East),32,16-16,98,3.1
182,Bowling Green (MAC),32,16-16,103,3.2
201,Bradley (MVC),32,7-25,99,3.1
263,Brown (Ivy League),31,8-23,79,2.5
186,Bucknell (Patriot),35,25-10,112,3.2
18,Buffalo (MAC),31,20-11,158,5.1
166,Butler (Horizon),37,22-15,123,3.3
56,BYU (WCC),35,26-9,154,4.4
333,Cal Poly (Big West),33,18-15,51,1.5
244,Cal St. Fullerton (Big West),31,21-10,84,2.7
198,California (Pac-12),34,24-10,106,3.1
15,Campbell (Big South),32,17-15,167,5.2
264,Canisius (MAAC),30,5-25,76,2.5
191,Central Ark. (Southland),29,8-21,92,3.2
138,Central Conn. St. (NEC),29,13-16,103,3.6
173,Central Mich. (MAC),32,11-21,105,3.3
251,Charleston So. (Big South),31,19-12,82,2.6
230,Charlotte (Atlantic 10),30,13-17,85,2.8
338,Chattanooga (SoCon),32,11-21,36,1.1
171,Chicago St. (GWC),30,4-26,99,3.3
44,Cincinnati (AAC),37,26-11,170,4.6
112,Clemson (ACC),31,16-15,117,3.8
165,Cleveland St. (Horizon),33,22-11,110,3.3
104,Coastal Carolina (Big South),31,19-12,120,3.9
121,Col. of Charleston (SoCon),31,19-12,115,3.7
296,Colgate (Patriot),30,8-22,68,2.3
315,Colorado St. (Mountain West),32,20-12,60,1.9
176,Colorado (Pac-12),36,24-12,117,3.3
287,Columbia (Ivy League),30,15-15,70,2.3
327,Coppin St. (MEAC),30,14-16,53,1.8
214,Cornell (Ivy League),28,12-16,84,3
286,Creighton (MVC),35,29-6,82,2.3
156,CSU Bakersfield (Independent),31,16-15,105,3.4
277,CSUN (Big West),28,7-21,67,2.4
269,Dartmouth (Ivy League),30,5-25,73,2.4
142,Davidson (SoCon),33,25-8,116,3.5
246,Dayton (Atlantic 10),33,20-13,89,2.7
5,Delaware St. (MEAC),29,15-14,192,6.6
20,Delaware (CAA),32,18-14,160,5
53,Denver (Sun Belt),31,22-9,137,4.4
84,DePaul (AAC),31,12-19,126,4.1
45,Detroit Mercy (Horizon),36,22-14,165,4.6
212,Drake (MVC),34,18-16,103,3
174,Drexel (CAA),36,29-7,118,3.3
89,Duke (ACC),34,27-7,136,4
130,Duquesne (Atlantic 10),31,16-15,113,3.6
70,East Carolina (C-USA),31,15-16,131,4.2
290,Eastern Ill. (OVC),29,12-17,67,2.3
321,Eastern Ky. (OVC),32,16-16,59,1.8
204,Eastern Mich. (MAC),32,14-18,98,3.1
136,Eastern Wash. (Big Sky),32,15-17,114,3.6
247,Elon (SoCon),31,15-16,83,2.7
218,ETSU (ASUN),31,17-14,91,2.9
329,Evansville (MVC),32,16-16,54,1.7
83,Fairfield (MAAC),37,22-15,151,4.1
109,Fairleigh Dickinson (NEC),29,3-26,110,3.8
99,FGCU (ASUN),32,15-17,125,3.9
109,FIU (Sun Belt),29,8-21,110,3.8
66,Fla. Atlantic (Sun Belt),30,11-19,128,4.3
58,Florida A&M (MEAC),33,10-23,145,4.4
7,Florida St. (ACC),35,25-10,213,6.1
163,Florida (SEC),37,26-11,124,3.4
10,Fordham (Atlantic 10),29,10-19,163,5.6
197,Fresno St. (WAC),33,13-20,103,3.1
159,Furman (SoCon),31,15-16,104,3.4
291,Ga. Southern (SoCon),30,15-15,69,2.3
254,Gardner-Webb (Big South),32,12-20,84,2.6
24,George Mason (CAA),33,24-9,163,4.9
121,George Washington (Atlantic 10),31,10-21,115,3.7
38,Georgetown (AAC),33,24-9,156,4.7
12,Georgia St. (CAA),34,22-12,183,5.4
26,Georgia Tech (ACC),31,11-20,152,4.9
124,Georgia (SEC),32,15-17,118,3.7
190,Gonzaga (WCC),33,26-7,105,3.2
116,Grambling (SWAC),28,4-24,105,3.8
37,Green Bay (Horizon),30,15-15,142,4.7
29,Hampton (MEAC),33,12-21,160,4.8
311,Hartford (America East),31,9-22,64,2.1
53,Harvard (Ivy League),31,26-5,137,4.4
176,Hawaii (WAC),32,16-16,104,3.3
229,High Point (Big South),31,13-18,88,2.8
254,Hofstra (CAA),32,10-22,84,2.6
52,Holy Cross (Patriot),29,15-14,129,4.4
328,Houston Baptist (GWC),30,10-20,51,1.7
23,Houston (C-USA),30,15-15,149,5
208,Howard (MEAC),31,10-21,94,3
296,Idaho St. (Big Sky),30,9-21,68,2.3
82,Idaho (WAC),33,19-14,135,4.1
158,Illinois St. (MVC),35,21-14,118,3.4
80,Illinois (Big Ten),32,17-15,132,4.1
193,Indiana St. (MVC),33,18-15,104,3.2
188,Indiana (Big Ten),36,27-9,115,3.2
306,Iona (MAAC),33,25-8,71,2.2
231,Iowa St. (Big 12),34,23-11,96,2.8
154,Iowa (Big Ten),35,18-17,119,3.4
214,IUPUI (Summit League),32,14-18,96,3
168,Jackson St. (SWAC),31,7-24,103,3.3
111,Jacksonville St. (OVC),33,15-18,125,3.8
144,Jacksonville (ASUN),30,8-22,105,3.5
257,James Madison (CAA),32,12-20,83,2.6
279,Kansas City (Summit League),31,10-21,74,2.4
38,Kansas St. (Big 12),33,22-11,156,4.7
9,Kansas (Big 12),39,32-7,222,5.7
322,Kennesaw St. (ASUN),31,3-28,57,1.8
101,Kent St. (MAC),33,21-12,128,3.9
1,Kentucky (SEC),40,38-2,344,8.6
161,La Salle (Atlantic 10),34,21-13,114,3.4
259,Lafayette (Patriot),31,13-18,80,2.6
56,Lamar University (Southland),35,23-12,154,4.4
213,Lehigh (Patriot),35,27-8,106,3
274,Liberty (Big South),32,14-18,77,2.4
247,Lipscomb (ASUN),31,13-18,83,2.7
208,Little Rock (Sun Belt),31,15-16,94,3
167,LIU (NEC),34,25-9,113,3.3
214,LMU (CA) (WCC),34,21-13,102,3
245,Long Beach St. (Big West),34,25-9,92,2.7
303,Longwood (Independent),31,10-21,68,2.2
126,Louisiana Tech (WAC),34,18-16,125,3.7
41,Louisiana (Sun Belt),32,16-16,150,4.7
31,Louisville (AAC),40,30-10,193,4.8
335,Loyola Chicago (Horizon),30,7-23,42,1.4
51,Loyola Maryland (MAAC),33,24-9,147,4.5
101,LSU (SEC),33,18-15,128,3.9
62,Maine (America East),29,12-17,125,4.3
22,Manhattan (MAAC),34,21-13,169,5
60,Marist (MAAC),32,14-18,140,4.4
146,Marquette (AAC),35,27-8,122,3.5
113,Marshall (C-USA),35,21-14,132,3.8
61,Maryland (ACC),32,17-15,139,4.3
35,Massachusetts (Atlantic 10),37,25-12,176,4.8
131,McNeese (Southland),33,17-16,120,3.6
11,Memphis (C-USA),35,26-9,196,5.6
36,Mercer (ASUN),38,27-11,180,4.7
135,Miami (FL) (ACC),33,20-13,118,3.6
276,Miami (OH) (MAC),30,9-21,72,2.4
68,Michigan St. (Big Ten),37,29-8,157,4.2
308,Michigan (Big Ten),34,24-10,72,2.1
55,Middle Tenn. (Sun Belt),34,27-7,150,4.4
261,Milwaukee (Horizon),34,20-14,87,2.6
27,Minnesota (Big Ten),38,23-15,186,4.9
142,Mississippi St. (SEC),33,21-12,116,3.5
261,Mississippi Val. (SWAC),34,21-13,87,2.6
312,Missouri St. (MVC),32,16-16,66,2.1
236,Missouri (Big 12),35,30-5,97,2.8
334,Monmouth (NEC),32,12-20,49,1.5
119,Montana St. (Big Sky),29,12-17,108,3.7
132,Montana (Big Sky),32,25-7,115,3.6
336,Morehead St. (OVC),33,18-15,42,1.3
50,Morgan St. (MEAC),29,9-20,130,4.5
152,Mount St. Mary's (NEC),29,8-21,99,3.4
73,Murray St. (OVC),33,31-2,139,4.2
157,N.C. A&T (MEAC),32,12-20,108,3.4
105,N.C. Central (MEAC),32,17-15,123,3.8
317,Navy (Patriot),29,3-26,54,1.9
87,NC State (ACC),37,24-13,150,4.1
256,Nebraska (Big Ten),30,12-18,78,2.6
34,Nevada (WAC),35,28-7,167,4.8
280,New Hampshire (America East),29,13-16,69,2.4
64,New Mexico St. (WAC),36,26-10,154,4.3
164,New Mexico (Mountain West),35,28-7,117,3.3
239,Niagara (MAAC),33,14-19,90,2.7
323,Nicholls (Southland),30,10-20,55,1.8
284,NIU (MAC),31,5-26,73,2.4
210,NJIT (GWC),32,15-17,97,3
40,Norfolk St. (MEAC),36,26-10,169,4.7
8,North Carolina (ACC),38,32-6,219,5.8
