Rank,Team,GM,W-L,BLKS,BKPG
148,North Dakota St. (Summit League),31,17-14,108,3.5
176,North Florida (ASUN),32,16-16,104,3.3
86,North Texas (Sun Belt),32,18-14,130,4.1
106,Northeastern (CAA),31,14-17,119,3.8
307,Northern Ariz. (Big Sky),29,5-24,62,2.1
283,Northern Colo. (Big Sky),28,9-19,66,2.4
6,Northwestern St. (Southland),32,16-16,207,6.5
114,Northwestern (Big Ten),33,19-14,124,3.8
161,Notre Dame (AAC),34,22-12,114,3.4
310,Oakland (Summit League),36,20-16,75,2.1
185,Ohio St. (Big Ten),39,31-8,125,3.2
226,Ohio (MAC),37,29-8,106,2.9
65,Oklahoma St. (Big 12),33,15-18,141,4.3
200,Oklahoma (Big 12),31,15-16,96,3.1
45,Old Dominion (CAA),36,22-14,165,4.6
14,Ole Miss (SEC),34,20-14,178,5.2
250,Oral Roberts (Summit League),34,27-7,90,2.6
43,Oregon St. (Pac-12),36,21-15,166,4.6
137,Oregon (Pac-12),34,24-10,121,3.6
324,Pacific (Big West),30,11-19,54,1.8
274,Penn St. (Big Ten),32,12-20,77,2.4
266,Penn (Ivy League),33,20-13,83,2.5
220,Pepperdine (WCC),29,10-19,85,2.9
252,Pittsburgh (AAC),39,22-17,103,2.6
232,Portland St. (Big Sky),32,17-15,90,2.8
235,Portland (WCC),31,7-24,86,2.8
182,Prairie View (SWAC),32,14-18,103,3.2
103,Princeton (Ivy League),32,20-12,124,3.9
16,Providence (AAC),32,15-17,166,5.2
269,Purdue Fort Wayne (Summit League),30,11-19,73,2.4
196,Purdue (Big Ten),35,22-13,110,3.1
170,Quinnipiac (NEC),32,18-14,106,3.3
267,Radford (Big South),32,6-26,80,2.5
100,Rhode Island (Atlantic 10),31,7-24,121,3.9
49,Rice (C-USA),35,19-16,159,4.5
19,Richmond (Atlantic 10),32,16-16,161,5
93,Rider (MAAC),32,13-19,127,4
272,Robert Morris (NEC),37,26-11,90,2.4
107,Rutgers (AAC),32,14-18,122,3.8
294,Sacramento St. (Big Sky),28,10-18,64,2.3
189,Sacred Heart (NEC),32,14-18,102,3.2
237,Saint Francis (PA) (NEC),29,6-23,80,2.8
2,Saint Joseph's (Atlantic 10),34,20-14,244,7.2
221,Saint Louis (Atlantic 10),34,26-8,99,2.9
202,Saint Mary's (CA) (WCC),33,27-6,102,3.1
139,Saint Peter's (MAAC),31,5-26,110,3.5
289,Sam Houston (Southland),32,13-19,74,2.3
304,Samford (SoCon),30,11-19,65,2.2
288,San Diego St. (Mountain West),34,26-8,79,2.3
172,San Diego (WCC),31,13-18,102,3.3
319,San Francisco (WCC),34,20-14,63,1.9
337,San Jose St. (WAC),31,9-22,38,1.2
175,Santa Clara (WCC),30,8-22,98,3.3
155,Savannah St. (MEAC),33,21-12,112,3.4
195,Seton Hall (AAC),34,21-13,107,3.1
241,SFA (Southland),32,20-12,87,2.7
151,Siena (MAAC),31,14-17,106,3.4
299,SMU (C-USA),32,13-19,72,2.3
33,South Alabama (Sun Belt),29,17-12,139,4.8
70,South Carolina St. (MEAC),31,5-26,131,4.2
28,South Carolina (SEC),31,10-21,151,4.9
318,South Dakota St. (Summit League),35,27-8,65,1.9
108,South Fla. (AAC),36,22-14,137,3.8
148,Southeast Mo. St. (OVC),31,15-16,108,3.5
141,Southeastern La. (Southland),29,12-17,102,3.5
313,Southern California (Pac-12),32,6-26,65,2
168,Southern Ill. (MVC),31,8-23,103,3.3
223,Southern Miss. (C-USA),34,25-9,98,2.9
134,Southern U. (SWAC),31,17-14,111,3.6
293,Southern Utah (Summit League),31,14-17,71,2.3
77,St. Bonaventure (Atlantic 10),32,20-12,133,4.2
269,St. Francis Brooklyn (NEC),30,15-15,73,2.4
120,St. John's (NY) (AAC),32,13-19,119,3.7
153,Stanford (Pac-12),37,26-11,126,3.4
227,Stetson (ASUN),29,9-20,83,2.9
331,Stony Brook (America East),32,22-10,53,1.7
3,Syracuse (AAC),37,34-3,255,6.9
273,TCU (Mountain West),33,18-15,80,2.4
75,Temple (Atlantic 10),32,24-8,134,4.2
150,Tennessee St. (OVC),33,20-13,113,3.4
281,Tennessee Tech (OVC),33,19-14,78,2.4
59,Tennessee (SEC),34,19-15,149,4.4
301,Texas A&M (Big 12),32,14-18,71,2.2
73,Texas Southern (SWAC),33,15-18,139,4.2
186,Texas St. (Southland),30,13-17,96,3.2
217,Texas Tech (Big 12),31,8-23,92,3
126,Texas (Big 12),34,20-14,125,3.7
330,The Citadel (SoCon),30,6-24,50,1.7
302,Toledo (MAC),36,19-17,79,2.2
72,Towson (CAA),32,1-31,135,4.2
125,Troy (Sun Belt),28,10-18,103,3.7
159,Tulane (C-USA),31,15-16,104,3.4
25,Tulsa (C-USA),31,17-14,153,4.9
139,UAB (C-USA),31,15-16,110,3.5
298,UC Davis (Big West),31,5-26,70,2.3
81,UC Irvine (Big West),32,12-20,131,4.1
94,UC Riverside (Big West),31,14-17,123,4
17,UC Santa Barbara (Big West),31,20-11,160,5.2
63,UCF (C-USA),33,22-11,142,4.3
48,UCLA (Pac-12),33,19-14,150,4.5
4,UConn (AAC),34,20-14,233,6.9
219,UIC (Horizon),30,8-22,88,2.9
295,ULM (Sun Belt),29,3-26,66,2.3
324,UMBC (America East),30,4-26,54,1.8
222,UMES (MEAC),30,7-23,87,2.9
258,UNC Asheville (Big South),34,24-10,88,2.6
249,UNC Greensboro (SoCon),32,13-19,85,2.7
98,UNCW (CAA),31,10-21,122,3.9
319,UNI (MVC),34,20-14,63,1.9
30,UNLV (Mountain West),35,26-9,169,4.8
69,USC Upstate (ASUN),34,21-13,144,4.2
118,UT Arlington (Southland),33,24-9,123,3.7
284,UT Martin (OVC),31,4-27,73,2.4
184,Utah St. (WAC),37,21-16,119,3.2
128,Utah Valley (GWC),33,20-13,121,3.7
265,Utah (Pac-12),31,6-25,78,2.5
241,UTEP (C-USA),32,15-17,87,2.7
314,UTRGV (GWC),32,11-21,63,2
210,UTSA (Southland),32,18-14,97,3
223,Valparaiso (Horizon),34,22-12,98,2.9
89,Vanderbilt (SEC),36,25-11,144,4
128,VCU (CAA),36,29-7,132,3.7
278,Vermont (America East),36,24-12,86,2.4
192,Villanova (AAC),32,13-19,101,3.2
181,Virginia Tech (ACC),33,16-17,107,3.2
238,Virginia (ACC),32,22-10,88,2.8
114,VMI (Big South),33,17-16,124,3.8
84,Wagner (NEC),31,25-6,126,4.1
47,Wake Forest (ACC),31,13-18,142,4.6
234,Washington St. (Pac-12),37,19-18,103,2.8
92,Washington (Pac-12),35,24-11,139,4
268,Weber St. (Big Sky),32,25-7,78,2.4
260,West Virginia (AAC),33,19-14,85,2.6
207,Western Caro. (SoCon),35,17-18,107,3.1
239,Western Ill. (Summit League),33,18-15,90,2.7
76,Western Ky. (Sun Belt),35,16-19,146,4.2
206,Western Mich. (MAC),34,14-20,104,3.1
97,Wichita St. (MVC),33,27-6,130,3.9
309,William & Mary (CAA),32,6-26,67,2.1
176,Winthrop (Big South),32,12-20,104,3.3
144,Wisconsin (Big Ten),36,26-10,126,3.5
281,Wofford (SoCon),33,19-14,78,2.4
332,Wright St. (Horizon),32,13-19,50,1.6
193,Wyoming (Mountain West),33,21-12,104,3.2
116,Xavier (Atlantic 10),36,23-13,135,3.8
96,Yale (Ivy League),29,19-10,115,4
13,Youngstown St. (Horizon),31,16-15,164,5.3
