Rank,Team,GM,W-L,Opp TO,TO,Ratio
276,A&M-Corpus Christi (Southland),30,6-24,402,456,-1.8
107,Air Force (Mountain West),29,13-16,407,371,1.2
184,Akron (MAC),34,22-12,478,480,-0.1
291,Alabama A&M (SWAC),28,7-21,402,463,-2.2
157,Alabama St. (SWAC),31,12-19,485,470,0.5
152,Alabama (SEC),33,21-12,442,423,0.6
158,Albany (NY) (America East),34,19-15,445,429,0.5
235,Alcorn (SWAC),32,10-22,459,486,-0.8
185,American (Patriot),32,20-12,353,356,-0.1
314,App State (SoCon),31,13-18,359,444,-2.7
336,Arizona St. (Pac-12),31,10-21,349,505,-5
212,Arizona (Pac-12),35,23-12,415,436,-0.6
210,Ark.-Pine Bluff (SWAC),33,11-22,472,491,-0.6
204,Arkansas St. (Sun Belt),34,14-20,443,460,-0.5
19,Arkansas (SEC),32,18-14,519,415,3.3
164,Army West Point (Patriot),30,12-18,477,467,0.3
146,Auburn (SEC),31,15-16,440,420,0.6
162,Austin Peay (OVC),32,12-20,478,466,0.4
132,Ball St. (MAC),30,15-15,412,388,0.8
163,Baylor (Big 12),38,30-8,535,522,0.3
50,Belmont (ASUN),35,27-8,506,430,2.2
45,Bethune-Cookman (MEAC),35,18-17,555,471,2.4
290,Binghamton (America East),31,2-29,395,462,-2.2
117,Boise St. (Mountain West),30,13-17,398,366,1.1
316,Boston College (ACC),31,9-22,365,454,-2.9
211,Boston U. (America East),32,16-16,415,434,-0.6
73,Bowling Green (MAC),32,16-16,479,425,1.7
228,Bradley (MVC),32,7-25,414,438,-0.8
216,Brown (Ivy League),31,8-23,362,382,-0.6
262,Bucknell (Patriot),35,25-10,366,416,-1.4
324,Buffalo (MAC),31,20-11,358,465,-3.5
121,Butler (Horizon),37,22-15,521,485,1
46,BYU (WCC),35,26-9,554,473,2.3
142,Cal Poly (Big West),33,18-15,374,351,0.7
264,Cal St. Fullerton (Big West),31,21-10,429,475,-1.5
133,California (Pac-12),34,24-10,438,411,0.8
280,Campbell (Big South),32,17-15,395,454,-1.8
296,Canisius (MAAC),30,5-25,375,442,-2.2
151,Central Ark. (Southland),29,8-21,462,445,0.6
44,Central Conn. St. (NEC),29,13-16,494,424,2.4
49,Central Mich. (MAC),32,11-21,465,393,2.3
27,Charleston So. (Big South),31,19-12,501,416,2.7
160,Charlotte (Atlantic 10),30,13-17,434,421,0.4
204,Chattanooga (SoCon),32,11-21,427,443,-0.5
311,Chicago St. (GWC),30,4-26,428,507,-2.6
23,Cincinnati (AAC),37,26-11,518,403,3.1
40,Clemson (ACC),31,16-15,451,375,2.5
35,Cleveland St. (Horizon),33,22-11,542,458,2.5
265,Coastal Carolina (Big South),31,19-12,381,428,-1.5
112,Col. of Charleston (SoCon),31,19-12,447,411,1.2
334,Colgate (Patriot),30,8-22,300,439,-4.6
229,Colorado St. (Mountain West),32,20-12,383,408,-0.8
218,Colorado (Pac-12),36,24-12,444,468,-0.7
181,Columbia (Ivy League),30,15-15,364,365,0
164,Coppin St. (MEAC),30,14-16,397,387,0.3
57,Cornell (Ivy League),28,12-16,433,377,2
272,Creighton (MVC),35,29-6,362,421,-1.7
138,CSU Bakersfield (Independent),31,16-15,480,457,0.7
88,CSUN (Big West),28,7-21,426,384,1.5
276,Dartmouth (Ivy League),30,5-25,364,418,-1.8
147,Davidson (SoCon),33,25-8,409,388,0.6
190,Dayton (Atlantic 10),33,20-13,424,430,-0.2
11,Delaware St. (MEAC),29,15-14,406,299,3.7
292,Delaware (CAA),32,18-14,342,412,-2.2
37,Denver (Sun Belt),31,22-9,453,375,2.5
48,DePaul (AAC),31,12-19,485,414,2.3
34,Detroit Mercy (Horizon),36,22-14,544,450,2.6
136,Drake (MVC),34,18-16,466,440,0.8
203,Drexel (CAA),36,29-7,402,419,-0.5
153,Duke (ACC),34,27-7,434,415,0.6
3,Duquesne (Atlantic 10),31,16-15,533,374,5.1
119,East Carolina (C-USA),31,15-16,457,426,1
161,Eastern Ill. (OVC),29,12-17,392,380,0.4
31,Eastern Ky. (OVC),32,16-16,431,346,2.7
156,Eastern Mich. (MAC),32,14-18,454,438,0.5
10,Eastern Wash. (Big Sky),32,15-17,498,377,3.8
234,Elon (SoCon),31,15-16,403,429,-0.8
12,ETSU (ASUN),31,17-14,532,419,3.6
4,Evansville (MVC),32,16-16,549,404,4.5
111,Fairfield (MAAC),37,22-15,583,540,1.2
301,Fairleigh Dickinson (NEC),29,3-26,372,440,-2.3
217,FGCU (ASUN),32,15-17,456,477,-0.7
215,FIU (Sun Belt),29,8-21,406,424,-0.6
79,Fla. Atlantic (Sun Belt),30,11-19,415,366,1.6
207,Florida A&M (MEAC),33,10-23,502,520,-0.5
242,Florida St. (ACC),35,25-10,531,565,-1
95,Florida (SEC),37,26-11,464,410,1.5
238,Fordham (Atlantic 10),29,10-19,374,399,-0.9
13,Fresno St. (WAC),33,13-20,471,352,3.6
266,Furman (SoCon),31,15-16,383,431,-1.5
176,Ga. Southern (SoCon),30,15-15,459,454,0.2
209,Gardner-Webb (Big South),32,12-20,429,447,-0.6
240,George Mason (CAA),33,24-9,473,503,-0.9
154,George Washington (Atlantic 10),31,10-21,425,408,0.5
171,Georgetown (AAC),33,24-9,424,417,0.2
15,Georgia St. (CAA),34,22-12,515,396,3.5
321,Georgia Tech (ACC),31,11-20,349,448,-3.2
108,Georgia (SEC),32,15-17,371,332,1.2
188,Gonzaga (WCC),33,26-7,428,433,-0.2
335,Grambling (SWAC),28,4-24,325,458,-4.8
246,Green Bay (Horizon),30,15-15,392,424,-1.1
122,Hampton (MEAC),33,12-21,498,467,0.9
179,Hartford (America East),31,9-22,477,478,0
169,Harvard (Ivy League),31,26-5,388,379,0.3
305,Hawaii (WAC),32,16-16,409,487,-2.4
201,High Point (Big South),31,13-18,373,386,-0.4
80,Hofstra (CAA),32,10-22,493,442,1.6
284,Holy Cross (Patriot),29,15-14,338,396,-2
88,Houston Baptist (GWC),30,10-20,515,470,1.5
311,Houston (C-USA),30,15-15,356,435,-2.6
318,Howard (MEAC),31,10-21,442,533,-2.9
114,Idaho St. (Big Sky),30,9-21,455,421,1.1
309,Idaho (WAC),33,19-14,357,441,-2.5
237,Illinois St. (MVC),35,21-14,392,422,-0.9
189,Illinois (Big Ten),32,17-15,425,430,-0.2
177,Indiana St. (MVC),33,18-15,408,403,0.2
155,Indiana (Big Ten),36,27-9,482,463,0.5
14,Iona (MAAC),33,25-8,530,414,3.5
224,Iowa St. (Big 12),34,23-11,395,419,-0.7
113,Iowa (Big Ten),35,18-17,473,433,1.1
80,IUPUI (Summit League),32,14-18,430,379,1.6
