Rank,Team,GM,W-L,Opp TO,TO,Ratio
270,Jackson St. (SWAC),31,7-24,424,475,-1.6
83,Jacksonville St. (OVC),33,15-18,495,443,1.6
233,Jacksonville (ASUN),30,8-22,424,449,-0.8
149,James Madison (CAA),32,12-20,434,414,0.6
225,Kansas City (Summit League),31,10-21,390,412,-0.7
83,Kansas St. (Big 12),33,22-11,526,474,1.6
144,Kansas (Big 12),39,32-7,533,507,0.7
241,Kennesaw St. (ASUN),31,3-28,399,429,-1
61,Kent St. (MAC),33,21-12,525,463,1.9
166,Kentucky (SEC),40,38-2,466,453,0.3
28,La Salle (Atlantic 10),34,21-13,535,443,2.7
201,Lafayette (Patriot),31,13-18,378,391,-0.4
50,Lamar University (Southland),35,23-12,495,419,2.2
21,Lehigh (Patriot),35,27-8,504,391,3.2
199,Liberty (Big South),32,14-18,375,386,-0.3
173,Lipscomb (ASUN),31,13-18,473,467,0.2
58,Little Rock (Sun Belt),31,15-16,447,387,1.9
297,LIU (NEC),34,25-9,469,546,-2.3
129,LMU (CA) (WCC),34,21-13,491,462,0.9
52,Long Beach St. (Big West),34,25-9,513,440,2.1
279,Longwood (Independent),31,10-21,353,410,-1.8
54,Louisiana Tech (WAC),34,18-16,512,442,2.1
288,Louisiana (Sun Belt),32,16-16,454,521,-2.1
92,Louisville (AAC),40,30-10,621,562,1.5
303,Loyola Chicago (Horizon),30,7-23,361,432,-2.4
125,Loyola Maryland (MAAC),33,24-9,473,443,0.9
77,LSU (SEC),33,18-15,483,429,1.6
182,Maine (America East),29,12-17,379,380,0
198,Manhattan (MAAC),34,21-13,536,547,-0.3
267,Marist (MAAC),32,14-18,431,481,-1.6
17,Marquette (AAC),35,27-8,577,461,3.3
232,Marshall (C-USA),35,21-14,429,458,-0.8
304,Maryland (ACC),32,17-15,348,425,-2.4
66,Massachusetts (Atlantic 10),37,25-12,615,548,1.8
86,McNeese (Southland),33,17-16,452,402,1.5
100,Memphis (C-USA),35,26-9,492,444,1.4
258,Mercer (ASUN),38,27-11,514,566,-1.4
77,Miami (FL) (ACC),33,20-13,436,382,1.6
285,Miami (OH) (MAC),30,9-21,345,406,-2
200,Michigan St. (Big Ten),37,29-8,466,481,-0.4
82,Michigan (Big Ten),34,24-10,424,370,1.6
116,Middle Tenn. (Sun Belt),34,27-7,510,473,1.1
191,Milwaukee (Horizon),34,20-14,460,467,-0.2
274,Minnesota (Big Ten),38,23-15,492,558,-1.7
254,Mississippi St. (SEC),33,21-12,352,396,-1.3
56,Mississippi Val. (SWAC),34,21-13,564,495,2
105,Missouri St. (MVC),32,16-16,379,338,1.3
7,Missouri (Big 12),35,30-5,501,358,4.1
19,Monmouth (NEC),32,12-20,553,449,3.3
143,Montana St. (Big Sky),29,12-17,416,396,0.7
42,Montana (Big Sky),32,25-7,478,400,2.4
118,Morehead St. (OVC),33,18-15,527,493,1
260,Morgan St. (MEAC),29,9-20,412,453,-1.4
320,Mount St. Mary's (NEC),29,8-21,390,480,-3.1
30,Murray St. (OVC),33,31-2,546,458,2.7
167,N.C. A&T (MEAC),32,12-20,511,501,0.3
85,N.C. Central (MEAC),32,17-15,537,487,1.6
208,Navy (Patriot),29,3-26,407,423,-0.6
193,NC State (ACC),37,24-13,461,470,-0.2
230,Nebraska (Big Ten),30,12-18,374,398,-0.8
247,Nevada (WAC),35,28-7,443,481,-1.1
194,New Mexico St. (WAC),36,26-10,524,533,-0.3
124,New Mexico (Mountain West),35,28-7,499,467,0.9
18,Niagara (MAAC),33,14-19,530,421,3.3
282,Nicholls (Southland),30,10-20,395,453,-1.9
62,NJIT (GWC),32,15-17,462,403,1.8
243,Norfolk St. (MEAC),36,26-10,504,539,-1
98,North Carolina (ACC),38,32-6,507,454,1.4
179,North Dakota St. (Summit League),31,17-14,383,384,0
278,North Florida (ASUN),32,16-16,435,493,-1.8
174,North Texas (Sun Belt),32,18-14,470,464,0.2
249,Northeastern (CAA),31,14-17,445,484,-1.3
231,Northern Ariz. (Big Sky),29,5-24,406,430,-0.8
330,Northern Colo. (Big Sky),28,9-19,340,456,-4.1
332,Northern Ill. (MAC),31,5-26,367,497,-4.2
59,Northwestern St. (Southland),32,16-16,532,471,1.9
32,Northwestern (Big Ten),33,19-14,422,335,2.6
139,Notre Dame (AAC),34,22-12,367,342,0.7
93,Oakland (Summit League),36,20-16,483,430,1.5
24,Ohio St. (Big Ten),39,31-8,579,459,3.1
5,Ohio (MAC),37,29-8,645,482,4.4
137,Oklahoma St. (Big 12),33,15-18,420,395,0.8
127,Oklahoma (Big 12),31,15-16,424,396,0.9
102,Old Dominion (CAA),36,22-14,544,495,1.4
236,Ole Miss (SEC),34,20-14,456,485,-0.9
133,Oral Roberts (Summit League),34,27-7,463,436,0.8
36,Oregon St. (Pac-12),36,21-15,598,507,2.5
196,Oregon (Pac-12),34,24-10,428,438,-0.3
115,Pacific (Big West),30,11-19,394,361,1.1
88,Penn St. (Big Ten),32,12-20,438,390,1.5
86,Penn (Ivy League),33,20-13,464,414,1.5
323,Pepperdine (WCC),29,10-19,295,394,-3.4
269,Pittsburgh (AAC),39,22-17,431,495,-1.6
287,Portland St. (Big Sky),32,17-15,365,431,-2.1
328,Portland (WCC),31,7-24,361,483,-3.9
174,Prairie View (SWAC),32,14-18,520,514,0.2
195,Princeton (Ivy League),32,20-12,385,394,-0.3
248,Providence (AAC),32,15-17,352,391,-1.2
218,Purdue Fort Wayne (Summit League),30,11-19,414,434,-0.7
9,Purdue (Big Ten),35,22-13,440,306,3.8
185,Quinnipiac (NEC),32,18-14,401,404,-0.1
108,Radford (Big South),32,6-26,484,445,1.2
257,Rhode Island (Atlantic 10),31,7-24,409,451,-1.4
187,Rice (C-USA),35,19-16,473,477,-0.1
94,Richmond (Atlantic 10),32,16-16,414,367,1.5
299,Rider (MAAC),32,13-19,410,483,-2.3
70,Robert Morris (NEC),37,26-11,574,510,1.7
130,Rutgers (AAC),32,14-18,502,475,0.8
275,Sacramento St. (Big Sky),28,10-18,333,383,-1.8
263,Sacred Heart (NEC),32,14-18,445,491,-1.4
289,Saint Francis (PA) (NEC),29,6-23,395,457,-2.1
297,Saint Joseph's (Atlantic 10),34,20-14,353,430,-2.3
16,Saint Louis (Atlantic 10),34,26-8,500,382,3.5
168,Saint Mary's (CA) (WCC),33,27-6,393,383,0.3
221,Saint Peter's (MAAC),31,5-26,463,484,-0.7
245,Sam Houston (Southland),32,13-19,459,493,-1.1
223,Samford (SoCon),30,11-19,365,386,-0.7
170,San Diego St. (Mountain West),34,26-8,435,426,0.3
159,San Diego (WCC),31,13-18,438,424,0.5
29,San Francisco (WCC),34,20-14,533,442,2.7
103,San Jose St. (WAC),31,9-22,382,341,1.3
140,Santa Clara (WCC),30,8-22,370,348,0.7
101,Savannah St. (MEAC),33,21-12,532,487,1.4
64,Seton Hall (AAC),34,21-13,493,431,1.8
75,SFA (Southland),32,20-12,490,437,1.7
300,Siena (MAAC),31,14-17,366,437,-2.3
68,SMU (C-USA),32,13-19,460,403,1.8
325,South Alabama (Sun Belt),29,17-12,365,468,-3.6
314,South Carolina St. (MEAC),31,5-26,404,489,-2.7
97,South Carolina (SEC),31,10-21,440,396,1.4
43,South Dakota St. (Summit League),35,27-8,455,370,2.4
306,South Fla. (AAC),36,22-14,397,485,-2.4
294,Southeast Mo. St. (OVC),31,15-16,337,405,-2.2
260,Southeastern La. (Southland),29,12-17,405,446,-1.4
6,Southern California (Pac-12),32,6-26,481,341,4.4
127,Southern Ill. (MVC),31,8-23,465,437,0.9
22,Southern Miss. (C-USA),34,25-9,486,377,3.2
227,Southern U. (SWAC),31,17-14,412,435,-0.7
244,Southern Utah (Summit League),31,14-17,401,432,-1
271,St. Bonaventure (Atlantic 10),32,20-12,400,453,-1.7
250,St. Francis Brooklyn (NEC),30,15-15,448,486,-1.3
105,St. John's (NY) (AAC),32,13-19,464,423,1.3
104,Stanford (Pac-12),37,26-11,560,512,1.3
329,Stetson (ASUN),29,9-20,399,514,-4
108,Stony Brook (America East),32,22-10,434,395,1.2
2,Syracuse (AAC),37,34-3,591,389,5.5
67,TCU (Mountain West),33,18-15,514,455,1.8
130,Temple (Atlantic 10),32,24-8,428,401,0.8
135,Tennessee St. (OVC),33,20-13,521,495,0.8
178,Tennessee Tech (OVC),33,19-14,503,499,0.1
273,Tennessee (SEC),34,19-15,407,466,-1.7
251,Texas A&M (Big 12),32,14-18,389,430,-1.3
239,Texas Southern (SWAC),33,15-18,531,560,-0.9
26,Texas St. (Southland),30,13-17,527,443,2.8
333,Texas Tech (Big 12),31,8-23,388,530,-4.6
119,Texas (Big 12),34,20-14,460,426,1
283,The Citadel (SoCon),30,6-24,382,441,-2
123,Toledo (MAC),36,19-17,523,490,0.9
337,Towson (CAA),32,1-31,341,580,-7.5
39,Troy (Sun Belt),28,10-18,416,347,2.5
69,Tulane (C-USA),31,15-16,448,394,1.7
308,Tulsa (C-USA),31,17-14,381,458,-2.5
307,UAB (C-USA),31,15-16,363,439,-2.5
331,UC Davis (Big West),31,5-26,350,479,-4.2
295,UC Irvine (Big West),32,12-20,418,489,-2.2
225,UC Riverside (Big West),31,14-17,389,411,-0.7
206,UC Santa Barbara (Big West),31,20-11,352,368,-0.5
192,UCF (C-USA),33,22-11,410,417,-0.2
71,UCLA (Pac-12),33,19-14,452,395,1.7
256,UConn (AAC),34,20-14,372,418,-1.4
317,UIC (Horizon),30,8-22,351,439,-2.9
286,ULM (Sun Belt),29,3-26,319,378,-2
268,UMBC (America East),30,4-26,392,439,-1.6
326,UMES (MEAC),30,7-23,414,522,-3.6
41,UNC Asheville (Big South),34,24-10,539,456,2.4
126,UNC Greensboro (SoCon),32,13-19,515,486,0.9
313,UNCW (CAA),31,10-21,345,428,-2.7
99,UNI (MVC),34,20-14,416,369,1.4
53,UNLV (Mountain West),35,26-9,539,466,2.1
76,USC Upstate (ASUN),34,21-13,568,512,1.6
91,UT Arlington (Southland),33,24-9,580,531,1.5
302,UT Martin (OVC),31,4-27,405,478,-2.4
253,Utah St. (WAC),37,21-16,400,449,-1.3
213,Utah Valley (GWC),33,20-13,398,418,-0.6
321,Utah (Pac-12),31,6-25,336,435,-3.2
252,UTEP (C-USA),32,15-17,389,431,-1.3
280,UTRGV (GWC),32,11-21,433,492,-1.8
47,UTSA (Southland),32,18-14,517,443,2.3
310,Valparaiso (Horizon),34,22-12,394,483,-2.6
218,Vanderbilt (SEC),36,25-11,452,476,-0.7
1,VCU (CAA),36,29-7,644,411,6.5
172,Vermont (America East),36,24-12,452,445,0.2
292,Villanova (AAC),32,13-19,377,447,-2.2
141,Virginia Tech (ACC),33,16-17,415,391,0.7
96,Virginia (ACC),32,22-10,413,367,1.4
25,VMI (Big South),33,17-16,536,438,3
8,Wagner (NEC),31,25-6,532,412,3.9
214,Wake Forest (ACC),31,13-18,375,394,-0.6
255,Washington St. (Pac-12),37,19-18,435,485,-1.4
148,Washington (Pac-12),35,24-11,482,460,0.6
72,Weber St. (Big Sky),32,25-7,395,340,1.7
144,West Virginia (AAC),33,19-14,444,422,0.7
55,Western Caro. (SoCon),35,17-18,531,459,2.1
65,Western Ill. (Summit League),33,18-15,435,375,1.8
222,Western Ky. (Sun Belt),35,16-19,510,534,-0.7
327,Western Mich. (MAC),34,14-20,364,495,-3.9
150,Wichita St. (MVC),33,27-6,423,403,0.6
319,William & Mary (CAA),32,6-26,312,411,-3.1
73,Winthrop (Big South),32,12-20,447,393,1.7
60,Wisconsin (Big Ten),36,26-10,388,320,1.9
197,Wofford (SoCon),33,19-14,372,382,-0.3
33,Wright St. (Horizon),32,13-19,520,436,2.6
38,Wyoming (Mountain West),33,21-12,471,388,2.5
183,Xavier (Atlantic 10),36,23-13,452,454,-0.1
259,Yale (Ivy League),29,19-10,370,410,-1.4
63,Youngstown St. (Horizon),31,16-15,404,347,1.8
