Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
279,A&M-Corpus Christi (Southland),30,6-24,"1,014",33.8,"1,112",37.1,-3.3
316,Air Force (Mountain West),29,13-16,835,28.8,993,34.2,-5.4
96,Akron (MAC),34,22-12,"1,213",35.7,"1,133",33.3,2.4
247,Alabama A&M (SWAC),28,7-21,966,34.5,"1,018",36.4,-1.9
242,Alabama St. (SWAC),31,12-19,"1,102",35.5,"1,155",37.3,-1.7
86,Alabama (SEC),33,21-12,"1,158",35.1,"1,072",32.5,2.6
111,Albany (NY) (America East),34,19-15,"1,174",34.5,"1,108",32.6,1.9
319,Alcorn (SWAC),32,10-22,982,30.7,"1,162",36.3,-5.6
237,American (Patriot),32,20-12,"1,042",32.6,"1,090",34.1,-1.5
189,App State (SoCon),31,13-18,"1,093",35.3,"1,097",35.4,-0.1
130,Arizona St. (Pac-12),31,10-21,975,31.5,929,30,1.5
115,Arizona (Pac-12),35,23-12,"1,237",35.3,"1,173",33.5,1.8
269,Ark.-Pine Bluff (SWAC),33,11-22,"1,105",33.5,"1,194",36.2,-2.7
91,Arkansas St. (Sun Belt),34,14-20,"1,154",33.9,"1,068",31.4,2.5
291,Arkansas (SEC),32,18-14,"1,082",33.8,"1,204",37.6,-3.8
298,Army West Point (Patriot),30,12-18,957,31.9,"1,077",35.9,-4
218,Auburn (SEC),31,15-16,"1,063",34.3,"1,093",35.3,-1
240,Austin Peay (OVC),32,12-20,"1,077",33.7,"1,130",35.3,-1.7
140,Ball St. (MAC),30,15-15,"1,015",33.8,977,32.6,1.3
29,Baylor (Big 12),38,30-8,"1,385",36.4,"1,181",31.1,5.4
83,Belmont (ASUN),35,27-8,"1,259",36,"1,163",33.2,2.7
264,Bethune-Cookman (MEAC),35,18-17,"1,087",31.1,"1,176",33.6,-2.5
281,Binghamton (America East),31,2-29,952,30.7,"1,057",34.1,-3.4
78,Boise St. (Mountain West),30,13-17,"1,007",33.6,922,30.7,2.8
326,Boston College (ACC),31,9-22,924,29.8,"1,111",35.8,-6
172,Boston U. (America East),32,16-16,"1,111",34.7,"1,100",34.4,0.3
149,Bowling Green (MAC),32,16-16,"1,070",33.4,"1,038",32.4,1
307,Bradley (MVC),32,7-25,"1,054",32.9,"1,190",37.2,-4.3
312,Brown (Ivy League),31,8-23,"1,001",32.3,"1,162",37.5,-5.2
16,Bucknell (Patriot),35,25-10,"1,237",35.3,"1,011",28.9,6.5
11,Buffalo (MAC),31,20-11,"1,244",40.1,"1,033",33.3,6.8
52,Butler (Horizon),37,22-15,"1,323",35.8,"1,176",31.8,4
56,BYU (WCC),35,26-9,"1,347",38.5,"1,213",34.7,3.8
28,Cal Poly (Big West),33,18-15,"1,139",34.5,959,29.1,5.5
23,Cal St. Fullerton (Big West),31,21-10,"1,165",37.6,990,31.9,5.6
45,California (Pac-12),34,24-10,"1,182",34.8,"1,037",30.5,4.3
146,Campbell (Big South),32,17-15,"1,129",35.3,"1,092",34.1,1.2
255,Canisius (MAAC),30,5-25,"1,043",34.8,"1,110",37,-2.2
295,Central Ark. (Southland),29,8-21,"1,091",37.6,"1,204",41.5,-3.9
270,Central Conn. St. (NEC),29,13-16,975,33.6,"1,054",36.3,-2.7
282,Central Mich. (MAC),32,11-21,"1,062",33.2,"1,174",36.7,-3.5
138,Charleston So. (Big South),31,19-12,"1,103",35.6,"1,062",34.3,1.3
222,Charlotte (Atlantic 10),30,13-17,"1,074",35.8,"1,104",36.8,-1
74,Chattanooga (SoCon),32,11-21,"1,254",39.2,"1,162",36.3,2.9
271,Chicago St. (GWC),30,4-26,"1,062",35.4,"1,145",38.2,-2.8
183,Cincinnati (AAC),37,26-11,"1,333",36,"1,324",35.8,0.2
159,Clemson (ACC),31,16-15,"1,018",32.8,994,32.1,0.8
170,Cleveland St. (Horizon),33,22-11,"1,065",32.3,"1,053",31.9,0.4
22,Coastal Carolina (Big South),31,19-12,"1,171",37.8,995,32.1,5.7
292,Col. of Charleston (SoCon),31,19-12,"1,111",35.8,"1,230",39.7,-3.8
230,Colgate (Patriot),30,8-22,980,32.7,"1,013",33.8,-1.1
142,Colorado St. (Mountain West),32,20-12,"1,011",31.6,971,30.3,1.3
70,Colorado (Pac-12),36,24-12,"1,289",35.8,"1,182",32.8,3
107,Columbia (Ivy League),30,15-15,"1,022",34.1,960,32,2.1
288,Coppin St. (MEAC),30,14-16,"1,042",34.7,"1,152",38.4,-3.7
317,Cornell (Ivy League),28,12-16,913,32.6,"1,069",38.2,-5.6
27,Creighton (MVC),35,29-6,"1,259",36,"1,068",30.5,5.5
171,CSU Bakersfield (Independent),31,16-15,971,31.3,960,31,0.4
236,CSUN (Big West),28,7-21,982,35.1,"1,021",36.5,-1.4
200,Dartmouth (Ivy League),30,5-25,970,32.3,982,32.7,-0.4
17,Davidson (SoCon),33,25-8,"1,282",38.8,"1,071",32.5,6.4
59,Dayton (Atlantic 10),33,20-13,"1,177",35.7,"1,060",32.1,3.5
333,Delaware St. (MEAC),29,15-14,877,30.2,"1,075",37.1,-6.8
240,Delaware (CAA),32,18-14,"1,185",37,"1,238",38.7,-1.7
297,Denver (Sun Belt),31,22-9,820,26.5,943,30.4,-4
329,DePaul (AAC),31,12-19,"1,025",33.1,"1,229",39.6,-6.6
108,Detroit Mercy (Horizon),36,22-14,"1,232",34.2,"1,160",32.2,2
254,Drake (MVC),34,18-16,"1,104",32.5,"1,179",34.7,-2.2
20,Drexel (CAA),36,29-7,"1,276",35.4,"1,057",29.4,6.1
84,Duke (ACC),34,27-7,"1,249",36.7,"1,159",34.1,2.6
337,Duquesne (Atlantic 10),31,16-15,954,30.8,"1,186",38.3,-7.5
192,East Carolina (C-USA),31,15-16,"1,064",34.3,"1,071",34.5,-0.2
243,Eastern Ill. (OVC),29,12-17,929,32,979,33.8,-1.7
303,Eastern Ky. (OVC),32,16-16,941,29.4,"1,073",33.5,-4.1
273,Eastern Mich. (MAC),32,14-18,991,31,"1,086",33.9,-3
262,Eastern Wash. (Big Sky),32,15-17,"1,090",34.1,"1,171",36.6,-2.5
260,Elon (SoCon),31,15-16,"1,139",36.7,"1,215",39.2,-2.5
161,ETSU (ASUN),31,17-14,"1,070",34.5,"1,048",33.8,0.7
313,Evansville (MVC),32,16-16,927,29,"1,095",34.2,-5.3
164,Fairfield (MAAC),37,22-15,"1,238",33.5,"1,214",32.8,0.6
280,Fairleigh Dickinson (NEC),29,3-26,968,33.4,"1,065",36.7,-3.3
193,FGCU (ASUN),32,15-17,"1,124",35.1,"1,132",35.4,-0.3
253,FIU (Sun Belt),29,8-21,938,32.3,"1,001",34.5,-2.2
248,Fla. Atlantic (Sun Belt),30,11-19,"1,006",33.5,"1,064",35.5,-1.9
