Rank,Team,GM,W-L,TO,TOPG
291,A&M-Corpus Christi (Southland),30,6-24,456,15.2
114,Air Force (Mountain West),29,13-16,371,12.8
231,Akron (MAC),34,22-12,480,14.1
330,Alabama A&M (SWAC),28,7-21,463,16.5
287,Alabama St. (SWAC),31,12-19,470,15.2
115,Alabama (SEC),33,21-12,423,12.8
96,Albany (NY) (America East),34,19-15,429,12.6
289,Alcorn (SWAC),32,10-22,486,15.2
22,American (Patriot),32,20-12,356,11.1
240,App State (SoCon),31,13-18,444,14.3
328,Arizona St. (Pac-12),31,10-21,505,16.3
83,Arizona (Pac-12),35,23-12,436,12.5
271,Ark.-Pine Bluff (SWAC),33,11-22,491,14.9
178,Arkansas St. (Sun Belt),34,14-20,460,13.5
127,Arkansas (SEC),32,18-14,415,13
308,Army West Point (Patriot),30,12-18,467,15.6
180,Auburn (SEC),31,15-16,420,13.5
250,Austin Peay (OVC),32,12-20,466,14.6
123,Ball St. (MAC),30,15-15,388,12.9
197,Baylor (Big 12),38,30-8,522,13.7
72,Belmont (ASUN),35,27-8,430,12.3
171,Bethune-Cookman (MEAC),35,18-17,471,13.5
273,Binghamton (America East),31,2-29,462,14.9
63,Boise St. (Mountain West),30,13-17,366,12.2
258,Boston College (ACC),31,9-22,454,14.6
181,Boston U. (America East),32,16-16,434,13.6
157,Bowling Green (MAC),32,16-16,425,13.3
192,Bradley (MVC),32,7-25,438,13.7
75,Brown (Ivy League),31,8-23,382,12.3
44,Bucknell (Patriot),35,25-10,416,11.9
278,Buffalo (MAC),31,20-11,465,15
143,Butler (Horizon),37,22-15,485,13.1
176,BYU (WCC),35,26-9,473,13.5
12,Cal Poly (Big West),33,18-15,351,10.6
297,Cal St. Fullerton (Big West),31,21-10,475,15.3
56,California (Pac-12),34,24-10,411,12.1
237,Campbell (Big South),32,17-15,454,14.2
262,Canisius (MAAC),30,5-25,442,14.7
300,Central Ark. (Southland),29,8-21,445,15.3
253,Central Conn. St. (NEC),29,13-16,424,14.6
70,Central Mich. (MAC),32,11-21,393,12.3
166,Charleston So. (Big South),31,19-12,416,13.4
225,Charlotte (Atlantic 10),30,13-17,421,14
210,Chattanooga (SoCon),32,11-21,443,13.8
332,Chicago St. (GWC),30,4-26,507,16.9
18,Cincinnati (AAC),37,26-11,403,10.9
57,Clemson (ACC),31,16-15,375,12.1
212,Cleveland St. (Horizon),33,22-11,458,13.9
204,Coastal Carolina (Big South),31,19-12,428,13.8
153,Col. of Charleston (SoCon),31,19-12,411,13.3
255,Colgate (Patriot),30,8-22,439,14.6
109,Colorado St. (Mountain West),32,20-12,408,12.8
128,Colorado (Pac-12),36,24-12,468,13
60,Columbia (Ivy League),30,15-15,365,12.2
122,Coppin St. (MEAC),30,14-16,387,12.9
172,Cornell (Ivy League),28,12-16,377,13.5
51,Creighton (MVC),35,29-6,421,12
263,CSU Bakersfield (Independent),31,16-15,457,14.7
195,CSUN (Big West),28,7-21,384,13.7
217,Dartmouth (Ivy League),30,5-25,418,13.9
37,Davidson (SoCon),33,25-8,388,11.8
136,Dayton (Atlantic 10),33,20-13,430,13
6,Delaware St. (MEAC),29,15-14,299,10.3
120,Delaware (CAA),32,18-14,412,12.9
57,Denver (Sun Belt),31,22-9,375,12.1
163,DePaul (AAC),31,12-19,414,13.4
85,Detroit Mercy (Horizon),36,22-14,450,12.5
125,Drake (MVC),34,18-16,440,12.9
35,Drexel (CAA),36,29-7,419,11.6
65,Duke (ACC),34,27-7,415,12.2
55,Duquesne (Atlantic 10),31,16-15,374,12.1
198,East Carolina (C-USA),31,15-16,426,13.7
141,Eastern Ill. (OVC),29,12-17,380,13.1
15,Eastern Ky. (OVC),32,16-16,346,10.8
192,Eastern Mich. (MAC),32,14-18,438,13.7
40,Eastern Wash. (Big Sky),32,15-17,377,11.8
208,Elon (SoCon),31,15-16,429,13.8
177,ETSU (ASUN),31,17-14,419,13.5
97,Evansville (MVC),32,16-16,404,12.6
252,Fairfield (MAAC),37,22-15,540,14.6
288,Fairleigh Dickinson (NEC),29,3-26,440,15.2
274,FGCU (ASUN),32,15-17,477,14.9
253,FIU (Sun Belt),29,8-21,424,14.6
63,Fla. Atlantic (Sun Belt),30,11-19,366,12.2
315,Florida A&M (MEAC),33,10-23,520,15.8
324,Florida St. (ACC),35,25-10,565,16.1
20,Florida (SEC),37,26-11,410,11.1
201,Fordham (Atlantic 10),29,10-19,399,13.8
14,Fresno St. (WAC),33,13-20,352,10.7
214,Furman (SoCon),31,15-16,431,13.9
286,Ga. Southern (SoCon),30,15-15,454,15.1
219,Gardner-Webb (Big South),32,12-20,447,14
294,George Mason (CAA),33,24-9,503,15.2
148,George Washington (Atlantic 10),31,10-21,408,13.2
99,Georgetown (AAC),33,24-9,417,12.6
36,Georgia St. (CAA),34,22-12,396,11.6
243,Georgia Tech (ACC),31,11-20,448,14.5
7,Georgia (SEC),32,15-17,332,10.4
146,Gonzaga (WCC),33,26-7,433,13.1
329,Grambling (SWAC),28,4-24,458,16.4
232,Green Bay (Horizon),30,15-15,424,14.1
234,Hampton (MEAC),33,12-21,467,14.2
305,Hartford (America East),31,9-22,478,15.4
69,Harvard (Ivy League),31,26-5,379,12.2
292,Hawaii (WAC),32,16-16,487,15.2
82,High Point (Big South),31,13-18,386,12.5
206,Hofstra (CAA),32,10-22,442,13.8
187,Holy Cross (Patriot),29,15-14,396,13.7
314,Houston Baptist (GWC),30,10-20,470,15.7
245,Houston (C-USA),30,15-15,435,14.5
335,Howard (MEAC),31,10-21,533,17.2
225,Idaho St. (Big Sky),30,9-21,421,14
164,Idaho (WAC),33,19-14,441,13.4
53,Illinois St. (MVC),35,21-14,422,12.1
169,Illinois (Big Ten),32,17-15,430,13.4
66,Indiana St. (MVC),33,18-15,403,12.2
118,Indiana (Big Ten),36,27-9,463,12.9
90,Iona (MAAC),33,25-8,414,12.5
76,Iowa St. (Big 12),34,23-11,419,12.3
79,Iowa (Big Ten),35,18-17,433,12.4
41,IUPUI (Summit League),32,14-18,379,11.8
297,Jackson St. (SWAC),31,7-24,475,15.3
167,Jacksonville St. (OVC),33,15-18,443,13.4
276,Jacksonville (ASUN),30,8-22,449,15
124,James Madison (CAA),32,12-20,414,12.9
159,Kansas City (Summit League),31,10-21,412,13.3
241,Kansas St. (Big 12),33,22-11,474,14.4
128,Kansas (Big 12),39,32-7,507,13
208,Kennesaw St. (ASUN),31,3-28,429,13.8
221,Kent St. (MAC),33,21-12,463,14
26,Kentucky (SEC),40,38-2,453,11.3
135,La Salle (Atlantic 10),34,21-13,443,13
95,Lafayette (Patriot),31,13-18,391,12.6
49,Lamar University (Southland),35,23-12,419,12
23,Lehigh (Patriot),35,27-8,391,11.2
54,Liberty (Big South),32,14-18,386,12.1
282,Lipscomb (ASUN),31,13-18,467,15.1
84,Little Rock (Sun Belt),31,15-16,387,12.5
319,LIU (NEC),34,25-9,546,16.1
183,LMU (CA) (WCC),34,21-13,462,13.6
125,Long Beach St. (Big West),34,25-9,440,12.9
152,Longwood (Independent),31,10-21,410,13.2
128,Louisiana Tech (WAC),34,18-16,442,13
326,Louisiana (Sun Belt),32,16-16,521,16.3
227,Louisville (AAC),40,30-10,562,14.1
242,Loyola Chicago (Horizon),30,7-23,432,14.4
167,Loyola Maryland (MAAC),33,24-9,443,13.4
128,LSU (SEC),33,18-15,429,13
141,Maine (America East),29,12-17,380,13.1
321,Manhattan (MAAC),34,21-13,547,16.1
280,Marist (MAAC),32,14-18,481,15
149,Marquette (AAC),35,27-8,461,13.2
140,Marshall (C-USA),35,21-14,458,13.1
157,Maryland (ACC),32,17-15,425,13.3
268,Massachusetts (Atlantic 10),37,25-12,548,14.8
61,McNeese (Southland),33,17-16,402,12.2
104,Memphis (C-USA),35,26-9,444,12.7
272,Mercer (ASUN),38,27-11,566,14.9
31,Miami (FL) (ACC),33,20-13,382,11.6
179,Miami (OH) (MAC),30,9-21,406,13.5
128,Michigan St. (Big Ten),37,29-8,481,13
17,Michigan (Big Ten),34,24-10,370,10.9
216,Middle Tenn. (Sun Belt),34,27-7,473,13.9
196,Milwaukee (Horizon),34,20-14,467,13.7
259,Minnesota (Big Ten),38,23-15,558,14.7
50,Mississippi St. (SEC),33,21-12,396,12
248,Mississippi Val. (SWAC),34,21-13,495,14.6
9,Missouri St. (MVC),32,16-16,338,10.6
5,Missouri (Big 12),35,30-5,358,10.2
222,Monmouth (NEC),32,12-20,449,14
187,Montana St. (Big Sky),29,12-17,396,13.7
85,Montana (Big Sky),32,25-7,400,12.5
275,Morehead St. (OVC),33,18-15,493,14.9
312,Morgan St. (MEAC),29,9-20,453,15.6
331,Mount St. Mary's (NEC),29,8-21,480,16.6
212,Murray St. (OVC),33,31-2,458,13.9
313,N.C. A&T (MEAC),32,12-20,501,15.7
292,N.C. Central (MEAC),32,17-15,487,15.2
251,Navy (Patriot),29,3-26,423,14.6
106,NC State (ACC),37,24-13,470,12.7
155,Nebraska (Big Ten),30,12-18,398,13.3
199,Nevada (WAC),35,28-7,481,13.7
139,New Hampshire (America East),29,13-16,379,13.1
267,New Mexico St. (WAC),36,26-10,533,14.8
162,New Mexico (Mountain West),35,28-7,467,13.3
110,Niagara (MAAC),33,14-19,421,12.8
284,Nicholls (Southland),30,10-20,453,15.1
318,NIU (MAC),31,5-26,497,16
92,NJIT (GWC),32,15-17,403,12.6
277,Norfolk St. (MEAC),36,26-10,539,15
46,North Carolina (ACC),38,32-6,454,11.9
80,North Dakota St. (Summit League),31,17-14,384,12.4
303,North Florida (ASUN),32,16-16,493,15.4
245,North Texas (Sun Belt),32,18-14,464,14.5
310,Northeastern (CAA),31,14-17,484,15.6
269,Northern Ariz. (Big Sky),29,5-24,430,14.8
327,Northern Colo. (Big Sky),28,9-19,456,16.3
261,Northwestern St. (Southland),32,16-16,471,14.7
4,Northwestern (Big Ten),33,19-14,335,10.2
3,Notre Dame (AAC),34,22-12,342,10.1
45,Oakland (Summit League),36,20-16,430,11.9
39,Ohio St. (Big Ten),39,31-8,459,11.8
134,Ohio (MAC),37,29-8,482,13
47,Oklahoma St. (Big 12),33,15-18,395,12
111,Oklahoma (Big 12),31,15-16,396,12.8
200,Old Dominion (CAA),36,22-14,495,13.8
239,Ole Miss (SEC),34,20-14,485,14.3
116,Oral Roberts (Summit League),34,27-7,436,12.8
228,Oregon St. (Pac-12),36,21-15,507,14.1
121,Oregon (Pac-12),34,24-10,438,12.9
52,Pacific (Big West),30,11-19,361,12
62,Penn St. (Big Ten),32,12-20,390,12.2
90,Penn (Ivy League),33,20-13,414,12.5
182,Pepperdine (WCC),29,10-19,394,13.6
105,Pittsburgh (AAC),39,22-17,495,12.7
173,Portland St. (Big Sky),32,17-15,431,13.5
309,Portland (WCC),31,7-24,483,15.6
320,Prairie View (SWAC),32,14-18,514,16.1
74,Princeton (Ivy League),32,20-12,394,12.3
68,Providence (AAC),32,15-17,391,12.2
244,Purdue Fort Wayne (Summit League),30,11-19,434,14.5
1,Purdue (Big Ten),35,22-13,306,8.7
97,Quinnipiac (NEC),32,18-14,404,12.6
215,Radford (Big South),32,6-26,445,13.9
247,Rhode Island (Atlantic 10),31,7-24,451,14.5
186,Rice (C-USA),35,19-16,477,13.6
29,Richmond (Atlantic 10),32,16-16,367,11.5
283,Rider (MAAC),32,13-19,483,15.1
202,Robert Morris (NEC),37,26-11,510,13.8
270,Rutgers (AAC),32,14-18,475,14.8
191,Sacramento St. (Big Sky),28,10-18,383,13.7
299,Sacred Heart (NEC),32,14-18,491,15.3
316,Saint Francis (PA) (NEC),29,6-23,457,15.8
101,Saint Joseph's (Atlantic 10),34,20-14,430,12.6
