Rank,Team,GM,W-L,TO,TOPG
25,Saint Louis (Atlantic 10),34,26-8,382,11.2
34,Saint Mary's (CA) (WCC),33,27-6,383,11.6
310,Saint Peter's (MAAC),31,5-26,484,15.6
303,Sam Houston (Southland),32,13-19,493,15.4
119,Samford (SoCon),30,11-19,386,12.9
87,San Diego St. (Mountain West),34,26-8,426,12.5
190,San Diego (WCC),31,13-18,424,13.7
128,San Francisco (WCC),34,20-14,442,13
19,San Jose St. (WAC),31,9-22,341,11
33,Santa Clara (WCC),30,8-22,348,11.6
264,Savannah St. (MEAC),33,21-12,487,14.8
103,Seton Hall (AAC),34,21-13,431,12.7
189,SFA (Southland),32,20-12,437,13.7
229,Siena (MAAC),31,14-17,437,14.1
92,SMU (C-USA),32,13-19,403,12.6
323,South Alabama (Sun Belt),29,17-12,468,16.1
317,South Carolina St. (MEAC),31,5-26,489,15.8
111,South Carolina (SEC),31,10-21,396,12.8
10,South Dakota St. (Summit League),35,27-8,370,10.6
175,South Fla. (AAC),36,22-14,485,13.5
138,Southeast Mo. St. (OVC),31,15-16,405,13.1
302,Southeastern La. (Southland),29,12-17,446,15.4
13,Southern California (Pac-12),32,6-26,341,10.7
229,Southern Ill. (MVC),31,8-23,437,14.1
21,Southern Miss. (C-USA),34,25-9,377,11.1
223,Southern U. (SWAC),31,17-14,435,14
218,Southern Utah (Summit League),31,14-17,432,13.9
235,St. Bonaventure (Atlantic 10),32,20-12,453,14.2
325,St. Francis Brooklyn (NEC),30,15-15,486,16.2
150,St. John's (NY) (AAC),32,13-19,423,13.2
207,Stanford (Pac-12),37,26-11,512,13.8
337,Stetson (ASUN),29,9-20,514,17.7
77,Stony Brook (America East),32,22-10,395,12.3
8,Syracuse (AAC),37,34-3,389,10.5
203,TCU (Mountain West),33,18-15,455,13.8
89,Temple (Atlantic 10),32,24-8,401,12.5
278,Tennessee St. (OVC),33,20-13,495,15
285,Tennessee Tech (OVC),33,19-14,499,15.1
194,Tennessee (SEC),34,19-15,466,13.7
169,Texas A&M (Big 12),32,14-18,430,13.4
333,Texas Southern (SWAC),33,15-18,560,17
265,Texas St. (Southland),30,13-17,443,14.8
334,Texas Tech (Big 12),31,8-23,530,17.1
87,Texas (Big 12),34,20-14,426,12.5
260,The Citadel (SoCon),30,6-24,441,14.7
184,Toledo (MAC),36,19-17,490,13.6
338,Towson (CAA),32,1-31,580,18.1
81,Troy (Sun Belt),28,10-18,347,12.4
107,Tulane (C-USA),31,15-16,394,12.7
266,Tulsa (C-USA),31,17-14,458,14.8
236,UAB (C-USA),31,15-16,439,14.2
307,UC Davis (Big West),31,5-26,479,15.5
296,UC Irvine (Big West),32,12-20,489,15.3
153,UC Riverside (Big West),31,14-17,411,13.3
43,UC Santa Barbara (Big West),31,20-11,368,11.9
99,UCF (C-USA),33,22-11,417,12.6
47,UCLA (Pac-12),33,19-14,395,12
73,UConn (AAC),34,20-14,418,12.3
255,UIC (Horizon),30,8-22,439,14.6
137,ULM (Sun Belt),29,3-26,378,13
255,UMBC (America East),30,4-26,439,14.6
336,UMES (MEAC),30,7-23,522,17.4
165,UNC Asheville (Big South),34,24-10,456,13.4
289,UNC Greensboro (SoCon),32,13-19,486,15.2
204,UNCW (CAA),31,10-21,428,13.8
16,UNI (MVC),34,20-14,369,10.9
161,UNLV (Mountain West),35,26-9,466,13.3
281,USC Upstate (ASUN),34,21-13,512,15.1
322,UT Arlington (Southland),33,24-9,531,16.1
305,UT Martin (OVC),31,4-27,478,15.4
59,Utah St. (WAC),37,21-16,449,12.1
102,Utah Valley (GWC),33,20-13,418,12.7
223,Utah (Pac-12),31,6-25,435,14
173,UTEP (C-USA),32,15-17,431,13.5
301,UTRGV (GWC),32,11-21,492,15.4
210,UTSA (Southland),32,18-14,443,13.8
238,Valparaiso (Horizon),34,22-12,483,14.2
151,Vanderbilt (SEC),36,25-11,476,13.2
28,VCU (CAA),36,29-7,411,11.4
78,Vermont (America East),36,24-12,445,12.4
219,Villanova (AAC),32,13-19,447,14
42,Virginia Tech (ACC),33,16-17,391,11.8
29,Virginia (ACC),32,22-10,367,11.5
156,VMI (Big South),33,17-16,438,13.3
159,Wagner (NEC),31,25-6,412,13.3
107,Wake Forest (ACC),31,13-18,394,12.7
143,Washington St. (Pac-12),37,19-18,485,13.1
147,Washington (Pac-12),35,24-11,460,13.1
11,Weber St. (Big Sky),32,25-7,340,10.6
113,West Virginia (AAC),33,19-14,422,12.8
145,Western Caro. (SoCon),35,17-18,459,13.1
27,Western Ill. (Summit League),33,18-15,375,11.4
295,Western Ky. (Sun Belt),35,16-19,534,15.3
248,Western Mich. (MAC),34,14-20,495,14.6
66,Wichita St. (MVC),33,27-6,403,12.2
117,William & Mary (CAA),32,6-26,411,12.8
70,Winthrop (Big South),32,12-20,393,12.3
2,Wisconsin (Big Ten),36,26-10,320,8.9
31,Wofford (SoCon),33,19-14,382,11.6
185,Wright St. (Horizon),32,13-19,436,13.6
37,Wyoming (Mountain West),33,21-12,388,11.8
94,Xavier (Atlantic 10),36,23-13,454,12.6
233,Yale (Ivy League),29,19-10,410,14.1
24,Youngstown St. (Horizon),31,16-15,347,11.2
